time,open,high,low,close,volume
1642435200000,2.2766,2.2886,2.2173,2.2572,287232.856
1642449600000,2.2579,2.2621,2.2056,2.2428,327789.043
1642464000000,2.2426,2.277,2.2151,2.2169,247163.25
1642478400000,2.2175,2.2364,2.1877,2.209,363500.285
1642492800000,2.2087,2.2102,2.1485,2.1822,287006.749
1642507200000,2.1817,2.1859,2.1329,2.1431,255992.028
1642521600000,2.1433,2.1537,2.116,2.1471,253780.813
1642536000000,2.1469,2.2126,2.1367,2.1896,273803.456
1642550400000,2.1886,2.195,2.1065,2.1157,299988.362
1642564800000,2.1163,2.1331,2.0619,2.0749,270665.104
1642579200000,2.0749,2.1278,2.0628,2.1161,243592.274
1642593600000,2.1167,2.1467,2.099,2.1118,245069.824
1642608000000,2.1095,2.1252,2.092,2.1188,244407.414
1642622400000,2.1184,2.1255,2.0877,2.0898,242573.46
1642636800000,2.0899,2.1193,2.0828,2.1146,242240.238
1642651200000,2.1149,2.1388,2.1137,2.1346,239653.942
1642665600000,2.1349,2.1769,2.1293,2.1541,240467.542
1642680000000,2.1542,2.2159,2.1461,2.2129,400062.427
1642694400000,2.2131,2.2371,2.202,2.2135,241331.59
1642708800000,2.2133,2.2156,2.0267,2.0363,417169.654
1642723200000,2.0345,2.0628,1.9143,1.9412,321164.96
1642737600000,1.9404,1.985,1.9404,1.9795,240775.66
1642752000000,1.9782,1.9882,1.9394,1.9482,238763.225
1642766400000,1.9482,1.9497,1.8752,1.928,287184.625
1642780800000,1.9286,1.9388,1.876,1.8767,241251.93
1642795200000,1.8767,1.8966,1.7077,1.8415,816811.51
1642809600000,1.84,1.8651,1.7828,1.8041,242461.86
1642824000000,1.8044,1.8147,1.6323,1.6561,456939.87
1642838400000,1.6536,1.6943,1.5012,1.6231,778631.207
1642852800000,1.6236,1.6909,1.5853,1.5868,252965.108
1642867200000,1.5864,1.6551,1.54,1.5562,280624.682
1642881600000,1.5571,1.6373,1.5449,1.6134,278488.37
1642896000000,1.6126,1.6503,1.581,1.6061,241766.419
1642910400000,1.6056,1.6745,1.5989,1.6684,240953.414
1642924800000,1.6672,1.7105,1.6594,1.6727,258323.94
1642939200000,1.673,1.6956,1.6052,1.6435,239965.517
1642953600000,1.6433,1.664,1.5938,1.6052,246967.746
1642968000000,1.6052,1.6918,1.5963,1.6908,250452.989
1642982400000,1.6906,1.6906,1.6125,1.6227,239728.14
1642996800000,1.6231,1.6307,1.5582,1.563,238912.051
1643011200000,1.5641,1.5892,1.4573,1.4778,593455.48
1643025600000,1.4789,1.4972,1.4233,1.4919,370217.406
1643040000000,1.4923,1.5551,1.4567,1.5455,260168.845
1643054400000,1.5436,1.5992,1.5384,1.5854,240190.193
1643068800000,1.5843,1.5865,1.546,1.5718,242787.537
1643083200000,1.5721,1.5763,1.5332,1.5661,243376.728
1643097600000,1.5614,1.6057,1.5526,1.5759,241984.32
1643112000000,1.5766,1.5926,1.5305,1.5566,280601.25
1643126400000,1.5561,1.6117,1.554,1.5996,241504.214
1643140800000,1.5995,1.6018,1.5654,1.5924,240574.193
1643155200000,1.5928,1.6224,1.5746,1.6212,241507.582
1643169600000,1.6194,1.648,1.6184,1.6278,239269.361
1643184000000,1.6275,1.6678,1.6275,1.665,241811.734
1643198400000,1.665,1.8545,1.6605,1.7321,1168205.57
1643212800000,1.7313,1.773,1.6692,1.7007,396284.74
1643227200000,1.7,1.7,1.586,1.6247,242198.557
1643241600000,1.6252,1.6409,1.5477,1.5602,278236.895
1643256000000,1.5611,1.5997,1.5559,1.5956,239675.235
1643270400000,1.5956,1.6217,1.578,1.6206,277665.874
1643284800000,1.6208,1.6574,1.616,1.6232,239117.357
1643299200000,1.6228,1.6409,1.5803,1.5847,240071.952
1643313600000,1.584,1.5978,1.523,1.5893,240510.388
1643328000000,1.5881,1.6058,1.5514,1.5915,265073.777
1643342400000,1.5915,1.6087,1.5663,1.5676,345422.861
1643356800000,1.5693,1.6093,1.557,1.5807,383138.415
1643371200000,1.5826,1.6138,1.5612,1.6098,240240.58
1643385600000,1.6106,1.6312,1.6004,1.6301,235729.035
