time,open,high,low,close,volume
1774440000000,117.57,118.54,109.4,114.18,2427.58
1774454400000,114.18,115.21,112.24,114.44,1143.12
1774468800000,114.44,114.9,112.48,113.37,177.03
1774483200000,113.37,114.58,112.25,113.5,404.51
1774497600000,113.5,113.9,110.19,111.55,427.5
1774512000000,111.55,111.55,108.81,109.49,746.66
1774526400000,109.49,111.42,102.73,105.14,1596.49
1774540800000,105.14,105.58,96.87,97.43,1337.42
1774555200000,97.43,102.06,96.71,100.2,1369.18
1774569600000,100.2,101.82,99.09,101.15,514.98
1774584000000,101.15,104.0,100.53,101.0,688.28
1774598400000,101.0,101.16,96.12,97.67,1227.27
1774612800000,97.67,101.61,94.27,97.74,3130.14
1774627200000,97.74,98.42,95.49,98.33,1490.78
1774641600000,98.33,98.33,96.23,96.5,301.1
1774656000000,96.5,96.5,96.5,96.5,0.0
1774670400000,96.5,96.5,96.5,96.5,0.0
1774684800000,96.5,96.5,96.5,96.5,0.0
1774699200000,96.5,96.5,96.5,96.5,0.0
1774713600000,96.5,96.5,96.5,96.5,0.0
1774728000000,96.5,96.5,96.5,96.5,0.0
1774742400000,96.5,96.5,96.5,96.5,0.0
1774756800000,96.5,96.5,96.5,96.5,0.0
1774771200000,96.5,96.5,96.5,96.5,0.0
1774785600000,96.5,96.5,96.5,96.5,0.0
1774800000000,96.5,96.5,96.5,96.5,0.0
1774814400000,96.5,96.5,96.5,96.5,0.0
1774828800000,96.5,99.42,93.61,99.35,1042.58
1774843200000,99.35,100.62,98.21,100.24,709.35
1774857600000,100.24,101.76,99.1,100.52,562.2
1774872000000,100.52,101.57,83.22,83.44,6829.01
1774886400000,83.44,85.15,81.94,85.13,2139.87
1774900800000,85.13,85.24,82.5,83.14,771.38
1774915200000,83.14,87.58,82.98,84.51,1270.9
1774929600000,84.51,85.87,83.45,85.87,625.7
1774944000000,85.87,86.46,83.07,84.87,1641.69
1774958400000,84.87,87.46,78.73,78.73,4863.16
1774972800000,78.73,87.08,78.73,84.72,2133.33
1774987200000,84.72,87.08,84.48,86.95,1018.95
1775001600000,86.95,89.52,86.35,87.12,740.16
1775016000000,87.12,89.77,87.11,88.44,929.85
1775030400000,88.44,89.14,87.2,88.96,803.72
1775044800000,88.96,95.57,87.21,91.19,2331.69
1775059200000,91.19,91.27,85.05,86.31,1567.93
1775073600000,86.31,88.36,86.31,88.12,391.03
1775088000000,88.12,88.71,83.21,84.05,1341.98
1775102400000,84.05,84.23,83.01,84.02,370.39
1775116800000,84.02,84.02,81.74,81.96,796.5
1775131200000,81.96,103.13,81.11,102.71,6714.27
1775145600000,102.71,105.41,99.59,103.91,1340.93
1775160000000,103.91,109.78,103.67,108.63,1160.64
1775174400000,108.63,108.63,108.63,108.63,0.0
1775188800000,108.63,108.63,108.63,108.63,0.0
1775203200000,108.63,108.63,108.63,108.63,0.0
1775217600000,108.63,108.63,108.63,108.63,0.0
1775232000000,108.63,108.63,108.63,108.63,0.0
1775246400000,108.63,108.63,108.63,108.63,0.0
1775260800000,108.63,108.63,108.63,108.63,0.0
1775275200000,108.63,108.63,108.63,108.63,0.0
1775289600000,108.63,108.63,108.63,108.63,0.0
1775304000000,108.63,108.63,108.63,108.63,0.0
1775318400000,108.63,108.63,108.63,108.63,0.0
1775332800000,108.63,108.63,108.63,108.63,0.0
1775347200000,108.63,108.63,108.63,108.63,0.0
1775361600000,108.63,108.63,108.63,108.63,0.0
1775376000000,108.63,108.63,108.63,108.63,0.0
1775390400000,108.63,108.63,108.63,108.63,0.0
1775404800000,108.63,108.63,108.63,108.63,0.0
1775419200000,108.63,108.63,108.63,108.63,0.0
1775433600000,108.63,114.51,106.88,108.5,1143.39
1775448000000,108.5,111.93,108.46,111.73,418.49
1775462400000,111.73,114.6,109.52,110.23,1357.02
1775476800000,110.23,116.99,105.27,111.12,9246.59
1775491200000,111.12,111.98,107.46,107.52,1295.07
1775505600000,107.52,108.05,106.24,107.7,335.22
1775520000000,107.7,108.81,103.88,105.68,755.48
1775534400000,105.68,107.0,105.37,106.75,393.11
1775548800000,106.75,109.75,106.21,106.44,775.68
1775563200000,106.44,115.0,105.2,114.34,6461.6
1775577600000,114.34,118.6,112.14,117.43,2430.0
1775592000000,117.43,127.98,116.39,127.32,1189.35
1775606400000,127.32,127.87,125.23,127.58,601.71
1775620800000,127.58,129.02,127.38,127.94,506.21
1775635200000,127.94,129.98,127.37,127.85,512.63
1775649600000,127.85,128.66,119.33,128.38,5987.36
1775664000000,128.38,134.4,128.35,132.72,1327.39
1775678400000,132.72,133.61,129.5,130.21,472.16
1775692800000,130.21,130.37,126.69,129.33,898.79
1775707200000,129.33,131.13,128.69,130.1,387.03
1775721600000,130.1,135.1,128.98,134.51,692.46
1775736000000,134.51,145.04,131.15,134.94,9839.8
1775750400000,134.94,135.28,127.33,133.3,1825.13
1775764800000,133.3,136.05,133.14,136.03,334.95
1775779200000,136.03,139.33,135.35,136.85,418.73
1775793600000,136.85,140.34,135.44,136.78,625.01
1775808000000,136.78,141.72,136.34,140.75,681.78
1775822400000,140.75,154.52,128.03,148.15,6666.32
1775836800000,148.15,154.07,145.36,150.63,3671.91
1775851200000,150.63,152.42,150.62,151.51,349.48
1775865600000,151.51,151.51,151.51,151.51,0.0
1775880000000,151.51,151.51,151.51,151.51,0.0
1775894400000,151.51,151.51,151.51,151.51,0.0
1775908800000,151.51,151.51,151.51,151.51,0.0
1775923200000,151.51,151.51,151.51,151.51,0.0
1775937600000,151.51,151.51,151.51,151.51,0.0
1775952000000,151.51,151.51,151.51,151.51,0.0
1775966400000,151.51,151.51,151.51,151.51,0.0
1775980800000,151.51,151.51,151.51,151.51,0.0
1775995200000,151.51,151.51,151.51,151.51,0.0
1776009600000,151.51,151.51,151.51,151.51,0.0
1776024000000,151.51,151.51,151.51,151.51,0.0
1776038400000,151.51,151.51,140.79,146.7,1348.21
1776052800000,146.7,150.01,146.57,148.68,515.77
1776067200000,148.68,150.0,147.76,148.72,520.26
1776081600000,148.72,154.52,143.7,150.21,5109.11
1776096000000,150.21,155.22,148.33,153.35,1196.17
1776110400000,153.35,157.18,152.98,155.63,433.42
1776124800000,155.63,156.78,154.31,156.77,285.98
1776139200000,156.77,158.42,155.43,156.47,270.05
1776153600000,156.47,161.23,156.47,159.93,433.51
1776168000000,159.93,160.45,142.49,146.05,2464.9
1776182400000,146.05,150.47,145.48,146.33,667.54
1776196800000,146.33,146.52,144.67,145.23,299.5
1776211200000,145.23,146.43,143.9,144.76,341.21
1776225600000,144.76,144.93,141.12,144.86,285.69
1776240000000,144.86,146.57,143.7,144.66,389.67
1776254400000,144.66,145.8,135.44,142.06,3338.71
1776268800000,142.06,143.03,137.01,142.56,848.15
1776283200000,142.56,143.02,139.98,140.04,346.57
1776297600000,140.04,141.63,138.78,140.89,382.03
1776312000000,140.89,142.95,140.07,141.91,235.24
1776326400000,141.91,142.35,139.66,140.36,445.3
1776340800000,140.36,153.0,136.86,147.92,4157.15
1776355200000,147.92,157.34,145.23,157.3,907.79
1776369600000,157.3,159.51,157.08,157.97,290.59
1776384000000,157.97,160.83,156.5,159.86,617.88
1776398400000,159.86,160.85,158.71,160.36,253.48
1776412800000,160.36,162.01,158.48,160.72,456.76
1776427200000,160.72,163.54,153.13,153.13,2752.85
1776441600000,153.13,159.97,152.66,159.51,1501.93
1776456000000,159.51,159.51,157.25,157.46,227.85
1776470400000,157.46,157.46,157.46,157.46,0.0
1776484800000,157.46,157.46,157.46,157.46,0.0
1776499200000,157.46,157.46,157.46,157.46,0.0
1776513600000,157.46,157.46,157.46,157.46,0.0
1776528000000,157.46,157.46,157.46,157.46,0.0
1776542400000,157.46,157.46,157.46,157.46,0.0
1776556800000,157.46,157.46,157.46,157.46,0.0
1776571200000,157.46,157.46,157.46,157.46,0.0
1776585600000,157.46,157.46,157.46,157.46,0.0
1776600000000,157.46,157.46,157.46,157.46,0.0
1776614400000,157.46,157.46,157.46,157.46,0.0
1776628800000,157.46,157.46,157.46,157.46,0.0
1776643200000,157.46,158.52,153.48,157.78,330.33
1776657600000,157.78,157.78,153.86,155.16,234.49
1776672000000,155.16,157.56,154.5,157.42,363.89
1776686400000,157.42,161.46,151.66,158.1,1371.36
1776700800000,158.1,163.51,157.02,163.5,612.83
1776715200000,163.5,164.06,162.94,163.26,297.53
1776729600000,163.26,164.1,162.53,163.91,164.4
1776744000000,163.91,167.61,163.71,166.76,276.7
1776758400000,166.76,169.01,166.13,168.41,514.55
1776772800000,168.41,173.1,153.55,154.89,2493.31
1776787200000,154.89,159.14,150.07,150.67,1036.14
1776801600000,150.67,155.59,150.49,155.2,273.9
1776816000000,155.2,157.26,155.2,156.45,189.05
1776830400000,156.45,157.93,155.4,157.63,219.34
1776844800000,157.63,157.63,152.0,155.22,739.61
1776859200000,155.22,158.75,138.67,144.09,3082.22
1776873600000,144.09,149.71,142.66,149.49,1088.06
1776888000000,149.49,149.49,146.49,147.05,303.68
1776902400000,147.05,147.05,141.72,143.31,477.46
1776916800000,143.31,147.04,143.21,146.72,297.96
1776931200000,146.72,146.88,145.08,146.66,448.67
1776945600000,146.66,152.89,141.34,141.58,2291.79
1776960000000,141.58,141.61,132.78,137.77,1523.99
1776974400000,137.77,141.62,137.61,140.46,591.64
1776988800000,140.46,142.44,139.05,139.5,401.5
1777003200000,139.5,141.49,139.37,140.75,210.86
1777017600000,140.75,143.37,139.8,142.9,583.36
1777032000000,142.9,160.0,140.25,159.91,5497.73
1777046400000,159.91,164.62,158.31,162.11,2542.68
1777060800000,162.11,163.6,161.35,161.53,195.76
1777075200000,161.53,161.53,161.53,161.53,0.0
1777089600000,161.53,161.53,161.53,161.53,0.0
1777104000000,161.53,161.53,161.53,161.53,0.0
1777118400000,161.53,161.53,161.53,161.53,0.0
1777132800000,161.53,161.53,161.53,161.53,0.0
1777147200000,161.53,161.53,161.53,161.53,0.0
1777161600000,161.53,161.53,161.53,161.53,0.0
1777176000000,161.53,161.53,161.53,161.53,0.0
1777190400000,161.53,161.53,161.53,161.53,0.0
1777204800000,161.53,161.53,161.53,161.53,0.0
1777219200000,161.53,161.53,161.53,161.53,0.0
1777233600000,161.53,161.53,161.53,161.53,0.0
1777248000000,161.53,164.1,160.89,162.09,401.91
1777262400000,162.09,163.31,159.6,160.84,227.39
1777276800000,160.84,161.01,158.1,158.4,404.01
1777291200000,158.4,158.4,142.06,145.47,2316.59
1777305600000,145.47,149.23,144.59,145.8,817.9
1777320000000,145.8,148.06,145.68,147.46,250.38
1777334400000,147.46,148.49,145.35,146.43,326.61
1777348800000,146.43,146.73,143.33,143.84,298.0
1777363200000,143.84,144.23,138.24,138.46,645.51
1777377600000,138.46,146.66,135.57,137.6,2115.44
1777392000000,137.6,141.1,136.28,137.28,1008.13
1777406400000,137.28,139.16,137.28,138.96,229.41
1777420800000,138.96,140.3,138.49,140.25,279.98
1777435200000,140.25,140.64,139.3,139.51,176.79
1777449600000,139.51,145.05,139.47,144.19,406.38
1777464000000,144.19,149.29,138.79,145.03,2776.58
1777478400000,145.03,153.93,142.99,152.82,1288.06
1777492800000,152.82,157.46,149.59,157.46,553.92
1777507200000,157.46,159.69,152.85,154.14,756.65
