time,open,high,low,close,volume
1766894400000,273.1,273.1,273.1,273.1,0.0
1766908800000,273.1,273.1,273.1,273.1,0.0
1766923200000,273.1,273.1,273.1,273.1,0.0
1766937600000,273.1,273.1,273.1,273.1,0.0
1766952000000,273.1,273.1,273.1,273.1,0.0
1766966400000,273.1,273.47,272.58,273.17,132.6
1766980800000,273.17,273.2,272.59,272.75,117.81
1766995200000,272.75,273.05,272.01,272.6,148.21
1767009600000,272.6,274.33,271.87,273.28,324.27
1767024000000,273.28,273.99,272.85,273.9,206.33
1767038400000,273.9,273.99,273.47,273.49,142.85
1767052800000,273.49,273.75,273.27,273.61,123.8
1767067200000,273.61,273.67,273.06,273.26,128.14
1767081600000,273.26,273.69,272.85,273.08,146.67
1767096000000,273.08,273.92,272.41,272.85,251.68
1767110400000,272.85,273.52,272.31,273.29,173.18
1767124800000,273.29,273.48,272.89,272.97,123.04
1767139200000,272.97,272.97,272.5,272.5,120.91
1767153600000,272.5,272.69,272.34,272.41,111.0
1767168000000,272.41,272.68,272.18,272.34,127.77
1767182400000,272.34,273.65,271.78,271.92,349.06
1767196800000,271.92,273.4,271.92,272.71,197.63
1767211200000,272.71,272.74,271.82,272.12,164.28
1767225600000,272.12,272.24,272.04,272.04,27.38
1767240000000,272.04,272.04,272.04,272.04,0.0
1767254400000,272.04,272.04,272.04,272.04,0.0
1767268800000,272.04,272.04,272.04,272.04,0.0
1767283200000,272.04,272.04,272.04,272.04,0.0
1767297600000,272.04,272.04,272.04,272.04,0.0
1767312000000,272.04,273.09,272.04,273.07,113.61
1767326400000,273.07,273.13,272.84,272.86,110.81
1767340800000,272.86,273.87,272.84,273.45,164.83
1767355200000,273.45,277.79,270.67,270.67,674.8
1767369600000,270.67,270.95,269.13,270.4,376.34
1767384000000,270.4,271.21,270.24,270.98,155.61
1767398400000,270.98,271.08,270.93,271.05,25.65
1767412800000,271.05,271.05,271.05,271.05,0.0
1767427200000,271.05,271.05,271.05,271.05,0.0
1767441600000,271.05,271.05,271.05,271.05,0.0
1767456000000,271.05,271.05,271.05,271.05,0.0
1767470400000,271.05,271.05,271.05,271.05,0.0
1767484800000,271.05,271.05,271.05,271.05,0.0
1767499200000,271.05,271.05,271.05,271.05,0.0
1767513600000,271.05,271.05,271.05,271.05,0.0
1767528000000,271.05,271.05,271.05,271.05,0.0
1767542400000,271.05,271.05,271.05,271.05,0.0
1767556800000,271.05,271.05,271.05,271.05,0.0
1767571200000,271.05,271.48,270.0,270.21,255.85
1767585600000,270.21,270.86,270.17,270.63,178.25
1767600000000,270.63,271.19,270.24,270.48,222.75
1767614400000,270.48,271.45,267.97,269.03,670.84
1767628800000,269.03,269.33,266.18,266.27,348.04
1767643200000,266.27,267.71,266.25,267.14,183.07
1767657600000,267.14,267.34,266.94,267.2,113.06
1767672000000,267.2,267.86,267.19,267.64,150.37
1767686400000,267.64,267.66,266.24,266.5,219.14
1767700800000,266.5,267.53,263.05,263.89,908.07
1767715200000,263.89,263.89,262.22,262.69,691.82
1767729600000,262.69,262.97,262.16,262.37,297.57
1767744000000,262.37,262.5,261.97,262.05,463.72
1767758400000,262.05,262.13,261.73,261.74,294.17
1767772800000,261.74,261.93,261.52,261.85,183.55
1767787200000,261.85,263.44,261.24,261.99,596.2
1767801600000,261.99,262.69,260.94,261.79,647.15
1767816000000,261.79,261.96,259.84,260.53,413.12
1767830400000,260.53,260.62,259.84,260.0,156.94
1767844800000,260.0,260.06,259.24,259.46,169.64
1767859200000,259.46,259.78,257.38,257.8,282.23
1767873600000,257.8,258.17,255.78,256.66,646.05
1767888000000,256.66,258.57,256.03,257.23,724.38
1767902400000,257.23,259.79,257.21,259.15,403.16
1767916800000,259.15,259.4,258.81,259.33,134.35
1767931200000,259.33,259.69,259.19,259.34,127.79
1767945600000,259.34,260.73,259.04,259.51,213.2
1767960000000,259.51,259.87,256.34,257.82,861.09
1767974400000,257.82,260.19,256.8,259.99,892.35
