time,open,high,low,close,volume
1642435200000,227.04,228.05,221.48,227.76,12586.066
1642449600000,227.6,231.67,221.68,226.58,14002.456
1642464000000,226.76,240.25,226.51,228.08,24138.279
1642478400000,228.08,235.38,222.71,233.29,13061.685
1642492800000,233.14,233.48,224.16,229.83,15961.98
1642507200000,229.74,236.18,223.99,233.13,18555.395
1642521600000,232.93,237.32,228.58,232.14,16140.127
1642536000000,232.13,235.7,228.24,232.27,9662.629
1642550400000,232.41,236.76,224.48,225.52,11992.107
1642564800000,225.63,227.46,216.06,217.57,14373.916
1642579200000,217.61,217.69,212.63,217.4,9715.796
1642593600000,217.5,221.85,214.78,216.89,10969.397
1642608000000,216.75,218.09,213.63,214.97,9301.648
1642622400000,214.94,215.53,210.08,210.18,9411.02
1642636800000,210.37,215.24,209.79,213.71,9250.469
1642651200000,213.66,215.98,212.66,215.72,9257.541
1642665600000,215.7,215.85,212.36,214.2,9348.486
1642680000000,214.15,221.21,211.94,219.84,9319.832
1642694400000,219.98,220.52,215.28,215.74,9304.563
1642708800000,215.72,216.04,197.14,198.5,13389.721
1642723200000,198.35,200.54,181.59,185.22,22199.126
1642737600000,185.16,190.62,185.16,189.7,10819.932
1642752000000,189.62,191.01,185.95,187.03,9476.587
1642766400000,187.06,189.71,178.41,188.5,13818.402
1642780800000,188.33,190.92,182.95,182.96,9818.669
1642795200000,183.01,185.09,163.64,170.96,19343.889
1642809600000,170.77,175.29,167.22,169.07,10913.958
1642824000000,169.03,169.72,150.31,151.0,19018.975
1642838400000,150.96,155.34,135.3,148.07,19544.699
1642852800000,147.86,154.85,143.71,143.79,9701.668
1642867200000,143.84,150.29,139.32,141.51,11753.011
1642881600000,141.62,150.51,140.4,146.97,11843.23
1642896000000,146.93,152.95,145.39,148.08,10024.311
1642910400000,148.01,154.95,147.03,154.07,9196.608
1642924800000,153.86,163.13,153.17,156.95,13560.965
1642939200000,156.82,159.55,149.97,151.9,11439.109
1642953600000,151.94,153.95,147.26,148.6,10883.598
1642968000000,148.4,158.98,147.02,158.48,13344.844
1642982400000,158.33,158.48,149.51,151.08,9282.026
1642996800000,151.04,151.91,145.22,145.97,9225.306
1643011200000,146.02,149.59,134.97,137.13,13243.421
1643025600000,137.17,140.52,131.13,139.73,16113.759
1643040000000,140.07,150.59,136.44,147.79,16232.302
1643054400000,147.68,154.4,147.16,152.53,11003.91
1643068800000,152.33,152.49,147.98,150.91,11070.446
1643083200000,150.92,151.46,145.9,148.45,9308.927
1643097600000,148.27,154.45,148.07,151.12,9293.549
1643112000000,151.18,154.54,146.51,148.9,12098.919
1643126400000,148.97,156.19,148.43,153.56,9324.248
1643140800000,153.55,153.7,147.34,151.83,9372.83
1643155200000,151.94,153.14,148.62,152.83,9543.539
1643169600000,152.91,155.87,150.84,152.55,9226.279
1643184000000,152.57,157.47,152.52,156.85,9525.85
1643198400000,156.85,162.61,155.89,158.18,9250.562
1643212800000,158.14,163.73,151.61,154.93,15963.168
1643227200000,154.99,155.0,142.86,146.47,12644.074
1643241600000,146.51,148.32,138.83,140.02,9544.045
1643256000000,139.83,144.99,139.24,143.73,9296.931
1643270400000,143.75,147.05,142.43,146.91,9283.772
1643284800000,146.9,151.39,146.74,147.92,9190.316
1643299200000,147.94,150.3,142.19,142.36,9324.013
1643313600000,142.34,144.81,137.54,144.47,9496.287
1643328000000,144.51,148.53,142.31,147.48,9233.229
1643342400000,147.54,148.33,143.66,144.11,9410.132
1643356800000,144.13,144.46,139.62,141.26,9648.356
1643371200000,141.38,145.87,139.41,145.37,12576.682
1643385600000,145.27,148.06,144.78,146.25,9173.817
1643400000000,146.33,150.71,145.96,149.05,9231.509
1643414400000,149.04,150.86,147.76,149.23,9307.4
1643428800000,149.25,153.45,149.04,153.42,9310.48
1643443200000,153.43,153.96,151.09,152.19,9275.055
1643457600000,152.19,156.94,151.72,152.91,9312.673
1643472000000,152.84,155.19,151.85,154.18,9219.307
1643486400000,154.21,156.73,152.48,153.78,9505.596
1643500800000,153.99,154.61,150.92,150.99,9237.566
1643515200000,151.0,155.36,150.91,154.81,9287.429
1643529600000,154.8,155.13,152.49,154.33,9307.387
1643544000000,154.38,155.0,150.65,152.95,9222.05
1643558400000,153.16,153.82,147.5,147.79,9370.794
1643572800000,147.68,150.37,145.97,148.86,9244.385
1643587200000,148.88,149.33,141.83,143.98,9511.157
1643601600000,143.91,144.55,141.7,144.55,9232.525
1643616000000,144.57,148.17,144.3,147.4,9330.368
1643630400000,147.27,153.83,145.61,153.46,9378.229
1643644800000,153.58,158.61,153.04,157.22,9855.418
1643659200000,157.2,158.39,156.18,157.45,9208.897
1643673600000,157.57,164.07,157.29,163.86,9336.347
1643688000000,163.85,164.4,161.33,163.89,9241.624
1643702400000,163.92,166.53,161.22,163.56,9113.273
1643716800000,163.52,167.17,163.07,165.5,9170.287
1643731200000,165.6,168.09,161.5,161.62,9259.744
1643745600000,161.59,164.83,161.57,163.9,9215.829
1643760000000,163.92,164.45,161.17,161.96,9320.471
1643774400000,161.96,162.21,159.16,159.72,9296.51
1643788800000,159.79,161.38,159.21,160.61,9493.774
1643803200000,160.55,163.43,153.45,153.89,9571.661
1643817600000,153.72,156.54,151.81,155.91,9220.926
1643832000000,155.89,156.9,149.6,151.26,9242.946
1643846400000,151.27,153.69,148.94,149.36,9122.54
1643860800000,149.23,150.49,148.38,150.18,9341.916
1643875200000,150.19,151.23,145.82,148.15,9207.773
1643889600000,148.12,152.14,145.46,152.12,9353.433
1643904000000,151.97,153.13,147.03,148.03,9479.476
1643918400000,147.91,153.03,146.23,152.91,9258.259
