time,open,high,low,close,volume
1775131200000,70.58,71.89,69.86,70.79,1030.02
1775145600000,70.79,71.58,70.14,71.52,823.06
1775160000000,71.52,71.58,71.52,71.58,8.48
1775174400000,71.58,71.58,71.58,71.58,0.0
1775188800000,71.58,71.58,71.58,71.58,0.0
1775203200000,71.58,71.58,71.58,71.58,0.0
1775217600000,71.58,71.58,71.58,71.58,0.0
1775232000000,71.58,71.58,71.58,71.58,0.0
1775246400000,71.58,71.58,71.58,71.58,0.0
1775260800000,71.58,71.58,71.58,71.58,0.0
1775275200000,71.58,71.58,71.58,71.58,0.0
1775289600000,71.58,71.58,71.58,71.58,0.0
1775304000000,71.58,71.58,71.58,71.58,0.0
1775318400000,71.58,71.58,71.58,71.58,0.0
1775332800000,71.58,71.58,71.58,71.58,0.0
1775347200000,71.58,71.58,71.58,71.58,0.0
1775361600000,71.58,71.58,71.58,71.58,0.0
1775376000000,71.58,71.58,71.58,71.58,0.0
1775390400000,71.58,71.58,71.58,71.58,0.0
1775404800000,71.58,71.58,71.58,71.58,0.0
1775419200000,71.58,71.58,71.58,71.58,0.0
1775433600000,71.58,71.58,71.58,71.58,0.0
1775448000000,71.58,71.58,71.58,71.58,0.0
1775462400000,71.58,71.58,71.58,71.58,0.0
1775476800000,71.58,71.78,69.08,69.99,1106.23
1775491200000,69.99,71.28,69.86,70.88,677.77
1775505600000,70.88,70.92,70.88,70.92,17.94
1775520000000,70.92,70.92,70.92,70.92,0.0
1775534400000,70.92,70.92,70.92,70.92,0.0
1775548800000,70.92,70.92,70.92,70.92,0.0
1775563200000,70.92,73.21,70.92,72.1,1307.17
1775577600000,72.1,73.09,72.06,72.92,929.25
1775592000000,72.92,72.92,72.92,72.92,0.0
1775606400000,72.92,72.92,72.92,72.92,0.0
1775620800000,72.92,72.92,72.92,72.92,0.0
1775635200000,72.92,72.92,72.92,72.92,0.0
1775649600000,72.92,72.92,68.31,72.02,1373.23
1775664000000,72.02,72.22,71.05,71.78,713.13
1775678400000,71.78,71.78,71.78,71.78,0.0
1775692800000,71.78,71.78,71.78,71.78,0.0
1775707200000,71.78,71.78,71.78,71.78,0.0
1775721600000,71.78,71.78,71.78,71.78,0.0
1775736000000,71.78,75.53,71.78,73.88,1419.23
1775750400000,73.88,74.57,73.26,73.28,1229.9
1775764800000,73.28,73.28,73.28,73.28,0.0
1775779200000,73.28,73.28,73.28,73.28,0.0
1775793600000,73.28,73.28,73.28,73.28,0.0
1775808000000,73.28,73.28,73.28,73.28,0.0
1775822400000,73.28,74.98,73.1,73.1,1217.57
1775836800000,73.1,73.57,72.89,73.05,1017.86
1775851200000,73.05,73.05,73.05,73.05,0.0
1775865600000,73.05,73.05,73.05,73.05,0.0
1775880000000,73.05,73.05,73.05,73.05,0.0
1775894400000,73.05,73.05,73.05,73.05,0.0
1775908800000,73.05,73.05,73.05,73.05,0.0
1775923200000,73.05,73.05,73.05,73.05,0.0
1775937600000,73.05,73.05,73.05,73.05,0.0
1775952000000,73.05,73.05,73.05,73.05,0.0
1775966400000,73.05,73.05,73.05,73.05,0.0
1775980800000,73.05,73.05,73.05,73.05,0.0
1775995200000,73.05,73.05,73.05,73.05,0.0
1776009600000,73.05,73.05,73.05,73.05,0.0
1776024000000,73.05,73.05,73.05,73.05,0.0
1776038400000,73.05,73.05,73.05,73.05,0.0
1776052800000,73.05,73.05,73.05,73.05,0.0
1776067200000,73.05,73.05,73.05,73.05,0.0
1776081600000,73.05,73.99,72.57,73.69,793.2
1776096000000,73.69,74.47,72.86,73.32,1117.27
