time,open,high,low,close,volume
1644105600000,1.1256,1.144,1.1209,1.1285,1576000.41
1644120000000,1.1286,1.1307,1.1118,1.1272,1146193.52
1644134400000,1.1274,1.134,1.1162,1.1184,1176929.9
1644148800000,1.1182,1.1363,1.098,1.1129,2368259.01
1644163200000,1.1128,1.1237,1.1111,1.1213,1252589.41
1644177600000,1.1213,1.1497,1.1176,1.1431,2128499.65
1644192000000,1.1431,1.1745,1.1262,1.161,3648290.3
1644206400000,1.1612,1.1665,1.1508,1.1645,3363503.6
1644220800000,1.1651,1.1949,1.1599,1.1804,4971599.36
1644235200000,1.1805,1.2078,1.1751,1.2041,4753887.46
1644249600000,1.2041,1.2078,1.1747,1.1858,5019694.4
1644264000000,1.1858,1.2069,1.1807,1.1978,2457091.88
1644278400000,1.1984,1.2527,1.1846,1.2404,6025789.0
1644292800000,1.2404,1.2623,1.2141,1.232,6093079.3
1644307200000,1.2319,1.2364,1.1683,1.1994,5799905.76
1644321600000,1.1989,1.1989,1.1534,1.1667,4658728.14
1644336000000,1.1671,1.1716,1.1334,1.1415,3479944.34
1644350400000,1.141,1.1823,1.1392,1.1757,2880527.26
1644364800000,1.1751,1.185,1.1524,1.1537,2423332.95
1644379200000,1.1541,1.1889,1.1538,1.1869,2620622.04
1644393600000,1.1866,1.196,1.1717,1.194,1815188.64
1644408000000,1.1936,1.2142,1.1909,1.1946,3646214.34
1644422400000,1.1946,1.2119,1.1876,1.2074,2809618.09
1644436800000,1.2074,1.2117,1.1916,1.1944,1823827.42
1644451200000,1.1938,1.1945,1.1673,1.1757,2245151.73
1644465600000,1.1762,1.1883,1.1702,1.1862,1328242.0
1644480000000,1.1859,1.2233,1.1812,1.2086,2684397.28
1644494400000,1.2089,1.2137,1.1476,1.1914,7485927.1
1644508800000,1.1917,1.2053,1.1674,1.1678,2932278.34
1644523200000,1.1687,1.1727,1.1445,1.1499,2496428.2
1644537600000,1.1501,1.151,1.1222,1.1422,3815571.62
1644552000000,1.1421,1.1589,1.1347,1.1574,1589765.72
1644566400000,1.1572,1.1625,1.1404,1.1518,1613430.16
1644580800000,1.1519,1.1627,1.1495,1.1568,1814067.52
1644595200000,1.1569,1.1602,1.1061,1.1129,3084870.64
1644609600000,1.1129,1.1156,1.0681,1.08,3177255.06
1644624000000,1.08,1.0918,1.0653,1.0828,1777647.32
1644638400000,1.0827,1.0876,1.0471,1.0619,1765871.85
1644652800000,1.0619,1.0779,1.0515,1.0723,1945852.14
1644667200000,1.0723,1.0798,1.0296,1.05,5123494.7
1644681600000,1.0499,1.0797,1.0471,1.0664,3439927.39
1644696000000,1.0669,1.077,1.044,1.0581,2177592.38
1644710400000,1.0583,1.0715,1.0519,1.056,1184442.74
1644724800000,1.0564,1.0617,1.0434,1.056,1907177.68
1644739200000,1.056,1.0721,1.0521,1.0642,1491342.55
1644753600000,1.0642,1.0754,1.0573,1.0578,3089919.84
1644768000000,1.0583,1.0589,1.033,1.0377,2941626.75
1644782400000,1.0387,1.0528,1.0345,1.0424,1955938.84
1644796800000,1.0422,1.045,1.0183,1.0325,4541495.4
1644811200000,1.032,1.0383,1.0235,1.0383,3487904.9
1644825600000,1.038,1.0419,1.0219,1.0304,2495012.84
1644840000000,1.0313,1.0539,1.026,1.0436,2494500.46
1644854400000,1.0434,1.0534,1.025,1.0299,2168390.92
1644868800000,1.0303,1.0533,1.027,1.0494,2739287.73
1644883200000,1.0495,1.0831,1.0493,1.0787,2335934.61
1644897600000,1.079,1.0816,1.0623,1.0707,1524567.38
1644912000000,1.0707,1.0963,1.0694,1.0881,3106155.9
1644926400000,1.088,1.1133,1.0794,1.1015,3697182.55
1644940800000,1.1015,1.1049,1.0854,1.0869,2327199.7
1644955200000,1.087,1.1141,1.0867,1.1079,1297024.39
1644969600000,1.108,1.1085,1.0936,1.0972,1229534.46
1644984000000,1.0977,1.103,1.0796,1.1022,2017347.4
1644998400000,1.1026,1.1111,1.0869,1.0934,1626506.76
1645012800000,1.093,1.0957,1.0665,1.0742,2435239.96
