time,open,high,low,close,volume
1782216000000,407.41,418.95,399.52,403.69,217.2
1782230400000,403.69,408.88,395.14,399.89,166.17
1782244800000,399.89,403.8,398.95,401.56,107.49
1782259200000,401.56,412.02,401.02,404.29,116.37
1782273600000,404.29,409.55,399.37,407.35,116.49
1782288000000,407.35,411.1,403.49,406.64,105.65
1782302400000,406.64,420.75,396.81,404.89,156.08
1782316800000,404.89,405.56,386.67,399.24,134.84
1782331200000,399.24,419.73,399.2,419.72,133.99
1782345600000,419.72,420.32,412.1,415.96,138.24
1782360000000,415.96,421.84,413.05,421.78,144.31
1782374400000,421.78,422.14,413.0,415.93,145.22
1782388800000,415.93,426.03,391.16,408.31,256.28
1782403200000,408.31,414.78,388.14,399.32,228.63
1782417600000,399.32,402.11,393.81,395.0,151.66
1782432000000,395.0,397.64,378.33,383.16,170.53
1782446400000,383.16,389.6,381.45,389.12,149.22
1782460800000,389.12,389.68,382.56,383.98,146.0
1782475200000,383.98,388.0,372.31,380.49,283.96
1782489600000,380.49,396.33,378.22,392.71,194.12
1782504000000,392.71,393.96,388.81,390.99,136.58
1782518400000,390.99,391.72,388.7,389.53,128.92
1782532800000,389.53,390.6,388.43,388.98,111.68
1782547200000,388.98,390.91,387.57,390.25,119.11
1782561600000,390.25,391.71,388.79,389.44,125.08
1782576000000,389.44,391.22,387.98,388.38,116.88
1782590400000,388.38,391.77,387.86,390.57,105.18
1782604800000,390.57,390.95,388.22,389.4,103.68
1782619200000,389.4,392.45,389.39,390.52,108.49
1782633600000,390.52,392.06,389.08,391.03,105.39
1782648000000,391.03,391.41,386.45,386.9,107.51
1782662400000,386.9,386.95,385.19,386.67,117.12
1782676800000,386.67,389.2,385.72,388.76,114.5
1782691200000,388.76,397.16,381.9,394.62,136.37
1782705600000,394.62,401.32,390.77,400.94,113.78
1782720000000,400.94,403.89,395.85,398.8,114.41
1782734400000,398.8,434.95,382.23,433.88,234.26
1782748800000,433.88,456.08,433.75,456.06,184.55
1782763200000,456.06,456.36,450.98,453.79,155.25
1782777600000,453.79,458.14,445.53,455.85,181.89
