time,open,high,low,close,volume
1642435200000,1.3608,1.3699,1.3383,1.3644,1709547.67
1642449600000,1.3644,1.3703,1.339,1.3412,1674551.64
1642464000000,1.3412,1.3612,1.3318,1.3361,1739836.83
1642478400000,1.3377,1.3544,1.3214,1.3428,1169485.33
1642492800000,1.3408,1.3423,1.3021,1.3275,1790765.58
1642507200000,1.3278,1.3314,1.2778,1.2909,1952045.11
1642521600000,1.2907,1.3067,1.2875,1.2999,948733.94
1642536000000,1.2997,1.3321,1.2867,1.3174,969242.89
1642550400000,1.3186,1.3221,1.284,1.2925,1226602.71
1642564800000,1.2943,1.3014,1.2367,1.2442,1813453.74
1642579200000,1.2453,1.2771,1.2262,1.2763,1978115.32
1642593600000,1.2766,1.3069,1.2693,1.2904,1147394.77
1642608000000,1.2894,1.2999,1.2747,1.2971,794112.67
1642622400000,1.2951,1.2952,1.2577,1.2656,884648.4
1642636800000,1.2655,1.273,1.2295,1.2602,1416091.84
1642651200000,1.2603,1.2839,1.258,1.2836,420038.9
1642665600000,1.2833,1.2954,1.2766,1.2923,652364.99
1642680000000,1.289,1.3272,1.2769,1.3203,1066972.36
1642694400000,1.3212,1.3231,1.2868,1.2871,1058387.76
1642708800000,1.2886,1.2891,1.155,1.1638,2641018.69
1642723200000,1.1608,1.1964,1.0909,1.1063,2973534.45
1642737600000,1.1073,1.1337,1.1073,1.1255,1861459.97
1642752000000,1.1258,1.1391,1.1148,1.1214,1625479.12
1642766400000,1.1217,1.1801,1.0569,1.164,4352672.59
1642780800000,1.1657,1.1715,1.1253,1.1253,3263366.81
1642795200000,1.1268,1.139,0.9992,1.0313,5443401.05
1642809600000,1.0292,1.0615,1.0043,1.0126,1708866.68
1642824000000,1.0136,1.0189,0.8785,0.879,5931266.5
1642838400000,0.879,0.9115,0.7982,0.882,11298599.5
1642852800000,0.8816,0.937,0.88,0.8835,3313712.16
1642867200000,0.8831,0.9373,0.8717,0.9079,6207707.1
1642881600000,0.9081,0.961,0.9008,0.9518,4923240.9
1642896000000,0.9512,0.9825,0.9396,0.9554,1675980.95
1642910400000,0.9552,0.9879,0.9471,0.9843,1632684.22
1642924800000,0.9838,1.0059,0.9718,0.9769,2123680.02
1642939200000,0.9758,0.9994,0.9393,0.9536,2420761.97
1642953600000,0.9539,0.9696,0.9254,0.93,2213011.81
1642968000000,0.9297,0.9998,0.9265,0.9911,2643725.86
1642982400000,0.9886,0.9886,0.9412,0.9484,1536116.92
1642996800000,0.9507,0.9539,0.8924,0.8951,1506569.13
1643011200000,0.8938,0.9087,0.829,0.8462,5044137.5
1643025600000,0.8461,0.8858,0.8177,0.8754,4688540.26
1643040000000,0.877,0.9203,0.8499,0.9048,4694381.53
1643054400000,0.9047,0.9402,0.9016,0.9126,2134165.3
1643068800000,0.9124,0.9182,0.8939,0.9125,722654.13
1643083200000,0.9121,0.9153,0.8677,0.8773,1166557.43
1643097600000,0.8761,0.9099,0.8755,0.8893,1311452.12
1643112000000,0.8899,0.9093,0.8699,0.8866,2283817.0
1643126400000,0.8866,0.948,0.8856,0.9197,2114095.09
1643140800000,0.9201,0.9367,0.8908,0.9221,1392109.83
1643155200000,0.9223,0.9379,0.9053,0.9365,2029120.8
1643169600000,0.9362,0.9509,0.9211,0.9281,991163.9
1643184000000,0.9285,0.9525,0.9285,0.9481,1774204.33
1643198400000,0.948,0.987,0.9414,0.9645,1747959.92
1643212800000,0.9638,0.9936,0.9247,0.9548,4667462.47
1643227200000,0.9538,0.9538,0.8928,0.9226,1850815.82
1643241600000,0.9222,0.9339,0.8778,0.8863,1921312.17
1643256000000,0.8831,0.9061,0.8817,0.8998,1308671.65
1643270400000,0.899,0.92,0.8903,0.9193,1604053.81
1643284800000,0.9203,0.9498,0.9155,0.9368,2151674.41
1643299200000,0.9363,0.9567,0.913,0.9173,1553417.03
1643313600000,0.9184,0.9404,0.8835,0.9371,3286246.8
1643328000000,0.9366,0.9528,0.9207,0.9399,2578828.1
1643342400000,0.9421,0.9688,0.938,0.9428,2434580.64
