time,open,high,low,close,volume
1780992000000,503.68,503.83,502.53,503.53,5.43
1781006400000,503.53,525.91,483.45,483.94,264.0
1781020800000,483.94,500.1,467.24,499.2,211.25
1781035200000,499.2,502.86,496.87,499.19,171.37
1781049600000,499.19,504.71,496.0,496.48,130.58
1781064000000,496.48,497.35,491.13,493.14,130.13
1781078400000,493.14,497.15,481.72,488.98,140.38
1781092800000,488.98,534.85,488.18,505.36,252.88
1781107200000,505.36,508.63,495.49,497.39,192.66
1781121600000,497.39,499.27,487.64,492.81,147.97
1781136000000,492.81,509.83,492.71,506.79,188.0
1781150400000,506.79,515.21,505.72,514.32,152.59
1781164800000,514.32,522.37,514.32,521.2,141.69
1781179200000,521.2,538.6,511.46,531.37,359.73
1781193600000,531.37,557.36,524.19,553.0,206.82
1781208000000,553.0,558.67,548.0,558.25,164.44
1781222400000,558.25,558.58,553.47,554.19,145.87
1781236800000,554.19,554.79,539.93,548.0,253.65
1781251200000,548.0,555.2,545.43,550.51,160.42
1781265600000,550.51,566.32,540.71,557.78,217.51
1781280000000,557.78,570.01,557.23,567.62,144.95
1781294400000,567.62,571.67,566.82,571.49,116.42
1781308800000,571.49,575.82,571.14,572.79,125.29
1781323200000,572.79,585.16,572.24,584.49,130.35
1781337600000,584.49,585.41,578.66,581.13,120.81
1781352000000,581.13,582.75,571.15,575.04,145.05
1781366400000,575.04,581.49,573.6,573.71,105.06
1781380800000,573.71,576.51,572.13,574.73,103.25
1781395200000,574.73,585.75,572.33,583.66,104.06
1781409600000,583.66,583.67,577.74,582.35,116.74
1781424000000,582.35,588.53,581.25,585.92,107.0
1781438400000,585.92,586.68,581.47,584.48,104.76
1781452800000,584.48,588.0,583.39,585.27,102.12
1781467200000,585.27,593.85,584.98,584.98,117.65
1781481600000,584.98,596.91,581.17,586.27,113.81
1781496000000,586.27,592.56,584.89,589.51,107.45
1781510400000,589.51,598.26,588.25,595.92,105.65
1781524800000,595.92,598.35,581.19,595.24,124.89
1781539200000,595.24,596.23,584.75,586.4,133.04
1781553600000,586.4,588.52,585.29,588.36,104.15
