time,open,high,low,close,volume
1766736000000,215.67,215.97,215.39,215.97,37.18
1766750400000,215.97,216.71,213.09,215.55,167.59
1766764800000,215.55,215.98,214.63,214.83,112.53
1766779200000,214.83,215.19,214.44,215.07,52.5
1766793600000,215.07,215.09,214.84,214.85,5.91
1766808000000,214.85,214.85,214.85,214.85,0.0
1766822400000,214.85,214.85,214.85,214.85,0.0
1766836800000,214.85,214.85,214.85,214.85,0.0
1766851200000,214.85,214.85,214.85,214.85,0.0
1766865600000,214.85,214.85,214.85,214.85,0.0
1766880000000,214.85,214.85,214.85,214.85,0.0
1766894400000,214.85,214.85,214.85,214.85,0.0
1766908800000,214.85,214.85,214.85,214.85,0.0
1766923200000,214.85,214.85,214.85,214.85,0.0
1766937600000,214.85,214.85,214.85,214.85,0.0
1766952000000,214.85,214.85,214.85,214.85,0.0
1766966400000,214.85,215.76,214.21,214.88,91.03
1766980800000,214.88,214.94,213.7,213.8,50.48
1766995200000,213.8,213.81,212.61,212.89,76.28
1767009600000,212.89,215.28,209.44,213.41,212.12
1767024000000,213.41,216.01,212.83,215.76,128.29
1767038400000,215.76,215.89,215.19,215.37,57.36
1767052800000,215.37,215.42,214.96,215.31,40.6
1767067200000,215.31,215.87,214.91,215.08,145.46
1767081600000,215.08,215.95,215.08,215.95,52.38
1767096000000,215.95,216.5,214.6,215.83,296.83
1767110400000,215.83,216.76,214.53,214.57,103.45
1767124800000,214.57,215.54,214.36,215.01,60.11
1767139200000,215.01,215.05,214.56,214.6,37.67
1767153600000,214.6,214.74,214.07,214.36,43.72
1767168000000,214.36,214.37,213.77,214.02,40.74
1767182400000,214.02,217.47,214.02,215.1,223.24
1767196800000,215.1,217.02,214.77,215.14,126.42
1767211200000,215.14,215.29,213.97,214.0,72.46
1767225600000,214.0,214.15,213.99,214.12,7.09
1767240000000,214.12,214.12,214.12,214.12,0.0
1767254400000,214.12,214.12,214.12,214.12,0.0
1767268800000,214.12,214.12,214.12,214.12,0.0
1767283200000,214.12,214.12,214.12,214.12,0.0
1767297600000,214.12,214.12,214.12,214.12,0.0
1767312000000,214.12,216.09,214.12,216.09,36.67
1767326400000,216.09,216.45,216.0,216.45,45.6
1767340800000,216.45,218.33,216.45,217.69,76.28
1767355200000,217.69,227.04,217.56,220.61,284.81
1767369600000,220.61,223.44,219.44,222.93,460.05
1767384000000,222.93,225.35,222.93,223.87,84.08
1767398400000,223.87,224.25,223.79,224.24,7.39
1767412800000,224.24,224.24,224.24,224.24,0.0
1767427200000,224.24,224.24,224.24,224.24,0.0
1767441600000,224.24,224.24,224.24,224.24,0.0
1767456000000,224.24,224.24,224.24,224.24,0.0
1767470400000,224.24,224.24,224.24,224.24,0.0
1767484800000,224.24,224.24,224.24,224.24,0.0
1767499200000,224.24,224.24,224.24,224.24,0.0
1767513600000,224.24,224.24,224.24,224.24,0.0
1767528000000,224.24,224.24,224.24,224.24,0.0
1767542400000,224.24,224.24,224.24,224.24,0.0
1767556800000,224.24,224.24,224.24,224.24,0.0
1767571200000,224.24,226.92,224.24,226.52,77.19
1767585600000,226.52,229.13,226.52,227.52,207.47
1767600000000,227.52,230.41,227.37,229.79,207.32
1767614400000,229.79,233.79,223.99,225.18,392.6
1767628800000,225.18,225.47,220.64,220.99,260.31
1767643200000,220.99,222.36,220.53,221.58,160.94
1767657600000,221.58,223.58,221.32,222.02,116.54
1767672000000,222.02,223.39,221.76,222.57,85.3
1767686400000,222.57,222.71,220.86,222.53,96.39
1767700800000,222.53,223.77,212.01,212.18,389.6
1767715200000,212.18,214.47,211.37,213.75,303.47
1767729600000,213.75,214.8,213.25,214.19,104.77
1767744000000,214.19,214.3,213.42,213.74,84.1
1767758400000,213.74,213.74,213.15,213.34,147.56
1767772800000,213.34,214.06,212.53,213.18,88.25
1767787200000,213.18,213.8,207.39,210.36,472.93
1767801600000,210.36,211.17,208.86,209.79,311.38
1767816000000,209.79,210.2,209.26,209.29,97.32
1767830400000,209.29,209.74,208.56,208.78,69.99
1767844800000,208.78,210.11,207.41,209.38,105.32
1767859200000,209.38,210.58,209.09,210.16,124.67
1767873600000,210.16,211.5,204.91,205.65,357.2
1767888000000,205.65,205.66,203.36,204.01,292.88
1767902400000,204.01,205.05,203.88,204.6,88.66
1767916800000,204.6,204.83,203.86,204.65,96.91
1767931200000,204.65,204.79,204.14,204.45,56.74
1767945600000,204.45,206.13,204.29,205.75,103.29
1767960000000,205.75,206.75,203.2,206.21,389.87
1767974400000,206.21,207.22,204.34,204.57,232.7
1767988800000,204.57,204.83,202.94,203.44,83.68
1768003200000,203.44,203.56,203.42,203.49,15.65
1768017600000,203.49,203.49,203.49,203.49,0.0
1768032000000,203.49,203.49,203.49,203.49,0.0
1768046400000,203.49,203.49,203.49,203.49,0.0
1768060800000,203.49,203.49,203.49,203.49,0.0
1768075200000,203.49,203.49,203.49,203.49,0.0
1768089600000,203.49,203.49,203.49,203.49,0.0
1768104000000,203.49,203.49,203.49,203.49,0.0
1768118400000,203.49,203.49,203.49,203.49,0.0
1768132800000,203.49,203.49,203.49,203.49,0.0
1768147200000,203.49,203.49,203.49,203.49,0.0
1768161600000,203.49,203.49,203.49,203.49,0.0
1768176000000,203.49,203.49,201.01,201.19,141.13
1768190400000,201.19,201.38,200.19,201.2,153.26
1768204800000,201.2,201.45,200.13,200.89,140.83
1768219200000,200.89,209.12,199.92,207.61,540.74
1768233600000,207.61,209.86,207.31,208.9,215.77
1768248000000,208.9,209.04,207.26,207.3,101.13
1768262400000,207.3,208.02,206.97,208.02,87.9
1768276800000,208.02,210.24,207.63,210.15,102.24
1768291200000,210.15,211.72,210.04,211.66,151.13
1768305600000,211.66,222.09,211.56,219.2,1004.33
1768320000000,219.2,223.06,217.99,222.17,696.92
1768334400000,222.17,222.97,220.78,221.11,250.56
1768348800000,221.11,222.12,220.71,222.05,202.14
1768363200000,222.05,222.08,220.37,220.59,90.57
1768377600000,220.59,220.66,217.7,218.34,332.6
1768392000000,218.34,223.75,215.29,220.02,560.94
1768406400000,220.02,223.98,219.83,220.74,327.27
1768420800000,220.74,223.81,220.29,223.19,197.26
1768435200000,223.19,223.41,222.27,222.27,112.02
1768449600000,222.27,225.35,222.27,224.58,130.09
1768464000000,224.58,228.87,224.43,228.51,204.74
1768478400000,228.51,237.96,227.28,236.96,806.26
1768492800000,236.96,238.31,231.98,232.76,1450.05
1768507200000,232.76,232.76,227.31,230.82,171.01
1768521600000,230.82,232.37,230.57,231.73,121.46
1768536000000,231.73,232.66,231.73,232.56,51.01
1768550400000,232.56,235.71,232.26,234.54,122.31
1768564800000,234.54,234.54,229.13,233.08,400.73
1768579200000,233.08,234.44,230.64,232.11,262.51
1768593600000,232.11,232.93,231.33,231.83,75.1
1768608000000,231.83,231.91,231.64,231.77,9.33
1768622400000,231.77,231.77,231.77,231.77,0.0
1768636800000,231.77,231.77,231.77,231.77,0.0
1768651200000,231.77,231.77,231.77,231.77,0.0
1768665600000,231.77,231.77,231.77,231.77,0.0
1768680000000,231.77,231.77,231.77,231.77,0.0
1768694400000,231.77,231.77,231.77,231.77,0.0
1768708800000,231.77,231.77,231.77,231.77,0.0
1768723200000,231.77,231.77,231.77,231.77,0.0
1768737600000,231.77,231.77,231.77,231.77,0.0
1768752000000,231.77,231.77,231.77,231.77,0.0
1768766400000,231.77,231.77,231.77,231.77,0.0
1768780800000,231.77,231.77,231.77,231.77,0.0
1768795200000,231.77,231.77,231.77,231.77,0.0
1768809600000,231.77,231.77,231.77,231.77,0.0
