time,open,high,low,close,volume
1766721600000,232.12,232.54,231.78,231.92,80.9
1766736000000,231.92,232.34,231.76,232.2,78.08
1766750400000,232.2,232.91,231.29,232.5,511.85
1766764800000,232.5,232.96,232.12,232.86,88.79
1766779200000,232.86,232.92,232.46,232.49,98.08
1766793600000,232.49,232.51,232.46,232.49,22.78
1766808000000,232.49,232.49,232.49,232.49,0.0
1766822400000,232.49,232.49,232.49,232.49,0.0
1766836800000,232.49,232.49,232.49,232.49,0.0
1766851200000,232.49,232.49,232.49,232.49,0.0
1766865600000,232.49,232.49,232.49,232.49,0.0
1766880000000,232.49,232.49,232.49,232.49,0.0
1766894400000,232.49,232.49,232.49,232.49,0.0
1766908800000,232.49,232.49,232.49,232.49,0.0
1766923200000,232.49,232.49,232.49,232.49,0.0
1766937600000,232.49,232.49,232.49,232.49,0.0
1766952000000,232.49,232.49,232.49,232.49,0.0
1766966400000,232.49,233.04,232.15,232.43,68.5
1766980800000,232.43,232.64,231.69,231.99,83.03
1766995200000,231.99,232.43,231.52,232.36,146.26
1767009600000,232.36,232.82,230.91,231.71,447.44
1767024000000,231.71,232.33,231.07,232.25,204.92
1767038400000,232.25,232.43,231.6,231.78,158.57
1767052800000,231.78,231.98,231.64,231.97,123.52
1767067200000,231.97,232.14,231.63,231.75,113.65
1767081600000,231.75,232.16,231.6,231.95,136.49
1767096000000,231.95,232.34,230.26,231.3,258.4
1767110400000,231.3,232.03,231.09,231.51,188.35
1767124800000,231.51,233.13,231.27,232.44,192.92
1767139200000,232.44,232.47,231.93,231.93,132.51
1767153600000,231.93,232.26,231.67,231.82,124.98
1767168000000,231.82,232.25,231.05,232.14,148.87
1767182400000,232.14,232.98,230.91,230.98,314.82
1767196800000,230.98,232.2,230.75,231.22,193.94
1767211200000,231.22,231.23,230.7,230.85,190.86
1767225600000,230.85,230.91,230.85,230.87,26.77
1767240000000,230.87,230.87,230.87,230.87,0.0
1767254400000,230.87,230.87,230.87,230.87,0.0
1767268800000,230.87,230.87,230.87,230.87,0.0
1767283200000,230.87,230.87,230.87,230.87,0.0
1767297600000,230.87,230.87,230.87,230.87,0.0
1767312000000,230.87,232.37,230.87,232.31,132.97
1767326400000,232.31,232.67,232.23,232.35,130.62
1767340800000,232.35,233.44,232.35,232.87,207.55
1767355200000,232.87,235.41,225.56,225.7,1094.56
1767369600000,225.7,226.86,224.73,226.36,482.54
1767384000000,226.36,226.73,226.01,226.7,177.22
1767398400000,226.7,226.71,226.61,226.64,29.53
1767412800000,226.64,226.64,226.64,226.64,0.0
1767427200000,226.64,226.64,226.64,226.64,0.0
1767441600000,226.64,226.64,226.64,226.64,0.0
1767456000000,226.64,226.64,226.64,226.64,0.0
1767470400000,226.64,226.64,226.64,226.64,0.0
1767484800000,226.64,226.64,226.64,226.64,0.0
1767499200000,226.64,226.64,226.64,226.64,0.0
1767513600000,226.64,226.64,226.64,226.64,0.0
1767528000000,226.64,226.64,226.64,226.64,0.0
1767542400000,226.64,226.64,226.64,226.64,0.0
1767556800000,226.64,226.64,226.64,226.64,0.0
1767571200000,226.64,227.31,226.31,226.54,162.28
1767585600000,226.54,227.0,226.39,226.87,154.13
1767600000000,226.87,227.64,226.68,227.44,176.0
1767614400000,227.44,233.47,227.06,231.87,557.77
1767628800000,231.87,233.98,231.38,232.77,341.97
1767643200000,232.77,233.16,232.38,232.88,182.25
1767657600000,232.88,233.35,232.76,233.22,136.75
1767672000000,233.22,233.85,233.22,233.64,135.43
1767686400000,233.64,233.66,232.37,232.79,209.03
1767700800000,232.79,238.61,231.86,238.13,515.92
1767715200000,238.13,243.13,237.51,241.6,524.59
1767729600000,241.6,241.81,240.62,241.16,227.39
1767744000000,241.16,241.48,240.39,240.46,174.1
1767758400000,240.46,240.77,240.2,240.43,165.48
1767772800000,240.43,240.47,239.61,240.19,174.99
1767787200000,240.19,244.25,239.56,244.23,468.92
1767801600000,244.23,245.26,242.52,242.53,385.64
1767816000000,242.53,242.72,241.41,241.46,207.95
1767830400000,241.46,241.89,240.54,240.7,188.09
1767844800000,240.7,240.85,239.5,240.54,189.77
1767859200000,240.54,243.23,240.5,242.47,216.76
1767873600000,242.47,245.15,241.97,245.1,594.98
1767888000000,245.1,246.27,244.13,246.03,373.48
1767902400000,246.03,246.44,245.4,245.99,188.92
1767916800000,245.99,246.13,245.31,245.6,155.61
1767931200000,245.6,245.77,245.47,245.7,129.66
1767945600000,245.7,246.24,245.32,245.41,155.83
1767960000000,245.41,246.31,242.34,245.84,496.2
1767974400000,245.84,246.99,245.44,246.99,278.01
1767988800000,246.99,247.69,246.8,247.45,156.01
1768003200000,247.45,247.52,247.45,247.52,26.14
1768017600000,247.52,247.52,247.52,247.52,0.0
1768032000000,247.52,247.52,247.52,247.52,0.0
1768046400000,247.52,247.52,247.52,247.52,0.0
1768060800000,247.52,247.52,247.52,247.52,0.0
1768075200000,247.52,247.52,247.52,247.52,0.0
1768089600000,247.52,247.52,247.52,247.52,0.0
1768104000000,247.52,247.52,247.52,247.52,0.0
1768118400000,247.52,247.52,247.52,247.52,0.0
1768132800000,247.52,247.52,247.52,247.52,0.0
1768147200000,247.52,247.52,247.52,247.52,0.0
1768161600000,247.52,247.52,247.52,247.52,0.0
1768176000000,247.52,247.96,244.79,245.08,207.93
1768190400000,245.08,245.28,244.39,245.22,142.4
1768204800000,245.22,245.64,244.27,245.55,201.37
1768219200000,245.55,248.43,245.32,247.55,428.18
1768233600000,247.55,248.92,247.38,248.33,281.55
1768248000000,248.33,248.37,245.44,245.77,235.28
1768262400000,245.77,245.8,244.86,245.52,187.19
1768276800000,245.52,246.18,245.42,246.12,145.69
1768291200000,246.12,246.28,245.4,245.97,160.92
1768305600000,245.97,247.62,242.8,244.2,468.14
1768320000000,244.2,245.49,240.27,242.18,501.73
1768334400000,242.18,242.99,241.49,242.64,194.06
1768348800000,242.64,242.81,242.13,242.52,149.83
1768363200000,242.52,242.52,241.43,241.9,153.51
1768377600000,241.9,242.19,240.67,240.81,162.68
1768392000000,240.81,242.53,237.28,237.62,675.74
