time,open,high,low,close,volume
1666137600000,8.973,9.313,6.601,6.813,2318902.76
1666152000000,6.812,8.232,6.752,7.519,4622706.54
1666166400000,7.518,8.449,7.332,7.85,3733618.25
1666180800000,7.85,7.911,7.496,7.827,5394048.65
1666195200000,7.826,7.847,6.976,7.035,3070334.39
1666209600000,7.038,7.377,6.798,7.319,2251548.6
1666224000000,7.321,7.6,6.909,7.513,2099893.54
1666238400000,7.513,7.745,7.347,7.505,1210347.81
1666252800000,7.505,7.664,7.325,7.487,871102.11
1666267200000,7.487,7.501,7.183,7.277,1048653.74
1666281600000,7.275,7.275,6.994,7.266,904721.22
1666296000000,7.265,7.443,7.233,7.366,910774.36
1666310400000,7.366,7.701,7.183,7.577,982513.74
1666324800000,7.577,7.64,7.422,7.428,855723.05
1666339200000,7.429,7.478,7.038,7.072,562178.32
1666353600000,7.072,7.506,6.999,7.493,413227.58
1666368000000,7.493,7.577,7.318,7.487,826157.5
1666382400000,7.488,7.531,7.387,7.498,824167.39
1666396800000,7.499,7.697,7.36,7.48,633673.13
1666411200000,7.48,7.493,7.344,7.485,306820.25
1666425600000,7.487,8.503,7.458,8.226,1013704.49
1666440000000,8.225,8.853,8.026,8.722,1171279.84
1666454400000,8.72,9.3,8.588,8.772,1090807.65
1666468800000,8.771,9.208,8.738,8.948,660365.04
1666483200000,8.952,9.561,8.889,9.435,979164.35
1666497600000,9.435,10.171,9.297,10.086,1149739.58
1666512000000,10.088,10.278,9.509,9.655,892726.55
1666526400000,9.651,9.748,9.344,9.589,817628.09
1666540800000,9.592,9.704,9.035,9.675,897306.93
1666555200000,9.661,9.848,9.471,9.78,516084.49
1666569600000,9.781,9.907,9.308,9.463,615389.74
1666584000000,9.464,9.618,9.243,9.59,257827.37
1666598400000,9.591,9.705,9.406,9.502,295975.43
1666612800000,9.501,9.956,9.469,9.689,511000.55
1666627200000,9.694,9.758,9.473,9.643,343067.46
1666641600000,9.639,9.647,9.312,9.53,351883.01
1666656000000,9.532,9.562,9.118,9.268,427122.27
1666670400000,9.268,9.332,9.059,9.179,383738.56
1666684800000,9.177,9.302,9.076,9.217,357495.7
1666699200000,9.216,9.472,9.167,9.42,327423.09
1666713600000,9.425,9.464,8.653,8.803,543735.58
1666728000000,8.803,8.832,8.529,8.785,409060.95
1666742400000,8.784,8.891,8.608,8.848,300578.74
1666756800000,8.848,9.276,8.731,9.166,325500.36
1666771200000,9.168,9.208,8.807,8.905,331957.49
1666785600000,8.901,9.079,8.703,8.974,348374.95
1666800000000,8.976,9.114,8.778,8.839,290600.98
1666814400000,8.845,9.251,8.813,9.196,353518.75
1666828800000,9.195,9.485,9.1,9.149,332251.04
1666843200000,9.154,9.537,9.141,9.387,324066.44
1666857600000,9.381,9.624,9.16,9.24,322749.71
1666872000000,9.246,9.294,9.044,9.186,281657.64
1666886400000,9.187,9.236,9.03,9.185,256360.87
1666900800000,9.191,9.201,8.63,8.703,357552.27
1666915200000,8.703,8.819,8.08,8.193,432705.66
1666929600000,8.195,8.264,7.945,8.004,258689.73
1666944000000,8.006,8.147,7.976,8.053,87922.28
1666958400000,8.05,8.257,7.985,8.2,170692.06
1666972800000,8.194,8.426,8.151,8.323,306926.61
1666987200000,8.326,8.451,8.115,8.193,289157.07
1667001600000,8.183,8.364,8.059,8.299,352761.14
1667016000000,8.304,8.36,8.158,8.264,285427.48
1667030400000,8.266,8.36,8.109,8.147,301331.31
1667044800000,8.146,8.224,7.797,7.944,369508.02
1667059200000,7.949,8.186,7.603,7.821,406369.42
1667073600000,7.823,8.052,7.822,7.956,292258.27
1667088000000,7.962,8.36,7.96,8.123,406993.96
1667102400000,8.121,8.137,7.618,7.897,355868.51
1667116800000,7.894,7.923,7.756,7.857,317811.25
1667131200000,7.859,8.034,7.723,7.809,157718.75
1667145600000,7.806,7.892,7.67,7.811,329644.64
1667160000000,7.812,7.947,7.702,7.805,308089.27
1667174400000,7.803,8.039,7.727,7.92,320397.74
1667188800000,7.923,8.217,7.791,7.924,360258.16
1667203200000,7.92,8.058,7.814,7.99,412670.35
1667217600000,7.987,7.996,7.712,7.832,431529.39
1667232000000,7.835,7.877,7.705,7.792,398999.43
1667246400000,7.789,7.968,7.789,7.937,396553.86
1667260800000,7.936,8.08,7.819,7.975,430096.96
1667275200000,7.968,8.189,7.869,8.123,421726.88
1667289600000,8.122,8.259,7.966,8.014,456975.47
1667304000000,8.014,8.124,7.89,7.943,414794.38
1667318400000,7.938,8.308,7.938,8.137,422427.82
1667332800000,8.135,8.295,8.109,8.191,420615.33
1667347200000,8.191,8.207,7.99,8.015,84713.65
1667361600000,8.017,8.044,7.622,7.674,185319.02
1667376000000,7.673,7.737,7.171,7.292,256844.0
1667390400000,7.284,7.364,7.236,7.237,51331.81
1667404800000,7.236,7.453,7.142,7.312,567444.68
1667419200000,7.308,7.386,7.23,7.373,436859.14
1667433600000,7.368,7.538,7.339,7.472,427582.33
1667448000000,7.471,7.558,7.378,7.392,461705.8
1667462400000,7.394,7.474,7.208,7.276,337088.09
1667476800000,7.275,7.424,7.229,7.359,248633.58
1667491200000,7.36,7.395,7.302,7.39,230865.9
1667505600000,7.389,7.394,7.173,7.231,49025.16
1667520000000,7.231,7.324,7.162,7.313,42795.57
1667534400000,7.321,7.449,7.279,7.396,49677.69
1667548800000,7.396,7.434,7.273,7.29,39101.62
1667563200000,7.292,7.578,7.239,7.325,80139.21
1667577600000,7.324,7.476,7.27,7.471,411584.04
1667592000000,7.47,7.788,7.457,7.653,438252.77
1667606400000,7.654,7.865,7.52,7.728,432272.71
1667620800000,7.726,7.761,7.618,7.761,402585.68
1667635200000,7.757,7.761,7.533,7.699,425710.68
1667649600000,7.691,7.811,7.546,7.733,422309.34
1667664000000,7.746,7.998,7.706,7.8,194297.37
1667678400000,7.8,7.858,7.582,7.627,54629.27
1667692800000,7.622,7.851,7.534,7.676,54543.42
1667707200000,7.689,8.141,7.582,8.076,77368.74
1667721600000,8.083,8.229,7.907,7.945,136357.32
1667736000000,7.944,8.066,7.765,7.8,73437.77
1667750400000,7.8,7.833,7.599,7.66,397861.35
1667764800000,7.651,7.751,7.241,7.31,468685.25
1667779200000,7.318,7.447,7.269,7.328,434820.4
1667793600000,7.329,7.348,6.817,6.894,111350.33
1667808000000,6.892,7.121,6.892,7.121,43793.31
1667822400000,7.116,7.187,6.99,7.091,51272.39
1667836800000,7.091,7.23,7.016,7.188,430088.99
1667851200000,7.188,7.213,6.826,6.998,441228.7
1667865600000,6.999,7.02,6.023,6.229,605610.78
1667880000000,6.23,6.408,6.016,6.385,204567.3
1667894400000,6.387,6.39,6.168,6.187,30411.63
1667908800000,6.186,6.246,6.0,6.202,52984.13
1667923200000,6.206,6.676,4.522,5.215,827842.28
1667937600000,5.213,5.463,5.057,5.375,117566.24
1667952000000,5.374,5.387,4.901,5.012,95117.86
1667966400000,5.021,5.021,4.597,4.618,100870.89
1667980800000,4.611,4.623,4.132,4.594,352923.8
1667995200000,4.597,4.649,4.239,4.264,267944.27
1668009600000,4.259,4.424,3.69,4.01,1107387.77
1668024000000,4.016,4.044,3.472,3.961,483440.71
1668038400000,3.962,4.326,3.861,4.194,788409.6
1668052800000,4.185,4.468,4.149,4.3,382416.17
1668067200000,4.3,4.314,4.04,4.136,77622.46
1668081600000,4.138,5.483,4.136,5.255,284593.51
1668096000000,5.223,5.419,4.853,5.103,239755.62
1668110400000,5.09,5.241,4.999,5.155,176324.65
1668124800000,5.149,5.305,4.751,4.802,170496.01
1668139200000,4.796,5.196,4.732,5.148,153552.97
1668153600000,5.141,5.331,5.048,5.134,134706.52
1668168000000,5.137,5.301,4.503,4.709,171271.57
1668182400000,4.699,4.81,4.581,4.743,137560.96
1668196800000,4.737,5.205,4.692,5.178,177247.19
1668211200000,5.178,5.179,4.871,4.891,134589.26
1668225600000,4.899,4.941,4.471,4.679,152244.91
1668240000000,4.68,4.775,4.614,4.664,132102.19
1668254400000,4.667,4.733,4.578,4.658,127425.71
1668268800000,4.65,4.668,4.548,4.596,136277.01
1668283200000,4.598,4.603,4.442,4.548,132313.95
1668297600000,4.546,4.613,4.368,4.513,141727.36
1668312000000,4.529,4.582,4.238,4.295,144979.46
1668326400000,4.293,4.347,4.128,4.285,26954.43
1668340800000,4.288,4.356,4.223,4.277,56404.63
1668355200000,4.286,4.356,4.228,4.34,170387.45
1668369600000,4.337,4.346,4.166,4.218,148007.3
1668384000000,4.216,4.25,3.78,3.87,151490.11
1668398400000,3.875,4.495,3.78,4.469,58822.67
1668412800000,4.473,4.506,4.237,4.264,47923.71
1668427200000,4.259,4.434,4.072,4.154,35010.92
1668441600000,4.156,4.173,4.013,4.024,21859.87
1668456000000,4.023,4.203,4.013,4.193,27185.42
1668470400000,4.19,4.257,4.115,4.208,25915.9
1668484800000,4.212,4.708,4.158,4.613,73960.72
1668499200000,4.611,4.63,4.428,4.472,20585.43
1668513600000,4.471,4.62,4.286,4.322,24027.48
1668528000000,4.324,4.378,4.195,4.273,14049.48
1668542400000,4.281,4.362,4.26,4.337,14252.09
1668556800000,4.336,4.511,4.257,4.42,16497.26
1668571200000,4.423,4.459,4.376,4.378,10648.36
1668585600000,4.378,4.432,4.203,4.242,14584.37
1668600000000,4.243,4.33,4.17,4.272,32590.92
1668614400000,4.272,4.763,4.27,4.693,51847.0
1668628800000,4.688,4.916,4.474,4.498,51107.86
1668643200000,4.509,4.578,4.423,4.441,12195.17
1668657600000,4.44,4.577,4.356,4.564,23083.39
1668672000000,4.566,4.719,4.494,4.709,27206.16
1668686400000,4.708,4.837,4.536,4.564,30459.37
1668700800000,4.561,4.732,4.54,4.694,12089.51
1668715200000,4.697,4.775,4.622,4.658,13012.12
1668729600000,4.66,4.92,4.593,4.841,20083.24
1668744000000,4.838,4.855,4.731,4.748,11242.36
1668758400000,4.745,4.797,4.693,4.759,10543.54
