time,open,high,low,close,volume
1679572800000,1.4099,1.4238,1.3133,1.326,5586137.5
1679587200000,1.326,1.429,1.2148,1.429,45699249.0
1679601600000,1.429,1.4912,1.3117,1.3204,24106788.5
1679616000000,1.3204,1.4321,1.321,1.4002,33802236.5
1679630400000,1.4002,1.4919,1.3414,1.4842,34004718.0
1679644800000,1.4842,1.5651,1.4566,1.4905,39434058.5
1679659200000,1.4905,1.4894,1.3374,1.3784,20961498.1
1679673600000,1.3784,1.3785,1.2444,1.3046,26163030.3
1679688000000,1.3046,1.3049,1.1734,1.2733,22383010.8
1679702400000,1.2733,1.3141,1.2345,1.2588,14855444.7
1679716800000,1.2588,1.2678,1.1846,1.2342,5565865.8
1679731200000,1.2342,1.2648,1.1873,1.2415,6293588.4
1679745600000,1.2415,1.275,1.226,1.2542,5439823.5
1679760000000,1.2542,1.2823,1.1863,1.1887,5604200.5
1679774400000,1.1887,1.2304,1.1814,1.2183,4376178.5
1679788800000,1.2183,1.2368,1.203,1.223,4484706.1
1679803200000,1.223,1.2725,1.2052,1.2631,3361290.2
1679817600000,1.2631,1.3141,1.2625,1.2929,3438865.2
1679832000000,1.2929,1.346,1.2798,1.3032,3693349.4
1679846400000,1.3032,1.3082,1.2752,1.2854,2527308.9
1679860800000,1.2854,1.2934,1.2357,1.2813,2796878.1
1679875200000,1.2813,1.3251,1.2683,1.2877,2629032.3
1679889600000,1.2877,1.2944,1.2476,1.2575,2077817.3
1679904000000,1.2575,1.2767,1.2488,1.2609,2066142.8
1679918400000,1.2609,1.2644,1.1686,1.2059,3345834.4
1679932800000,1.2059,1.2271,1.1328,1.1515,2437493.1
1679947200000,1.1515,1.1658,1.1171,1.1652,2513414.0
1679961600000,1.1652,1.1655,1.1103,1.1283,2417259.0
1679976000000,1.1283,1.1571,1.1156,1.1415,1946914.7
1679990400000,1.1415,1.1549,1.1188,1.1516,1743181.2
1680004800000,1.1516,1.1776,1.1371,1.1722,1593542.8
1680019200000,1.1722,1.2128,1.1443,1.2076,1765829.1
1680033600000,1.2076,1.2234,1.1832,1.2197,1784322.1
1680048000000,1.2197,1.2457,1.2146,1.2284,2063513.6
1680062400000,1.2284,1.2623,1.2273,1.2576,784100.3
1680076800000,1.2576,1.2757,1.2357,1.2425,709633.6
1680091200000,1.2425,1.2465,1.1964,1.2158,843668.1
1680105600000,1.2158,1.2279,1.1969,1.2264,396733.2
1680120000000,1.2264,1.2331,1.2033,1.2257,394154.3
1680134400000,1.2257,1.3438,1.2241,1.2927,949301.4
1680148800000,1.2927,1.3743,1.2869,1.3691,887757.3
1680163200000,1.3691,1.429,1.3561,1.3821,435761.4
1680177600000,1.3821,1.3947,1.3268,1.3334,231204.2
1680192000000,1.3334,1.3513,1.3057,1.3448,195781.5
1680206400000,1.3448,1.3938,1.3434,1.3802,162024.6
1680220800000,1.3802,1.443,1.3574,1.424,271225.8
1680235200000,1.424,1.432,1.3316,1.3558,250765.8
1680249600000,1.3558,1.3697,1.3363,1.3571,182794.1
1680264000000,1.3571,1.4116,1.345,1.3701,239913.8
1680278400000,1.3701,1.389,1.3551,1.3826,80210.9
1680292800000,1.3826,1.4072,1.3747,1.3896,85617.6
1680307200000,1.3896,1.402,1.3564,1.3571,123358.8
1680321600000,1.3571,1.3673,1.3196,1.3351,195445.1
1680336000000,1.3351,1.3452,1.3195,1.3336,125177.6
1680350400000,1.3336,1.3438,1.2714,1.2914,177886.8
1680364800000,1.2914,1.2934,1.2615,1.2686,138172.9
1680379200000,1.2686,1.3018,1.2684,1.293,74257.0
1680393600000,1.293,1.298,1.2662,1.2741,84923.4
1680408000000,1.2741,1.2744,1.2324,1.2646,139444.7
1680422400000,1.2646,1.2896,1.2544,1.2801,141825.4
1680436800000,1.2801,1.2802,1.1528,1.1849,466770.8
1680451200000,1.1849,1.2121,1.1367,1.1509,316014.2
1680465600000,1.1509,1.2033,1.1338,1.201,199780.5
1680480000000,1.201,1.2072,1.1517,1.1975,210949.8
1680494400000,1.1975,1.2187,1.1775,1.2169,124256.1
1680508800000,1.2169,1.2269,1.1965,1.199,162810.2
1680523200000,1.199,1.2013,1.1683,1.1763,147198.8
1680537600000,1.1763,1.1936,1.1472,1.1699,200758.3
1680552000000,1.1699,1.172,1.1018,1.1524,238980.7
1680566400000,1.1524,1.1774,1.1492,1.1528,115039.9
1680580800000,1.1528,1.1889,1.1479,1.1736,106503.4
1680595200000,1.1736,1.2182,1.1676,1.2073,141849.5
1680609600000,1.2073,1.2386,1.1982,1.2331,203122.8
1680624000000,1.2331,1.2651,1.2267,1.2368,180587.1
1680638400000,1.2368,1.2602,1.2273,1.2345,73818.3
1680652800000,1.2345,1.2895,1.2172,1.2751,202131.9
1680667200000,1.2751,1.2792,1.2528,1.2684,76320.4
1680681600000,1.2684,1.288,1.2566,1.2711,79880.4
1680696000000,1.2711,1.2788,1.2207,1.2292,153106.7
1680710400000,1.2292,1.2635,1.2065,1.2506,119718.3
1680724800000,1.2506,1.2585,1.2363,1.2428,59604.3
1680739200000,1.2428,1.2441,1.2123,1.2302,76175.0
1680753600000,1.2302,1.2303,1.2007,1.2007,63197.6
1680768000000,1.2007,1.2094,1.1813,1.2018,88536.1
1680782400000,1.2018,1.216,1.1885,1.2096,78396.0
1680796800000,1.2096,1.2167,1.1976,1.2037,44998.8
1680811200000,1.2037,1.2146,1.1936,1.2145,38735.1
1680825600000,1.2145,1.2468,1.2094,1.2289,96838.3
1680840000000,1.2289,1.2352,1.1939,1.1982,70613.4
1680854400000,1.1982,1.2048,1.1857,1.188,54309.6
1680868800000,1.188,1.2054,1.1857,1.1996,52330.0
1680883200000,1.1996,1.2014,1.1866,1.1901,25013.0
1680897600000,1.1901,1.2019,1.1827,1.1966,25089.1
1680912000000,1.1966,1.2025,1.184,1.2019,33387.6
1680926400000,1.2019,1.2095,1.1963,1.2051,31937.1
1680940800000,1.2051,1.2083,1.1889,1.1908,36317.4
1680955200000,1.1908,1.1921,1.1828,1.1872,36553.6
1680969600000,1.1872,1.1899,1.153,1.1613,72251.3
1680984000000,1.1613,1.1678,1.1544,1.1619,36018.3
1680998400000,1.1619,1.1807,1.1613,1.1688,40628.7
1681012800000,1.1688,1.1758,1.1578,1.1627,38664.2
1681027200000,1.1627,1.1663,1.1554,1.163,33205.4
1681041600000,1.163,1.1698,1.1451,1.1567,57131.2
1681056000000,1.1567,1.1822,1.1545,1.1725,54562.4
1681070400000,1.1725,1.1982,1.1715,1.1816,59121.8
1681084800000,1.1816,1.1925,1.1678,1.1787,52371.3
1681099200000,1.1787,1.1843,1.1718,1.1744,37842.8
1681113600000,1.1744,1.1796,1.1679,1.1721,32480.8
1681128000000,1.1721,1.1855,1.1631,1.1808,53001.2
1681142400000,1.1808,1.2371,1.179,1.2273,171219.3
1681156800000,1.2273,1.2532,1.2134,1.2424,89912.4
1681171200000,1.2424,1.2578,1.2287,1.2402,102701.4
1681185600000,1.2402,1.2431,1.2263,1.2412,61166.2
1681200000000,1.2412,1.2431,1.224,1.23,47813.5
1681214400000,1.23,1.2364,1.2202,1.2306,70163.5
1681228800000,1.2306,1.2406,1.2121,1.2159,54197.0
1681243200000,1.2159,1.2211,1.206,1.2169,37904.4
1681257600000,1.2169,1.219,1.155,1.1659,119808.0
1681272000000,1.1659,1.1822,1.1629,1.1765,46989.1
1681286400000,1.1765,1.1786,1.165,1.1692,35463.0
1681300800000,1.1692,1.2005,1.1622,1.1963,143238.6
1681315200000,1.1963,1.2099,1.1827,1.1875,76003.9
1681329600000,1.1875,1.1978,1.1867,1.1935,34979.4
1681344000000,1.1935,1.1969,1.1785,1.1948,41495.0
1681358400000,1.1948,1.2467,1.1936,1.246,97615.1
1681372800000,1.246,1.3293,1.2453,1.3037,350429.1
1681387200000,1.3037,1.3579,1.3042,1.3312,274488.6
1681401600000,1.3312,1.3725,1.3284,1.3678,174936.0
1681416000000,1.3678,1.376,1.35,1.3683,104246.4
1681430400000,1.3683,1.5897,1.3678,1.5202,775750.7
1681444800000,1.5202,1.5888,1.5072,1.5226,339689.8
