time,open,high,low,close,volume
1779868800000,320.57,323.31,319.19,320.94,49.81
1779883200000,320.94,323.18,301.34,305.16,296.01
1779897600000,305.16,309.17,300.91,302.87,207.1
1779912000000,302.87,305.95,301.43,302.47,185.19
1779926400000,302.47,304.81,290.54,292.88,213.75
1779940800000,292.88,303.86,287.78,301.98,212.58
1779955200000,301.98,304.6,297.75,300.71,171.15
1779969600000,300.71,345.08,298.86,340.39,490.3
1779984000000,340.39,349.14,333.85,335.25,450.89
1779998400000,335.25,343.49,334.76,341.56,304.89
1780012800000,341.56,348.35,337.77,347.26,374.03
1780027200000,347.26,358.56,343.15,344.5,409.48
1780041600000,344.5,351.93,344.0,350.2,244.88
1780056000000,350.2,355.72,337.75,346.45,547.74
1780070400000,346.45,355.87,346.41,351.6,323.78
1780084800000,351.6,354.6,349.75,354.44,256.33
1780099200000,354.44,355.41,351.55,353.91,230.71
1780113600000,353.91,358.02,352.94,357.89,208.3
1780128000000,357.89,358.71,356.24,358.65,211.42
1780142400000,358.65,373.98,358.44,366.41,309.56
1780156800000,366.41,377.85,366.39,375.63,445.0
1780171200000,375.63,376.76,370.96,371.11,266.33
1780185600000,371.11,376.57,370.89,376.08,222.95
1780200000000,376.08,378.53,375.97,378.17,309.91
1780214400000,378.17,378.45,375.52,376.68,209.22
1780228800000,376.68,377.15,373.11,375.39,259.03
1780243200000,375.39,376.18,372.23,373.01,192.61
1780257600000,373.01,374.6,366.84,370.19,256.97
1780272000000,370.19,389.11,367.35,382.69,630.43
1780286400000,382.69,384.87,374.76,377.66,489.74
1780300800000,377.66,411.95,376.26,393.97,1024.6
1780315200000,393.97,421.69,381.52,417.36,1622.53
1780329600000,417.36,420.76,407.84,409.6,807.17
1780344000000,409.6,414.68,408.94,414.52,360.88
1780358400000,414.52,414.85,396.95,403.36,816.85
1780372800000,403.36,418.35,403.36,411.35,701.83
1780387200000,411.35,422.5,410.1,412.58,555.89
1780401600000,412.58,425.62,388.66,425.07,1283.48
1780416000000,425.07,427.91,402.14,402.95,627.29
1780430400000,402.95,405.16,395.24,397.63,307.77
1780444800000,397.63,402.02,395.89,400.44,313.44
1780459200000,400.44,404.49,396.36,401.83,292.0
1780473600000,401.83,412.06,401.82,408.16,718.64
1780488000000,408.16,413.99,374.46,399.96,1258.51
1780502400000,399.96,417.92,392.84,412.23,571.11
1780516800000,412.23,412.31,390.02,394.07,579.61
1780531200000,394.07,401.12,389.15,395.85,410.23
1780545600000,395.85,398.2,393.09,395.67,313.45
1780560000000,395.67,396.54,378.06,384.32,563.42
1780574400000,384.32,390.2,367.7,386.08,842.1
1780588800000,386.08,397.4,386.02,393.24,433.52
1780603200000,393.24,393.52,384.99,385.17,230.88
1780617600000,385.17,387.69,373.96,379.23,360.65
1780632000000,379.23,383.54,374.51,376.6,257.84
1780646400000,376.6,377.75,371.54,372.15,261.88
1780660800000,372.15,373.87,354.38,358.98,744.15
1780675200000,358.98,359.14,337.53,343.19,521.24
1780689600000,343.19,343.29,332.06,334.93,340.72
1780704000000,334.93,341.27,322.86,329.25,364.22
1780718400000,329.25,333.96,325.16,328.87,282.46
1780732800000,328.87,334.58,328.02,333.78,247.84
1780747200000,333.78,339.04,333.72,336.22,220.32
1780761600000,336.22,337.44,333.53,336.81,182.46
1780776000000,336.81,339.85,335.89,338.88,186.08
1780790400000,338.88,344.58,338.65,342.31,206.5
1780804800000,342.31,349.04,342.31,347.0,264.93
1780819200000,347.0,348.3,341.5,344.82,258.52
1780833600000,344.82,352.66,344.82,349.62,279.22
1780848000000,349.62,352.51,340.71,341.55,265.29
1780862400000,341.55,348.05,340.73,345.37,290.28
1780876800000,345.37,355.62,335.0,340.07,488.25
1780891200000,340.07,341.66,327.7,340.73,451.51
1780905600000,340.73,350.63,338.89,348.64,394.9
1780920000000,348.64,364.57,339.72,357.8,611.27
1780934400000,357.8,358.98,346.21,346.63,303.09
1780948800000,346.63,352.91,344.64,348.34,275.52
1780963200000,348.34,351.1,342.44,351.1,519.87
1780977600000,351.1,358.62,351.1,357.16,283.06
1780992000000,357.16,362.1,355.25,359.58,253.18
1781006400000,359.58,362.86,314.41,314.47,668.92
1781020800000,314.47,324.98,298.84,324.78,767.3
1781035200000,324.78,327.77,318.08,320.62,334.0
1781049600000,320.62,322.16,312.86,314.47,327.42
1781064000000,314.47,317.74,310.48,314.92,320.46
1781078400000,314.92,314.93,307.62,310.0,411.71
1781092800000,310.0,332.14,306.4,313.32,1028.93
1781107200000,313.32,313.81,304.48,307.48,439.27
1781121600000,307.48,307.6,296.41,300.64,338.13
1781136000000,300.64,310.2,297.8,307.47,761.64
1781150400000,307.47,315.21,307.34,313.39,253.78
1781164800000,313.39,318.75,312.42,316.01,362.48
1781179200000,316.01,334.21,308.85,327.23,763.1
1781193600000,327.23,344.75,322.48,342.38,496.74
1781208000000,342.38,352.35,340.08,350.16,305.97
1781222400000,350.16,354.42,342.79,348.16,314.27
1781236800000,348.16,348.75,335.0,340.05,381.28
1781251200000,340.05,356.29,338.45,355.76,486.35
