time,open,high,low,close,volume
1758384000000,1.229,1.762,1.229,1.556,863355.6
1758398400000,1.556,1.709,1.466,1.659,37066.9
1758412800000,1.659,1.742,1.528,1.706,101141.4
1758427200000,1.706,1.984,1.695,1.87,155631.3
1758441600000,1.87,1.891,1.549,1.589,288312.4
1758456000000,1.589,1.715,1.51,1.596,211008.4
1758470400000,1.596,1.634,1.337,1.421,334706.6
1758484800000,1.421,1.554,1.359,1.394,83339.4
1758499200000,1.394,1.501,1.279,1.49,52983.9
1758513600000,1.49,1.56,1.32,1.5,149110.8
1758528000000,1.5,1.657,1.445,1.577,212577.5
1758542400000,1.577,1.641,1.288,1.384,493584.1
1758556800000,1.384,1.467,1.305,1.443,106554.7
1758571200000,1.443,1.639,1.433,1.636,117499.2
1758585600000,1.636,1.646,1.461,1.583,97935.0
1758600000000,1.583,1.775,1.563,1.731,120623.6
1758614400000,1.731,1.764,1.609,1.752,84434.0
1758628800000,1.752,2.149,1.751,1.968,436105.9
1758643200000,1.968,2.159,1.82,1.868,297844.0
1758657600000,1.868,2.045,1.839,1.959,120281.8
1758672000000,1.959,2.144,1.904,1.976,177994.6
1758686400000,1.976,2.297,1.911,2.24,251015.8
1758700800000,2.24,2.429,2.23,2.272,341967.2
1758715200000,2.272,2.34,2.181,2.265,315090.4
1758729600000,2.265,2.423,2.236,2.244,390637.3
1758744000000,2.244,2.419,2.233,2.309,115218.5
1758758400000,2.309,2.383,2.096,2.144,189598.3
1758772800000,2.144,2.166,1.998,2.095,268687.2
1758787200000,2.095,2.134,1.935,1.956,155033.6
1758801600000,1.956,2.072,1.869,1.965,369501.0
1758816000000,1.965,2.027,1.789,1.969,379132.2
1758830400000,1.969,2.046,1.852,1.875,196313.4
1758844800000,1.875,1.929,1.748,1.854,158063.4
1758859200000,1.854,1.871,1.725,1.847,123784.3
1758873600000,1.847,1.918,1.777,1.825,174942.1
1758888000000,1.825,1.994,1.761,1.923,180545.4
1758902400000,1.923,2.163,1.923,2.051,303174.0
1758916800000,2.051,2.089,1.973,2.026,141342.0
1758931200000,2.026,2.119,1.932,1.962,149341.8
1758945600000,1.962,2.074,1.941,1.953,125705.9
1758960000000,1.953,1.984,1.89,1.968,138236.9
1758974400000,1.968,2.139,1.947,2.066,140873.9
1758988800000,2.066,2.1,1.95,1.961,105485.1
1759003200000,1.961,2.002,1.902,1.917,100725.1
1759017600000,1.917,1.941,1.827,1.927,261778.0
