time,open,high,low,close,volume
1774440000000,90.28,98.41,88.94,96.99,1706.55
1774454400000,96.99,97.83,93.8,96.11,1372.91
1774468800000,96.11,96.19,95.31,95.44,233.85
1774483200000,95.44,95.93,94.0,95.31,257.6
1774497600000,95.31,95.47,94.08,94.5,247.61
1774512000000,94.5,94.77,93.17,93.33,458.2
1774526400000,93.33,95.28,89.86,92.56,1923.56
1774540800000,92.56,93.43,87.31,87.86,1189.98
1774555200000,87.86,90.28,87.64,89.81,660.61
1774569600000,89.81,90.06,89.16,90.06,266.7
1774584000000,90.06,90.83,89.61,89.64,244.66
1774598400000,89.64,89.79,87.23,88.51,686.89
1774612800000,88.51,89.57,81.28,81.91,1816.08
1774627200000,81.91,82.04,78.53,78.71,1233.83
1774641600000,78.71,79.12,78.44,78.58,351.41
1774656000000,78.58,78.58,78.58,78.58,0.03
1774670400000,78.58,78.58,78.58,78.58,0.0
1774684800000,78.58,78.58,78.58,78.58,0.0
1774699200000,78.58,78.58,78.58,78.58,0.0
1774713600000,78.58,78.58,78.58,78.58,0.0
1774728000000,78.58,78.58,78.58,78.58,0.0
1774742400000,78.58,78.58,78.58,78.58,0.0
1774756800000,78.58,78.58,78.58,78.58,0.0
1774771200000,78.58,78.58,78.58,78.58,0.0
1774785600000,78.58,78.58,78.58,78.58,0.0
1774800000000,78.58,78.58,78.58,78.58,0.0
1774814400000,78.58,78.58,78.58,78.58,0.0
1774828800000,78.58,78.72,76.15,78.71,1055.43
1774843200000,78.71,79.84,78.7,79.02,382.57
1774857600000,79.02,80.85,79.02,80.32,958.78
1774872000000,80.32,80.92,75.24,77.18,1903.7
1774886400000,77.18,77.24,71.89,73.81,1428.63
1774900800000,73.81,74.0,72.31,72.46,336.29
1774915200000,72.46,76.03,72.46,74.48,1203.62
1774929600000,74.48,75.29,74.09,75.1,322.08
1774944000000,75.1,76.48,74.15,76.43,463.87
1774958400000,76.43,80.25,76.07,76.17,1876.6
1774972800000,76.17,83.23,76.17,82.79,2078.6
1774987200000,82.79,83.75,82.56,83.6,343.97
1775001600000,83.6,84.74,82.63,83.6,745.17
1775016000000,83.6,85.21,83.59,84.23,386.05
1775030400000,84.23,85.49,83.7,85.14,742.01
1775044800000,85.14,88.08,84.04,87.78,1572.2
1775059200000,87.78,88.35,83.15,83.94,1498.24
1775073600000,83.94,84.84,83.73,84.74,358.84
1775088000000,84.74,85.01,80.91,80.92,910.35
1775102400000,80.92,81.23,80.08,81.06,594.18
1775116800000,81.06,81.14,78.47,78.76,959.75
1775131200000,78.76,92.31,78.76,90.34,2497.56
1775145600000,90.34,92.9,87.65,92.9,1191.32
1775160000000,92.9,92.95,92.01,92.21,295.82
1775174400000,92.21,92.21,92.21,92.21,0.0
1775188800000,92.21,92.21,92.21,92.21,0.0
1775203200000,92.21,92.21,92.21,92.21,0.0
1775217600000,92.21,92.21,92.21,92.21,0.0
1775232000000,92.21,92.21,92.21,92.21,0.0
1775246400000,92.21,92.21,92.21,92.21,0.0
1775260800000,92.21,92.21,92.21,92.21,0.0
1775275200000,92.21,92.21,92.21,92.21,0.0
1775289600000,92.21,92.21,92.21,92.21,0.0
1775304000000,92.21,92.21,92.21,92.21,0.0
1775318400000,92.21,92.21,92.21,92.21,0.0
1775332800000,92.21,92.21,92.21,92.21,0.0
1775347200000,92.21,92.21,92.21,92.21,0.0
1775361600000,92.21,92.21,92.21,92.21,0.0
1775376000000,92.21,92.21,92.21,92.21,0.0
1775390400000,92.21,92.21,92.21,92.21,0.0
1775404800000,92.21,92.21,92.21,92.21,0.0
1775419200000,92.21,92.21,92.21,92.21,0.0
1775433600000,92.21,94.33,91.36,92.83,885.15
1775448000000,92.83,93.82,92.82,93.68,192.43
1775462400000,93.68,95.95,93.47,94.05,607.03
1775476800000,94.05,99.63,93.1,96.79,4797.59
1775491200000,96.79,97.76,94.35,94.87,1236.6
1775505600000,94.87,95.24,94.28,94.38,487.86
1775520000000,94.38,95.0,92.73,93.55,335.98
1775534400000,93.55,93.97,93.29,93.79,146.65
1775548800000,93.79,95.49,92.42,92.75,688.62
1775563200000,92.75,95.14,89.71,92.46,1651.93
1775577600000,92.46,94.88,90.45,92.62,1212.23
1775592000000,92.62,99.33,92.46,98.81,1086.17
