time,open,high,low,close,volume
1644062400000,31.296,31.451,30.816,31.318,72067.93
1644076800000,31.3,31.369,29.983,30.386,78887.72
1644091200000,30.397,31.041,30.225,30.725,31254.91
1644105600000,30.739,31.638,30.701,30.995,47983.4
1644120000000,30.989,31.949,30.678,31.702,65973.08
1644134400000,31.675,31.823,30.941,31.06,42175.32
1644148800000,31.066,31.333,30.116,30.5,75308.92
1644163200000,30.487,30.765,30.285,30.532,35833.94
1644177600000,30.51,31.404,30.292,31.281,45780.33
1644192000000,31.277,32.051,30.498,31.91,86464.23
1644206400000,31.917,32.982,31.688,32.437,74758.77
1644220800000,32.443,32.727,31.712,32.303,58218.33
1644235200000,32.299,32.737,31.772,32.696,63937.54
1644249600000,32.696,33.173,31.837,32.043,100048.52
1644264000000,32.042,32.147,31.261,31.619,72845.39
1644278400000,31.653,32.174,30.975,32.014,75060.77
1644292800000,32.015,32.615,31.43,31.904,83811.55
1644307200000,31.901,32.031,30.355,30.835,79599.07
1644321600000,30.823,30.823,29.963,30.334,61559.31
1644336000000,30.331,30.506,29.748,29.944,62883.18
1644350400000,29.942,30.62,29.824,30.394,49469.03
1644364800000,30.405,30.656,29.575,29.809,53073.41
1644379200000,29.807,30.4,29.617,30.36,40184.07
1644393600000,30.351,31.176,29.879,31.082,80834.33
1644408000000,31.06,31.457,30.939,31.102,50266.78
1644422400000,31.116,31.371,30.772,30.957,46817.04
1644436800000,30.966,31.125,30.738,30.922,23660.33
1644451200000,30.927,30.942,30.075,30.267,37113.15
1644465600000,30.282,30.46,30.111,30.46,25389.15
1644480000000,30.452,30.857,30.19,30.619,34300.36
1644494400000,30.641,30.718,28.716,30.442,170125.72
1644508800000,30.442,31.28,29.287,29.306,89672.14
1644523200000,29.307,29.721,28.91,29.064,56988.82
1644537600000,29.113,29.116,28.131,28.765,68719.74
1644552000000,28.749,29.136,28.66,29.131,38886.73
1644566400000,29.125,29.22,28.59,28.768,35673.98
1644580800000,28.742,29.356,28.687,29.093,41933.11
1644595200000,29.108,29.197,27.681,27.719,72546.6
1644609600000,27.722,27.826,26.207,26.577,68865.66
1644624000000,26.564,26.678,26.136,26.46,52342.77
1644638400000,26.46,27.788,26.02,27.58,120281.72
1644652800000,27.573,28.172,27.13,27.883,92663.16
1644667200000,27.913,27.97,27.095,27.415,59382.43
1644681600000,27.422,28.331,27.303,27.451,57083.79
1644696000000,27.46,27.724,26.646,27.04,56142.03
