time,open,high,low,close,volume
1644105600000,77.05,78.97,77.04,78.13,16101.2575
1644120000000,78.13,78.44,77.11,77.69,15857.937
1644134400000,77.62,78.14,76.89,77.1,8247.3903
1644148800000,77.13,77.94,74.19,75.63,36083.2463
1644163200000,75.59,76.87,75.4,76.38,14042.5613
1644177600000,76.36,79.08,75.64,78.9,28102.6363
1644192000000,78.9,80.95,77.48,80.84,50293.482
1644206400000,80.87,83.54,80.5,82.45,34558.2411
1644220800000,82.45,82.68,81.02,82.28,26810.7374
1644235200000,82.32,85.1,81.69,84.83,42430.9456
1644249600000,84.87,85.34,82.65,84.48,38557.17
1644264000000,84.45,85.07,82.76,83.2,29581.0201
1644278400000,83.2,83.92,81.67,83.84,33369.8934
1644292800000,83.83,94.3,83.83,90.18,377596.032
1644307200000,90.2,91.43,85.69,86.56,112822.129
1644321600000,86.58,86.58,82.91,84.55,75868.005
1644336000000,84.51,86.38,82.85,85.46,61818.025
1644350400000,85.46,88.04,85.14,86.38,45066.7341
1644364800000,86.35,88.92,84.54,86.57,36162.3507
1644379200000,86.55,88.12,85.67,87.92,26940.0813
1644393600000,87.91,89.31,87.47,88.79,35620.0247
1644408000000,88.76,90.58,88.24,89.83,45371.354
1644422400000,89.85,92.01,89.2,91.64,51313.2377
1644436800000,91.67,91.92,89.6,90.06,38391.4345
1644451200000,90.06,90.13,87.62,88.84,34566.745
1644465600000,88.85,90.01,88.12,89.81,30027.1224
1644480000000,89.81,90.99,89.25,90.45,29111.4694
1644494400000,90.49,92.59,85.07,91.86,155518.518
1644508800000,91.78,95.03,90.12,90.99,102053.191
1644523200000,90.94,93.37,89.51,91.13,66695.4295
1644537600000,91.13,92.58,88.0,89.11,54686.921
1644552000000,89.11,89.88,87.89,89.78,19196.5029
1644566400000,89.8,91.13,88.35,89.96,23130.376
1644580800000,89.96,91.49,89.25,90.78,25785.6403
1644595200000,90.75,91.07,84.59,84.84,62703.2479
1644609600000,84.85,85.11,80.05,81.75,51624.0794
1644624000000,81.76,84.73,80.66,83.15,40399.3853
1644638400000,83.18,83.96,79.73,81.23,29598.667
1644652800000,81.23,82.66,79.95,81.83,28039.3277
1644667200000,81.82,81.92,78.85,80.1,29358.912
1644681600000,80.11,84.74,79.67,81.94,38693.5326
1644696000000,81.98,83.32,79.75,81.27,27215.2713
1644710400000,81.26,82.66,80.55,82.15,26396.9433
1644724800000,82.14,83.25,81.68,83.15,13749.412
1644739200000,83.13,83.27,81.79,82.22,14824.6807
1644753600000,82.21,82.33,81.02,81.02,21482.0201
1644768000000,81.04,81.23,77.6,78.27,36019.25
1644782400000,78.25,79.68,77.73,77.92,14372.8709
1644796800000,77.94,78.36,76.19,77.33,18627.5167
1644811200000,77.33,79.02,76.93,78.99,12425.5389
1644825600000,78.98,79.66,77.43,78.1,15941.7781
1644840000000,78.18,82.19,77.49,80.64,30180.9395
1644854400000,80.63,82.0,78.93,80.09,31495.9656
1644868800000,80.12,82.52,79.35,81.85,19402.0874
1644883200000,81.87,84.91,81.45,84.27,37354.6528
1644897600000,84.24,85.34,83.87,85.07,16120.5136
1644912000000,85.11,89.28,85.06,88.15,54554.13
1644926400000,88.14,89.36,87.4,88.78,25202.8711
1644940800000,88.78,90.64,88.14,90.09,30698.7126
1644955200000,90.1,93.66,89.43,92.96,35186.4021
1644969600000,92.97,94.63,91.73,93.95,50833.723
1644984000000,93.91,97.18,92.76,96.94,35665.5063
1644998400000,96.96,97.32,93.3,94.86,32041.1685
1645012800000,94.87,95.07,91.55,93.6,45169.0358
1645027200000,93.6,96.21,91.77,96.12,48363.727
1645041600000,96.12,96.97,94.39,95.32,24733.3628
1645056000000,95.32,98.64,94.85,94.85,43934.5235
1645070400000,94.85,95.84,93.53,94.69,41345.1131
1645084800000,94.66,94.79,91.86,92.86,31883.1137
1645099200000,92.88,93.63,89.92,91.08,51207.774
1645113600000,91.05,91.62,86.75,88.33,51068.487
1645128000000,88.3,89.42,86.41,88.24,33947.226
