time,open,high,low,close,volume
1766635200000,350.3,350.3,350.3,350.3,0.0
1766649600000,350.3,350.3,350.3,350.3,0.0
1766664000000,350.3,350.3,350.3,350.3,0.0
1766678400000,350.3,350.3,350.3,350.3,0.0
1766692800000,350.3,350.3,350.3,350.3,0.0
1766707200000,350.3,352.4,350.3,351.54,180.09
1766721600000,351.54,352.37,351.18,352.25,126.62
1766736000000,352.25,352.36,351.54,351.79,73.64
1766750400000,351.79,352.84,347.97,352.7,236.8
1766764800000,352.7,353.08,350.38,352.9,74.93
1766779200000,352.9,353.21,351.21,351.3,40.76
1766793600000,351.3,351.57,351.16,351.56,7.96
1766808000000,351.56,351.56,351.56,351.56,0.0
1766822400000,351.56,351.56,351.56,351.56,0.0
1766836800000,351.56,351.56,351.56,351.56,0.0
1766851200000,351.56,351.56,351.56,351.56,0.0
1766865600000,351.56,351.56,351.56,351.56,0.0
1766880000000,351.56,351.56,351.56,351.56,0.0
1766894400000,351.56,351.56,351.56,351.56,0.0
1766908800000,351.56,351.56,351.56,351.56,0.0
1766923200000,351.56,351.56,351.56,351.56,0.0
1766937600000,351.56,351.56,351.56,351.56,0.0
1766952000000,351.56,351.56,351.56,351.56,0.0
1766966400000,351.56,352.76,350.75,351.27,44.86
1766980800000,351.27,352.08,349.94,350.09,46.39
1766995200000,350.09,350.45,348.15,348.63,132.53
1767009600000,348.63,350.03,345.0,348.47,163.04
1767024000000,348.47,350.29,347.77,350.17,92.41
1767038400000,350.17,350.23,347.88,348.2,37.44
1767052800000,348.2,349.08,347.99,348.96,26.42
1767067200000,348.96,349.52,348.64,348.95,59.68
1767081600000,348.95,349.75,348.82,349.75,43.71
1767096000000,349.75,351.45,349.19,350.96,82.26
1767110400000,350.96,352.58,350.11,350.48,81.2
1767124800000,350.48,350.85,349.54,349.59,37.59
1767139200000,349.59,349.89,348.67,348.69,148.03
1767153600000,348.69,348.9,347.23,348.37,159.11
1767168000000,348.37,348.43,347.42,348.36,38.05
