time,open,high,low,close,volume
1642435200000,79.154,79.444,77.273,78.317,12500.12
1642449600000,78.309,78.447,75.046,76.534,16998.86
1642464000000,76.5,77.258,75.503,75.778,19815.7
1642478400000,75.756,76.653,73.953,73.993,11620.71
1642492800000,73.993,74.313,72.712,73.353,27402.11
1642507200000,73.317,73.652,72.439,72.757,18377.2
1642521600000,72.727,73.323,72.126,73.113,14992.61
1642536000000,73.123,74.677,72.592,73.801,9506.82
1642550400000,73.863,74.104,71.671,72.17,16180.23
1642564800000,72.167,72.908,70.7,70.856,13626.19
1642579200000,70.948,72.136,70.568,71.701,15655.84
1642593600000,71.745,73.333,71.57,72.696,9655.37
1642608000000,72.709,73.293,71.897,72.863,11590.74
1642622400000,72.812,72.82,71.698,71.698,5577.08
1642636800000,71.776,73.087,71.287,71.998,9720.7
1642651200000,72.085,72.394,71.554,72.267,4964.96
1642665600000,72.305,72.521,71.739,72.431,6441.07
1642680000000,72.287,75.498,72.108,75.404,17296.51
1642694400000,75.296,75.877,74.363,74.866,13774.03
1642708800000,74.891,75.004,68.837,69.117,20291.83
1642723200000,69.098,69.291,63.618,64.951,44874.43
1642737600000,64.941,65.96,64.715,65.85,9293.88
1642752000000,65.81,66.54,65.348,65.65,10980.76
1642766400000,65.631,65.77,62.95,65.159,19045.12
1642780800000,65.17,65.63,63.826,63.826,21281.34
1642795200000,63.819,64.326,56.95,58.406,33115.15
1642809600000,58.245,59.371,56.876,57.486,22392.79
1642824000000,57.409,57.636,51.745,52.506,39173.28
1642838400000,52.428,53.896,47.739,51.313,67022.0
1642852800000,51.323,53.524,49.573,49.636,38313.63
1642867200000,49.722,51.265,47.669,48.232,24621.94
1642881600000,48.209,51.188,47.899,50.132,20558.39
1642896000000,50.117,52.336,49.681,50.693,20603.64
1642910400000,50.723,52.978,50.477,52.624,14204.94
1642924800000,52.626,54.163,52.374,52.594,23347.06
1642939200000,52.591,53.79,50.558,51.497,19089.64
1642953600000,51.487,52.197,50.05,50.207,28715.58
1642968000000,50.273,54.765,49.938,54.695,19036.83
1642982400000,54.695,54.695,51.957,52.316,28777.77
