time,open,high,low,close,volume
1644105600000,320.4,328.2,320.4,326.2,1053.6826
1644120000000,326.2,327.1,321.0,323.0,1524.0335
1644134400000,323.0,325.8,319.2,320.5,1938.1102
1644148800000,320.4,326.7,312.4,318.1,4747.971
1644163200000,318.3,320.4,316.3,318.7,1206.2106
1644177600000,318.7,326.5,316.1,324.7,3220.3291
1644192000000,324.7,331.8,318.1,330.6,3939.4777
1644206400000,330.5,335.4,328.4,333.0,7867.3533
1644220800000,333.0,337.6,331.8,336.8,2421.942
1644235200000,336.9,340.9,335.6,338.9,4028.0918
1644249600000,338.9,341.8,333.6,339.9,3502.9776
1644264000000,339.9,343.8,334.3,343.1,2735.0823
1644278400000,343.2,352.5,337.4,350.0,7651.7136
1644292800000,350.1,355.6,345.5,346.9,5103.4148
1644307200000,346.9,347.8,330.5,333.9,4048.4829
1644321600000,333.8,333.9,325.1,330.4,3311.5741
1644336000000,330.4,332.2,325.8,330.0,2670.7478
1644350400000,330.1,338.5,329.5,335.2,3619.2207
1644364800000,335.2,336.5,328.4,330.8,2716.5014
1644379200000,330.7,340.9,330.5,340.4,4089.4025
1644393600000,340.0,340.7,334.8,337.6,3503.4488
1644408000000,337.7,346.6,337.0,344.3,3834.2188
1644422400000,344.3,347.1,341.7,344.2,2528.056
1644436800000,344.2,347.5,343.8,346.0,1132.0196
1644451200000,346.0,346.2,336.5,338.9,1501.556
1644465600000,338.8,345.8,337.8,345.7,1237.3668
1644480000000,345.7,359.1,345.4,356.9,3305.4037
1644494400000,356.9,362.5,342.9,354.7,10493.6251
1644508800000,354.7,356.2,344.9,345.5,4768.688
1644523200000,345.6,348.0,340.0,340.8,1819.1888
1644537600000,340.8,340.9,331.2,339.5,4144.2702
1644552000000,339.3,340.4,335.1,339.9,1919.0248
1644566400000,340.0,341.5,332.6,335.3,1651.4596
1644580800000,335.3,340.3,334.6,337.3,1821.3772
1644595200000,337.4,338.1,324.1,327.7,3391.179
1644609600000,327.7,328.1,316.8,320.8,3298.3568
1644624000000,320.8,322.8,317.2,321.6,1547.0783
1644638400000,321.6,323.8,312.4,317.6,2225.9029
1644652800000,317.6,320.3,313.9,319.9,2078.0075
1644667200000,319.9,320.1,312.5,319.3,2833.6905
1644681600000,319.3,329.8,318.0,325.1,3083.1481
1644696000000,325.1,330.3,316.8,330.3,3722.6157
1644710400000,330.3,334.4,327.1,327.4,2507.8754
1644724800000,327.5,331.3,327.1,328.4,1267.4633
1644739200000,328.4,329.0,324.6,327.1,1040.4086
1644753600000,327.1,339.8,326.0,337.8,3710.6897
1644768000000,337.8,338.5,325.3,328.4,3093.9787
1644782400000,328.4,336.0,327.4,333.7,3107.7573
1644796800000,333.7,337.4,321.8,322.1,3276.1726
1644811200000,322.1,324.2,318.4,323.7,2323.5345
1644825600000,323.7,324.7,320.1,322.1,1191.5813
1644840000000,322.1,329.5,319.6,326.7,1938.5174
1644854400000,326.7,333.7,326.1,328.8,3699.5899
1644868800000,328.9,332.9,327.0,330.5,1509.0527
1644883200000,330.5,339.3,329.0,336.0,2047.6658
1644897600000,336.0,336.8,332.1,334.0,1420.6976
1644912000000,334.0,341.3,333.8,338.4,2175.2445
1644926400000,338.4,339.6,334.4,339.2,3027.5793
1644940800000,339.1,340.1,336.9,337.6,1567.1733
1644955200000,337.6,344.6,336.1,343.3,2446.1611
1644969600000,343.3,343.3,335.8,336.0,1466.2216
1644984000000,336.0,338.2,332.7,337.8,1521.9163
1644998400000,337.9,340.6,335.1,339.4,2158.2908
1645012800000,339.3,340.0,329.2,331.1,2717.743
1645027200000,331.2,337.6,329.1,336.4,2266.5907
1645041600000,336.4,337.8,333.1,334.4,1583.3421
1645056000000,334.4,336.4,330.2,330.3,1267.8261
1645070400000,330.3,332.5,327.1,332.3,1356.446
1645084800000,332.3,332.6,324.5,328.1,1840.5451
1645099200000,328.1,329.9,321.4,323.1,1989.533
1645113600000,323.1,324.7,311.9,316.8,4598.8224
1645128000000,316.8,316.8,309.7,312.9,2375.3831
1645142400000,313.1,316.1,309.9,313.8,1714.7603
1645156800000,313.8,316.3,312.3,314.9,1181.1291
1645171200000,314.8,318.9,313.2,314.1,1346.205
1645185600000,314.1,317.0,308.1,309.6,3260.1028
1645200000000,309.6,313.5,306.5,313.0,2331.5812
1645214400000,313.0,313.7,309.1,310.1,995.791
1645228800000,310.1,313.0,309.3,312.2,830.9943
1645243200000,312.3,316.1,311.7,314.4,751.673
1645257600000,314.4,315.0,307.6,308.8,1853.4941
1645272000000,308.9,312.6,305.2,311.1,1952.6907
