time,open,high,low,close,volume
1776945600000,234.18,241.57,232.81,239.09,604.07
1776960000000,239.09,239.6,229.3,237.59,1216.77
1776974400000,237.59,239.85,236.58,239.56,216.71
1776988800000,239.56,240.6,237.78,237.97,226.53
1777003200000,237.97,240.95,237.65,239.94,165.62
1777017600000,239.94,246.01,239.83,244.21,377.92
1777032000000,244.21,245.28,232.18,236.99,1225.13
1777046400000,236.99,236.99,231.09,231.15,672.35
1777060800000,231.15,233.08,231.15,232.33,321.88
1777075200000,232.33,232.33,232.33,232.33,0.02
1777089600000,232.33,232.33,232.33,232.33,0.0
1777104000000,232.33,232.33,232.33,232.33,0.0
1777118400000,232.33,232.33,232.33,232.33,0.0
1777132800000,232.33,232.33,232.33,232.33,0.0
1777147200000,232.33,232.33,232.33,232.33,0.0
1777161600000,232.33,232.33,232.33,232.33,0.0
1777176000000,232.33,232.33,232.33,232.33,0.0
1777190400000,232.33,232.33,232.33,232.33,0.0
1777204800000,232.33,232.33,232.33,232.33,0.0
1777219200000,232.33,232.33,232.33,232.33,0.0
1777233600000,232.33,232.33,232.33,232.33,0.0
1777248000000,232.33,236.76,232.28,235.96,275.15
1777262400000,235.96,236.09,232.92,233.53,270.28
1777276800000,233.53,235.44,233.29,235.12,197.91
1777291200000,235.12,238.39,226.26,235.64,1735.2
1777305600000,235.64,239.01,234.03,234.74,598.47
1777320000000,234.74,243.17,234.52,241.38,467.18
1777334400000,241.38,243.72,240.69,241.03,284.94
1777348800000,241.03,242.2,238.69,239.31,245.37
1777363200000,239.31,240.75,229.0,230.28,533.23
1777377600000,230.28,239.39,216.52,223.69,1934.34
1777392000000,223.69,230.44,223.02,226.43,1118.85
1777406400000,226.43,263.49,226.23,253.92,2481.98
1777420800000,253.92,256.07,252.1,254.93,472.66
1777435200000,254.93,257.76,254.76,256.89,362.22
1777449600000,256.89,273.8,256.89,270.58,1201.29
1777464000000,270.58,289.7,263.9,279.07,2861.06
1777478400000,279.07,288.75,273.01,287.77,1090.13
1777492800000,287.77,295.28,283.93,294.69,592.48
1777507200000,294.69,301.0,291.41,293.8,874.62
1777521600000,293.8,293.81,286.45,289.27,619.08
1777536000000,289.27,296.98,287.96,293.65,737.81
1777550400000,293.65,296.94,262.3,272.69,1758.6
1777564800000,272.69,283.29,270.8,283.27,965.87
1777579200000,283.27,283.29,278.5,279.76,474.7
1777593600000,279.76,286.23,279.71,285.73,233.2
1777608000000,285.73,286.5,283.9,284.87,267.12
1777622400000,284.87,284.88,280.96,282.54,378.88
1777636800000,282.54,291.22,274.47,288.8,1210.56
1777651200000,288.8,291.63,283.2,290.61,559.46
1777665600000,290.61,293.62,290.26,291.29,358.16
1777680000000,291.29,291.3,291.29,291.3,0.07
1777694400000,291.3,291.3,291.3,291.3,0.0
1777708800000,291.3,291.3,291.3,291.3,0.0
1777723200000,291.3,291.3,291.3,291.3,0.0
1777737600000,291.3,291.3,291.3,291.3,0.0
1777752000000,291.3,291.3,291.3,291.3,0.0
1777766400000,291.3,291.3,291.3,291.3,0.0
1777780800000,291.3,291.3,291.3,291.3,0.0
1777795200000,291.3,291.3,291.3,291.3,0.0
1777809600000,291.3,291.3,291.3,291.3,0.0
1777824000000,291.3,291.3,291.3,291.3,0.0
1777838400000,291.3,291.3,291.3,291.3,0.0
1777852800000,291.3,295.79,291.0,293.86,321.47
1777867200000,293.86,295.76,293.76,294.58,179.63
1777881600000,294.58,299.75,291.82,296.3,585.07
1777896000000,296.3,302.26,279.22,282.18,1076.52
1777910400000,282.18,290.95,278.17,288.52,700.46
1777924800000,288.52,288.63,287.39,287.62,155.22
1777939200000,287.62,289.5,286.68,288.99,220.57
1777953600000,288.99,291.31,288.2,291.12,193.5
1777968000000,291.12,292.17,290.6,291.19,216.83
1777982400000,291.19,299.13,287.68,294.51,935.32
1777996800000,294.51,296.9,289.49,295.26,465.39
1778011200000,295.26,298.23,293.81,297.64,227.58
1778025600000,297.64,298.29,294.29,296.62,290.79
1778040000000,296.62,298.16,296.46,297.87,171.48
1778054400000,297.87,307.6,297.02,302.59,442.06
1778068800000,302.59,302.73,282.17,286.67,1340.41
1778083200000,286.67,289.22,282.77,285.53,428.09
1778097600000,285.53,286.1,282.09,283.87,179.32
1778112000000,283.87,286.37,282.7,286.14,226.43
1778126400000,286.14,288.5,285.2,287.45,192.67
1778140800000,287.45,287.95,279.88,281.54,360.41
1778155200000,281.54,284.95,268.22,268.27,843.12
1778169600000,268.27,268.51,256.32,258.8,1270.28
1778184000000,258.8,261.04,255.67,259.28,422.22
1778198400000,259.28,272.7,259.28,265.68,756.33
1778212800000,265.68,269.32,264.94,267.73,330.0
1778227200000,267.73,274.13,267.53,270.88,443.34
1778241600000,270.88,273.88,249.68,257.9,1496.05
1778256000000,257.9,271.86,257.86,261.06,958.1
1778270400000,261.06,266.23,261.02,264.92,213.96
1778284800000,264.92,264.92,264.91,264.91,0.04
1778299200000,264.91,264.91,264.91,264.91,0.0
1778313600000,264.91,264.91,264.91,264.91,0.0
1778328000000,264.91,264.91,264.91,264.91,0.0
1778342400000,264.91,264.91,264.91,264.91,0.0
1778356800000,264.91,264.91,264.91,264.91,0.0
1778371200000,264.91,264.91,264.91,264.91,0.0
1778385600000,264.91,264.91,264.91,264.91,0.0
1778400000000,264.91,264.91,264.91,264.91,0.0
1778414400000,264.91,264.91,264.91,264.91,0.0
1778428800000,264.91,264.91,264.91,264.91,0.0
1778443200000,264.91,264.91,264.91,264.91,0.0
1778457600000,264.91,266.63,261.39,262.89,350.38
1778472000000,262.89,263.14,261.32,261.99,168.7
1778486400000,261.99,265.46,259.68,265.46,333.55
1778500800000,265.46,295.94,265.17,294.68,1429.21
1778515200000,294.68,295.89,284.1,284.1,662.38
1778529600000,284.1,287.78,283.2,287.4,197.23
1778544000000,287.4,290.03,272.0,281.1,493.11
1778558400000,281.1,281.74,277.77,279.52,217.24
1778572800000,279.52,281.6,277.66,279.16,401.51
1778587200000,279.16,289.26,269.98,270.03,1364.01
1778601600000,270.03,282.89,266.02,280.91,830.09
1778616000000,280.91,281.17,276.89,277.27,225.59
1778630400000,277.27,283.44,277.14,282.61,234.58
1778644800000,282.61,284.87,282.34,284.46,241.63
1778659200000,284.46,289.6,284.46,287.26,351.91
1778673600000,287.26,294.09,270.37,288.3,1316.64
1778688000000,288.3,297.66,288.28,289.84,773.09
1778702400000,289.84,292.04,289.75,291.94,171.27
1778716800000,291.94,292.53,286.54,286.83,259.93
1778731200000,286.83,291.69,286.82,290.85,193.01
1778745600000,290.85,291.0,287.0,290.27,278.85
1778760000000,290.27,302.58,283.08,295.79,1115.99
1778774400000,295.79,309.3,295.78,303.5,745.35
1778788800000,303.5,304.46,297.51,301.93,309.97
1778803200000,301.93,302.14,292.64,296.86,346.07
1778817600000,296.86,297.03,285.76,293.96,422.11
1778832000000,293.96,294.25,285.99,289.24,386.11
1778846400000,289.24,289.25,275.72,279.52,1191.0
1778860800000,279.52,286.9,276.35,276.35,658.03
1778875200000,276.35,277.92,274.61,275.09,305.31
1778889600000,275.09,275.09,275.09,275.09,0.03
1778904000000,275.09,275.09,275.09,275.09,0.0
1778918400000,275.09,275.09,275.09,275.09,0.0
1778932800000,275.09,275.09,275.09,275.09,0.0
1778947200000,275.09,275.09,275.09,275.09,0.0
1778961600000,275.09,275.09,275.09,275.09,0.0
1778976000000,275.09,275.09,275.09,275.09,0.0
1778990400000,275.09,275.09,275.09,275.09,0.0
1779004800000,275.09,275.09,275.09,275.09,0.0
1779019200000,275.09,275.09,275.09,275.09,0.0
1779033600000,275.09,275.09,275.09,275.09,0.0
1779048000000,275.09,275.09,275.09,275.09,0.0
1779062400000,275.09,275.09,262.26,273.11,481.2
1779076800000,273.11,276.55,272.21,275.52,269.88
1779091200000,275.52,279.8,270.58,272.92,477.99
1779105600000,272.92,279.28,256.64,260.55,1374.97
1779120000000,260.55,261.6,249.2,258.76,1058.15
1779134400000,258.76,260.27,257.22,259.88,172.5
1779148800000,259.88,260.32,252.64,255.88,378.88
1779163200000,255.88,259.41,253.53,259.22,269.91
1779177600000,259.22,259.23,249.45,249.68,430.62
1779192000000,249.68,263.0,242.05,252.53,1773.35
1779206400000,252.53,268.25,252.52,261.41,1014.74
1779220800000,261.41,262.5,261.05,261.69,193.0
1779235200000,261.69,263.04,256.97,261.1,294.06
1779249600000,261.1,264.5,260.0,263.65,267.24
1779264000000,263.65,269.0,263.65,268.22,362.47
1779278400000,268.22,292.96,264.78,292.94,1658.76
1779292800000,292.94,292.94,279.99,282.27,906.51
1779307200000,282.27,287.53,278.2,280.72,387.38
1779321600000,280.72,288.73,280.52,288.48,301.96
1779336000000,288.48,289.85,283.35,286.11,710.46
1779350400000,286.11,290.54,285.96,287.7,408.46
1779364800000,287.7,318.49,285.27,312.42,2303.07
1779379200000,312.42,316.85,305.52,307.77,961.86
1779393600000,307.77,312.0,307.59,311.75,204.65
1779408000000,311.75,313.23,309.96,312.96,374.83
1779422400000,312.96,318.5,312.96,318.26,657.47
1779436800000,318.26,326.4,315.9,319.01,1166.9
1779451200000,319.01,322.07,308.66,309.66,1630.34
1779465600000,309.66,310.71,302.07,302.51,855.48
1779480000000,302.51,303.03,297.4,297.75,319.18
1779494400000,297.75,297.75,297.74,297.75,0.05
1779508800000,297.75,297.75,297.75,297.75,0.0
1779523200000,297.75,297.75,297.75,297.75,0.0
1779537600000,297.75,297.75,297.75,297.75,0.0
1779552000000,297.75,297.75,297.75,297.75,0.0
1779566400000,297.75,297.75,297.75,297.75,0.0
1779580800000,297.75,297.75,297.75,297.75,0.0
1779595200000,297.75,297.75,297.75,297.75,0.0
1779609600000,297.75,297.75,297.75,297.75,0.0
1779624000000,297.75,297.75,297.75,297.75,0.0
1779638400000,297.75,297.75,297.75,297.75,0.0
1779652800000,297.75,297.75,297.75,297.75,0.0
1779667200000,297.75,297.75,297.75,297.75,0.0
1779681600000,297.75,297.75,297.75,297.75,0.0
1779696000000,297.75,297.75,297.75,297.75,0.0
1779710400000,297.75,297.75,297.75,297.75,0.0
1779724800000,297.75,297.75,297.75,297.75,0.0
1779739200000,297.75,297.75,297.75,297.75,0.0
1779753600000,297.75,316.0,297.75,310.42,547.6
1779768000000,310.42,312.76,309.5,310.44,224.5
1779782400000,310.44,314.5,307.5,313.93,322.7
1779796800000,313.93,317.15,300.51,301.43,2004.57
1779811200000,301.43,309.81,301.35,302.36,1111.72
1779825600000,302.36,304.01,301.76,304.01,162.43
1779840000000,304.01,305.26,301.1,303.26,251.02
1779854400000,303.26,304.13,302.18,303.44,241.65
1779868800000,303.44,307.0,303.44,305.5,253.56
1779883200000,305.5,305.56,286.05,297.29,2100.15
1779897600000,297.29,303.61,293.89,293.89,626.98
1779912000000,293.89,294.6,292.5,292.79,392.7
1779926400000,292.79,295.89,290.3,290.8,318.92
1779940800000,290.8,293.11,288.42,293.11,292.07
1779955200000,293.11,294.72,287.4,291.48,193.47
1779969600000,291.48,301.48,287.42,296.74,685.39
1779984000000,296.74,306.6,290.55,290.55,516.58
1779998400000,290.55,292.7,279.39,286.34,491.68
1780012800000,286.34,288.04,285.31,286.53,240.77
1780027200000,286.53,288.39,283.27,284.45,217.46
1780041600000,284.45,286.12,281.32,284.66,261.19
1780056000000,284.66,284.87,269.55,276.27,999.6
1780070400000,276.27,286.19,272.67,285.16,589.14
1780084800000,285.16,285.6,282.09,282.37,173.16
1780099200000,282.37,283.25,281.3,283.19,139.46
1780113600000,283.19,283.27,280.88,282.86,164.77
1780128000000,282.86,283.27,282.12,282.4,97.44
1780142400000,282.4,285.16,282.39,283.3,143.75
1780156800000,283.3,283.69,283.21,283.49,103.84
1780171200000,283.49,284.28,283.31,284.12,84.81
1780185600000,284.12,284.66,283.78,284.61,83.68
1780200000000,284.61,284.95,283.99,284.56,99.74
1780214400000,284.56,285.29,283.24,285.27,139.37
1780228800000,285.27,285.58,284.42,285.48,124.19
1780243200000,285.48,285.48,284.6,284.89,96.58
1780257600000,284.89,285.36,283.69,284.05,88.81
1780272000000,284.05,284.97,281.3,281.69,236.52
1780286400000,281.69,283.56,280.3,281.24,200.63
1780300800000,281.24,282.67,274.88,275.76,186.42
1780315200000,275.76,278.87,270.52,274.95,715.82
1780329600000,274.95,287.86,272.59,273.91,637.5
1780344000000,273.91,275.42,273.52,274.38,145.47
1780358400000,274.38,275.85,271.35,272.39,237.33
1780372800000,272.39,274.98,272.26,274.42,177.09
1780387200000,274.42,283.45,274.42,281.18,304.65
1780401600000,281.18,302.8,280.08,298.39,1706.01
1780416000000,298.39,305.23,295.08,302.82,1609.04
1780430400000,302.82,303.78,297.22,301.64,1375.77
1780444800000,301.64,306.72,301.37,305.62,568.82
1780459200000,305.62,306.16,302.05,304.18,328.29
1780473600000,304.18,306.03,295.32,300.81,1259.36
1780488000000,300.81,301.45,284.88,290.19,1043.39
1780502400000,290.19,291.25,283.24,287.56,298.07
1780516800000,287.56,289.74,280.05,280.19,223.6
1780531200000,280.19,284.87,280.19,284.05,204.53
1780545600000,284.05,287.34,283.88,285.9,228.4
1780560000000,285.9,285.9,274.41,277.68,534.71
1780574400000,277.68,287.57,272.53,287.39,533.56
1780588800000,287.39,295.62,287.3,291.45,346.02
1780603200000,291.45,291.52,287.05,287.11,145.68
1780617600000,287.11,287.76,280.99,285.75,249.24
1780632000000,285.75,287.51,283.0,284.34,161.57
1780646400000,284.34,284.76,281.59,282.67,158.89
1780660800000,282.67,285.39,267.47,269.8,567.67
1780675200000,269.8,269.8,252.38,263.73,383.71
1780689600000,263.73,263.81,251.5,253.26,231.44
1780704000000,253.26,255.18,247.76,248.88,189.57
1780718400000,248.88,249.31,246.36,246.97,230.66
1780732800000,246.97,251.61,246.95,249.91,177.12
1780747200000,249.91,254.8,249.91,253.09,459.6
1780761600000,253.09,253.68,249.94,251.24,113.61
1780776000000,251.24,251.96,250.84,251.7,79.93
