time,open,high,low,close,volume
1767153600000,27.96,28.05,27.93,27.95,506.4
1767168000000,27.95,28.16,27.83,28.09,1474.64
1767182400000,28.09,28.18,27.36,27.51,2625.17
1767196800000,27.51,27.72,27.1,27.14,2295.02
1767211200000,27.14,27.31,26.86,27.15,2254.73
1767225600000,27.15,27.19,27.15,27.18,119.4
1767240000000,27.18,27.18,27.18,27.18,0.0
1767254400000,27.18,27.18,27.18,27.18,0.0
1767268800000,27.18,27.18,27.18,27.18,0.0
1767283200000,27.18,27.18,27.18,27.18,0.0
1767297600000,27.18,27.18,27.18,27.18,0.0
1767312000000,27.18,27.89,27.18,27.85,1076.57
1767326400000,27.85,27.91,27.7,27.8,1081.4
1767340800000,27.8,28.61,27.78,28.32,2761.64
1767355200000,28.32,29.56,27.5,29.38,5753.79
1767369600000,29.38,31.1,29.28,30.85,6500.45
1767384000000,30.85,31.49,30.82,31.39,3116.72
1767398400000,31.39,31.5,31.37,31.5,360.94
1767412800000,31.5,31.5,31.5,31.5,0.0
1767427200000,31.5,31.5,31.5,31.5,0.0
1767441600000,31.5,31.5,31.5,31.5,0.0
1767456000000,31.5,31.5,31.5,31.5,0.0
1767470400000,31.5,31.5,31.5,31.5,0.0
1767484800000,31.5,31.5,31.5,31.5,0.0
1767499200000,31.5,31.5,31.5,31.5,0.0
1767513600000,31.5,31.5,31.5,31.5,0.0
1767528000000,31.5,31.5,31.5,31.5,0.0
1767542400000,31.5,31.5,31.5,31.5,0.0
1767556800000,31.5,31.5,31.5,31.5,0.0
1767571200000,31.5,32.91,31.5,32.48,1846.06
1767585600000,32.48,32.49,31.71,32.0,1613.5
1767600000000,32.0,32.45,31.92,32.42,3770.51
1767614400000,32.42,32.82,31.95,32.52,5497.93
1767628800000,32.52,33.41,32.11,33.33,4480.35
1767643200000,33.33,33.77,33.13,33.33,3838.79
1767657600000,33.33,33.6,32.8,33.23,1578.28
1767672000000,33.23,33.41,33.1,33.16,874.5
1767686400000,33.16,33.37,32.85,33.29,3331.65
1767700800000,33.29,34.15,32.77,33.15,5968.36
1767715200000,33.15,33.27,31.4,31.83,5026.17
1767729600000,31.83,33.71,31.83,33.33,2748.11
1767744000000,33.33,33.42,32.6,32.87,2504.33
1767758400000,32.87,32.9,32.46,32.65,860.19
1767772800000,32.65,32.68,31.92,32.26,2175.65
1767787200000,32.26,32.32,30.25,31.03,4005.92
1767801600000,31.03,31.61,30.41,30.87,4116.37
1767816000000,30.87,30.87,30.3,30.76,1519.06
1767830400000,30.76,30.98,30.36,30.39,1214.93
1767844800000,30.39,30.63,29.72,30.2,1728.8
1767859200000,30.2,30.29,29.9,30.13,2218.49
1767873600000,30.13,30.21,29.19,30.14,5446.8
