time,open,high,low,close,volume
1644105600000,413.99,421.09,413.46,417.27,4022.02
1644120000000,417.39,418.01,412.98,416.41,3990.01
1644134400000,416.21,419.52,415.01,416.45,3466.66
1644148800000,416.5,421.52,407.38,410.87,3110.686
1644163200000,410.94,415.24,409.38,413.85,2996.48
1644177600000,414.0,419.92,410.68,419.92,3155.43
1644192000000,419.79,427.78,413.48,427.13,3778.8
1644206400000,426.9,429.08,424.88,426.36,3636.49
1644220800000,426.35,427.08,421.74,426.54,4144.72
1644235200000,426.45,438.41,425.44,437.9,4535.2526
1644249600000,438.26,438.71,432.09,435.89,5952.6
1644264000000,435.68,437.61,432.5,433.34,2969.48
1644278400000,433.3,435.21,428.62,434.57,5483.09
1644292800000,434.75,445.05,434.0,439.0,4271.151
1644307200000,438.8,439.43,421.19,426.55,4379.85
1644321600000,426.39,426.42,413.98,418.01,5664.29
1644336000000,418.24,419.1,406.57,407.88,6824.63
1644350400000,407.78,416.91,407.14,407.98,9128.14
1644364800000,407.85,414.72,407.29,409.79,6025.18
1644379200000,409.98,416.11,408.25,415.81,3051.26
1644393600000,415.69,419.8,412.28,419.39,2656.78
1644408000000,419.15,425.38,417.89,421.04,3278.07
1644422400000,421.04,427.0,419.46,426.12,4292.22
1644436800000,426.15,427.43,420.7,422.68,3354.31
1644451200000,422.66,422.73,415.15,416.15,4476.64
1644465600000,416.45,420.93,415.58,420.92,6250.21
1644480000000,420.87,429.7,420.38,426.93,3359.4
1644494400000,426.94,434.61,410.21,424.61,6779.0915
1644508800000,424.61,431.54,420.48,420.59,5000.18
1644523200000,420.55,422.14,413.28,414.31,4074.52
1644537600000,414.31,415.82,407.88,415.43,3211.6254
1644552000000,415.49,418.12,410.98,417.6,4187.58
1644566400000,417.73,418.59,412.38,414.14,3391.04
1644580800000,414.33,417.3,413.58,415.17,3188.53
1644595200000,415.15,415.99,401.47,404.98,3558.3441
1644609600000,404.57,405.53,393.07,400.2,5267.1926
1644624000000,399.99,403.43,397.02,399.83,3609.22
1644638400000,399.72,401.67,393.55,397.66,2425.57
1644652800000,397.88,403.01,396.57,402.38,4018.871
1644667200000,402.17,402.42,395.35,397.74,3478.5853
1644681600000,397.72,406.85,396.47,403.39,4218.35
1644696000000,403.55,405.96,398.06,403.19,3039.44
1644710400000,403.39,406.53,401.92,403.12,3990.69
1644724800000,403.41,404.65,401.87,403.66,5205.96
1644739200000,403.62,404.55,401.52,403.58,3411.07
1644753600000,403.49,407.03,402.38,403.84,4144.09
1644768000000,404.08,404.18,395.05,396.21,3318.12
1644782400000,396.35,400.53,395.45,397.91,4734.96
1644796800000,397.9,398.97,390.85,393.81,4141.1
1644811200000,393.72,395.64,391.28,395.64,2536.22
1644825600000,395.51,397.55,393.33,396.29,3759.9
1644840000000,396.78,404.22,395.32,401.18,3362.37
1644854400000,401.52,403.88,396.07,398.16,4546.89
1644868800000,398.07,403.76,396.97,403.35,3866.06
1644883200000,403.28,416.78,402.79,412.83,5514.78
1644897600000,412.99,427.61,412.81,427.36,4810.73
1644912000000,427.42,441.32,424.39,428.54,10794.4236
1644926400000,428.39,433.61,426.13,432.49,4837.1247
1644940800000,432.39,432.74,423.29,429.46,4583.56
1644955200000,429.29,433.9,426.45,432.43,4203.27
1644969600000,432.41,433.21,429.14,431.08,3788.8
1644984000000,431.02,431.43,428.04,430.83,4659.48
1644998400000,430.9,433.15,428.39,430.62,4858.49
1645012800000,430.68,431.36,422.48,425.16,3474.35
1645027200000,425.21,431.74,422.89,430.98,3448.46
1645041600000,431.17,431.82,426.36,427.32,1860.5
1645056000000,427.34,430.81,425.26,425.26,3365.51
1645070400000,425.25,427.69,421.41,427.42,3672.15
1645084800000,427.59,428.18,420.48,424.02,4305.22
1645099200000,423.8,425.08,411.29,413.43,4023.4
1645113600000,413.44,414.44,403.68,408.21,5159.07
1645128000000,408.22,408.22,400.15,402.5,2645.23
1645142400000,402.4,404.75,398.63,404.52,5575.46
1645156800000,404.42,408.41,402.28,407.02,3952.63
1645171200000,407.1,410.84,402.8,403.29,3900.91
1645185600000,403.38,406.27,394.28,395.3,5867.59
1645200000000,395.38,399.93,392.57,399.34,3459.63
1645214400000,399.36,399.96,395.47,399.22,4616.01
1645228800000,399.16,404.39,397.63,401.69,3139.36
1645243200000,401.52,406.29,401.52,404.94,6416.7
1645257600000,404.94,405.45,395.25,396.64,3824.86
1645272000000,396.66,400.23,393.25,399.6,4799.45
1645286400000,399.69,403.69,396.17,396.5,5238.65
1645300800000,396.46,400.24,396.08,399.86,2336.17
1645315200000,399.88,400.18,388.77,389.55,4630.51
1645329600000,389.57,389.69,377.67,381.77,4098.27
1645344000000,381.33,382.0,375.76,381.93,6665.64
1645358400000,381.87,384.43,375.36,380.37,2585.62
1645372800000,379.93,384.08,379.61,381.72,5539.07
1645387200000,381.97,385.86,377.85,380.6,3768.61
1645401600000,380.69,392.22,378.81,388.01,6626.85
1645416000000,388.09,393.43,388.09,392.7,5492.69
1645430400000,392.57,393.43,368.8,370.24,3848.88
1645444800000,369.82,383.62,365.26,379.06,4739.89
1645459200000,379.01,381.61,367.57,371.55,6287.37
1645473600000,371.48,372.26,355.23,356.53,4818.46
1645488000000,356.54,361.16,348.94,352.11,7909.56
1645502400000,352.25,359.05,352.02,356.05,4745.87
1645516800000,356.21,366.8,355.94,364.63,6906.78
1645531200000,364.51,370.64,361.94,367.04,5545.51
1645545600000,366.92,373.33,362.4,371.52,3997.59
1645560000000,371.55,375.14,366.36,374.29,3980.34
1645574400000,374.03,380.21,371.16,372.68,5583.0
1645588800000,372.29,377.89,371.97,377.83,3737.74
1645603200000,377.81,382.63,375.66,379.66,5238.78
1645617600000,379.82,383.91,376.27,378.63,4749.45
1645632000000,378.43,382.93,370.22,371.01,4363.67
1645646400000,370.91,371.54,365.59,365.66,3580.24
1645660800000,365.59,368.22,339.52,341.74,6463.06
1645675200000,341.54,343.95,323.93,335.77,7300.9
1645689600000,335.75,342.45,330.64,335.64,7246.5378
1645704000000,335.75,345.65,332.32,345.27,6269.21
1645718400000,344.94,358.57,342.75,358.57,5479.82
