time,open,high,low,close,volume
1772438400000,37.45,37.57,36.93,37.25,756.41
1772452800000,37.25,37.86,37.17,37.28,3277.12
1772467200000,37.28,37.28,36.54,36.87,2356.42
1772481600000,36.87,37.86,36.87,37.35,1386.28
1772496000000,37.35,37.35,37.35,37.35,0.0
1772510400000,37.35,37.35,37.35,37.35,0.0
1772524800000,37.35,37.35,37.35,37.35,0.0
1772539200000,37.35,40.05,37.35,39.82,3308.96
1772553600000,39.82,39.99,37.36,38.24,7253.37
1772568000000,38.24,38.64,38.09,38.61,843.01
1772582400000,38.61,38.61,38.61,38.61,0.0
1772596800000,38.61,38.61,38.61,38.61,0.0
1772611200000,38.61,38.61,38.61,38.61,0.0
1772625600000,38.61,39.15,38.35,38.52,2769.32
1772640000000,38.52,38.95,38.38,38.68,2223.82
1772654400000,38.68,39.02,38.68,38.9,372.8
1772668800000,38.9,38.9,38.9,38.9,0.0
1772683200000,38.9,38.9,38.9,38.9,0.0
1772697600000,38.9,38.9,38.9,38.9,0.0
1772712000000,38.9,40.31,38.9,40.06,1677.86
1772726400000,40.06,40.89,39.91,40.89,3420.66
1772740800000,40.89,41.04,40.08,40.24,1284.3
1772755200000,40.24,40.24,40.24,40.24,0.0
1772769600000,40.24,40.24,40.24,40.24,0.0
1772784000000,40.24,40.24,40.24,40.24,0.0
1772798400000,40.24,43.7,40.24,43.25,8448.31
1772812800000,43.25,44.96,43.18,44.23,4614.85
1772827200000,44.23,44.23,43.83,43.93,1362.15
1772841600000,43.93,43.93,43.93,43.93,0.0
1772856000000,43.93,43.93,43.93,43.93,0.0
1772870400000,43.93,43.93,43.93,43.93,0.0
1772884800000,43.93,43.93,43.93,43.93,0.0
1772899200000,43.93,43.93,43.93,43.93,0.0
1772913600000,43.93,43.93,43.93,43.93,0.0
1772928000000,43.93,43.93,43.93,43.93,0.0
1772942400000,43.93,43.93,43.93,43.93,0.0
1772956800000,43.93,43.93,43.93,43.93,0.0
1772971200000,43.93,43.93,43.93,43.93,0.0
1772985600000,43.93,43.93,43.93,43.93,0.0
1773000000000,43.93,43.93,43.93,43.93,0.0
1773014400000,43.93,43.93,43.93,43.93,0.0
1773028800000,43.93,43.93,43.93,43.93,0.0
1773043200000,43.93,43.93,43.93,43.93,0.0
1773057600000,43.93,50.29,43.93,46.79,11224.93
1773072000000,46.79,47.84,39.99,42.76,12093.83
1773086400000,42.76,42.76,42.73,42.73,3.67
1773100800000,42.73,42.73,42.73,42.73,0.0
1773115200000,42.73,42.73,42.73,42.73,0.0
1773129600000,42.73,42.73,42.73,42.73,0.0
1773144000000,42.73,43.94,41.46,42.09,5261.46
1773158400000,42.09,43.71,38.72,43.47,8908.5
1773172800000,43.47,43.47,43.41,43.41,1.83
1773187200000,43.41,43.41,43.41,43.41,0.0
1773201600000,43.41,43.41,43.41,43.41,0.0
1773216000000,43.41,43.41,43.41,43.41,0.0
1773230400000,43.41,43.86,41.63,43.86,3685.36
1773244800000,43.86,44.34,43.44,44.05,2494.89
1773259200000,44.05,44.05,44.05,44.05,0.0
1773273600000,44.05,44.05,44.05,44.05,0.0
1773288000000,44.05,44.05,44.05,44.05,0.0
1773302400000,44.05,44.05,44.05,44.05,0.0
1773316800000,44.05,48.35,44.05,47.11,4509.86
1773331200000,47.11,48.46,46.54,48.26,2545.43
1773345600000,48.26,48.26,48.26,48.26,1.79
1773360000000,48.26,48.26,48.26,48.26,0.0
1773374400000,48.26,48.26,48.26,48.26,0.0
1773388800000,48.26,48.26,48.26,48.26,0.0
1773403200000,48.26,48.54,47.04,48.29,1998.5
1773417600000,48.29,49.42,48.06,49.07,1714.95
1773432000000,49.07,49.07,49.07,49.07,0.0
1773446400000,49.07,49.07,49.07,49.07,0.0
1773460800000,49.07,49.07,49.07,49.07,0.0
1773475200000,49.07,49.07,49.07,49.07,0.0
1773489600000,49.07,49.07,49.07,49.07,0.0
1773504000000,49.07,49.07,49.07,49.07,0.0
1773518400000,49.07,49.07,49.07,49.07,0.0
1773532800000,49.07,49.07,49.07,49.07,0.0
1773547200000,49.07,49.07,49.07,49.07,0.0
1773561600000,49.07,49.07,49.07,49.07,0.0
1773576000000,49.07,49.07,49.07,49.07,0.0
1773590400000,49.07,49.07,49.07,49.07,0.0
1773604800000,49.07,49.07,49.07,49.07,0.0
1773619200000,49.07,49.07,49.07,49.07,0.0
1773633600000,49.07,49.07,49.07,49.07,0.0
1773648000000,49.07,49.07,49.07,49.07,0.0
1773662400000,49.07,49.07,47.57,48.52,1935.4
1773676800000,48.52,49.13,47.45,47.66,1541.54
1773691200000,47.66,47.66,47.66,47.66,0.0
1773705600000,47.66,47.66,47.66,47.66,0.0
1773720000000,47.66,47.66,47.66,47.66,0.0
1773734400000,47.66,47.66,47.66,47.66,0.0
1773748800000,47.66,48.99,47.66,48.89,1120.97
1773763200000,48.89,49.47,48.31,49.4,1546.01
1773777600000,49.4,49.4,49.4,49.4,0.23
1773792000000,49.4,49.4,49.4,49.4,0.0
1773806400000,49.4,49.4,49.4,49.4,0.0
1773820800000,49.4,49.4,49.4,49.4,0.0
