time,open,high,low,close,volume
1710475200000,0.004061,0.005,0.003822,0.004988,63278684.9
1710489600000,0.004988,0.006502,0.003965,0.005029,827871003.9
1710504000000,0.005029,0.010111,0.004643,0.010111,1584067906.3
1710518400000,0.010111,0.011209,0.007375,0.00843,1386401592.8
1710532800000,0.00843,0.009505,0.007313,0.009155,598165954.3
1710547200000,0.009155,0.014879,0.008832,0.012416,1418412499.9
1710561600000,0.012416,0.01513,0.011114,0.013234,1646864694.8
1710576000000,0.013234,0.027975,0.013128,0.02073,2577583875.1
1710590400000,0.02073,0.028,0.020067,0.023347,1732750696.4
1710604800000,0.023347,0.024633,0.016329,0.019616,919723499.1
1710619200000,0.019616,0.02184,0.017758,0.020831,447167722.7
1710633600000,0.020831,0.024733,0.020498,0.022151,507461375.9
1710648000000,0.022151,0.022184,0.018105,0.020357,527944258.8
1710662400000,0.020357,0.020844,0.0165,0.016937,524388531.8
1710676800000,0.016937,0.017838,0.014717,0.017154,694421752.3
1710691200000,0.017154,0.018441,0.01653,0.01782,238599458.0
1710705600000,0.01782,0.019726,0.016349,0.018438,249394968.0
1710720000000,0.018438,0.019337,0.017291,0.017876,230278372.3
1710734400000,0.017876,0.018662,0.015846,0.015917,212936080.9
1710748800000,0.015917,0.016006,0.012302,0.013724,808559856.0
1710763200000,0.013724,0.014184,0.012083,0.012852,444643555.7
1710777600000,0.012852,0.013155,0.010528,0.011201,603403926.4
1710792000000,0.011201,0.011957,0.009668,0.010613,365094311.6
1710806400000,0.010613,0.01143,0.008894,0.009813,738011142.1
1710820800000,0.009813,0.012264,0.008769,0.012223,858177454.8
1710835200000,0.012223,0.012287,0.010325,0.011584,410252021.1
1710849600000,0.011584,0.012169,0.010312,0.011413,312695429.5
1710864000000,0.011413,0.013565,0.011259,0.01208,365072022.1
1710878400000,0.01208,0.012096,0.010577,0.011294,193616259.3
1710892800000,0.011294,0.012885,0.011076,0.012457,309285094.8
1710907200000,0.012457,0.012778,0.011203,0.012184,234867849.2
1710921600000,0.012184,0.012437,0.01153,0.011743,140612005.4
1710936000000,0.011743,0.01187,0.010683,0.010815,242208169.2
1710950400000,0.010815,0.012199,0.010666,0.011963,179397815.3
1710964800000,0.011963,0.01281,0.011754,0.012016,191409614.5
1710979200000,0.012016,0.012213,0.011238,0.011279,213451292.2
1710993600000,0.011279,0.01195,0.010995,0.011726,120951816.5
1711008000000,0.011726,0.012126,0.011236,0.011511,101718974.4
1711022400000,0.011511,0.014894,0.011508,0.014611,3378774582.8
1711036800000,0.014611,0.014668,0.012802,0.013267,1302683021.0
1711051200000,0.013267,0.014071,0.012988,0.01383,730285462.3
1711065600000,0.01383,0.014848,0.013054,0.014846,1070357063.2
1711080000000,0.014846,0.016857,0.014598,0.01567,2250708095.5
1711094400000,0.01567,0.016473,0.014722,0.014807,1356148667.9
1711108800000,0.014807,0.015209,0.013348,0.014574,1920298195.0
1711123200000,0.014574,0.014886,0.014016,0.01457,688166234.8
1711137600000,0.01457,0.014674,0.013924,0.014644,491330232.3
1711152000000,0.014644,0.015542,0.014052,0.014647,845361084.7
1711166400000,0.014647,0.015494,0.01456,0.015252,541479472.7
1711180800000,0.015252,0.015408,0.0141,0.014327,701969303.9
1711195200000,0.014327,0.01483,0.014245,0.014502,614160136.3
1711209600000,0.014502,0.014672,0.014212,0.014306,384679258.0
1711224000000,0.014306,0.014377,0.013907,0.013908,348376847.9
1711238400000,0.013908,0.014098,0.012829,0.012962,823108122.4
1711252800000,0.012962,0.01321,0.012658,0.012963,495384198.8
1711267200000,0.012963,0.013586,0.012884,0.013482,591465004.7
1711281600000,0.013482,0.0138,0.013104,0.013671,544468269.8
1711296000000,0.013671,0.013743,0.01313,0.013605,394168342.8
1711310400000,0.013605,0.014477,0.013507,0.014204,596643282.4
1711324800000,0.014204,0.014426,0.013705,0.014054,565403216.0
1711339200000,0.014054,0.014201,0.013348,0.01344,450685762.9
1711353600000,0.01344,0.013831,0.013415,0.013473,414317618.3
1711368000000,0.013473,0.014195,0.012994,0.013961,1000647785.6
1711382400000,0.013961,0.015285,0.013863,0.014333,974677046.3
1711396800000,0.014333,0.014473,0.013967,0.014085,328930956.3
1711411200000,0.014085,0.014853,0.013964,0.014575,437965268.1
1711425600000,0.014575,0.014791,0.0142,0.014363,500628002.5
1711440000000,0.014363,0.014518,0.014107,0.014172,472888102.1
1711454400000,0.014172,0.014412,0.013524,0.013705,732462609.6
1711468800000,0.013705,0.013831,0.013208,0.013534,490207085.7
1711483200000,0.013534,0.013777,0.013464,0.013528,225018493.2
1711497600000,0.013528,0.013994,0.013366,0.013458,493729087.3
1711512000000,0.013458,0.013589,0.012943,0.013069,486061788.7
1711526400000,0.013069,0.013252,0.012637,0.012934,585179762.7
1711540800000,0.012934,0.013323,0.01261,0.012656,840792487.7
1711555200000,0.012656,0.012846,0.012393,0.012608,382087772.4
1711569600000,0.012608,0.012769,0.012437,0.012595,215958948.9
1711584000000,0.012595,0.013375,0.012069,0.012307,790842341.4
1711598400000,0.012307,0.012696,0.012292,0.012662,369075176.2
1711612800000,0.012662,0.013068,0.012429,0.01271,584572222.6
1711627200000,0.01271,0.013274,0.012634,0.013087,751524249.2
1711641600000,0.013087,0.013896,0.012825,0.013734,467999953.8
1711656000000,0.013734,0.014867,0.013539,0.014575,993868134.8
1711670400000,0.014575,0.014575,0.013607,0.013624,649085176.1
1711684800000,0.013624,0.013685,0.012912,0.012974,479069880.8
1711699200000,0.012974,0.013256,0.012796,0.013039,461244180.1
1711713600000,0.013039,0.013268,0.012703,0.01287,402632375.4
1711728000000,0.01287,0.013333,0.012869,0.013148,313898724.5
1711742400000,0.013148,0.013165,0.012867,0.012979,219396263.1
