time,open,high,low,close,volume
1702627200000,2.974e-05,3.161e-05,2.55e-05,3.144e-05,534096626187.0
1702641600000,3.144e-05,3.206e-05,2.676e-05,2.827e-05,524880192475.0
1702656000000,2.827e-05,3.092e-05,2.77e-05,2.964e-05,343738747969.0
1702670400000,2.964e-05,2.969e-05,2.282e-05,2.373e-05,482468788570.0
1702684800000,2.373e-05,2.67e-05,2.174e-05,2.616e-05,351060701113.0
1702699200000,2.616e-05,2.658e-05,2.331e-05,2.387e-05,221014971473.0
1702713600000,2.387e-05,2.505e-05,2.284e-05,2.492e-05,208611799993.0
1702728000000,2.492e-05,2.588e-05,2.369e-05,2.485e-05,283788165198.0
1702742400000,2.485e-05,2.522e-05,2.03e-05,2.145e-05,341322023457.0
1702756800000,2.145e-05,2.241e-05,2.053e-05,2.175e-05,253947591270.0
1702771200000,2.175e-05,2.263e-05,2.135e-05,2.238e-05,150886849524.0
1702785600000,2.238e-05,2.26e-05,2.054e-05,2.069e-05,131501430025.0
1702800000000,2.069e-05,2.198e-05,2.061e-05,2.1e-05,134272913775.0
1702814400000,2.1e-05,2.135e-05,1.973e-05,2.132e-05,262585981740.0
1702828800000,2.132e-05,2.288e-05,2.08e-05,2.257e-05,232786095848.0
1702843200000,2.257e-05,2.496e-05,2.224e-05,2.285e-05,505589535662.0
1702857600000,2.285e-05,2.344e-05,2.059e-05,2.131e-05,167109371638.0
1702872000000,2.131e-05,2.166e-05,2.011e-05,2.039e-05,194951324824.0
1702886400000,2.039e-05,2.051e-05,1.833e-05,1.938e-05,301481062331.0
1702900800000,1.938e-05,2.053e-05,1.865e-05,1.935e-05,215066929878.0
1702915200000,1.935e-05,1.963e-05,1.871e-05,1.936e-05,150935509331.0
1702929600000,1.936e-05,2.155e-05,1.902e-05,2.086e-05,199120225664.0
1702944000000,2.086e-05,2.304e-05,2.039e-05,2.161e-05,206637469118.0
1702958400000,2.161e-05,2.188e-05,2.052e-05,2.094e-05,115143456728.0
1702972800000,2.094e-05,2.168e-05,2.008e-05,2.017e-05,159185779715.0
1702987200000,2.017e-05,2.033e-05,1.889e-05,1.944e-05,194763095531.0
1703001600000,1.944e-05,1.977e-05,1.89e-05,1.943e-05,134038218747.0
1703016000000,1.943e-05,1.961e-05,1.864e-05,1.898e-05,94560813096.0
1703030400000,1.898e-05,1.935e-05,1.746e-05,1.79e-05,158170951302.0
1703044800000,1.79e-05,1.866e-05,1.768e-05,1.78e-05,156567871040.0
1703059200000,1.78e-05,1.847e-05,1.775e-05,1.844e-05,152556600046.0
1703073600000,1.844e-05,2.161e-05,1.812e-05,2.02e-05,400497080107.0
1703088000000,2.02e-05,2.056e-05,1.879e-05,1.887e-05,296212903935.0
1703102400000,1.887e-05,1.901e-05,1.825e-05,1.889e-05,143786200667.0
1703116800000,1.889e-05,1.983e-05,1.829e-05,1.946e-05,158027218862.0
1703131200000,1.946e-05,2.036e-05,1.911e-05,1.998e-05,186497880876.0
1703145600000,1.998e-05,1.998e-05,1.883e-05,1.892e-05,176805005822.0
1703160000000,1.892e-05,1.921e-05,1.842e-05,1.886e-05,150575977550.0
1703174400000,1.886e-05,1.942e-05,1.838e-05,1.891e-05,181755849233.0
1703188800000,1.891e-05,2.159e-05,1.89e-05,2.068e-05,413277634954.0
1703203200000,2.068e-05,2.285e-05,1.994e-05,2.073e-05,340691083925.0
1703217600000,2.073e-05,2.078e-05,1.879e-05,1.899e-05,196950744722.0
1703232000000,1.899e-05,1.932e-05,1.852e-05,1.927e-05,162400683789.0
1703246400000,1.927e-05,1.962e-05,1.889e-05,1.915e-05,147606895184.0
1703260800000,1.915e-05,1.929e-05,1.877e-05,1.901e-05,114179276617.0
1703275200000,1.901e-05,1.943e-05,1.892e-05,1.934e-05,68841691734.0
1703289600000,1.934e-05,1.948e-05,1.783e-05,1.797e-05,148216821509.0
1703304000000,1.797e-05,1.836e-05,1.782e-05,1.827e-05,89010758710.0
1703318400000,1.827e-05,1.845e-05,1.814e-05,1.836e-05,55200249313.0
1703332800000,1.836e-05,1.857e-05,1.824e-05,1.839e-05,67823002447.0
1703347200000,1.839e-05,1.926e-05,1.823e-05,1.869e-05,140612848747.0
1703361600000,1.869e-05,1.998e-05,1.864e-05,1.985e-05,151513415651.0
1703376000000,1.985e-05,1.998e-05,1.856e-05,1.929e-05,126357929382.0
1703390400000,1.929e-05,1.952e-05,1.853e-05,1.897e-05,99830912319.0
1703404800000,1.897e-05,1.909e-05,1.852e-05,1.884e-05,91593110410.0
1703419200000,1.884e-05,1.914e-05,1.873e-05,1.875e-05,80500939357.0
