time,open,high,low,close,volume
1773129600000,89.017,90.875,88.868,90.348,293.06
1773144000000,90.348,91.843,85.333,86.926,2280.36
1773158400000,86.926,90.427,80.296,90.107,4153.82
1773172800000,90.107,91.778,88.136,89.001,1541.6
1773187200000,89.001,89.068,85.122,85.375,1729.61
1773201600000,85.375,87.866,84.937,87.777,2017.65
1773216000000,87.777,90.174,86.837,88.963,3362.5
1773230400000,88.963,90.114,85.908,90.027,3069.73
1773244800000,90.027,90.983,89.033,90.696,1927.15
1773259200000,90.696,96.274,90.454,94.297,2859.54
1773273600000,94.297,97.9,93.856,96.809,2041.75
1773288000000,96.809,97.334,92.181,92.685,3828.62
1773302400000,92.685,95.138,92.51,94.723,2465.37
1773316800000,94.723,97.881,94.536,95.67,4134.24
1773331200000,95.67,98.444,94.446,97.721,2964.75
1773345600000,97.721,100.401,97.009,97.939,2690.48
1773360000000,97.939,97.994,96.003,97.028,2619.29
1773374400000,97.028,98.665,95.823,98.423,2263.08
1773388800000,98.423,98.803,95.142,95.526,2731.41
1773403200000,95.526,97.814,94.351,97.286,2982.47
1773417600000,97.286,99.178,96.7,98.77,2660.17
1773432000000,98.77,100.488,97.814,98.416,1534.51
1773446400000,98.416,102.177,98.1,101.319,2254.55
1773460800000,101.319,102.484,101.142,102.003,1471.46
1773475200000,102.003,104.694,101.845,104.576,5553.4
1773489600000,104.576,105.461,103.605,104.434,3996.25
1773504000000,104.434,105.965,104.153,105.928,4965.05
1773518400000,105.928,106.839,101.24,103.336,5114.18
1773532800000,103.336,104.515,99.036,101.901,5449.43
1773547200000,101.901,103.813,100.36,102.05,2915.47
1773561600000,102.05,104.042,101.953,102.666,1392.7
1773576000000,102.666,105.275,102.475,104.73,3360.0
1773590400000,104.73,105.871,104.251,104.731,1903.77
1773604800000,104.731,105.636,99.135,99.42,5511.63
1773619200000,99.42,100.552,97.769,100.28,4416.41
1773633600000,100.28,101.917,99.293,101.208,3199.39
1773648000000,101.208,101.676,98.135,98.792,3692.98
1773662400000,98.792,99.167,95.614,97.736,6573.98
1773676800000,97.736,98.807,95.411,96.166,3296.92
1773691200000,96.166,97.822,95.881,97.391,1589.59
1773705600000,97.391,100.248,97.391,98.439,1234.08
1773720000000,98.439,100.427,98.088,99.076,1953.99
1773734400000,99.076,99.965,98.452,99.498,1369.38
1773748800000,99.498,99.566,97.233,98.817,2365.05
1773763200000,98.817,99.783,97.62,99.625,1280.72
1773777600000,99.625,99.802,98.452,99.522,1230.24
1773792000000,99.522,99.551,97.267,97.294,1288.11
1773806400000,97.294,98.279,96.772,98.132,1323.92
1773820800000,98.132,100.837,98.132,99.805,3500.74
1773835200000,99.805,105.169,99.805,104.24,4850.77
1773849600000,104.24,105.236,101.549,105.059,4737.02
1773864000000,105.059,107.024,104.632,105.567,4089.87
1773878400000,105.567,107.929,105.567,106.813,4506.12
1773892800000,106.813,109.583,106.62,108.841,9680.92
1773907200000,108.841,112.104,107.47,107.777,22609.0
1773921600000,107.777,108.094,104.839,105.324,9900.56
1773936000000,105.324,106.75,99.751,103.05,8426.52
1773950400000,103.05,103.655,101.852,102.657,2207.7
1773964800000,102.657,103.062,100.434,102.742,1642.02
1773979200000,102.742,104.147,102.133,103.224,1870.76
1773993600000,103.224,106.51,102.681,103.137,6429.33
1774008000000,103.137,106.159,102.652,105.01,8160.79
1774022400000,105.01,107.403,104.727,106.148,4318.68
1774036800000,106.148,107.473,102.361,105.717,4833.31
1774051200000,105.717,106.15,103.797,104.248,2500.08
1774065600000,104.248,106.8,103.959,105.514,2376.27
1774080000000,105.514,106.384,104.67,105.44,2132.77
1774094400000,105.44,106.108,104.383,104.844,2840.75
1774108800000,104.844,105.028,103.0,103.0,1527.88
1774123200000,103.0,107.32,103.0,107.222,2515.59
1774137600000,107.222,107.764,105.585,107.307,3534.0
1774152000000,107.307,107.835,106.805,107.173,3648.09
1774166400000,107.173,108.907,107.12,108.732,4136.22
1774180800000,108.732,109.769,108.199,109.396,3176.31
1774195200000,109.396,110.954,108.753,110.488,3913.88
1774209600000,110.488,111.871,105.77,107.234,9293.53
1774224000000,107.234,108.205,106.352,108.097,3873.31
1774238400000,108.097,109.639,107.064,109.125,3771.42
1774252800000,109.125,109.715,88.441,101.603,29063.05
1774267200000,101.603,102.525,93.076,98.307,22603.8
1774281600000,98.307,99.729,93.968,96.014,10685.13
1774296000000,96.014,97.196,95.663,97.064,4986.42
1774310400000,97.064,100.506,96.73,100.07,3817.14
1774324800000,100.07,100.397,97.132,97.153,6701.65
1774339200000,97.153,98.862,96.683,98.444,4116.47
1774353600000,98.444,99.967,98.056,99.644,5702.72
1774368000000,99.644,100.749,98.665,99.689,3942.16
1774382400000,99.689,99.765,94.184,96.521,6512.97
1774396800000,96.521,96.521,93.014,96.075,6652.56
1774411200000,96.075,97.024,95.31,95.596,2178.91
1774425600000,95.596,96.344,93.729,94.486,4024.51
1774440000000,94.486,97.395,94.224,97.314,5345.89
1774454400000,97.314,98.308,96.291,97.799,4312.84
1774468800000,97.799,98.202,97.696,97.856,1554.72
1774483200000,97.856,98.864,97.785,98.476,1626.13
1774497600000,98.476,99.939,98.279,99.767,3704.04
1774512000000,99.767,101.816,99.352,101.816,3808.61
1774526400000,101.816,102.064,100.12,101.827,5106.07
