time,open,high,low,close,volume
1642435200000,11.154,11.315,11.066,11.302,498871.374
1642449600000,11.304,11.322,11.115,11.272,261771.763
1642464000000,11.274,11.405,11.204,11.246,196913.76
1642478400000,11.246,11.297,11.115,11.155,401297.245
1642492800000,11.156,11.158,10.745,10.907,375248.994
1642507200000,10.907,10.934,10.715,10.734,233793.062
1642521600000,10.738,10.765,10.535,10.637,429752.18
1642536000000,10.635,11.005,10.564,10.915,354472.325
1642550400000,10.915,10.915,10.635,10.692,233630.46
1642564800000,10.699,10.726,10.375,10.408,407090.85
1642579200000,10.408,10.606,10.383,10.594,263266.605
1642593600000,10.594,10.793,10.565,10.667,300391.803
1642608000000,10.667,10.805,10.595,10.785,346522.433
1642622400000,10.785,10.82,10.575,10.575,227670.555
1642636800000,10.575,10.686,10.565,10.678,384506.93
1642651200000,10.677,10.985,10.665,10.956,292168.326
1642665600000,10.957,10.965,10.625,10.771,240208.926
1642680000000,10.772,11.075,10.684,11.071,299665.375
1642694400000,11.061,11.087,10.775,10.82,269482.136
1642708800000,10.821,10.835,10.244,10.275,318718.903
1642723200000,10.263,10.378,10.014,10.023,333035.318
1642737600000,10.023,10.226,10.015,10.219,400621.77
1642752000000,10.221,10.265,10.035,10.061,364986.1
1642766400000,10.062,10.075,9.544,9.873,497205.403
1642780800000,9.876,9.955,9.704,9.705,255587.229
1642795200000,9.71,9.747,8.734,8.928,294126.97
1642809600000,8.926,9.045,8.763,8.797,820407.18
1642824000000,8.794,8.876,7.092,7.235,390276.894
1642838400000,7.225,7.497,6.831,7.455,411015.44
1642852800000,7.456,7.922,7.426,7.505,416927.47
1642867200000,7.498,7.719,7.263,7.355,391684.146
1642881600000,7.354,7.754,7.327,7.518,371667.913
1642896000000,7.518,7.806,7.468,7.698,424589.837
1642910400000,7.699,8.284,7.667,8.267,719074.765
1642924800000,8.268,8.424,8.136,8.149,351001.345
1642939200000,8.15,8.277,7.763,7.855,513561.62
1642953600000,7.846,8.014,7.704,7.75,352027.925
1642968000000,7.74,8.236,7.719,8.167,463789.194
1642982400000,8.165,8.174,7.744,7.807,401820.845
1642996800000,7.805,7.839,7.603,7.609,275780.685
1643011200000,7.608,7.726,6.954,7.062,332969.836
1643025600000,7.066,7.137,6.813,7.074,635720.2
1643040000000,7.073,7.51,6.982,7.497,483112.801
1643054400000,7.497,7.808,7.481,7.637,365342.084
1643068800000,7.634,7.644,7.353,7.455,512165.295
1643083200000,7.455,7.466,7.242,7.358,553873.252
1643097600000,7.358,7.627,7.334,7.588,369219.636
1643112000000,7.586,7.629,7.392,7.528,362785.78
1643126400000,7.529,7.867,7.519,7.777,392464.21
1643140800000,7.774,7.774,7.523,7.658,384397.68
1643155200000,7.658,7.69,7.524,7.648,373512.011
1643169600000,7.649,7.744,7.614,7.662,349513.489
1643184000000,7.66,7.856,7.66,7.846,263953.125
1643198400000,7.852,8.003,7.781,7.824,520081.632
1643212800000,7.824,8.014,7.584,7.665,473154.021
1643227200000,7.664,7.664,7.231,7.455,531851.32
1643241600000,7.459,7.516,7.037,7.066,394025.175
1643256000000,7.067,7.246,7.049,7.188,437629.505
1643270400000,7.188,7.292,7.153,7.263,395306.965
1643284800000,7.263,7.398,7.242,7.323,613690.605
1643299200000,7.324,7.334,6.923,7.006,403094.78
1643313600000,7.004,7.251,6.874,7.195,371039.673
1643328000000,7.202,7.278,7.026,7.146,378622.04
1643342400000,7.148,7.234,7.022,7.027,544070.29
1643356800000,7.024,7.113,6.953,6.998,546133.62
1643371200000,6.997,7.039,6.884,7.005,980311.45
1643385600000,7.005,7.164,6.971,7.143,484503.356
1643400000000,7.143,7.207,7.083,7.144,367533.625
1643414400000,7.141,7.229,7.082,7.199,374238.16
1643428800000,7.201,7.356,7.183,7.351,442606.99
1643443200000,7.35,7.376,7.196,7.256,255251.915
1643457600000,7.255,7.396,7.122,7.17,316509.966
1643472000000,7.172,7.244,7.1,7.204,386082.11
1643486400000,7.204,7.297,7.176,7.223,329765.34
1643500800000,7.228,7.273,7.145,7.184,386958.614
1643515200000,7.184,7.288,7.15,7.288,323431.33
1643529600000,7.289,7.566,7.213,7.504,306145.009
1643544000000,7.504,7.607,7.292,7.431,372460.952
1643558400000,7.436,7.58,7.314,7.326,286853.49
1643572800000,7.326,7.462,7.312,7.387,426232.805
1643587200000,7.387,7.408,7.087,7.215,384848.544
1643601600000,7.217,7.341,7.206,7.307,304055.657
1643616000000,7.307,7.334,7.263,7.313,455857.955
1643630400000,7.313,7.444,7.216,7.409,531446.84
1643644800000,7.404,7.604,7.393,7.526,376269.772
1643659200000,7.527,7.546,7.357,7.394,585851.14
1643673600000,7.395,7.598,7.376,7.585,323441.381
1643688000000,7.584,7.689,7.55,7.636,320997.923
1643702400000,7.631,7.712,7.52,7.664,860362.786
1643716800000,7.665,7.721,7.563,7.671,558411.0
1643731200000,7.677,7.767,7.644,7.647,329472.05
1643745600000,7.648,7.754,7.644,7.692,436803.286
1643760000000,7.691,7.708,7.604,7.682,376489.624
1643774400000,7.682,7.692,7.613,7.624,612261.176
1643788800000,7.623,7.644,7.574,7.625,622370.51
1643803200000,7.628,7.701,7.317,7.321,500755.93
1643817600000,7.32,7.438,7.263,7.413,404516.61
1643832000000,7.412,7.433,7.213,7.244,391793.472
1643846400000,7.244,7.294,7.141,7.206,508702.04
1643860800000,7.204,7.254,7.174,7.226,368314.481
1643875200000,7.225,7.262,7.011,7.115,453800.22
1643889600000,7.111,7.197,7.04,7.192,392270.965
1643904000000,7.192,7.244,7.092,7.114,432615.68
1643918400000,7.116,7.246,7.072,7.24,380464.844
1643932800000,7.242,7.286,7.193,7.229,304936.17
1643947200000,7.229,7.397,7.223,7.338,668176.35
1643961600000,7.337,7.397,7.32,7.349,338599.09
1643976000000,7.349,7.52,7.233,7.455,413734.39
1643990400000,7.459,7.79,7.452,7.768,289956.75
1644004800000,7.767,7.86,7.734,7.842,592951.19
1644019200000,7.843,7.946,7.746,7.946,783211.136
1644033600000,7.941,8.31,7.89,8.004,345584.416
1644048000000,8.004,8.073,7.884,7.954,363516.83
1644062400000,7.956,8.084,7.923,8.067,421805.162
1644076800000,8.06,8.086,7.773,7.869,561648.37
1644091200000,7.869,7.951,7.825,7.911,384656.166
1644105600000,7.911,8.056,7.892,8.015,522292.81
1644120000000,8.01,8.046,7.892,8.036,389498.818
1644134400000,8.036,8.102,7.996,8.046,320225.469
1644148800000,8.045,8.147,7.834,7.953,397264.64
1644163200000,7.956,8.054,7.929,7.98,309788.687
1644177600000,7.974,8.355,7.913,8.258,317645.42
1644192000000,8.255,8.331,8.079,8.324,678564.11
1644206400000,8.324,8.42,8.264,8.364,387681.114
1644220800000,8.374,8.394,8.231,8.291,368134.938
1644235200000,8.293,8.571,8.266,8.511,345331.77
1644249600000,8.52,8.556,8.417,8.513,419962.26
1644264000000,8.513,8.537,8.432,8.486,623987.144
1644278400000,8.484,8.627,8.4,8.546,383290.374
1644292800000,8.547,8.687,8.432,8.461,331169.734
1644307200000,8.463,8.466,8.103,8.232,425872.664
1644321600000,8.23,8.236,7.914,7.976,523600.55
1644336000000,7.972,8.017,7.833,7.847,462897.696
1644350400000,7.846,8.066,7.842,7.97,629341.434
1644364800000,7.97,8.124,7.953,7.967,366029.773
1644379200000,7.967,8.144,7.954,8.139,374882.48
1644393600000,8.128,8.216,8.075,8.212,388193.78
1644408000000,8.211,8.357,8.194,8.246,420997.055
1644422400000,8.248,8.341,8.203,8.318,323380.995
1644436800000,8.319,8.348,8.173,8.196,342014.72
1644451200000,8.196,8.214,8.092,8.121,401428.815
1644465600000,8.121,8.217,8.109,8.212,442635.324
1644480000000,8.212,8.405,8.21,8.34,389879.904
1644494400000,8.338,8.447,7.952,8.256,484128.23
1644508800000,8.256,8.386,8.183,8.184,599170.38
1644523200000,8.184,8.226,8.041,8.056,370770.9
1644537600000,8.055,8.108,7.973,8.101,541222.92
1644552000000,8.103,8.172,8.033,8.165,672754.626
1644566400000,8.166,8.187,8.033,8.076,462268.516
1644580800000,8.076,8.226,8.046,8.1,778023.02
1644595200000,8.102,8.109,7.824,7.915,536592.94
1644609600000,7.905,7.919,7.663,7.766,387345.846
1644624000000,7.767,7.908,7.705,7.824,365966.375
1644638400000,7.824,7.859,7.668,7.724,369337.088
1644652800000,7.725,7.854,7.723,7.818,671767.69
1644667200000,7.818,7.827,7.693,7.737,425051.646
1644681600000,7.738,7.888,7.704,7.821,359575.811
1644696000000,7.827,7.862,7.733,7.807,415868.476
1644710400000,7.807,7.888,7.763,7.813,602670.14
1644724800000,7.814,7.896,7.797,7.883,385711.054
1644739200000,7.882,7.956,7.872,7.889,498396.986
1644753600000,7.89,7.996,7.874,7.956,376193.9
1644768000000,7.962,7.968,7.783,7.811,509529.265
1644782400000,7.808,8.177,7.793,8.007,364107.516
1644796800000,8.009,8.024,7.803,7.993,581682.04
1644811200000,7.993,8.004,7.814,7.873,496567.866
1644825600000,7.873,7.917,7.824,7.879,508165.65
1644840000000,7.878,8.048,7.856,7.962,482796.195
1644854400000,7.962,8.057,7.892,7.932,464144.884
1644868800000,7.934,8.058,7.913,8.034,384553.507
1644883200000,8.034,8.247,8.006,8.126,554369.68
1644897600000,8.124,8.34,8.124,8.31,466245.63
1644912000000,8.311,8.576,8.284,8.324,419459.756
1644926400000,8.324,8.374,8.276,8.318,419975.63
1644940800000,8.318,8.338,8.153,8.257,368749.258
1644955200000,8.258,8.357,8.193,8.317,313145.75
1644969600000,8.316,8.324,8.233,8.237,443314.68
1644984000000,8.239,8.257,8.191,8.256,397162.103
1644998400000,8.257,8.3,8.216,8.242,395551.152
1645012800000,8.243,8.259,8.084,8.117,647312.18
1645027200000,8.118,8.248,8.086,8.233,477554.54
1645041600000,8.233,8.263,8.193,8.229,344616.64
1645056000000,8.228,8.289,8.203,8.204,458985.3
1645070400000,8.204,8.284,8.116,8.264,330976.845
1645084800000,8.265,8.28,8.151,8.205,491438.195
1645099200000,8.204,8.217,7.963,7.997,408554.38
1645113600000,7.997,8.018,7.826,7.942,352510.19
1645128000000,7.941,7.944,7.773,7.843,412196.275
1645142400000,7.848,7.916,7.756,7.907,386369.597
1645156800000,7.908,7.968,7.859,7.947,316576.765
1645171200000,7.947,8.038,7.791,7.798,397718.675
1645185600000,7.791,7.877,7.674,7.688,424114.903
1645200000000,7.688,7.814,7.643,7.739,359732.61
1645214400000,7.738,7.816,7.684,7.715,471179.99
1645228800000,7.716,7.826,7.705,7.779,521613.74
1645243200000,7.773,7.859,7.769,7.811,508603.11
1645257600000,7.81,7.825,7.556,7.582,305619.221
1645272000000,7.582,7.634,7.484,7.624,393026.37
1645286400000,7.625,7.707,7.563,7.582,308122.266
1645300800000,7.586,7.776,7.583,7.767,551868.0
1645315200000,7.768,7.773,7.572,7.597,484470.504
1645329600000,7.592,7.601,7.304,7.416,479322.22
1645344000000,7.416,7.417,7.303,7.382,408407.205
1645358400000,7.381,7.434,7.258,7.344,386289.866
1645372800000,7.344,7.432,7.334,7.404,286257.887
1645387200000,7.403,7.457,7.322,7.363,399475.593
1645401600000,7.363,7.578,7.333,7.461,509490.31
1645416000000,7.464,7.784,7.46,7.687,545481.434
1645430400000,7.69,7.698,7.21,7.224,458147.445
1645444800000,7.22,7.387,7.044,7.297,401361.617
1645459200000,7.293,7.336,7.088,7.192,398286.59
1645473600000,7.195,7.207,6.862,6.876,304933.94
1645488000000,6.876,6.976,6.694,6.76,441859.92
1645502400000,6.76,6.894,6.734,6.784,450953.935
1645516800000,6.784,6.997,6.783,6.95,257939.647
1645531200000,6.948,7.077,6.888,7.009,548581.34
1645545600000,7.009,7.128,6.941,7.102,606156.8
1645560000000,7.102,7.187,7.022,7.177,298755.049
1645574400000,7.173,7.226,7.003,7.016,343040.335
1645588800000,7.012,7.125,7.009,7.12,429699.66
1645603200000,7.121,7.197,7.092,7.153,559189.946
1645617600000,7.153,7.236,7.063,7.113,413292.74
1645632000000,7.113,7.2,6.903,6.904,463832.52
1645646400000,6.904,6.929,6.823,6.84,273623.485
1645660800000,6.838,6.869,6.162,6.166,661494.27
1645675200000,6.167,6.181,5.581,5.815,649307.34
1645689600000,5.822,5.95,5.779,5.814,385593.558
1645704000000,5.814,6.023,5.708,6.02,451372.946
