time,open,high,low,close,volume
1778587200000,298.08,300.48,290.06,290.64,19.78
1778601600000,290.64,295.89,286.13,295.42,34.7
1778616000000,295.42,297.28,283.94,295.18,17.58
1778630400000,295.18,301.0,294.26,300.86,125.61
1778644800000,300.86,312.29,300.75,312.29,24.2
1778659200000,312.29,320.62,304.36,311.24,93.76
1778673600000,311.24,318.69,297.31,307.67,84.04
1778688000000,307.67,318.73,301.33,309.26,61.41
1778702400000,309.26,309.29,282.14,289.16,199.25
1778716800000,289.16,294.48,286.44,289.86,146.96
1778731200000,289.86,301.45,284.44,298.5,136.71
1778745600000,298.5,303.25,281.11,284.44,281.08
1778760000000,284.44,391.99,278.75,341.45,3315.09
1778774400000,341.45,386.94,300.93,312.15,2034.1
1778788800000,312.15,334.07,308.62,328.8,190.01
1778803200000,328.8,337.08,320.81,330.44,162.14
1778817600000,330.44,331.99,312.65,325.97,223.39
1778832000000,325.97,331.49,290.87,295.88,805.29
1778846400000,295.88,307.69,276.65,293.77,1134.96
1778860800000,293.77,300.58,277.83,278.79,411.1
1778875200000,278.79,288.85,277.97,279.52,257.59
1778889600000,279.52,281.89,265.56,269.23,311.81
1778904000000,269.23,274.97,269.03,271.15,194.0
1778918400000,271.15,274.09,269.92,271.9,174.6
1778932800000,271.9,275.17,269.31,274.03,159.94
1778947200000,274.03,274.03,269.77,271.16,65.76
1778961600000,271.16,273.97,271.16,272.74,65.63
1778976000000,272.74,273.12,271.08,272.95,66.99
1778990400000,272.95,274.19,272.06,273.92,101.83
1779004800000,273.92,273.95,271.76,272.45,50.67
1779019200000,272.45,277.68,272.05,277.48,73.92
1779033600000,277.48,278.48,273.47,277.09,98.82
1779048000000,277.09,286.12,262.32,265.84,706.06
1779062400000,265.84,272.58,260.75,270.99,928.53
1779076800000,270.99,275.66,267.08,273.16,163.62
1779091200000,273.16,287.39,272.57,283.75,853.37
1779105600000,283.75,301.79,273.46,295.68,1833.99
1779120000000,295.68,300.76,284.25,295.75,1176.58
1779134400000,295.75,304.75,295.09,303.49,386.26
1779148800000,303.49,309.32,293.21,293.99,281.86
1779163200000,293.99,304.19,293.27,302.11,167.29
1779177600000,302.11,302.59,286.62,288.84,3172.54
1779192000000,288.84,331.35,287.11,324.92,1596.75
1779206400000,324.92,332.64,302.02,303.19,1889.05
1779220800000,303.19,309.84,302.76,307.69,201.42
1779235200000,307.69,316.43,304.91,309.08,178.45
1779249600000,309.08,313.64,307.31,310.89,120.97
1779264000000,310.89,317.45,310.89,313.71,324.69
1779278400000,313.71,335.72,291.08,293.36,1667.32
1779292800000,293.36,297.84,283.96,291.48,1220.93
1779307200000,291.48,296.14,287.38,288.24,404.59
1779321600000,288.24,295.02,287.68,291.78,248.09
1779336000000,291.78,293.63,284.94,288.47,254.33
1779350400000,288.47,295.99,287.96,294.23,248.85
1779364800000,294.23,295.59,276.56,276.9,1009.3
1779379200000,276.9,284.82,276.23,281.38,461.08
1779393600000,281.38,283.84,279.28,283.11,92.66
1779408000000,283.11,284.92,281.06,284.71,119.56
1779422400000,284.71,285.6,283.29,285.4,84.52
1779436800000,285.4,289.2,278.89,283.09,293.76
1779451200000,283.09,284.99,254.21,270.83,1200.67
1779465600000,270.83,270.94,250.26,256.23,579.36
1779480000000,256.23,256.31,252.93,253.0,101.12
1779494400000,253.0,253.0,248.2,249.99,231.29
1779508800000,249.99,252.08,248.45,250.05,192.44
1779523200000,250.05,250.07,244.51,247.62,239.46
1779537600000,247.62,253.1,247.17,251.49,310.2
1779552000000,251.49,258.16,251.48,257.05,166.56
1779566400000,257.05,263.07,256.1,260.4,470.76
1779580800000,260.4,262.03,257.06,257.38,150.66
1779595200000,257.38,261.01,257.36,260.75,83.37
1779609600000,260.75,261.75,260.09,260.77,78.65
1779624000000,260.77,262.03,255.21,258.25,277.49
1779638400000,258.25,260.91,257.82,260.71,62.17
1779652800000,260.71,264.4,260.7,263.51,174.87
1779667200000,263.51,264.7,259.01,260.71,173.79
1779681600000,260.71,264.79,260.7,263.52,49.54
1779696000000,263.52,270.05,263.19,266.32,198.06
1779710400000,266.32,267.11,263.31,264.61,228.25
1779724800000,264.61,267.05,264.59,265.6,59.99
1779739200000,265.6,265.88,263.1,264.27,44.36
1779753600000,264.27,264.27,255.53,257.43,146.27
1779768000000,257.43,257.44,254.58,256.18,47.91
1779782400000,256.18,260.56,252.07,260.16,128.38
1779796800000,260.16,261.84,236.71,251.16,1633.16
1779811200000,251.16,253.66,241.55,241.85,1035.74
1779825600000,241.85,242.87,240.97,241.23,59.68
1779840000000,241.23,243.62,236.97,242.39,175.68
1779854400000,242.39,242.96,241.0,242.41,86.36
1779868800000,242.41,247.86,242.3,245.39,143.48
1779883200000,245.39,265.87,243.22,256.9,1471.91
1779897600000,256.9,268.66,250.14,267.29,509.35
1779912000000,267.29,269.87,263.2,263.52,216.07
1779926400000,263.52,267.3,256.29,256.57,249.92
1779940800000,256.57,265.66,253.62,263.55,334.18
1779955200000,263.55,264.01,259.68,262.32,313.23
1779969600000,262.32,267.95,257.14,263.52,921.46
1779984000000,263.52,263.63,242.33,242.64,942.08
1779998400000,242.64,245.76,241.23,245.29,177.4
1780012800000,245.29,248.54,242.91,244.14,265.06
1780027200000,244.14,244.78,243.14,243.46,158.28
1780041600000,243.46,247.44,243.46,245.62,208.7
1780056000000,245.62,250.08,233.02,235.14,1090.43
1780070400000,235.14,238.97,234.01,237.34,516.03
1780084800000,237.34,238.16,236.02,237.51,126.82
1780099200000,237.51,238.7,236.88,236.91,86.47
1780113600000,236.91,238.41,235.4,237.83,139.89
1780128000000,237.83,237.83,236.8,237.45,52.32
1780142400000,237.45,237.51,234.78,236.3,105.4
1780156800000,236.3,237.69,234.15,237.63,134.15
1780171200000,237.63,238.45,237.56,238.23,56.45
1780185600000,238.23,239.27,237.61,239.16,65.62
1780200000000,239.16,240.82,239.04,240.49,78.02
1780214400000,240.49,241.99,239.88,241.3,91.15
1780228800000,241.3,241.34,238.67,239.66,86.43
1780243200000,239.66,240.24,239.32,240.0,43.76
1780257600000,240.0,242.5,240.0,242.4,126.89
1780272000000,242.4,242.64,234.45,236.94,236.03
1780286400000,236.94,237.73,232.87,234.28,127.31
1780300800000,234.28,235.51,230.51,234.24,236.04
1780315200000,234.24,234.71,217.75,223.02,849.56
1780329600000,223.02,223.6,213.36,213.64,507.73
1780344000000,213.64,214.36,213.08,214.11,211.04
1780358400000,214.11,215.38,211.55,211.78,236.51
1780372800000,211.78,214.66,210.29,214.18,272.05
1780387200000,214.18,222.02,213.91,219.62,315.99
1780401600000,219.62,239.46,217.01,234.22,920.01
1780416000000,234.22,241.1,230.49,237.11,711.33
1780430400000,237.11,239.41,235.15,235.39,246.07
1780444800000,235.39,239.03,233.97,236.57,297.95
1780459200000,236.57,238.6,236.48,237.93,166.89
1780473600000,237.93,240.5,227.32,234.56,494.35
1780488000000,234.56,235.81,216.15,217.06,866.42
1780502400000,217.06,218.13,213.85,215.28,299.53
1780516800000,215.28,215.41,210.87,211.6,276.53
1780531200000,211.6,216.63,211.43,215.04,229.5
1780545600000,215.04,216.6,214.86,215.66,108.42
1780560000000,215.66,216.69,208.64,211.09,582.56
1780574400000,211.09,214.43,206.04,206.54,778.49
1780588800000,206.54,218.96,206.3,215.46,619.21
1780603200000,215.46,216.13,211.84,212.41,180.48
1780617600000,212.41,212.82,207.16,211.12,166.98
1780632000000,211.12,211.4,207.69,209.17,158.53
1780646400000,209.17,211.24,209.1,210.35,260.23
1780660800000,210.35,222.17,207.65,210.85,971.56
1780675200000,210.85,210.85,197.35,200.88,712.65
1780689600000,200.88,200.97,199.19,199.68,189.23
1780704000000,199.68,201.28,182.96,190.14,442.49
1780718400000,190.14,192.57,186.14,190.05,292.89
1780732800000,190.05,193.13,189.29,192.01,170.72
1780747200000,192.01,193.62,191.98,192.47,114.79
1780761600000,192.47,196.1,192.19,195.9,123.17
1780776000000,195.9,198.54,195.69,198.11,112.25
1780790400000,198.11,199.39,198.04,199.12,169.79
1780804800000,199.12,201.85,199.11,201.65,187.13
1780819200000,201.65,204.66,201.58,204.5,286.01
1780833600000,204.5,207.87,204.35,205.95,214.12
1780848000000,205.95,206.38,198.17,198.4,196.49
1780862400000,198.4,199.82,195.3,199.4,220.61
1780876800000,199.4,207.45,199.31,201.73,248.15
1780891200000,201.73,206.15,200.89,205.9,185.47
1780905600000,205.9,213.48,204.4,212.93,465.28
1780920000000,212.93,240.42,204.89,236.92,1758.29
1780934400000,236.92,249.17,236.92,238.32,1450.43
1780948800000,238.32,242.4,238.24,239.77,301.67
1780963200000,239.77,244.75,236.15,241.66,521.19
1780977600000,241.66,244.24,241.53,241.86,596.03
1780992000000,241.86,249.13,241.86,245.63,563.02
1781006400000,245.63,247.08,217.82,218.04,1546.32
1781020800000,218.04,229.86,215.57,227.32,1006.06
1781035200000,227.32,227.34,222.73,223.68,202.97
1781049600000,223.68,229.05,221.73,221.8,270.73
1781064000000,221.8,223.1,218.54,222.85,155.15
1781078400000,222.85,223.19,217.91,219.05,317.77
1781092800000,219.05,253.26,217.86,245.55,1825.4
1781107200000,245.55,247.2,234.12,237.19,590.76
1781121600000,237.19,238.2,227.94,232.13,309.42
1781136000000,232.13,240.11,230.46,238.33,406.59
1781150400000,238.33,243.54,235.72,242.47,278.51
1781164800000,242.47,248.1,241.69,247.23,416.95
1781179200000,247.23,247.34,224.11,227.74,1217.35
1781193600000,227.74,229.16,221.18,227.06,983.72
1781208000000,227.06,229.18,227.04,228.97,153.45
1781222400000,228.97,230.79,226.45,227.98,267.13
1781236800000,227.98,228.4,223.44,225.24,199.79
1781251200000,225.24,230.29,225.24,229.9,367.5
1781265600000,229.9,229.91,208.82,209.54,943.69
1781280000000,209.54,219.35,208.96,214.29,598.23
1781294400000,214.29,216.18,214.29,215.84,123.36
1781308800000,215.84,217.76,215.79,217.11,87.24
1781323200000,217.11,217.21,215.94,216.51,97.65
1781337600000,216.51,217.63,215.98,216.02,76.18
1781352000000,216.02,216.61,215.65,215.98,48.85
1781366400000,215.98,218.1,214.33,217.94,120.14
1781380800000,217.94,218.27,217.4,217.79,82.93
1781395200000,217.79,217.9,216.91,217.28,39.58
1781409600000,217.28,218.96,216.57,218.58,60.11
1781424000000,218.58,219.1,217.96,218.45,51.17
1781438400000,218.45,218.5,215.12,215.67,109.24
1781452800000,215.67,215.89,214.8,215.08,47.53
1781467200000,215.08,219.89,214.95,218.34,106.28
1781481600000,218.34,221.36,214.46,216.85,207.01
1781496000000,216.85,219.76,216.77,218.93,116.79
1781510400000,218.93,223.24,218.36,222.46,311.84
1781524800000,222.46,225.23,211.9,216.9,810.87
1781539200000,216.9,220.66,212.99,217.66,507.57
1781553600000,217.66,218.0,217.04,217.5,122.28
1781568000000,217.5,217.78,215.66,217.08,192.36
1781582400000,217.08,219.53,216.93,218.87,145.92
1781596800000,218.87,221.14,218.42,220.24,199.32
1781611200000,220.24,220.3,202.42,206.09,692.54
1781625600000,206.09,214.83,206.03,211.72,595.36
1781640000000,211.72,212.37,210.56,211.73,150.01
1781654400000,211.73,212.71,211.35,212.25,128.19
1781668800000,212.25,214.46,212.24,214.21,157.18
1781683200000,214.21,215.65,212.76,212.84,210.39
1781697600000,212.84,230.67,210.52,224.75,946.75
1781712000000,224.75,224.91,213.49,213.85,523.73
1781726400000,213.85,219.27,213.75,218.83,183.18
1781740800000,218.83,219.66,215.12,219.02,178.84
1781755200000,219.02,219.08,217.23,218.21,121.46
1781769600000,218.21,221.16,218.08,220.17,252.15
1781784000000,220.17,245.58,216.11,234.59,1488.47
1781798400000,234.59,235.62,225.07,234.89,703.03
1781812800000,234.89,237.36,234.54,236.25,200.6
1781827200000,236.25,238.19,233.89,234.18,157.6
1781841600000,234.18,234.83,231.69,233.05,280.16
1781856000000,233.05,235.46,232.51,233.05,139.37
1781870400000,233.05,236.55,231.66,234.71,225.17
1781884800000,234.71,234.76,232.85,233.35,129.02
1781899200000,233.35,234.06,233.22,234.03,73.65
1781913600000,234.03,234.42,233.14,233.39,63.65
1781928000000,233.39,235.11,232.85,233.57,96.13
1781942400000,233.57,234.41,232.17,232.3,73.53
1781956800000,232.3,232.33,230.85,231.05,71.09
1781971200000,231.05,231.06,230.31,230.53,41.17
1781985600000,230.53,232.3,230.2,232.07,52.59
1782000000000,232.07,233.32,231.8,232.15,67.7
1782014400000,232.15,234.1,232.11,234.04,55.61
1782028800000,234.04,236.91,233.99,236.33,78.08
1782043200000,236.33,239.42,235.35,235.83,141.22
1782057600000,235.83,235.84,235.12,235.4,36.04
1782072000000,235.4,235.43,230.76,231.06,120.92
1782086400000,231.06,237.16,227.99,233.32,327.55
1782100800000,233.32,236.26,232.41,235.91,124.37
1782115200000,235.91,237.13,233.7,235.77,252.39
1782129600000,235.77,240.95,227.8,228.43,983.97
1782144000000,228.43,233.12,224.47,224.62,773.82
1782158400000,224.62,228.48,224.52,225.4,185.64
1782172800000,225.4,225.41,215.42,218.54,384.37
1782187200000,218.54,219.25,213.43,215.49,427.25
1782201600000,215.49,218.6,213.66,218.14,305.73
1782216000000,218.14,223.31,210.59,215.4,975.52
1782230400000,215.4,236.13,215.39,227.38,1304.77
1782244800000,227.38,235.99,200.0,201.22,1329.81
1782259200000,201.22,204.58,199.15,204.26,277.84
1782273600000,204.26,204.28,199.85,200.64,262.18
1782288000000,200.64,204.76,193.49,203.52,764.22
1782302400000,203.52,210.77,185.74,186.93,1442.77
1782316800000,186.93,192.19,182.09,182.74,563.76
1782331200000,182.74,189.45,182.51,187.69,490.79
1782345600000,187.69,190.73,185.49,186.02,271.72
1782360000000,186.02,187.36,185.44,185.68,162.45
1782374400000,185.68,187.21,183.33,184.76,408.13
1782388800000,184.76,193.18,162.01,168.74,1784.74
1782403200000,168.74,175.13,165.49,168.55,923.46
1782417600000,168.55,170.61,167.24,168.91,283.16
1782432000000,168.91,171.63,162.68,164.72,355.72
1782446400000,164.72,166.63,163.72,166.58,222.76
1782460800000,166.58,166.98,163.11,165.7,360.74
1782475200000,165.7,175.55,161.25,173.33,844.42
1782489600000,173.33,183.68,170.74,181.7,1344.47
1782504000000,181.7,182.57,180.49,181.86,250.07
1782518400000,181.86,182.68,181.1,182.05,182.02
1782532800000,182.05,195.39,180.3,190.98,621.15
1782547200000,190.98,195.19,188.92,190.6,574.65
1782561600000,190.6,192.35,188.89,192.19,301.62
1782576000000,192.19,192.56,190.59,191.08,171.04
1782590400000,191.08,198.68,191.07,194.94,384.01
1782604800000,194.94,196.88,193.9,195.96,200.91
1782619200000,195.96,196.03,191.94,194.97,212.29
1782633600000,194.97,195.42,194.45,194.71,155.76
1782648000000,194.71,194.72,191.91,192.01,142.28
1782662400000,192.01,192.02,191.5,191.52,88.64
1782676800000,191.52,193.06,190.45,192.78,192.03
1782691200000,192.78,194.85,183.29,186.91,427.5
1782705600000,186.91,187.83,185.8,187.55,170.83
1782720000000,187.55,191.43,186.43,187.32,402.73
1782734400000,187.32,200.91,182.85,200.59,1258.59
1782748800000,200.59,221.17,200.56,216.28,1477.19
1782763200000,216.28,216.63,214.14,214.82,307.46
1782777600000,214.82,218.78,211.64,217.01,289.86
1782792000000,217.01,217.15,214.86,215.12,130.38
1782806400000,215.12,215.48,210.99,214.57,285.35
1782820800000,214.57,214.6,201.59,208.71,1411.25
1782835200000,208.71,221.47,208.25,221.2,930.71
1782849600000,221.2,223.41,217.49,218.92,262.91
1782864000000,218.92,221.27,214.45,218.39,230.67
1782878400000,218.39,219.78,216.31,216.94,134.73
1782892800000,216.94,217.06,214.91,216.59,174.18
1782907200000,216.59,228.05,208.0,218.48,1102.4
1782921600000,218.48,226.04,218.46,221.2,743.65
1782936000000,221.2,221.59,215.2,215.57,316.54
1782950400000,215.57,220.77,215.51,219.51,266.78
1782964800000,219.51,219.64,214.21,215.08,188.48
1782979200000,215.08,218.9,213.74,218.15,309.9
1782993600000,218.15,224.11,208.73,212.85,1059.05
1783008000000,212.85,213.04,204.35,205.09,765.4
1783022400000,205.09,206.09,204.07,204.52,117.13
1783036800000,204.52,205.38,202.73,204.03,196.61
1783051200000,204.03,205.42,203.05,203.08,98.92
1783065600000,203.08,203.25,200.45,200.55,117.04
1783080000000,200.55,201.8,200.02,200.71,111.56
1783094400000,200.71,203.28,200.71,202.24,140.8
1783108800000,202.24,202.72,201.49,201.63,83.0
1783123200000,201.63,201.8,200.98,201.25,69.59
