time,open,high,low,close,volume
1642435200000,0.25601,0.25712,0.25219,0.25603,1436846.06
1642449600000,0.25613,0.25741,0.25241,0.25673,1687604.75
1642464000000,0.25669,0.26102,0.25626,0.25862,1604657.73
1642478400000,0.25857,0.26028,0.2564,0.25798,1288102.57
1642492800000,0.25771,0.25778,0.24995,0.25374,2105540.76
1642507200000,0.25357,0.26799,0.24755,0.26017,6536905.85
1642521600000,0.26026,0.26301,0.25707,0.26099,4292757.0
1642536000000,0.26098,0.26201,0.25387,0.25917,2537018.04
1642550400000,0.25915,0.26067,0.25315,0.25387,1954478.41
1642564800000,0.25407,0.25495,0.24468,0.24607,1467790.5
1642579200000,0.24602,0.248,0.24192,0.24725,3086677.23
1642593600000,0.24715,0.25139,0.24653,0.2497,1388966.01
1642608000000,0.24967,0.25117,0.24723,0.24992,1218664.44
1642622400000,0.24985,0.24999,0.24627,0.24632,583043.57
1642636800000,0.2463,0.24932,0.24543,0.24928,771788.36
1642651200000,0.24925,0.25089,0.24871,0.25057,434317.58
1642665600000,0.25056,0.25141,0.24945,0.25094,942679.65
1642680000000,0.25067,0.25816,0.24806,0.25659,3499469.22
1642694400000,0.25673,0.25822,0.25159,0.25269,1318740.64
1642708800000,0.25265,0.25343,0.23303,0.23477,2853118.245
1642723200000,0.23445,0.23991,0.21905,0.22093,5178564.65
1642737600000,0.22079,0.2288,0.22067,0.22846,1755632.85
1642752000000,0.22832,0.22963,0.22449,0.22596,1367163.67
1642766400000,0.22605,0.22636,0.21474,0.22102,3914762.65
1642780800000,0.22113,0.22299,0.21252,0.21253,2607890.1
1642795200000,0.21262,0.21539,0.19241,0.19795,7430825.4
1642809600000,0.1978,0.20116,0.19397,0.19629,2453319.67
1642824000000,0.19628,0.19721,0.17595,0.17764,6971652.5
1642838400000,0.17753,0.18318,0.16324,0.17882,11880370.0
1642852800000,0.17891,0.18813,0.17365,0.17365,3867236.4
1642867200000,0.17402,0.1803,0.16892,0.17137,5242532.65
1642881600000,0.17132,0.18076,0.16999,0.17624,3316913.67
1642896000000,0.17622,0.18218,0.17461,0.17765,3629006.9
1642910400000,0.17757,0.18539,0.17693,0.1842,2959638.34
1642924800000,0.18409,0.19328,0.18328,0.18546,4478086.7
1642939200000,0.18545,0.18642,0.17639,0.17966,4065167.3
1642953600000,0.17962,0.18114,0.1739,0.17508,5568917.96
1642968000000,0.17505,0.18524,0.17403,0.18524,4033309.22
1642982400000,0.18517,0.1852,0.17459,0.17616,3084878.51
1642996800000,0.17614,0.17731,0.17,0.17035,2726849.43
1643011200000,0.17061,0.17369,0.15934,0.16206,12192432.2
1643025600000,0.16196,0.16605,0.1582,0.16536,6143210.5
1643040000000,0.16556,0.17321,0.16131,0.17087,4798689.55
1643054400000,0.1706,0.17721,0.17011,0.17546,2398378.64
