time,open,high,low,close,volume
1778760000000,21.61,22.16,20.69,21.92,16110.24
1778774400000,21.92,22.5,21.58,22.29,15917.97
1778788800000,22.29,22.29,22.29,22.29,0.0
1778803200000,22.29,22.29,22.29,22.29,0.0
1778817600000,22.29,22.29,22.29,22.29,0.0
1778832000000,22.29,22.29,22.29,22.29,0.0
1778846400000,22.29,22.29,20.07,20.43,16567.62
1778860800000,20.43,20.97,20.17,20.32,13820.85
1778875200000,20.32,20.32,20.31,20.32,2.11
1778889600000,20.32,20.32,20.32,20.32,0.0
1778904000000,20.32,20.32,20.32,20.32,0.0
1778918400000,20.32,20.32,20.32,20.32,0.0
1778932800000,20.32,20.32,20.32,20.32,0.0
1778947200000,20.32,20.32,20.32,20.32,0.0
1778961600000,20.32,20.32,20.32,20.32,0.0
1778976000000,20.32,20.32,20.32,20.32,0.0
1778990400000,20.32,20.32,20.32,20.32,0.0
1779004800000,20.32,20.32,20.32,20.32,0.0
1779019200000,20.32,20.32,20.32,20.32,0.0
1779033600000,20.32,20.32,20.32,20.32,0.0
1779048000000,20.32,20.32,20.32,20.32,0.0
1779062400000,20.32,20.32,20.32,20.32,0.0
1779076800000,20.32,20.32,20.32,20.32,0.0
1779091200000,20.32,20.32,20.32,20.32,0.0
1779105600000,20.32,20.32,18.11,18.53,25054.66
1779120000000,18.53,19.14,17.86,19.12,16074.21
1779134400000,19.12,19.12,19.12,19.12,0.0
1779148800000,19.12,19.12,19.12,19.12,0.0
1779163200000,19.12,19.12,19.12,19.12,0.0
1779177600000,19.12,19.12,19.12,19.12,0.0
1779192000000,19.12,19.12,17.64,18.19,19153.11
1779206400000,18.19,19.01,17.92,18.8,14421.06
1779220800000,18.8,18.8,18.8,18.8,0.03
1779235200000,18.8,18.8,18.8,18.8,0.0
1779249600000,18.8,18.8,18.8,18.8,0.0
1779264000000,18.8,18.8,18.8,18.8,0.0
1779278400000,18.8,20.42,18.8,20.02,17854.52
1779292800000,20.02,20.07,19.41,19.49,15007.69
1779307200000,19.49,19.49,19.48,19.48,3.12
1779321600000,19.48,19.48,19.48,19.48,0.0
1779336000000,19.48,19.48,19.48,19.48,0.0
1779350400000,19.48,19.48,19.48,19.48,0.0
1779364800000,19.48,20.99,19.48,20.78,17524.74
1779379200000,20.78,21.55,20.6,21.51,14231.44
1779393600000,21.51,21.52,21.51,21.51,21.34
1779408000000,21.51,21.51,21.51,21.51,0.0
1779422400000,21.51,21.51,21.51,21.51,0.0
1779436800000,21.51,21.51,21.51,21.51,0.0
1779451200000,21.51,21.79,20.97,21.79,12057.38
1779465600000,21.79,22.35,21.48,21.96,11722.74
1779480000000,21.96,21.99,21.96,21.99,24.47
1779494400000,21.99,21.99,21.99,21.99,0.0
1779508800000,21.99,21.99,21.99,21.99,0.0
1779523200000,21.99,21.99,21.99,21.99,0.0
1779537600000,21.99,21.99,21.99,21.99,0.0
1779552000000,21.99,21.99,21.99,21.99,0.0
1779566400000,21.99,21.99,21.99,21.99,0.0
1779580800000,21.99,21.99,21.99,21.99,0.0
1779595200000,21.99,21.99,21.99,21.99,0.0
1779609600000,21.99,21.99,21.99,21.99,0.0
1779624000000,21.99,21.99,21.99,21.99,0.0
1779638400000,21.99,21.99,21.99,21.99,0.0
1779652800000,21.99,21.99,21.99,21.99,0.0
1779667200000,21.99,21.99,21.99,21.99,0.0
1779681600000,21.99,21.99,21.99,21.99,0.0
1779696000000,21.99,21.99,21.99,21.99,0.0
1779710400000,21.99,21.99,21.99,21.99,0.0
1779724800000,21.99,21.99,21.99,21.99,0.0
1779739200000,21.99,21.99,21.99,21.99,0.0
1779753600000,21.99,21.99,21.99,21.99,0.0
1779768000000,21.99,21.99,21.99,21.99,0.0
1779782400000,21.99,21.99,21.99,21.99,0.0
1779796800000,21.99,24.54,21.99,23.45,15519.88
1779811200000,23.45,23.5,22.54,23.01,12466.16
1779825600000,23.01,23.02,22.95,22.95,38.81
1779840000000,22.95,22.95,22.95,22.95,0.0
1779854400000,22.95,22.95,22.95,22.95,0.0
1779868800000,22.95,22.95,22.95,22.95,0.0
1779883200000,22.95,23.23,22.19,23.15,14285.42
1779897600000,23.15,25.56,23.12,25.13,15223.28
1779912000000,25.13,25.17,25.13,25.17,17.75
1779926400000,25.17,25.17,25.17,25.17,0.0
1779940800000,25.17,25.17,25.17,25.17,0.0
1779955200000,25.17,25.17,25.17,25.17,0.0
1779969600000,25.17,25.17,24.06,24.89,10183.37
1779984000000,24.89,24.91,23.94,24.6,6749.09
1779998400000,24.6,24.6,24.54,24.54,6.95
1780012800000,24.54,24.54,24.54,24.54,0.0
1780027200000,24.54,24.54,24.54,24.54,0.0
1780041600000,24.54,24.54,24.54,24.54,0.0
1780056000000,24.54,24.54,22.59,23.54,10400.28
1780070400000,23.54,23.74,23.22,23.67,7585.51
1780084800000,23.67,23.67,23.63,23.63,23.48
1780099200000,23.63,23.63,23.63,23.63,0.0
1780113600000,23.63,23.63,23.63,23.63,0.0
1780128000000,23.63,23.63,23.63,23.63,0.0
1780142400000,23.63,23.63,23.63,23.63,0.0
1780156800000,23.63,23.63,23.63,23.63,0.0
1780171200000,23.63,23.63,23.63,23.63,0.0
1780185600000,23.63,23.63,23.63,23.63,0.0
1780200000000,23.63,23.63,23.63,23.63,0.0
1780214400000,23.63,23.63,23.63,23.63,0.0
1780228800000,23.63,23.63,23.63,23.63,0.0
1780243200000,23.63,23.63,23.63,23.63,0.0
1780257600000,23.63,23.63,23.63,23.63,0.0
1780272000000,23.63,23.63,23.63,23.63,0.0
1780286400000,23.63,23.63,23.63,23.63,0.0
1780300800000,23.63,23.63,23.63,23.63,0.0
1780315200000,23.63,24.73,22.41,23.85,14175.75
1780329600000,23.85,24.86,23.76,24.01,10526.47
1780344000000,24.01,24.06,24.01,24.06,18.75
1780358400000,24.06,24.06,24.06,24.06,0.0
1780372800000,24.06,24.06,24.06,24.06,0.0
1780387200000,24.06,24.06,24.06,24.06,0.0
1780401600000,24.06,26.39,24.06,25.22,20464.56
1780416000000,25.22,26.58,25.16,26.27,9911.26
1780430400000,26.27,26.29,26.27,26.29,4.85
1780444800000,26.29,26.29,26.29,26.29,0.0
1780459200000,26.29,26.29,26.29,26.29,0.0
1780473600000,26.29,26.29,26.29,26.29,0.0
1780488000000,26.29,28.59,26.29,26.75,20766.82
1780502400000,26.75,27.17,25.84,26.26,11891.04
1780516800000,26.26,26.27,26.26,26.27,3.55
1780531200000,26.27,26.27,26.27,26.27,0.0
1780545600000,26.27,26.27,26.27,26.27,0.0
1780560000000,26.27,26.27,26.27,26.27,0.0
1780574400000,26.27,26.27,24.22,24.88,14618.36
1780588800000,24.88,26.28,24.82,25.53,11326.25
1780603200000,25.53,25.53,25.52,25.52,91.19
1780617600000,25.52,25.52,25.52,25.52,0.0
1780632000000,25.52,25.52,25.52,25.52,0.0
1780646400000,25.52,25.52,25.52,25.52,0.0
1780660800000,25.52,25.52,22.11,22.34,15019.64
1780675200000,22.34,22.49,21.19,22.42,17721.51
1780689600000,22.42,22.44,22.42,22.43,13.53
1780704000000,22.43,22.43,22.43,22.43,0.0
1780718400000,22.43,22.43,22.43,22.43,0.0
1780732800000,22.43,22.43,22.43,22.43,0.0
1780747200000,22.43,22.43,22.43,22.43,0.0
1780761600000,22.43,22.43,22.43,22.43,0.0
1780776000000,22.43,22.43,22.43,22.43,0.0
1780790400000,22.43,22.43,22.43,22.43,0.0
1780804800000,22.43,22.43,22.43,22.43,0.0
1780819200000,22.43,22.43,22.43,22.43,0.0
1780833600000,22.43,22.43,22.43,22.43,0.0
1780848000000,22.43,22.43,22.43,22.43,0.0
1780862400000,22.43,22.43,22.43,22.43,0.0
