time,open,high,low,close,volume
1779249600000,356.4,359.0,356.3,357.2,19.66
1779264000000,357.2,366.1,357.0,365.4,86.08
1779278400000,365.4,366.6,354.2,361.7,84.95
1779292800000,361.7,361.8,347.5,359.0,87.03
1779307200000,359.0,362.1,354.5,356.7,84.56
1779321600000,356.7,362.8,356.5,361.6,70.62
1779336000000,361.6,364.0,359.3,361.1,71.98
1779350400000,361.1,364.5,357.9,358.3,69.23
1779364800000,358.3,380.9,357.1,375.0,93.9
1779379200000,375.0,381.2,372.3,378.3,91.0
1779393600000,378.3,381.8,376.3,381.1,96.96
1779408000000,381.1,383.2,380.5,382.9,71.7
1779422400000,382.9,385.5,382.7,385.3,74.4
1779436800000,385.3,388.9,376.2,378.2,90.74
1779451200000,378.2,382.5,370.8,379.1,98.59
1779465600000,379.1,382.1,375.2,377.8,95.84
1779480000000,377.8,379.3,375.7,375.9,70.87
1779494400000,375.9,375.9,371.0,372.6,69.91
1779508800000,372.6,373.4,370.9,372.4,70.52
1779523200000,372.4,373.9,370.7,373.2,68.83
1779537600000,373.2,375.5,371.5,371.6,70.25
1779552000000,371.6,380.7,371.1,380.1,72.05
1779566400000,380.1,384.9,379.9,383.3,74.21
1779580800000,383.3,390.0,381.8,389.0,74.72
1779595200000,389.0,389.0,382.4,383.3,72.58
1779609600000,383.3,387.6,381.6,383.3,71.68
1779624000000,383.3,384.4,382.8,383.1,71.74
1779638400000,383.1,387.1,382.8,384.9,69.72
1779652800000,384.9,387.1,382.7,384.1,70.43
1779667200000,384.1,386.8,383.9,385.1,71.53
1779681600000,385.1,391.2,384.6,390.3,71.77
1779696000000,390.3,395.3,388.9,394.9,100.88
1779710400000,394.9,399.1,394.8,395.8,69.47
1779724800000,395.8,401.3,395.3,397.8,83.88
1779739200000,397.8,397.8,395.6,396.5,82.69
1779753600000,396.5,396.5,383.9,388.3,76.25
1779768000000,388.3,390.2,386.8,388.0,74.88
1779782400000,388.0,391.0,380.9,385.2,74.0
1779796800000,385.2,387.2,371.7,383.6,103.59
1779811200000,383.6,391.4,381.5,381.8,77.77
1779825600000,381.8,384.3,381.1,383.5,79.29
1779840000000,383.5,386.9,382.2,384.4,76.64
1779854400000,384.4,386.8,382.6,383.0,72.14
1779868800000,383.0,389.8,383.0,386.6,79.84
1779883200000,386.6,389.1,360.7,375.5,107.41
1779897600000,375.5,386.9,375.0,381.7,78.4
1779912000000,381.7,383.3,375.9,376.8,79.23
1779926400000,376.8,381.0,367.9,367.9,72.59
1779940800000,367.9,376.6,361.2,376.6,77.67
1779955200000,376.6,378.5,372.5,377.5,71.83
1779969600000,377.5,393.8,371.9,385.6,86.76
1779984000000,385.6,387.3,376.6,378.0,89.93
1779998400000,378.0,380.1,377.0,380.0,68.32
1780012800000,380.0,380.4,378.6,379.5,77.23
1780027200000,379.5,381.3,378.6,379.6,73.15
1780041600000,379.6,382.1,377.3,378.8,73.37
1780056000000,378.8,378.8,352.4,352.7,99.46
1780070400000,352.7,363.1,345.3,363.1,86.35
1780084800000,363.1,363.1,358.1,359.5,72.45
1780099200000,359.5,361.1,358.6,360.7,70.29
1780113600000,360.7,360.7,359.0,360.1,90.43
1780128000000,360.1,361.0,359.0,360.1,75.45
1780142400000,360.1,360.9,359.5,360.0,73.9
1780156800000,360.0,360.7,359.7,360.2,69.09
1780171200000,360.2,361.0,360.0,360.4,67.72
1780185600000,360.4,361.3,360.1,361.0,68.09
1780200000000,361.0,361.1,360.2,360.3,67.52
1780214400000,360.3,364.9,360.3,364.8,71.09
1780228800000,364.8,364.9,360.0,362.5,71.86
1780243200000,362.5,364.1,362.5,362.8,67.89
1780257600000,362.8,365.3,362.6,362.6,67.62
1780272000000,362.6,365.6,360.6,361.1,71.4
1780286400000,361.1,364.7,360.6,360.9,72.94
1780300800000,360.9,362.0,345.7,345.7,89.44
1780315200000,345.7,366.3,345.5,354.5,109.98
1780329600000,354.5,365.9,353.6,363.7,87.34
1780344000000,363.7,365.8,362.9,363.9,71.12
1780358400000,363.9,366.6,360.4,360.4,77.2
1780372800000,360.4,369.6,360.1,368.4,88.09
1780387200000,368.4,385.6,368.4,382.2,93.87
1780401600000,382.2,434.0,380.6,426.1,364.13
1780416000000,426.1,428.7,418.5,427.4,109.47
1780430400000,427.4,430.6,422.7,427.0,92.65
1780444800000,427.0,469.2,426.6,461.8,329.69
1780459200000,461.8,463.8,438.9,446.2,296.2
1780473600000,446.2,454.8,425.1,431.1,376.38
1780488000000,431.1,441.5,410.7,416.9,349.04
1780502400000,416.9,420.0,412.5,417.6,134.05
1780516800000,417.6,417.8,396.3,397.5,102.21
1780531200000,397.5,408.3,397.0,407.5,113.7
1780545600000,407.5,409.8,402.4,402.5,88.43
1780560000000,402.5,404.1,391.6,398.0,121.07
1780574400000,398.0,404.7,381.8,402.6,163.96
1780588800000,402.6,432.9,402.6,423.5,128.24
1780603200000,423.5,423.8,411.9,413.4,78.49
1780617600000,413.4,415.8,402.6,411.1,100.3
1780632000000,411.1,411.8,402.1,404.9,117.0
1780646400000,404.9,411.3,402.9,408.5,77.32
1780660800000,408.5,418.7,388.6,406.4,154.75
1780675200000,406.4,406.6,375.6,377.8,207.78
1780689600000,377.8,378.3,368.6,370.3,94.79
1780704000000,370.3,371.2,358.8,359.9,77.64
1780718400000,359.9,360.5,353.2,357.4,81.16
1780732800000,357.4,357.7,351.9,354.8,72.64
1780747200000,354.8,362.9,354.5,359.0,76.4
1780761600000,359.0,361.3,353.0,361.3,76.47
1780776000000,361.3,368.5,358.8,358.9,76.23
1780790400000,358.9,364.8,356.2,364.3,76.32
1780804800000,364.3,376.1,364.3,374.4,77.94
1780819200000,374.4,382.1,370.4,382.1,74.25
1780833600000,382.1,390.2,379.8,381.2,83.22
1780848000000,381.2,381.9,374.9,375.0,75.04
1780862400000,375.0,389.7,374.2,382.7,80.56
1780876800000,382.7,388.9,374.3,383.3,109.53
1780891200000,383.3,383.8,372.9,382.2,90.34
1780905600000,382.2,390.7,378.0,389.0,101.79
1780920000000,389.0,414.5,376.5,406.2,186.51
1780934400000,406.2,411.2,399.1,401.6,94.23
1780948800000,401.6,406.1,400.2,401.5,77.36
1780963200000,401.5,408.8,395.9,408.6,101.56
1780977600000,408.6,413.6,407.7,409.6,101.5
1780992000000,409.6,416.0,408.8,412.4,79.38
1781006400000,412.4,415.1,347.3,347.9,212.0
1781020800000,347.9,363.7,336.3,356.3,141.95
1781035200000,356.3,359.6,351.8,355.1,80.1
1781049600000,355.1,362.1,352.8,355.5,85.77
1781064000000,355.5,356.3,346.7,354.1,84.0
1781078400000,354.1,354.8,343.4,344.5,112.27
1781092800000,344.5,373.3,343.1,361.1,134.85
1781107200000,361.1,365.2,352.5,355.5,93.22
1781121600000,355.5,356.2,344.0,349.6,81.44
1781136000000,349.6,360.1,344.1,357.3,82.4
1781150400000,357.3,364.2,355.6,363.2,89.23
1781164800000,363.2,367.3,360.4,366.2,79.51
1781179200000,366.2,371.2,350.3,356.2,129.46
1781193600000,356.2,364.6,346.6,364.1,102.35
1781208000000,364.1,374.7,364.0,374.6,76.4
1781222400000,374.6,379.8,367.8,370.4,91.73
1781236800000,370.4,370.4,358.9,364.2,78.94
1781251200000,364.2,375.1,364.2,373.1,82.97
1781265600000,373.1,392.8,356.6,384.6,115.44
1781280000000,384.6,393.9,384.3,385.8,85.76
1781294400000,385.8,387.3,385.4,387.2,71.58
1781308800000,387.2,388.5,382.8,383.9,73.52
1781323200000,383.9,384.3,380.3,383.6,72.17
1781337600000,383.6,384.3,380.6,380.8,68.46
1781352000000,380.8,384.0,380.7,382.6,69.12
1781366400000,382.6,383.3,379.7,382.8,68.81
1781380800000,382.8,383.3,381.1,382.7,67.82
1781395200000,382.7,384.6,382.5,384.6,68.71
1781409600000,384.6,385.6,380.8,385.4,83.04
1781424000000,385.4,387.8,384.9,387.2,70.03
1781438400000,387.2,388.1,383.9,388.1,76.64
1781452800000,388.1,388.1,386.3,387.4,68.15
1781467200000,387.4,392.8,387.1,392.4,71.51
1781481600000,392.4,405.4,392.2,403.9,76.03
1781496000000,403.9,410.9,403.3,406.3,88.45
1781510400000,406.3,407.8,402.8,404.2,107.97
1781524800000,404.2,420.2,395.4,403.9,195.12
1781539200000,403.9,417.3,403.4,414.8,94.77
1781553600000,414.8,415.0,410.9,412.1,70.27
1781568000000,412.1,414.4,404.9,408.3,74.16
1781582400000,408.3,419.1,408.3,418.1,77.85
