time,open,high,low,close,volume
1767067200000,233.07,233.59,232.82,233.51,157.17
1767081600000,233.51,235.06,233.43,234.65,167.24
1767096000000,234.65,234.92,231.7,234.81,511.75
1767110400000,234.81,236.0,232.43,232.96,368.58
1767124800000,232.96,233.05,231.08,231.2,291.08
1767139200000,231.2,232.03,231.01,231.56,170.76
1767153600000,231.56,231.65,231.1,231.55,127.64
1767168000000,231.55,232.37,231.16,232.07,159.77
1767182400000,232.07,232.56,229.02,229.39,411.05
1767196800000,229.39,230.02,226.79,226.92,341.69
1767211200000,226.92,227.09,225.42,225.8,251.58
1767225600000,225.8,225.85,225.45,225.79,37.36
1767240000000,225.79,225.79,225.79,225.79,0.0
1767254400000,225.79,225.79,225.79,225.79,0.0
1767268800000,225.79,225.79,225.79,225.79,0.0
1767283200000,225.79,225.79,225.79,225.79,0.0
1767297600000,225.79,225.79,225.79,225.79,0.0
1767312000000,225.79,229.58,225.79,229.58,152.22
1767326400000,229.58,229.64,228.94,229.31,175.36
1767340800000,229.31,232.81,229.28,232.12,229.99
1767355200000,232.12,234.24,226.21,231.48,634.0
1767369600000,231.48,238.45,230.89,237.5,612.86
1767384000000,237.5,238.28,235.81,237.9,270.74
1767398400000,237.9,238.15,237.63,237.86,35.87
1767412800000,237.86,237.86,237.86,237.86,0.0
1767427200000,237.86,237.86,237.86,237.86,0.0
1767441600000,237.86,237.86,237.86,237.86,0.0
1767456000000,237.86,237.86,237.86,237.86,0.0
1767470400000,237.86,237.86,237.86,237.86,0.0
1767484800000,237.86,237.86,237.86,237.86,0.0
1767499200000,237.86,237.86,237.86,237.86,0.0
1767513600000,237.86,237.86,237.86,237.86,0.0
1767528000000,237.86,237.86,237.86,237.86,0.0
1767542400000,237.86,237.86,237.86,237.86,0.0
1767556800000,237.86,237.86,237.86,237.86,0.0
1767571200000,237.86,244.96,237.86,243.99,180.22
1767585600000,243.99,246.73,243.51,245.57,313.94
1767600000000,245.57,247.56,245.46,247.22,368.87
1767614400000,247.22,254.9,245.69,253.86,1284.3
1767628800000,253.86,258.79,252.23,257.95,579.52
1767643200000,257.95,258.71,254.47,255.21,375.66
1767657600000,255.21,258.43,254.68,257.19,232.22
1767672000000,257.19,257.44,254.48,254.78,197.64
1767686400000,254.78,255.83,253.42,255.79,200.1
1767700800000,255.79,258.13,251.34,252.01,1022.66
1767715200000,252.01,252.87,245.8,249.76,538.04
1767729600000,249.76,254.06,249.75,253.36,321.37
1767744000000,253.36,253.47,251.14,251.96,187.45
1767758400000,251.96,252.74,251.61,252.68,194.83
1767772800000,252.68,252.69,248.8,250.33,226.15
1767787200000,250.33,251.09,240.4,243.54,642.79
1767801600000,243.54,247.41,243.52,245.66,469.45
1767816000000,245.66,247.05,245.07,246.14,258.33
1767830400000,246.14,247.04,244.18,244.49,192.73
1767844800000,244.49,244.75,241.39,243.8,218.24
1767859200000,243.8,250.52,242.59,248.77,333.25
1767873600000,248.77,250.08,242.71,247.9,732.36
1767888000000,247.9,250.28,244.67,245.15,476.26
1767902400000,245.15,247.42,243.31,246.72,242.62
1767916800000,246.72,247.41,245.98,246.7,195.98
1767931200000,246.7,247.01,246.45,246.47,132.88
1767945600000,246.47,246.99,244.1,246.83,186.85
1767960000000,246.83,248.22,237.31,239.55,691.49
1767974400000,239.55,243.0,239.53,240.03,503.91
1767988800000,240.03,241.39,239.79,241.18,211.5
1768003200000,241.18,241.18,240.66,241.12,48.37
1768017600000,241.12,241.12,241.12,241.12,0.0
1768032000000,241.12,241.12,241.12,241.12,0.0
1768046400000,241.12,241.12,241.12,241.12,0.0
1768060800000,241.12,241.12,241.12,241.12,0.0
1768075200000,241.12,241.12,241.12,241.12,0.0
1768089600000,241.12,241.12,241.12,241.12,0.0
1768104000000,241.12,241.12,241.12,241.12,0.0
1768118400000,241.12,241.12,241.12,241.12,0.0
1768132800000,241.12,241.12,241.12,241.12,0.0
1768147200000,241.12,241.12,241.12,241.12,0.0
1768161600000,241.12,241.12,241.12,241.12,0.0
1768176000000,241.12,243.8,240.96,242.53,171.31
1768190400000,242.53,243.34,241.78,241.88,171.76
1768204800000,241.88,242.15,239.3,239.68,263.19
1768219200000,239.68,244.47,238.36,244.44,641.56
1768233600000,244.44,247.46,243.27,245.21,413.07
1768248000000,245.21,245.91,242.62,242.7,236.91
1768262400000,242.7,243.03,241.9,242.9,180.74
1768276800000,242.9,244.74,242.8,244.24,199.13
1768291200000,244.24,245.81,244.02,244.13,188.95
1768305600000,244.13,251.22,243.95,250.8,689.3
1768320000000,250.8,253.74,248.55,253.69,604.33
1768334400000,253.69,256.69,252.35,255.77,545.41
1768348800000,255.77,256.69,255.54,256.67,191.28
1768363200000,256.67,256.8,253.55,255.94,220.76
1768377600000,255.94,256.25,253.62,254.3,269.76
1768392000000,254.3,262.69,253.87,260.01,950.35
1768406400000,260.01,262.39,253.13,254.14,873.08
1768420800000,254.14,256.31,250.64,250.74,413.86
1768435200000,250.74,251.27,248.59,248.71,243.16
1768449600000,248.71,251.6,248.71,251.39,177.49
1768464000000,251.39,253.69,250.93,252.31,214.41
1768478400000,252.31,253.3,243.7,245.91,723.06
1768492800000,245.91,249.08,244.62,244.89,529.44
1768507200000,244.89,244.98,237.51,241.04,492.79
1768521600000,241.04,242.44,241.02,241.92,192.19
1768536000000,241.92,242.3,241.59,242.18,140.67
1768550400000,242.18,242.4,240.92,241.34,232.24
1768564800000,241.34,242.55,236.53,238.41,653.81
1768579200000,238.41,243.07,238.17,241.57,585.81
1768593600000,241.57,241.76,240.34,241.4,247.73
1768608000000,241.4,241.47,241.02,241.13,59.26
1768622400000,241.13,241.13,241.13,241.13,0.0
1768636800000,241.13,241.13,241.13,241.13,0.0
1768651200000,241.13,241.13,241.13,241.13,0.0
1768665600000,241.13,241.13,241.13,241.13,0.0
1768680000000,241.13,241.13,241.13,241.13,0.0
1768694400000,241.13,241.13,241.13,241.13,0.0
1768708800000,241.13,241.13,241.13,241.13,0.0
1768723200000,241.13,241.13,241.13,241.13,0.0
1768737600000,241.13,241.13,241.13,241.13,0.0
1768752000000,241.13,241.13,241.13,241.13,0.0
1768766400000,241.13,241.13,241.13,241.13,0.0
