time,open,high,low,close,volume
1644105600000,136.15,139.83,136.15,138.31,2446.8575
1644120000000,138.33,138.78,135.33,138.43,2173.83745
1644134400000,138.45,143.03,137.5,137.87,4269.9405
1644148800000,137.74,140.53,133.84,136.55,3188.30481
1644163200000,136.67,138.03,134.46,135.86,3937.07987
1644177600000,135.89,140.97,134.66,140.83,2816.53037
1644192000000,140.91,144.8,136.45,143.66,3074.85884
1644206400000,143.65,144.57,141.78,143.13,3178.34587
1644220800000,143.09,144.47,140.67,142.84,2267.04738
1644235200000,142.77,146.53,141.57,146.43,2704.28576
1644249600000,146.45,146.74,143.46,146.04,2505.11526
1644264000000,146.06,149.23,144.63,149.19,3294.275
1644278400000,149.23,150.46,144.29,148.27,2841.37721
1644292800000,148.33,151.21,145.75,147.47,3201.87791
1644307200000,147.33,147.59,139.77,142.73,3118.27093
1644321600000,142.45,142.45,136.36,138.83,2781.98363
1644336000000,138.94,140.65,137.43,140.01,2552.40843
1644350400000,139.77,148.18,139.5,146.95,2611.72271
1644364800000,147.37,148.23,144.02,144.44,2106.9202
1644379200000,144.64,147.33,142.38,147.13,2194.67668
1644393600000,146.93,147.3,140.77,144.57,2526.39865
1644408000000,144.56,146.77,143.72,144.18,2894.2692
1644422400000,144.15,145.73,143.67,144.92,2409.67625
1644436800000,144.94,146.03,143.97,145.02,2864.1979
1644451200000,145.0,146.34,141.73,142.91,3692.16846
1644465600000,142.85,143.79,142.15,143.65,1797.06959
1644480000000,143.71,144.76,142.48,142.91,2382.28641
1644494400000,142.96,143.32,133.62,139.01,3737.79865
1644508800000,139.24,140.47,135.13,135.23,3056.49676
1644523200000,135.25,135.77,132.64,133.2,4197.29127
1644537600000,133.2,134.02,130.38,133.06,2598.27628
1644552000000,133.16,135.36,132.75,135.24,2987.3229
1644566400000,135.24,136.12,133.98,135.34,3198.62334
1644580800000,135.42,137.67,134.77,137.11,2630.97316
1644595200000,137.24,137.53,130.81,130.94,2957.95642
1644609600000,131.05,131.64,123.25,125.42,4011.6768
1644624000000,125.48,128.77,124.07,127.16,2033.06408
1644638400000,127.1,128.12,122.58,125.27,2783.29746
1644652800000,125.22,127.88,125.06,127.74,2294.79016
1644667200000,127.88,128.24,125.53,126.88,2293.46783
1644681600000,126.97,131.05,126.84,128.65,2379.26702
1644696000000,128.59,128.86,124.38,127.75,2789.49724
1644710400000,127.83,129.9,126.96,127.7,1960.90082
1644724800000,127.83,128.37,126.44,128.25,2371.7907
1644739200000,128.26,129.66,127.81,129.29,2045.89663
1644753600000,129.26,129.59,127.25,128.14,2332.62302
1644768000000,128.13,128.26,122.65,123.57,2214.60802
1644782400000,123.54,126.53,123.14,124.26,2042.17152
1644796800000,124.26,125.17,120.94,122.68,2379.20135
1644811200000,122.67,123.89,121.72,123.83,2570.42118
1644825600000,123.81,124.15,121.94,122.94,2262.46805
1644840000000,123.04,127.55,121.84,125.41,2320.13276
1644854400000,125.43,127.39,122.36,122.74,2042.5413
1644868800000,122.79,126.64,121.98,126.02,2108.85774
1644883200000,125.97,131.94,125.94,131.75,1685.46289
1644897600000,131.8,132.33,130.74,131.87,3081.99732
1644912000000,131.81,134.37,131.81,132.98,2717.55806
