time,open,high,low,close,volume
1773129600000,5.924,5.928,5.913,5.916,326.2
1773144000000,5.916,5.97,5.881,5.969,8399.2
1773158400000,5.969,5.974,5.928,5.93,2936.7
1773172800000,5.93,5.956,5.913,5.933,3338.7
1773187200000,5.933,5.959,5.933,5.948,2482.7
1773201600000,5.948,5.961,5.88,5.892,1617.8
1773216000000,5.892,5.896,5.848,5.864,4013.5
1773230400000,5.864,5.914,5.847,5.873,10545.1
1773244800000,5.873,5.912,5.858,5.912,3806.3
1773259200000,5.912,5.913,5.88,5.889,2112.0
1773273600000,5.889,5.902,5.836,5.844,2131.3
1773288000000,5.844,5.897,5.836,5.897,7690.5
1773302400000,5.897,5.911,5.885,5.903,4448.6
1773316800000,5.903,5.908,5.834,5.867,5018.3
1773331200000,5.867,5.891,5.838,5.838,2228.1
1773345600000,5.838,5.853,5.818,5.834,3701.4
1773360000000,5.834,5.861,5.83,5.837,3883.1
1773374400000,5.837,5.838,5.788,5.792,1529.0
1773388800000,5.792,5.82,5.768,5.807,2300.9
1773403200000,5.807,5.837,5.788,5.789,5423.2
1773417600000,5.789,5.79,5.709,5.711,6745.8
1773432000000,5.711,5.711,5.662,5.685,3513.5
1773446400000,5.685,5.687,5.677,5.682,2990.3
1773460800000,5.682,5.685,5.68,5.682,756.8
1773475200000,5.682,5.683,5.678,5.68,249.9
1773489600000,5.68,5.684,5.678,5.683,504.2
1773504000000,5.683,5.684,5.679,5.68,600.2
1773518400000,5.68,5.681,5.668,5.672,438.2
1773532800000,5.672,5.681,5.672,5.68,650.0
1773547200000,5.68,5.682,5.676,5.681,1822.7
1773561600000,5.681,5.685,5.673,5.674,3562.8
1773576000000,5.674,5.683,5.671,5.68,3291.6
1773590400000,5.68,5.689,5.674,5.681,463.8
1773604800000,5.681,5.701,5.66,5.693,1626.3
1773619200000,5.693,5.754,5.693,5.736,2232.9
1773633600000,5.736,5.773,5.725,5.733,5335.0
1773648000000,5.733,5.768,5.709,5.768,6103.6
1773662400000,5.768,5.849,5.768,5.834,11656.3
1773676800000,5.834,5.849,5.813,5.836,4897.2
1773691200000,5.836,5.838,5.817,5.833,521.5
1773705600000,5.833,5.847,5.816,5.82,3917.7
1773720000000,5.82,5.834,5.779,5.787,4341.3
1773734400000,5.787,5.788,5.758,5.768,2657.0
1773748800000,5.768,5.801,5.745,5.76,1715.2
1773763200000,5.76,5.775,5.752,5.762,3570.9
1773777600000,5.762,5.775,5.758,5.763,1089.8
1773792000000,5.763,5.781,5.721,5.722,1813.7
1773806400000,5.722,5.752,5.712,5.727,2493.7
1773820800000,5.727,5.741,5.7,5.708,2138.2
1773835200000,5.708,5.71,5.568,5.601,4329.3
1773849600000,5.601,5.611,5.503,5.506,1925.5
1773864000000,5.506,5.52,5.455,5.499,4435.4
1773878400000,5.499,5.553,5.499,5.522,3007.3
1773892800000,5.522,5.526,5.428,5.428,3184.3
1773907200000,5.428,5.474,5.415,5.431,3047.2
1773921600000,5.431,5.506,5.279,5.483,10869.7
1773936000000,5.483,5.535,5.447,5.515,3240.6
1773950400000,5.515,5.541,5.502,5.509,1565.9
1773964800000,5.509,5.565,5.499,5.557,3209.3
1773979200000,5.557,5.564,5.466,5.525,4059.6
1773993600000,5.525,5.528,5.433,5.459,2067.6
1774008000000,5.459,5.47,5.342,5.355,5718.7
1774022400000,5.355,5.396,5.288,5.299,4749.6
1774036800000,5.299,5.309,5.274,5.308,2067.1
1774051200000,5.308,5.309,5.305,5.307,159.8
1774065600000,5.307,5.314,5.303,5.308,1524.8
1774080000000,5.308,5.314,5.262,5.308,1652.2
1774094400000,5.308,5.319,5.306,5.307,603.0
1774108800000,5.307,5.308,5.305,5.305,178.3
1774123200000,5.305,5.309,5.305,5.309,735.2
1774137600000,5.309,5.311,5.305,5.308,1112.3
1774152000000,5.308,5.309,5.307,5.309,631.3
1774166400000,5.309,5.309,5.306,5.307,258.0
1774180800000,5.307,5.307,5.305,5.306,381.8
1774195200000,5.306,5.307,5.289,5.301,840.6
1774209600000,5.301,5.319,5.251,5.311,2528.0
1774224000000,5.311,5.344,5.229,5.307,11337.5
1774238400000,5.307,5.322,5.26,5.269,4007.1
1774252800000,5.269,5.598,5.269,5.425,11385.7
1774267200000,5.425,5.54,5.403,5.454,5719.5
1774281600000,5.454,5.517,5.448,5.484,3585.6
1774296000000,5.484,5.503,5.473,5.5,1050.7
1774310400000,5.5,5.503,5.396,5.403,3429.4
1774324800000,5.403,5.452,5.359,5.424,2637.4
1774339200000,5.424,5.442,5.386,5.423,1987.0
1774353600000,5.423,5.481,5.394,5.462,4397.0
1774368000000,5.462,5.479,5.427,5.459,1116.2
1774382400000,5.459,5.571,5.459,5.558,1956.9
1774396800000,5.558,5.579,5.523,5.535,1441.1
1774411200000,5.535,5.543,5.505,5.516,948.3
1774425600000,5.516,5.561,5.516,5.551,860.2
1774440000000,5.551,5.587,5.507,5.546,2174.8
1774454400000,5.546,5.574,5.518,5.54,1405.5
1774468800000,5.54,5.542,5.512,5.526,879.0
1774483200000,5.526,5.541,5.488,5.495,1455.8
1774497600000,5.495,5.514,5.463,5.501,1758.3
1774512000000,5.501,5.548,5.5,5.514,2191.7
1774526400000,5.514,5.543,5.496,5.512,2001.5
1774540800000,5.512,5.514,5.456,5.459,757.5
1774555200000,5.459,5.502,5.454,5.498,1390.5
1774569600000,5.498,5.542,5.477,5.541,527.1
1774584000000,5.541,5.573,5.521,5.523,884.3
1774598400000,5.523,5.525,5.464,5.482,4149.6
1774612800000,5.482,5.544,5.47,5.52,1551.6
1774627200000,5.52,5.521,5.469,5.482,2881.5
1774641600000,5.482,5.485,5.457,5.47,597.0
1774656000000,5.47,5.47,5.464,5.466,269.9
1774670400000,5.466,5.468,5.464,5.465,118.8
1774684800000,5.465,5.468,5.464,5.467,335.8
1774699200000,5.467,5.469,5.465,5.467,242.5
1774713600000,5.467,5.469,5.465,5.467,546.4
1774728000000,5.467,5.469,5.465,5.467,269.9
1774742400000,5.467,5.469,5.465,5.465,495.6
1774756800000,5.465,5.473,5.464,5.471,512.4
1774771200000,5.471,5.48,5.469,5.48,318.2
1774785600000,5.48,5.482,5.469,5.48,699.4
1774800000000,5.48,5.482,5.467,5.469,368.2
1774814400000,5.469,5.477,5.411,5.426,2514.6
1774828800000,5.426,5.513,5.418,5.506,3023.5
1774843200000,5.506,5.534,5.48,5.52,4436.8
1774857600000,5.52,5.532,5.498,5.531,2238.2
1774872000000,5.531,5.541,5.486,5.52,2656.0
1774886400000,5.52,5.521,5.483,5.496,1663.0
1774900800000,5.496,5.504,5.483,5.483,430.4
1774915200000,5.483,5.551,5.47,5.508,1735.5
1774929600000,5.508,5.549,5.491,5.535,1149.2
1774944000000,5.535,5.543,5.502,5.538,1118.0
1774958400000,5.538,5.595,5.527,5.576,4576.5
1774972800000,5.576,5.645,5.576,5.643,1986.3
1774987200000,5.643,5.659,5.643,5.656,2182.6
1775001600000,5.656,5.659,5.629,5.635,931.6
1775016000000,5.635,5.666,5.623,5.642,987.6
1775030400000,5.642,5.661,5.606,5.621,4032.8
1775044800000,5.621,5.639,5.589,5.635,2558.7
1775059200000,5.635,5.659,5.604,5.626,1026.8
1775073600000,5.626,5.634,5.612,5.628,945.0
1775088000000,5.628,5.639,5.55,5.551,1825.0
1775102400000,5.551,5.579,5.535,5.579,3894.5
1775116800000,5.579,5.58,5.521,5.527,3770.8
1775131200000,5.527,5.622,5.522,5.597,1687.2
1775145600000,5.597,5.727,5.587,5.639,6361.4
1775160000000,5.639,5.708,5.639,5.691,1605.8
1775174400000,5.691,5.698,5.686,5.688,1732.4
1775188800000,5.688,5.697,5.685,5.694,519.5
1775203200000,5.694,5.696,5.684,5.686,582.8
1775217600000,5.686,5.69,5.666,5.675,1142.1
1775232000000,5.675,5.679,5.666,5.671,610.4
1775246400000,5.671,5.672,5.664,5.667,886.8
1775260800000,5.667,5.675,5.664,5.673,3752.5
1775275200000,5.673,5.675,5.669,5.673,399.7
1775289600000,5.673,5.675,5.671,5.672,1423.0
1775304000000,5.672,5.674,5.671,5.673,277.6
1775318400000,5.673,5.675,5.67,5.673,283.1
1775332800000,5.673,5.674,5.669,5.672,197.6
1775347200000,5.672,5.673,5.669,5.672,357.3
1775361600000,5.672,5.673,5.667,5.67,354.9
