time,open,high,low,close,volume
1767758400000,36.51,36.74,36.44,36.59,64.47
1767772800000,36.59,36.59,36.59,36.59,0.0
1767787200000,36.59,36.59,36.0,36.02,1405.63
1767801600000,36.02,36.24,35.92,35.96,1413.51
1767816000000,35.96,35.97,35.87,35.91,512.01
1767830400000,35.91,35.91,35.91,35.91,0.0
1767844800000,35.91,35.91,35.91,35.91,0.0
1767859200000,35.91,35.91,35.91,35.91,0.0
1767873600000,35.91,35.91,35.02,35.58,1908.27
1767888000000,35.58,35.69,35.51,35.57,1662.22
1767902400000,35.57,35.68,35.57,35.65,486.73
1767916800000,35.65,35.65,35.65,35.65,0.0
1767931200000,35.65,35.65,35.65,35.65,0.0
1767945600000,35.65,35.65,35.65,35.65,0.0
1767960000000,35.65,36.41,35.65,36.34,1079.93
1767974400000,36.34,36.4,36.2,36.2,1407.82
1767988800000,36.2,36.21,36.13,36.15,441.97
1768003200000,36.15,36.15,36.15,36.15,0.0
1768017600000,36.15,36.15,36.15,36.15,0.0
1768032000000,36.15,36.15,36.15,36.15,0.0
1768046400000,36.15,36.15,36.15,36.15,0.0
1768060800000,36.15,36.15,36.15,36.15,0.0
1768075200000,36.15,36.15,36.15,36.15,0.0
1768089600000,36.15,36.15,36.15,36.15,0.0
1768104000000,36.15,36.15,36.15,36.15,0.0
1768118400000,36.15,36.15,36.15,36.15,0.0
1768132800000,36.15,36.15,36.15,36.15,0.0
1768147200000,36.15,36.15,36.15,36.15,0.0
1768161600000,36.15,36.15,36.15,36.15,0.0
1768176000000,36.15,36.15,36.15,36.15,0.0
1768190400000,36.15,36.15,36.15,36.15,0.0
1768204800000,36.15,36.15,36.15,36.15,0.0
1768219200000,36.15,36.95,36.15,36.89,1592.96
1768233600000,36.89,37.08,36.88,36.99,1687.07
1768248000000,36.99,36.99,36.88,36.89,570.96
1768262400000,36.89,36.89,36.89,36.89,0.0
1768276800000,36.89,36.89,36.89,36.89,0.0
1768291200000,36.89,36.89,36.89,36.89,0.0
1768305600000,36.89,37.19,36.78,37.08,1630.1
1768320000000,37.08,37.1,36.89,36.95,1587.5
1768334400000,36.95,36.97,36.82,36.86,278.95
1768348800000,36.86,36.86,36.86,36.86,0.0
1768363200000,36.86,36.86,36.86,36.86,0.0
1768377600000,36.86,36.86,36.86,36.86,0.0
1768392000000,36.86,37.32,36.86,37.17,1924.0
1768406400000,37.17,37.45,36.96,37.41,2329.42
1768420800000,37.41,37.51,37.38,37.49,358.78
1768435200000,37.49,37.49,37.49,37.49,0.0
1768449600000,37.49,37.49,37.49,37.49,0.0
1768464000000,37.49,37.49,37.49,37.49,0.0
1768478400000,37.49,37.49,36.44,36.71,1944.57
1768492800000,36.71,36.91,36.68,36.82,1564.36
1768507200000,36.82,36.83,36.68,36.78,580.44
1768521600000,36.78,36.78,36.78,36.78,0.0
1768536000000,36.78,36.78,36.78,36.78,0.0
1768550400000,36.78,36.78,36.78,36.78,0.0
1768564800000,36.78,36.78,35.5,35.64,1901.49
1768579200000,35.64,35.92,35.63,35.86,1904.17
1768593600000,35.86,35.93,35.86,35.92,260.29
1768608000000,35.92,35.92,35.92,35.92,0.0
1768622400000,35.92,35.92,35.92,35.92,0.0
1768636800000,35.92,35.92,35.92,35.92,0.0
1768651200000,35.92,35.92,35.92,35.92,0.0
1768665600000,35.92,35.92,35.92,35.92,0.0
1768680000000,35.92,35.92,35.92,35.92,0.0
1768694400000,35.92,35.92,35.92,35.92,0.0
1768708800000,35.92,35.92,35.92,35.92,0.0
1768723200000,35.92,35.92,35.92,35.92,0.0
1768737600000,35.92,35.92,35.92,35.92,0.0
1768752000000,35.92,35.92,35.92,35.92,0.0
1768766400000,35.92,35.92,35.92,35.92,0.0
1768780800000,35.92,35.92,35.92,35.92,0.0
1768795200000,35.92,35.92,35.92,35.92,0.0
1768809600000,35.92,35.92,35.92,35.92,0.0
1768824000000,35.92,35.92,35.92,35.92,0.0
1768838400000,35.92,35.92,35.92,35.92,0.0
1768852800000,35.92,35.92,35.92,35.92,0.0
1768867200000,35.92,35.92,35.92,35.92,0.0
1768881600000,35.92,35.92,35.92,35.92,0.0
1768896000000,35.92,35.92,35.92,35.92,0.0
1768910400000,35.92,35.92,35.32,35.5,2803.68
1768924800000,35.5,35.71,35.49,35.67,4053.56
1768939200000,35.67,35.76,35.63,35.74,362.85
