time,open,high,low,close,volume
1780992000000,228.6,229.17,228.22,228.51,8.84
1781006400000,228.51,252.98,219.88,219.98,728.97
1781020800000,219.98,238.69,210.09,234.33,542.94
1781035200000,234.33,236.84,231.33,233.85,251.69
1781049600000,233.85,238.0,228.44,229.17,236.43
1781064000000,229.17,233.46,227.08,231.04,193.92
1781078400000,231.04,232.08,221.35,224.25,208.96
1781092800000,224.25,261.25,224.0,245.33,1535.61
1781107200000,245.33,246.55,237.58,238.35,381.97
1781121600000,238.35,238.81,230.8,232.71,339.8
1781136000000,232.71,246.27,231.97,243.84,323.18
1781150400000,243.84,246.28,242.95,245.83,165.68
1781164800000,245.83,251.67,245.62,248.78,292.0
1781179200000,248.78,268.25,241.56,259.72,1136.51
1781193600000,259.72,266.72,252.19,265.2,355.7
1781208000000,265.2,269.34,264.55,269.04,205.98
1781222400000,269.04,275.71,266.99,269.8,289.27
1781236800000,269.8,271.83,260.12,264.96,241.35
1781251200000,264.96,271.24,261.65,270.97,402.44
1781265600000,270.97,272.72,241.71,249.29,450.45
1781280000000,249.29,258.5,248.77,251.0,242.82
1781294400000,251.0,252.87,250.66,251.94,139.51
1781308800000,251.94,252.8,250.81,251.2,144.39
1781323200000,251.2,251.98,250.58,251.8,120.43
1781337600000,251.8,252.21,249.34,249.46,123.64
1781352000000,249.46,250.01,248.54,249.17,161.94
1781366400000,249.17,249.54,246.82,249.41,129.46
1781380800000,249.41,249.75,247.5,248.23,148.91
1781395200000,248.23,250.95,247.02,249.83,171.32
1781409600000,249.83,252.2,246.32,251.34,144.75
1781424000000,251.34,253.47,250.48,251.55,147.59
1781438400000,251.55,253.58,247.55,253.43,170.55
1781452800000,253.43,253.77,248.13,248.13,171.94
1781467200000,248.13,255.69,247.84,255.62,147.5
1781481600000,255.62,263.78,255.5,262.2,193.7
1781496000000,262.2,262.36,260.18,261.17,142.86
1781510400000,261.17,263.4,259.42,263.14,164.77
1781524800000,263.14,263.73,244.44,258.24,283.33
1781539200000,258.24,261.44,255.3,259.42,189.57
1781553600000,259.42,259.59,256.01,256.74,164.5
1781568000000,256.74,258.13,253.02,256.96,282.79
1781582400000,256.96,258.05,255.72,257.38,198.02
1781596800000,257.38,260.69,257.16,258.48,196.8
1781611200000,258.48,258.61,241.96,245.89,510.9
1781625600000,245.89,251.39,239.33,239.44,295.34
1781640000000,239.44,241.81,237.46,239.57,140.95
1781654400000,239.57,243.89,239.57,241.61,170.89
1781668800000,241.61,245.01,241.59,244.71,160.48
1781683200000,244.71,245.25,240.96,241.3,168.37
1781697600000,241.3,261.31,241.26,257.92,416.58
1781712000000,257.92,261.98,249.03,249.55,244.7
1781726400000,249.55,256.45,249.55,256.17,170.29
1781740800000,256.17,257.58,254.43,256.77,181.56
1781755200000,256.77,257.96,254.28,257.96,158.99
1781769600000,257.96,260.45,256.7,259.01,166.56
1781784000000,259.01,268.28,252.94,264.94,318.99
1781798400000,264.94,275.17,260.73,272.49,293.38
1781812800000,272.49,275.26,270.49,273.33,152.86
1781827200000,273.33,273.87,270.12,270.2,165.28
1781841600000,270.2,271.45,268.33,269.38,285.45
1781856000000,269.38,270.03,267.65,268.38,194.27
1781870400000,268.38,269.85,267.37,267.87,154.48
1781884800000,267.87,268.07,266.41,266.85,233.75
1781899200000,266.85,268.99,265.56,268.99,193.79
1781913600000,268.99,270.43,267.49,268.3,219.85
1781928000000,268.3,270.61,268.29,269.93,210.96
1781942400000,269.93,270.7,267.61,267.88,189.42
1781956800000,267.88,269.3,266.97,267.62,167.76
1781971200000,267.62,268.35,266.93,267.94,152.28
1781985600000,267.94,270.58,265.93,270.22,171.63
1782000000000,270.22,270.59,269.33,270.45,125.47
1782014400000,270.45,270.77,269.77,270.37,152.0
1782028800000,270.37,272.11,270.21,272.0,153.85
1782043200000,272.0,272.0,270.0,271.28,150.83
1782057600000,271.28,272.08,269.87,270.48,181.43
1782072000000,270.48,272.02,267.68,268.06,165.57
1782086400000,268.06,271.76,261.67,267.11,193.79
1782100800000,267.11,276.85,266.8,274.15,175.54
1782115200000,274.15,285.82,272.84,284.85,170.32
1782129600000,284.85,309.07,283.57,291.58,319.97
1782144000000,291.58,305.2,290.61,302.26,264.0
1782158400000,302.26,303.36,300.06,301.53,147.73
1782172800000,301.53,302.03,288.15,294.79,219.8
1782187200000,294.79,295.74,281.07,281.96,250.87
1782201600000,281.96,284.66,277.79,284.6,216.79
1782216000000,284.6,286.75,265.79,273.39,293.54
1782230400000,273.39,277.46,266.53,272.88,204.39
1782244800000,272.88,276.87,271.8,274.85,162.02
1782259200000,274.85,282.25,272.96,277.25,211.19
1782273600000,277.25,281.7,273.75,279.43,149.54
1782288000000,279.43,284.11,278.8,280.29,155.49
1782302400000,280.29,283.95,266.55,271.12,335.55
1782316800000,271.12,271.84,260.55,269.22,218.84
1782331200000,269.22,283.53,269.13,283.28,165.73
1782345600000,283.28,283.75,278.35,280.81,154.98
1782360000000,280.81,282.1,279.97,281.74,141.79
