time,open,high,low,close,volume
1644105600000,3.419,3.504,3.413,3.45,407204.815
1644120000000,3.45,3.501,3.422,3.478,533963.55
1644134400000,3.478,3.534,3.433,3.451,747794.075
1644148800000,3.45,3.491,3.327,3.37,668072.74
1644163200000,3.37,3.396,3.288,3.31,644114.165
1644177600000,3.31,3.385,3.27,3.378,453858.85
1644192000000,3.377,3.434,3.318,3.428,742793.73
1644206400000,3.425,3.549,3.404,3.502,628479.18
1644220800000,3.502,3.637,3.467,3.596,780257.475
1644235200000,3.598,3.618,3.55,3.604,913083.54
1644249600000,3.602,3.631,3.544,3.612,676667.69
1644264000000,3.612,3.637,3.512,3.557,543262.58
1644278400000,3.556,3.702,3.478,3.644,724402.27
1644292800000,3.645,3.72,3.581,3.606,753142.76
1644307200000,3.606,3.62,3.397,3.476,627705.156
1644321600000,3.472,3.472,3.346,3.381,685626.58
1644336000000,3.381,3.404,3.299,3.318,640529.66
1644350400000,3.317,3.455,3.311,3.418,562135.97
1644364800000,3.42,3.47,3.358,3.394,556953.945
1644379200000,3.394,3.432,3.342,3.421,519700.015
1644393600000,3.421,3.438,3.368,3.426,679215.16
1644408000000,3.424,3.499,3.412,3.475,514871.02
1644422400000,3.474,3.544,3.463,3.518,569882.875
1644436800000,3.517,3.545,3.487,3.494,511487.035
1644451200000,3.495,3.5,3.346,3.36,625664.62
1644465600000,3.36,3.406,3.348,3.401,473859.25
1644480000000,3.402,3.446,3.391,3.421,771003.28
1644494400000,3.422,3.44,3.197,3.359,998681.61
1644508800000,3.354,3.37,3.266,3.268,704421.37
1644523200000,3.267,3.299,3.17,3.19,532287.87
1644537600000,3.19,3.218,3.106,3.178,482786.63
1644552000000,3.177,3.224,3.148,3.214,541767.21
1644566400000,3.214,3.228,3.165,3.204,715017.94
1644580800000,3.204,3.249,3.169,3.207,568457.72
1644595200000,3.211,3.219,2.954,2.97,1010418.02
1644609600000,2.971,2.978,2.818,2.887,890600.05
1644624000000,2.886,2.933,2.859,2.893,792289.74
1644638400000,2.893,2.919,2.787,2.888,644361.99
1644652800000,2.888,2.959,2.881,2.948,665097.62
1644667200000,2.948,2.973,2.852,2.966,763000.69
1644681600000,2.968,3.018,2.927,2.935,637961.61
1644696000000,2.936,2.968,2.832,2.872,636870.41
1644710400000,2.871,2.924,2.855,2.874,672293.01
1644724800000,2.877,2.9,2.838,2.888,723730.89
1644739200000,2.889,2.904,2.862,2.887,546640.35
1644753600000,2.886,2.911,2.854,2.883,833004.42
1644768000000,2.883,2.888,2.722,2.743,720426.835
1644782400000,2.744,2.792,2.732,2.746,765878.7
1644796800000,2.745,2.755,2.653,2.733,1040133.62
1644811200000,2.733,2.807,2.698,2.774,637108.97
1644825600000,2.774,2.785,2.722,2.747,896100.84
1644840000000,2.749,2.847,2.732,2.811,759018.315
1644854400000,2.811,2.886,2.77,2.796,785811.44
1644868800000,2.795,2.907,2.778,2.903,719130.21
1644883200000,2.904,3.048,2.904,3.041,806164.39
1644897600000,3.043,3.084,3.01,3.072,676354.28
1644912000000,3.071,3.117,3.037,3.075,1480160.25
1644926400000,3.075,3.099,3.047,3.07,738915.27
1644940800000,3.071,3.142,3.057,3.109,729597.694
1644955200000,3.108,3.194,3.081,3.178,597741.66
1644969600000,3.178,3.179,3.11,3.136,512734.961
1644984000000,3.137,3.19,3.092,3.171,713445.095
1644998400000,3.172,3.23,3.106,3.215,583082.126
1645012800000,3.213,3.224,3.071,3.099,709761.56
1645027200000,3.1,3.27,3.055,3.233,649399.32
1645041600000,3.234,3.238,3.165,3.171,600143.84
1645056000000,3.169,3.297,3.16,3.163,544492.53
1645070400000,3.166,3.257,3.121,3.226,589277.4
1645084800000,3.225,3.253,3.094,3.193,640185.69
1645099200000,3.193,3.224,3.042,3.087,540445.92
1645113600000,3.086,3.127,2.933,2.96,657042.68
1645128000000,2.96,2.971,2.883,2.906,673299.526
1645142400000,2.907,2.976,2.878,2.958,536311.705
1645156800000,2.959,2.983,2.935,2.963,664727.42
1645171200000,2.962,2.997,2.902,2.907,518986.2
1645185600000,2.91,2.953,2.809,2.834,685203.11
1645200000000,2.834,2.878,2.797,2.84,637137.15
1645214400000,2.842,2.848,2.796,2.807,500891.11
1645228800000,2.807,2.869,2.802,2.828,634188.386
1645243200000,2.829,2.86,2.819,2.85,550521.85
1645257600000,2.849,2.856,2.726,2.741,605317.59
1645272000000,2.742,2.789,2.714,2.779,702425.37
1645286400000,2.779,2.82,2.764,2.769,857252.64
1645300800000,2.769,2.807,2.762,2.8,627057.56
1645315200000,2.801,2.804,2.72,2.744,463607.441
1645329600000,2.745,2.753,2.603,2.631,848227.17
1645344000000,2.631,2.636,2.565,2.592,860197.66
1645358400000,2.593,2.62,2.518,2.579,745000.74
1645372800000,2.578,2.606,2.56,2.58,493226.834
1645387200000,2.58,2.604,2.515,2.548,677588.58
1645401600000,2.548,2.659,2.529,2.627,570746.3
1645416000000,2.628,2.681,2.626,2.673,733037.17
1645430400000,2.672,2.69,2.515,2.534,768914.05
1645444800000,2.532,2.641,2.45,2.603,1049798.55
1645459200000,2.605,2.613,2.481,2.518,876593.45
1645473600000,2.518,2.527,2.328,2.338,748115.714
1645488000000,2.337,2.384,2.231,2.245,655459.47
1645502400000,2.246,2.318,2.224,2.28,802742.04
1645516800000,2.281,2.377,2.278,2.339,1083059.36
1645531200000,2.336,2.429,2.316,2.383,965180.84
1645545600000,2.382,2.397,2.32,2.383,928489.62
1645560000000,2.383,2.406,2.334,2.396,704727.97
1645574400000,2.396,2.429,2.347,2.367,835742.55
1645588800000,2.367,2.441,2.362,2.439,784802.59
1645603200000,2.441,2.492,2.426,2.463,1295862.6
1645617600000,2.465,2.51,2.422,2.442,1006189.97
1645632000000,2.442,2.516,2.36,2.363,730955.95
1645646400000,2.362,2.372,2.275,2.281,709557.77
1645660800000,2.286,2.309,2.08,2.083,679175.65
1645675200000,2.088,2.113,1.894,1.974,1218787.32
1645689600000,1.974,2.028,1.925,1.974,1050206.2
1645704000000,1.974,2.077,1.941,2.068,870736.86
1645718400000,2.067,2.221,2.045,2.22,964798.62
1645732800000,2.218,2.297,2.156,2.238,693663.88
1645747200000,2.238,2.295,2.225,2.266,789663.04
1645761600000,2.265,2.275,2.208,2.247,547929.754
1645776000000,2.246,2.267,2.19,2.251,734565.24
