time,open,high,low,close,volume
1767067200000,74.87,75.2,74.86,74.95,89.96
1767081600000,74.95,75.44,74.95,75.4,150.23
1767096000000,75.4,75.65,74.09,75.63,1276.85
1767110400000,75.63,75.83,74.69,74.77,859.25
1767124800000,74.77,74.77,73.62,73.74,325.09
1767139200000,73.74,73.79,73.62,73.64,53.79
1767153600000,73.64,73.65,73.29,73.32,72.0
1767168000000,73.32,79.11,73.15,73.49,196.8
1767182400000,73.49,74.23,72.05,72.64,678.87
1767196800000,72.64,73.13,70.93,70.99,864.91
1767211200000,70.99,71.62,70.46,71.62,213.07
1767225600000,71.62,71.62,71.62,71.62,0.0
1767240000000,71.62,71.62,71.62,71.62,0.0
1767254400000,71.62,71.62,71.62,71.62,0.0
1767268800000,71.62,71.62,71.62,71.62,0.0
1767283200000,71.62,71.62,71.62,71.62,0.0
1767297600000,71.62,71.62,71.62,71.62,0.0
1767312000000,71.62,72.96,71.62,72.89,160.91
1767326400000,72.89,73.13,72.79,72.84,319.82
1767340800000,72.84,73.92,72.78,73.73,341.69
1767355200000,73.73,78.05,73.32,77.87,1144.22
1767369600000,77.87,81.1,77.54,80.09,1436.53
1767384000000,80.09,80.68,79.35,79.36,561.53
1767398400000,79.36,79.36,79.36,79.36,0.0
1767412800000,79.36,79.36,79.36,79.36,0.0
1767427200000,79.36,79.36,79.36,79.36,0.0
1767441600000,79.36,79.36,79.36,79.36,0.0
1767456000000,79.36,79.36,79.36,79.36,0.0
1767470400000,79.36,79.36,79.36,79.36,0.0
1767484800000,79.36,79.36,79.36,79.36,0.0
1767499200000,79.36,79.36,79.36,79.36,0.0
1767513600000,79.36,79.36,79.36,79.36,0.0
1767528000000,79.36,79.36,79.36,79.36,0.0
1767542400000,79.36,79.36,79.36,79.36,0.0
1767556800000,79.36,79.36,79.36,79.36,0.0
1767571200000,79.36,80.86,79.36,80.4,222.97
1767585600000,80.4,80.44,79.91,79.94,216.84
1767600000000,79.94,83.56,79.59,82.31,479.88
1767614400000,82.31,84.37,79.83,80.8,1382.21
1767628800000,80.8,81.28,77.36,78.33,1388.51
1767643200000,78.33,78.94,76.42,78.04,1098.94
1767657600000,78.04,78.31,77.56,78.13,251.28
1767672000000,78.13,78.47,78.08,78.25,254.9
1767686400000,78.25,78.31,77.66,78.11,362.9
1767700800000,78.11,79.11,75.25,75.66,1414.58
1767715200000,75.66,76.87,73.79,76.68,1429.07
1767729600000,76.68,78.43,76.68,77.95,565.77
1767744000000,77.95,77.99,77.44,77.51,267.4
1767758400000,77.51,77.51,77.12,77.42,158.22
1767772800000,77.42,77.66,76.31,76.57,472.15
1767787200000,76.57,78.7,75.92,78.58,1160.28
1767801600000,78.58,79.91,77.9,79.04,1032.01
1767816000000,79.04,79.04,77.07,77.76,951.96
1767830400000,77.76,77.95,77.51,77.69,244.0
1767844800000,77.69,77.69,76.65,77.26,612.18
1767859200000,77.26,77.83,77.17,77.49,295.68
1767873600000,77.49,79.83,76.06,78.61,1517.98
1767888000000,78.61,79.87,76.7,77.85,1498.9
1767902400000,77.85,77.85,76.9,77.29,439.52
1767916800000,77.29,77.29,77.03,77.13,131.48
1767931200000,77.13,77.19,77.05,77.15,72.48
1767945600000,77.15,78.32,77.13,78.08,289.45
1767960000000,78.08,79.57,75.57,77.07,1403.62
1767974400000,77.07,81.42,77.07,79.96,1353.38
1767988800000,79.96,80.82,79.55,80.17,293.93
1768003200000,80.17,80.17,80.17,80.17,0.0
1768017600000,80.17,80.17,80.17,80.17,0.0
1768032000000,80.17,80.17,80.17,80.17,0.0
1768046400000,80.17,80.17,80.17,80.17,0.0
1768060800000,80.17,80.17,80.17,80.17,0.0
1768075200000,80.17,80.17,80.17,80.17,0.0
1768089600000,80.17,80.17,80.17,80.17,0.0
1768104000000,80.17,80.17,80.17,80.17,0.0
1768118400000,80.17,80.17,80.17,80.17,0.0
1768132800000,80.17,80.17,80.17,80.17,0.0
1768147200000,80.17,80.17,80.17,80.17,0.0
1768161600000,80.17,80.17,80.17,80.17,0.0
1768176000000,80.17,80.17,79.22,79.25,177.56
1768190400000,79.25,79.25,78.46,79.2,257.66
1768204800000,79.2,79.23,78.57,78.96,747.18
1768219200000,78.96,89.4,78.11,89.26,2188.99
1768233600000,89.26,90.89,88.06,90.83,1318.44
1768248000000,90.83,91.9,89.08,89.55,887.03
1768262400000,89.55,89.57,88.54,89.14,228.64
1768276800000,89.14,90.74,89.14,90.12,224.09
1768291200000,90.12,90.15,89.01,89.12,416.96
1768305600000,89.12,91.42,87.94,88.97,1649.94
1768320000000,88.97,89.34,86.9,88.44,1129.01
1768334400000,88.44,88.55,86.94,87.75,463.33
1768348800000,87.75,88.26,87.6,88.09,160.62
1768363200000,88.09,88.19,87.52,87.65,102.05
1768377600000,87.65,89.07,86.77,86.84,506.37
1768392000000,86.84,93.11,86.67,90.0,2152.18
1768406400000,90.0,91.66,86.7,88.92,1570.31
1768420800000,88.92,90.41,87.99,90.13,522.3
1768435200000,90.13,90.24,88.93,88.94,151.83
1768449600000,88.94,90.51,88.92,90.41,168.33
1768464000000,90.41,93.23,90.41,92.56,396.56
1768478400000,92.56,98.96,92.53,98.96,1902.09
1768492800000,98.96,99.68,97.12,97.66,1319.98
1768507200000,97.66,97.66,94.09,95.47,635.38
1768521600000,95.47,96.79,95.36,96.71,166.67
1768536000000,96.71,96.72,96.25,96.44,154.23
1768550400000,96.44,97.8,95.96,97.25,348.44
1768564800000,97.25,98.95,95.89,97.71,1501.2
1768579200000,97.71,102.94,97.66,101.69,1396.47
1768593600000,101.69,102.58,100.87,101.36,312.2
1768608000000,101.36,101.36,101.36,101.36,0.0
1768622400000,101.36,101.36,101.36,101.36,0.0
1768636800000,101.36,101.36,101.36,101.36,0.0
1768651200000,101.36,101.36,101.36,101.36,0.0
1768665600000,101.36,101.36,101.36,101.36,0.0
1768680000000,101.36,101.36,101.36,101.36,0.0
1768694400000,101.36,101.36,101.36,101.36,0.0
1768708800000,101.36,101.36,101.36,101.36,0.0
1768723200000,101.36,101.36,101.36,101.36,0.0
1768737600000,101.36,101.36,101.36,101.36,0.0
1768752000000,101.36,101.36,101.36,101.36,0.0
1768766400000,101.36,101.36,101.36,101.36,0.0
1768780800000,101.36,101.36,101.36,101.36,0.0
1768795200000,101.36,101.36,101.36,101.36,0.0
1768809600000,101.36,101.36,101.36,101.36,0.0
1768824000000,101.36,101.36,101.36,101.36,0.0
1768838400000,101.36,101.36,101.36,101.36,0.0
1768852800000,101.36,101.36,101.36,101.36,0.0
1768867200000,101.36,101.36,97.49,97.95,222.39
1768881600000,97.95,98.42,96.3,97.01,413.83
1768896000000,97.01,97.04,93.82,95.47,1279.69
1768910400000,95.47,97.32,93.16,95.1,1481.54
1768924800000,95.1,97.3,93.25,94.27,1199.82
1768939200000,94.27,95.51,93.74,94.02,590.18
1768953600000,94.02,94.67,93.62,94.46,302.93
1768968000000,94.46,95.26,94.4,95.26,118.85
1768982400000,95.26,95.34,94.04,94.14,287.8
1768996800000,94.14,96.18,90.53,92.84,1758.45
1769011200000,92.84,93.33,87.3,91.96,1977.36
1769025600000,91.96,95.51,91.82,95.17,890.47
1769040000000,95.17,95.49,94.98,95.25,160.47
1769054400000,95.25,95.51,94.81,95.5,132.26
1769068800000,95.5,97.19,95.5,96.91,748.53
1769083200000,96.91,99.21,93.3,94.58,1853.85
1769097600000,94.58,95.43,93.44,93.75,1370.43
1769112000000,93.75,93.81,91.52,91.66,660.64
1769126400000,91.66,91.83,91.41,91.75,219.66
1769140800000,91.75,91.81,91.62,91.66,81.21
1769155200000,91.66,92.96,91.33,92.58,316.91
1769169600000,92.58,95.03,87.29,94.96,1461.91
1769184000000,94.96,95.9,93.06,94.17,1383.17
1769198400000,94.17,94.17,91.98,93.11,416.96
1769212800000,93.11,93.11,93.11,93.11,0.0
1769227200000,93.11,93.11,93.11,93.11,0.0
1769241600000,93.11,93.11,93.11,93.11,0.0
1769256000000,93.11,93.11,93.11,93.11,0.0
1769270400000,93.11,93.11,93.11,93.11,0.0
1769284800000,93.11,93.11,93.11,93.11,0.0
1769299200000,93.11,93.11,93.11,93.11,0.0
