time,open,high,low,close,volume
1778760000000,117.29,119.31,114.28,116.85,2806.06
1778774400000,116.85,116.87,114.04,115.55,1451.93
1778788800000,115.55,115.57,114.97,115.05,294.25
1778803200000,115.05,115.22,114.28,114.72,644.01
1778817600000,114.72,115.3,114.3,114.87,369.1
1778832000000,114.87,114.87,111.73,112.85,666.62
1778846400000,112.85,118.32,112.23,116.4,1796.88
1778860800000,116.4,118.76,116.4,118.19,1109.71
1778875200000,118.19,118.2,117.75,117.93,206.87
1778889600000,117.93,117.93,117.93,117.93,0.09
1778904000000,117.93,117.93,117.93,117.93,0.0
1778918400000,117.93,117.93,117.93,117.93,0.0
1778932800000,117.93,117.93,117.93,117.93,0.0
1778947200000,117.93,117.93,117.93,117.93,0.0
1778961600000,117.93,117.93,117.93,117.93,0.0
1778976000000,117.93,117.93,117.93,117.93,0.0
1778990400000,117.93,117.93,117.93,117.93,0.0
1779004800000,117.93,117.93,117.93,117.93,0.0
1779019200000,117.93,117.93,117.93,117.93,0.0
1779033600000,117.93,117.93,117.93,117.93,0.0
1779048000000,117.93,117.93,117.93,117.93,0.0
1779062400000,117.93,118.8,117.24,117.93,521.96
1779076800000,117.93,118.03,117.35,117.89,263.02
1779091200000,117.89,118.13,116.62,117.52,456.46
1779105600000,117.52,119.28,116.04,116.67,1301.83
1779120000000,116.67,119.21,116.45,118.91,982.85
1779134400000,118.91,119.05,118.76,118.85,158.05
1779148800000,118.85,118.96,118.33,118.43,317.49
1779163200000,118.43,118.88,118.31,118.78,171.05
1779177600000,118.78,118.78,117.47,117.61,383.46
1779192000000,117.61,118.47,114.82,115.46,1226.15
1779206400000,115.46,117.77,115.13,115.37,830.75
1779220800000,115.37,115.62,115.27,115.5,149.57
1779235200000,115.5,115.65,115.1,115.37,246.3
1779249600000,115.37,115.63,115.22,115.23,219.38
1779264000000,115.23,115.54,115.04,115.38,113.18
1779278400000,115.38,116.88,114.92,115.75,154.23
1779292800000,115.75,116.07,113.89,114.38,118.69
1779307200000,114.38,115.26,113.51,114.11,82.34
1779321600000,114.11,114.51,113.77,114.35,71.68
1779336000000,114.35,114.41,113.73,113.97,70.44
1779350400000,113.97,114.56,113.69,114.06,73.25
1779364800000,114.06,117.54,113.96,116.96,92.84
