time,open,high,low,close,volume
1772438400000,193.89,194.83,193.54,194.31,91.36
1772452800000,194.31,194.89,187.37,188.79,488.74
1772467200000,188.79,189.95,187.47,188.71,299.98
1772481600000,188.71,189.95,188.37,189.59,66.11
1772496000000,189.59,189.59,189.59,189.59,0.0
1772510400000,189.59,189.59,189.59,189.59,0.0
1772524800000,189.59,189.59,189.59,189.59,0.0
1772539200000,189.59,191.37,187.51,189.63,189.01
1772553600000,189.63,191.32,187.9,188.08,326.87
1772568000000,188.08,188.92,187.49,188.78,65.52
1772582400000,188.78,188.78,188.78,188.78,0.0
1772596800000,188.78,188.78,188.78,188.78,0.0
1772611200000,188.78,188.78,188.78,188.78,0.0
1772625600000,188.78,188.78,184.23,186.15,161.22
1772640000000,186.15,186.8,185.0,185.85,179.03
1772654400000,185.85,186.36,185.57,186.15,26.12
1772668800000,186.15,186.15,186.15,186.15,0.0
1772683200000,186.15,186.15,186.15,186.15,0.0
1772697600000,186.15,186.15,186.15,186.15,0.0
1772712000000,186.15,189.7,186.15,188.66,186.51
1772726400000,188.66,189.72,187.88,189.62,268.75
1772740800000,189.62,189.91,188.49,189.72,58.29
1772755200000,189.72,189.72,189.72,189.72,0.0
1772769600000,189.72,189.72,189.72,189.72,0.0
1772784000000,189.72,189.72,189.72,189.72,0.0
1772798400000,189.72,192.38,188.19,189.17,163.6
1772812800000,189.17,190.29,188.73,190.14,220.23
1772827200000,190.14,190.41,189.4,189.94,54.82
1772841600000,189.94,189.94,189.94,189.94,0.0
1772856000000,189.94,189.94,189.94,189.94,0.0
1772870400000,189.94,189.94,189.94,189.94,0.0
1772884800000,189.94,189.94,189.94,189.94,0.0
1772899200000,189.94,189.94,189.94,189.94,0.0
1772913600000,189.94,189.94,189.94,189.94,0.0
1772928000000,189.94,189.94,189.94,189.94,0.0
1772942400000,189.94,189.94,189.94,189.94,0.0
1772956800000,189.94,189.94,189.94,189.94,0.0
1772971200000,189.94,189.94,189.94,189.94,0.0
1772985600000,189.94,189.94,189.94,189.94,0.0
1773000000000,189.94,189.94,189.94,189.94,0.0
1773014400000,189.94,189.94,189.94,189.94,0.0
1773028800000,189.94,189.94,189.94,189.94,0.0
1773043200000,189.94,189.94,189.94,189.94,0.0
1773057600000,189.94,191.63,189.13,190.29,262.93
1773072000000,190.29,191.08,188.23,189.41,230.0
1773086400000,189.41,189.41,189.41,189.41,0.0
1773100800000,189.41,189.41,189.41,189.41,0.0
1773115200000,189.41,189.41,189.41,189.41,0.0
1773129600000,189.41,189.41,189.41,189.41,0.0
1773144000000,189.41,189.41,186.01,188.33,285.21
1773158400000,188.33,189.17,185.65,186.35,231.7
1773172800000,186.35,186.35,186.35,186.35,0.0
1773187200000,186.35,186.35,186.35,186.35,0.0
1773201600000,186.35,186.35,186.35,186.35,0.0
1773216000000,186.35,186.35,186.35,186.35,0.0
1773230400000,186.35,189.62,186.35,189.21,207.53
1773244800000,189.21,191.82,189.2,191.75,155.33
1773259200000,191.75,191.75,191.75,191.75,0.0
1773273600000,191.75,191.75,191.75,191.75,0.0
1773288000000,191.75,191.75,191.75,191.75,0.0
1773302400000,191.75,191.75,191.75,191.75,0.0
1773316800000,191.75,197.84,191.75,197.84,238.18
1773331200000,197.84,198.81,196.9,196.97,251.51
1773345600000,196.97,196.97,196.97,196.97,0.0
1773360000000,196.97,196.97,196.97,196.97,0.0
1773374400000,196.97,196.97,196.97,196.97,0.0
1773388800000,196.97,196.97,196.97,196.97,0.0
1773403200000,196.97,197.61,194.74,195.08,166.95
1773417600000,195.08,197.08,194.91,196.95,130.45
1773432000000,196.95,196.95,196.95,196.95,0.0
1773446400000,196.95,196.95,196.95,196.95,0.0
1773460800000,196.95,196.95,196.95,196.95,0.0
1773475200000,196.95,196.95,196.95,196.95,0.0
1773489600000,196.95,196.95,196.95,196.95,0.0
1773504000000,196.95,196.95,196.95,196.95,0.0
1773518400000,196.95,196.95,196.95,196.95,0.0
1773532800000,196.95,196.95,196.95,196.95,0.0
1773547200000,196.95,196.95,196.95,196.95,0.0
1773561600000,196.95,196.95,196.95,196.95,0.0
1773576000000,196.95,196.95,196.95,196.95,0.0
1773590400000,196.95,196.95,196.95,196.95,0.0
1773604800000,196.95,196.95,196.95,196.95,0.0
1773619200000,196.95,196.95,196.95,196.95,0.0
1773633600000,196.95,196.95,196.95,196.95,0.0
1773648000000,196.95,196.95,196.95,196.95,0.0
1773662400000,196.95,197.78,195.57,196.88,145.18
1773676800000,196.88,197.65,196.35,196.88,146.42
1773691200000,196.88,196.88,196.88,196.88,0.0
1773705600000,196.88,196.88,196.88,196.88,0.0
1773720000000,196.88,196.88,196.88,196.88,0.0
1773734400000,196.88,196.88,196.88,196.88,0.0
1773748800000,196.88,200.17,196.46,200.17,158.97
1773763200000,200.17,200.5,197.95,198.02,740.6
1773777600000,198.02,198.02,198.02,198.02,0.0
1773792000000,198.02,198.02,198.02,198.02,0.0
1773806400000,198.02,198.02,198.02,198.02,0.0
1773820800000,198.02,198.02,198.02,198.02,0.0
1773835200000,198.02,199.99,198.02,199.74,118.35
