time,open,high,low,close,volume
1780300800000,426.12,426.5,425.33,426.26,3.98
1780315200000,426.26,467.2,423.5,454.76,1264.43
1780329600000,454.76,469.08,450.08,466.15,500.33
1780344000000,466.15,488.84,465.37,475.98,444.83
1780358400000,475.98,478.18,461.28,462.69,376.07
1780372800000,462.69,477.55,460.95,475.16,238.74
1780387200000,475.16,484.0,470.0,474.75,403.07
1780401600000,474.75,478.5,442.18,443.89,864.46
1780416000000,443.89,447.9,433.64,435.33,422.46
1780430400000,435.33,438.02,430.02,431.22,216.13
1780444800000,431.22,443.33,425.96,434.81,328.09
1780459200000,434.81,436.61,432.06,436.61,221.17
1780473600000,436.61,442.89,432.78,438.43,354.56
1780488000000,438.43,438.5,407.67,415.84,816.79
1780502400000,415.84,425.92,411.66,421.2,377.94
1780516800000,421.2,421.5,405.0,406.36,501.03
1780531200000,406.36,415.01,404.93,410.25,251.62
1780545600000,410.25,417.55,410.19,414.7,185.32
1780560000000,414.7,414.85,400.54,402.58,783.66
1780574400000,402.58,416.25,397.17,414.53,806.55
1780588800000,414.53,430.31,413.75,421.95,381.34
1780603200000,421.95,424.06,413.36,413.82,192.66
1780617600000,413.82,414.54,402.33,410.02,346.56
1780632000000,410.02,413.02,404.3,407.82,365.19
1780646400000,407.82,413.37,404.59,409.24,371.51
1780660800000,409.24,413.3,398.91,404.25,598.66
1780675200000,404.25,404.66,386.57,394.63,605.11
1780689600000,394.63,395.71,385.1,387.35,486.47
1780704000000,387.35,389.38,381.4,384.26,342.6
1780718400000,384.26,387.25,381.83,386.7,351.69
1780732800000,386.7,387.14,385.1,385.86,272.77
1780747200000,385.86,386.57,385.22,386.13,233.13
1780761600000,386.13,386.46,384.79,385.7,191.43
1780776000000,385.7,390.06,385.08,390.06,170.94
1780790400000,390.06,393.57,388.79,392.43,190.74
1780804800000,392.43,402.85,391.51,401.2,1984.9
1780819200000,401.2,403.09,393.63,395.76,244.03
1780833600000,395.76,400.7,394.5,399.68,207.32
1780848000000,399.68,399.88,395.13,395.24,151.29
1780862400000,395.24,396.29,394.61,396.22,202.57
1780876800000,396.22,398.6,389.66,395.59,336.64
1780891200000,395.59,395.69,387.16,392.58,238.94
1780905600000,392.58,402.03,392.36,399.26,292.47
1780920000000,399.26,406.19,386.99,404.2,509.38
1780934400000,404.2,405.21,397.31,400.29,294.85
1780948800000,400.29,401.67,395.93,397.56,203.98
1780963200000,397.56,401.22,393.38,401.12,217.8
1780977600000,401.12,403.91,401.12,402.38,201.62
1780992000000,402.38,405.27,401.55,404.75,237.06
1781006400000,404.75,407.54,372.38,372.44,605.2
1781020800000,372.44,380.72,357.72,380.72,700.01
1781035200000,380.72,383.32,375.1,377.71,247.07
1781049600000,377.71,380.09,372.08,373.19,227.27
1781064000000,373.19,376.83,367.47,375.16,293.8
1781078400000,375.16,375.17,365.73,367.72,312.53
1781092800000,367.72,399.11,367.66,387.89,657.54
1781107200000,387.89,388.31,370.15,370.18,450.37
1781121600000,370.18,371.04,358.21,361.67,358.84
1781136000000,361.67,372.16,360.08,371.02,308.22
1781150400000,371.02,375.76,370.37,375.07,191.26
1781164800000,375.07,379.28,372.47,379.27,219.29
1781179200000,379.27,381.57,367.64,379.57,682.7
1781193600000,379.57,394.21,377.69,391.94,494.42
1781208000000,391.94,395.36,390.51,394.8,243.98
1781222400000,394.8,397.53,391.69,393.82,259.09
1781236800000,393.82,394.75,386.92,389.77,246.25
1781251200000,389.77,397.15,389.76,396.45,218.88
1781265600000,396.45,408.44,382.05,396.89,689.58
1781280000000,396.89,403.04,395.31,395.74,371.74
1781294400000,395.74,398.6,394.5,398.35,157.62
