time,open,high,low,close,volume
1642435200000,25.99,26.22,25.53,25.82,289868.427
1642449600000,25.83,25.89,25.11,25.69,244299.522
1642464000000,25.7,26.06,25.33,25.45,236682.339
1642478400000,25.44,25.55,25.11,25.35,232242.321
1642492800000,25.35,25.37,24.48,24.93,300230.65
1642507200000,24.92,25.0,24.26,24.59,292119.676
1642521600000,24.59,24.95,24.47,24.87,234503.991
1642536000000,24.89,25.37,24.67,25.14,241369.158
1642550400000,25.13,25.32,24.47,24.61,280925.813
1642564800000,24.62,24.77,23.69,23.85,246715.012
1642579200000,23.85,24.41,23.74,24.4,231492.554
1642593600000,24.41,24.79,24.15,24.33,228999.977
1642608000000,24.33,24.48,23.95,24.3,241146.223
1642622400000,24.28,24.38,23.99,24.07,234653.234
1642636800000,24.07,24.56,23.96,24.42,225930.935
1642651200000,24.42,24.74,24.39,24.63,244064.133
1642665600000,24.64,24.69,24.3,24.52,239973.918
1642680000000,24.53,25.61,24.36,25.4,270136.672
1642694400000,25.4,25.55,24.95,24.98,236953.399
1642708800000,24.97,25.03,22.84,23.03,457139.818
1642723200000,23.01,23.49,21.88,22.06,485331.82
1642737600000,22.07,22.6,22.04,22.47,259437.348
1642752000000,22.43,22.68,22.19,22.32,246623.722
1642766400000,22.33,22.36,21.12,22.11,544337.134
1642780800000,22.12,22.25,21.54,21.55,326126.377
1642795200000,21.55,21.73,19.04,19.67,1351430.69
1642809600000,19.67,20.14,19.27,19.5,547017.717
1642824000000,19.52,19.68,17.12,17.36,779205.34
1642838400000,17.35,18.88,16.17,18.45,1141458.48
1642852800000,18.46,19.27,17.54,17.6,590952.82
1642867200000,17.6,18.38,17.18,17.55,670833.45
1642881600000,17.56,18.83,17.44,18.27,425358.185
1642896000000,18.27,18.91,18.05,18.28,235040.581
1642910400000,18.27,18.86,17.92,18.72,266929.462
1642924800000,18.71,19.19,18.52,18.61,357070.941
1642939200000,18.62,18.94,17.76,18.11,325703.233
1642953600000,18.14,18.35,17.72,17.9,261592.084
1642968000000,17.9,19.04,17.78,18.82,359975.474
1642982400000,18.82,18.82,17.69,17.85,249796.942
1642996800000,17.85,17.95,17.07,17.17,248868.464
1643011200000,17.19,17.59,16.19,16.43,976836.83
1643025600000,16.43,17.08,15.83,16.99,1061037.71
1643040000000,16.99,17.81,16.64,17.57,534031.783
1643054400000,17.57,18.38,17.5,18.04,325397.805
1643068800000,18.02,18.09,17.65,17.87,227147.514
1643083200000,17.89,17.95,17.37,17.74,245856.126
1643097600000,17.71,18.37,17.68,18.17,242183.869
1643112000000,18.16,18.92,17.78,18.5,349041.511
1643126400000,18.51,19.04,18.41,18.74,265416.854
1643140800000,18.74,18.76,18.22,18.32,233791.246
1643155200000,18.31,18.84,18.17,18.8,241451.203
1643169600000,18.79,19.01,18.44,18.64,241351.625
1643184000000,18.64,19.0,18.64,18.97,276839.305
1643198400000,18.96,19.48,18.59,19.18,298914.767
1643212800000,19.17,20.03,18.39,18.9,828526.972
1643227200000,18.92,18.92,17.52,18.04,462256.27
1643241600000,18.07,18.2,17.14,17.35,394853.77
1643256000000,17.35,17.69,17.3,17.57,239860.707
1643270400000,17.55,18.02,17.41,17.96,248534.905
1643284800000,17.96,18.41,17.83,18.11,288668.586
1643299200000,18.11,18.29,17.72,17.9,272150.137
1643313600000,17.91,18.2,17.27,18.12,252022.74
1643328000000,18.11,18.49,17.72,18.35,234078.055
1643342400000,18.35,18.47,17.87,17.89,270652.273
1643356800000,17.9,18.06,17.5,17.65,249732.73
1643371200000,17.65,17.98,17.36,17.93,255069.817
1643385600000,17.95,18.29,17.74,17.95,234942.793
1643400000000,17.97,18.44,17.86,18.35,268429.435
1643414400000,18.35,18.51,18.08,18.43,240771.304
1643428800000,18.43,18.79,18.38,18.74,250234.063
1643443200000,18.74,18.79,18.51,18.57,242501.857
1643457600000,18.56,18.91,18.27,18.42,247070.56
1643472000000,18.41,18.75,18.27,18.62,256773.26
1643486400000,18.63,19.05,18.56,18.73,274210.637
1643500800000,18.73,18.75,18.39,18.56,242441.027
1643515200000,18.56,19.0,18.51,18.87,253769.94
1643529600000,18.87,18.98,18.69,18.85,254129.571
1643544000000,18.85,18.92,18.34,18.5,261685.853
1643558400000,18.52,18.63,17.86,17.93,260731.3
1643572800000,17.93,18.37,17.81,18.15,254866.336
1643587200000,18.15,18.19,17.38,17.54,314957.559
1643601600000,17.52,17.54,17.13,17.5,248644.703
1643616000000,17.5,17.81,17.48,17.71,256585.495
1643630400000,17.7,18.69,17.47,18.64,267141.691
1643644800000,18.65,19.19,18.43,19.1,360134.735
1643659200000,19.11,19.6,19.05,19.38,303301.235
1643673600000,19.38,19.87,19.17,19.77,249384.216
1643688000000,19.78,19.79,19.24,19.42,261413.274
1643702400000,19.42,19.79,19.16,19.62,324020.6
