time,open,high,low,close,volume
1775635200000,32.84,33.14,32.24,32.65,1048.47
1775649600000,32.65,33.38,31.72,32.27,6194.72
1775664000000,32.27,32.63,32.04,32.49,3242.81
1775678400000,32.49,32.49,32.47,32.47,6.47
1775692800000,32.47,32.47,32.47,32.47,0.0
1775707200000,32.47,32.47,32.47,32.47,0.0
1775721600000,32.47,32.47,32.47,32.47,0.0
1775736000000,32.47,32.47,30.91,32.0,3040.82
1775750400000,32.0,32.43,31.72,32.35,1548.06
1775764800000,32.35,32.35,32.35,32.35,0.0
1775779200000,32.35,32.35,32.35,32.35,0.0
1775793600000,32.35,32.35,32.35,32.35,0.0
1775808000000,32.35,32.35,32.35,32.35,0.0
1775822400000,32.35,32.69,32.18,32.28,1291.58
1775836800000,32.28,32.55,32.21,32.41,1904.74
1775851200000,32.41,32.41,32.41,32.41,5.8
1775865600000,32.41,32.41,32.41,32.41,0.0
1775880000000,32.41,32.41,32.41,32.41,0.0
1775894400000,32.41,32.41,32.41,32.41,0.0
1775908800000,32.41,32.41,32.41,32.41,0.0
1775923200000,32.41,32.41,32.41,32.41,0.0
1775937600000,32.41,32.41,32.41,32.41,0.0
1775952000000,32.41,32.41,32.41,32.41,0.0
1775966400000,32.41,32.41,32.41,32.41,0.0
1775980800000,32.41,32.41,32.41,32.41,0.0
1775995200000,32.41,32.41,32.41,32.41,0.0
1776009600000,32.41,32.41,32.41,32.41,0.0
1776024000000,32.41,32.41,32.41,32.41,0.0
1776038400000,32.41,32.41,32.41,32.41,0.0
1776052800000,32.41,32.41,32.41,32.41,0.0
1776067200000,32.41,32.41,32.41,32.41,0.0
1776081600000,32.41,32.66,32.1,32.47,1639.73
1776096000000,32.47,33.55,32.4,33.55,2849.3
1776110400000,33.55,33.55,33.55,33.55,0.0
1776124800000,33.55,33.55,33.55,33.55,0.0
1776139200000,33.55,33.55,33.55,33.55,0.0
1776153600000,33.55,33.55,33.55,33.55,0.0
1776168000000,33.55,34.62,33.55,34.54,1908.06
1776182400000,34.54,35.5,34.3,35.5,2545.49
1776196800000,35.5,35.5,35.5,35.5,0.0
1776211200000,35.5,35.5,35.5,35.5,0.0
1776225600000,35.5,35.5,35.5,35.5,0.0
1776240000000,35.5,35.5,35.5,35.5,0.0
1776254400000,35.5,35.5,33.91,34.08,2686.96
1776268800000,34.08,34.48,33.72,34.47,2136.21
1776283200000,34.47,34.47,34.47,34.47,0.0
1776297600000,34.47,34.47,34.47,34.47,0.0
1776312000000,34.47,34.47,34.47,34.47,0.0
1776326400000,34.47,34.47,34.47,34.47,0.0
1776340800000,34.47,35.28,34.47,35.17,2665.62
1776355200000,35.17,35.32,34.78,35.13,2611.47
1776369600000,35.13,35.13,35.11,35.11,0.06
1776384000000,35.11,35.11,35.11,35.11,0.0
1776398400000,35.11,35.11,35.11,35.11,0.0
1776412800000,35.11,35.11,35.11,35.11,0.0
1776427200000,35.11,35.95,35.11,35.58,2898.5
1776441600000,35.58,35.86,35.44,35.55,1967.4
1776456000000,35.55,35.55,35.55,35.55,0.0
1776470400000,35.55,35.55,35.55,35.55,0.0
1776484800000,35.55,35.55,35.55,35.55,0.0
1776499200000,35.55,35.55,35.55,35.55,0.0
1776513600000,35.55,35.55,35.55,35.55,0.0
1776528000000,35.55,35.55,35.55,35.55,0.0
1776542400000,35.55,35.55,35.55,35.55,0.0
1776556800000,35.55,35.55,35.55,35.55,0.0
1776571200000,35.55,35.55,35.55,35.55,0.0
1776585600000,35.55,35.55,35.55,35.55,0.0
1776600000000,35.55,35.55,35.55,35.55,0.0
1776614400000,35.55,35.55,35.55,35.55,0.0
1776628800000,35.55,35.55,35.55,35.55,0.0
1776643200000,35.55,35.55,35.55,35.55,0.0
1776657600000,35.55,35.55,35.55,35.55,0.0
1776672000000,35.55,35.55,35.55,35.55,0.0
1776686400000,35.55,35.56,34.64,34.8,1818.72
1776700800000,34.8,35.24,34.74,35.1,934.2
1776715200000,35.1,35.1,35.1,35.1,4.08
1776729600000,35.1,35.1,35.1,35.1,0.0
1776744000000,35.1,35.1,35.1,35.1,0.0
1776758400000,35.1,35.1,35.1,35.1,0.0
1776772800000,35.1,35.95,35.1,35.38,1769.28
1776787200000,35.38,35.62,34.93,34.98,2291.35
1776801600000,34.98,34.98,34.98,34.98,0.0
1776816000000,34.98,34.98,34.98,34.98,0.0
1776830400000,34.98,34.98,34.98,34.98,0.0
1776844800000,34.98,34.98,34.98,34.98,0.0
1776859200000,34.98,36.92,34.98,36.84,1211.54
1776873600000,36.84,37.5,36.82,37.31,1519.68
1776888000000,37.31,37.31,37.31,37.31,0.0
1776902400000,37.31,37.31,37.31,37.31,0.0
1776916800000,37.31,37.31,37.31,37.31,0.0
1776931200000,37.31,37.31,37.31,37.31,0.0
1776945600000,37.31,37.34,36.62,37.15,1453.45
1776960000000,37.15,37.31,35.82,36.36,2152.71
1776974400000,36.36,36.36,36.36,36.36,0.0
1776988800000,36.36,36.36,36.36,36.36,0.0
1777003200000,36.36,36.36,36.36,36.36,0.0
1777017600000,36.36,36.36,36.36,36.36,0.0
1777032000000,36.36,37.47,36.36,37.42,1906.24
1777046400000,37.42,37.54,37.06,37.19,1254.73
1777060800000,37.19,37.2,37.19,37.2,2.67
1777075200000,37.2,37.2,37.2,37.2,0.0
1777089600000,37.2,37.2,37.2,37.2,0.0
1777104000000,37.2,37.2,37.2,37.2,0.0
1777118400000,37.2,37.2,37.2,37.2,0.0
1777132800000,37.2,37.2,37.2,37.2,0.0
1777147200000,37.2,37.2,37.2,37.2,0.0
1777161600000,37.2,37.2,37.2,37.2,0.0
1777176000000,37.2,37.2,37.2,37.2,0.0
1777190400000,37.2,37.2,37.2,37.2,0.0
1777204800000,37.2,37.2,37.2,37.2,0.0
1777219200000,37.2,37.2,37.2,37.2,0.0
1777233600000,37.2,37.2,37.2,37.2,0.0
1777248000000,37.2,37.2,37.2,37.2,0.0
1777262400000,37.2,37.2,37.2,37.2,0.0
1777276800000,37.2,37.2,37.2,37.2,0.0
1777291200000,37.2,38.75,37.2,38.7,1628.94
1777305600000,38.7,38.7,38.32,38.58,1225.69
1777320000000,38.58,38.58,38.58,38.58,0.0
1777334400000,38.58,38.58,38.58,38.58,0.0
1777348800000,38.58,38.58,38.58,38.58,0.0
1777363200000,38.58,38.58,38.58,38.58,0.0
1777377600000,38.58,38.58,36.53,36.89,2318.33
1777392000000,36.89,37.63,36.74,37.36,1138.4
1777406400000,37.36,37.38,37.36,37.38,5.17
1777420800000,37.38,37.38,37.38,37.38,0.0
1777435200000,37.38,37.38,37.38,37.38,0.0
1777449600000,37.38,37.38,37.38,37.38,0.0
1777464000000,37.38,38.98,37.38,38.49,1429.35
1777478400000,38.49,38.58,37.9,38.14,1562.02
1777492800000,38.14,38.15,38.14,38.15,4.0
1777507200000,38.15,38.15,38.15,38.15,0.0
1777521600000,38.15,38.15,38.15,38.15,0.0
1777536000000,38.15,38.15,38.15,38.15,0.0
1777550400000,38.15,39.16,38.15,38.72,1670.79
1777564800000,38.72,39.42,38.6,39.39,1111.38
1777579200000,39.39,39.39,39.39,39.39,0.0
1777593600000,39.39,39.39,39.39,39.39,0.0
1777608000000,39.39,39.39,39.39,39.39,0.0
1777622400000,39.39,39.39,39.39,39.39,0.0
1777636800000,39.39,40.8,38.78,40.12,2498.18
