time,open,high,low,close,volume
1644105600000,6.4809,6.8083,6.477,6.7336,51556.549
1644120000000,6.7322,6.92,6.4855,6.6968,66258.7045
1644134400000,6.6947,7.0052,6.6032,6.9083,92291.446
1644148800000,6.9129,7.2948,6.8336,7.1753,205224.898
1644163200000,7.1746,7.1908,7.0294,7.0658,53141.181
1644177600000,7.0671,7.3346,6.9346,7.2881,69373.6
1644192000000,7.2853,7.3849,7.107,7.331,52349.719
1644206400000,7.3325,7.5014,7.2081,7.4788,48655.25
1644220800000,7.4781,7.6052,7.2545,7.3757,49688.017
1644235200000,7.3768,7.4647,7.2713,7.4585,71551.191
1644249600000,7.4574,7.7285,7.3545,7.7033,61680.177
1644264000000,7.6953,7.983,7.6172,7.7418,83105.06
1644278400000,7.7446,8.2944,7.5304,8.1391,162010.299
1644292800000,8.1368,8.1433,7.7757,7.8651,71296.194
1644307200000,7.8654,7.8924,7.347,7.5732,126875.975
1644321600000,7.5719,7.5719,7.1604,7.3446,72452.136
1644336000000,7.3459,7.4048,7.1738,7.2555,58956.999
1644350400000,7.256,7.6688,7.2291,7.5616,54814.119
1644364800000,7.5656,7.7551,7.2587,7.4228,63751.392
1644379200000,7.4224,7.8542,7.3473,7.7172,51296.47
1644393600000,7.7154,7.8262,7.5551,7.7545,47761.107
1644408000000,7.7571,8.4999,7.7154,8.3743,144908.825
1644422400000,8.3608,8.4519,8.2394,8.3206,66785.801
1644436800000,8.3225,8.5541,8.0804,8.2396,75570.264
1644451200000,8.2398,8.5392,8.0838,8.2094,108090.821
1644465600000,8.2082,8.2149,8.0125,8.1069,55588.988
1644480000000,8.1044,8.2093,8.0331,8.0677,59260.732
1644494400000,8.0703,8.1865,7.5996,8.0068,159881.884
1644508800000,8.0065,8.079,7.7,7.7151,55411.479
1644523200000,7.7167,7.8069,7.6178,7.679,42976.053
1644537600000,7.677,7.886,7.4303,7.6629,63701.171
1644552000000,7.6639,7.6814,7.4468,7.5948,37919.639
1644566400000,7.6006,7.6779,7.4442,7.6487,38294.985
1644580800000,7.6479,8.1034,7.6055,7.8853,96012.82
1644595200000,7.8861,8.1723,7.6677,7.9326,131032.173
1644609600000,7.932,8.0,6.9112,7.2033,157011.415
1644624000000,7.2045,7.409,7.1019,7.1718,60146.976
1644638400000,7.1796,7.2809,6.858,7.0877,62703.12
1644652800000,7.0861,7.1994,6.9301,7.1428,47364.488
1644667200000,7.1415,7.1493,6.9032,7.002,50624.8445
1644681600000,7.0018,7.2139,6.963,7.0808,40894.373
1644696000000,7.0801,7.1294,6.8172,6.9942,44632.6455
1644710400000,6.9944,7.0884,6.918,6.9727,40300.894
1644724800000,6.9705,7.1155,6.8586,7.0653,49363.761
1644739200000,7.0664,7.1356,6.9643,7.0964,38424.899
1644753600000,7.0978,7.1528,6.963,7.0384,37511.446
1644768000000,7.0411,7.1274,6.8833,6.998,72042.161
1644782400000,6.9995,7.0946,6.958,6.9974,37817.617
1644796800000,6.9977,7.0323,6.6222,6.7522,64816.5765
1644811200000,6.7512,6.9749,6.6328,6.9407,43195.876
1644825600000,6.9418,7.0548,6.8632,6.9887,51849.16
1644840000000,6.9903,7.3277,6.9534,7.258,72623.837
1644854400000,7.2578,7.4088,7.1134,7.197,62214.812
1644868800000,7.1973,7.4755,7.1915,7.4363,51480.1045
1644883200000,7.4365,7.7163,7.3798,7.6228,51853.136
1644897600000,7.625,7.6431,7.4392,7.5247,41053.638
1644912000000,7.5246,7.647,7.4815,7.5552,58981.97
1644926400000,7.5557,7.6,7.4371,7.5195,73743.839
1644940800000,7.5188,7.5477,7.2768,7.307,68554.202
1644955200000,7.3051,7.6143,7.3049,7.5829,44776.599
1644969600000,7.5826,7.6734,7.3903,7.4102,43953.744
1644984000000,7.411,7.4703,7.269,7.4678,40604.161
