time,open,high,low,close,volume
1642435200000,186.737,187.474,184.474,186.828,3365.446
1642449600000,186.971,187.323,182.836,186.874,5345.209
1642464000000,187.05,190.921,186.113,186.61,1411.178
1642478400000,186.415,189.295,184.489,189.295,2574.371
1642492800000,189.224,189.691,181.357,183.685,2451.551
1642507200000,183.59,184.471,175.175,176.165,1973.978
1642521600000,176.15,179.339,171.489,178.138,2231.476
1642536000000,178.164,181.602,175.499,178.998,4371.949
1642550400000,179.284,180.259,175.563,175.826,2048.727
1642564800000,175.807,177.62,170.722,170.825,2407.7
1642579200000,171.408,174.444,168.96,174.197,2744.064
1642593600000,174.215,176.03,172.083,173.095,1555.207
1642608000000,173.073,174.17,170.959,173.247,2755.14
1642622400000,173.036,174.436,172.116,173.617,2143.375
1642636800000,173.438,175.039,172.309,174.158,2617.451
1642651200000,174.167,175.0,173.018,174.578,1924.57
1642665600000,174.725,180.612,174.093,179.274,2184.19
1642680000000,179.022,185.529,178.524,185.022,3955.134
1642694400000,185.125,185.264,180.874,181.733,2839.002
1642708800000,181.904,182.223,165.771,166.865,2864.257
1642723200000,166.528,168.9,155.41,157.115,3684.919
1642737600000,157.166,163.766,157.166,163.115,4585.463
1642752000000,163.162,163.981,159.199,160.001,3605.521
1642766400000,160.1,160.358,150.738,158.647,3259.396
1642780800000,158.422,159.322,151.055,151.139,3145.468
1642795200000,151.13,152.06,135.473,138.325,2041.268
1642809600000,138.162,142.47,137.477,138.96,1961.238
1642824000000,138.969,139.613,125.142,125.142,3246.32
1642838400000,125.13,127.656,112.07,124.268,4435.154
1642852800000,124.667,133.485,122.35,122.747,3383.69
1642867200000,122.755,126.818,117.0,118.781,3686.115
1642881600000,118.833,127.551,118.359,125.477,3943.272
1642896000000,125.346,130.606,124.423,126.121,3707.281
1642910400000,126.034,132.556,125.294,131.785,3557.787
1642924800000,132.158,142.145,131.86,134.738,3132.055
1642939200000,134.715,138.011,130.044,132.087,3088.089
1642953600000,132.073,133.695,126.367,127.302,2787.91
1642968000000,127.119,134.988,126.651,134.275,3772.385
1642982400000,134.12,134.12,127.267,128.034,2787.789
1642996800000,127.969,128.844,122.584,123.011,4304.808
1643011200000,123.183,124.801,116.567,119.522,3503.303
1643025600000,119.466,124.469,115.801,122.877,2691.63
1643040000000,122.894,127.829,118.639,126.394,5636.658
1643054400000,126.296,133.829,126.057,131.304,3773.412
1643068800000,131.198,132.494,128.372,131.993,2056.02
1643083200000,132.027,134.66,128.53,132.087,2561.572
1643097600000,132.06,138.947,131.792,135.041,2921.44
1643112000000,135.156,136.108,129.131,131.754,3592.885
1643126400000,131.648,142.307,131.648,141.08,3975.761
1643140800000,141.225,141.807,137.065,140.918,3028.747
1643155200000,140.754,144.744,137.5,140.707,1885.008
1643169600000,140.656,146.258,140.07,145.432,3018.645
1643184000000,145.544,150.672,145.544,150.142,2095.69
1643198400000,150.452,150.79,145.514,146.489,2273.466
1643212800000,146.422,159.183,140.625,147.787,3406.707
1643227200000,147.656,147.656,136.76,139.98,3218.34
1643241600000,140.174,142.4,133.058,135.62,2418.301
1643256000000,135.575,138.73,134.504,138.088,2231.986
1643270400000,138.064,140.0,136.507,139.684,3201.056
1643284800000,139.99,147.035,139.926,142.425,2518.044
1643299200000,142.47,142.827,139.325,139.908,2484.562
1643313600000,139.938,142.307,135.269,141.707,3988.428
1643328000000,141.862,146.512,141.386,144.796,2902.162
1643342400000,144.873,145.768,142.265,142.971,2452.78
1643356800000,143.015,143.595,138.291,138.32,2243.533
1643371200000,138.575,142.929,136.224,141.801,4175.646
1643385600000,141.842,143.188,140.86,142.574,3277.651
1643400000000,142.666,145.666,142.15,143.837,2936.072
1643414400000,143.87,145.596,143.024,144.162,3639.352
1643428800000,144.329,148.822,144.267,148.204,3808.33
1643443200000,148.274,148.634,146.004,146.541,3804.375
1643457600000,146.529,150.49,145.18,145.932,4826.051
1643472000000,146.129,146.194,143.779,144.725,3433.275
1643486400000,144.72,150.592,144.165,149.185,2953.839
1643500800000,149.585,150.65,147.3,148.892,2775.443
1643515200000,148.814,151.651,148.518,148.752,2322.364
1643529600000,148.78,148.904,145.57,146.261,3589.82
1643544000000,146.261,147.879,142.977,145.568,3433.379
