time,open,high,low,close,volume
1712044800000,0.62,0.661,0.558,0.618,44172856.13
1712059200000,0.618,0.773,0.596,0.688,63926386.71
1712073600000,0.688,0.912,0.687,0.872,59051328.72
1712088000000,0.872,0.875,0.753,0.775,21662495.69
1712102400000,0.775,0.889,0.704,0.872,31763509.7
1712116800000,0.872,0.923,0.788,0.919,19869114.3
1712131200000,0.919,0.963,0.867,0.9,33937748.23
1712145600000,0.9,1.215,0.857,1.199,51546701.79
1712160000000,1.199,1.319,1.055,1.107,53048485.95
1712174400000,1.107,1.156,1.047,1.133,16461730.3
1712188800000,1.133,1.161,0.951,0.956,13242147.76
1712203200000,0.956,1.069,0.911,1.004,2237313.33
1712217600000,1.004,1.166,0.954,1.124,2298471.04
1712232000000,1.124,1.156,1.031,1.035,1855931.08
1712246400000,1.035,1.061,0.974,1.002,1335656.81
1712260800000,1.002,1.006,0.93,0.972,1245839.76
1712275200000,0.972,1.042,0.918,0.955,1701313.14
1712289600000,0.955,0.998,0.88,0.907,1206353.07
1712304000000,0.907,0.953,0.862,0.877,1194676.39
1712318400000,0.877,0.993,0.869,0.965,1884451.37
1712332800000,0.965,1.029,0.949,0.977,1312306.36
1712347200000,0.977,1.067,0.977,1.018,1226485.3
1712361600000,1.018,1.045,0.964,0.989,929436.89
1712376000000,0.989,1.153,0.971,1.13,1718727.2
1712390400000,1.13,1.13,1.065,1.111,1296739.96
1712404800000,1.111,1.193,1.065,1.153,1745445.88
1712419200000,1.153,1.165,1.108,1.122,876158.41
1712433600000,1.122,1.139,1.086,1.089,541347.76
1712448000000,1.089,1.108,1.065,1.107,841509.26
1712462400000,1.107,1.247,1.098,1.212,1836922.79
1712476800000,1.212,1.25,1.16,1.229,1506467.73
1712491200000,1.229,1.27,1.173,1.259,1402793.86
1712505600000,1.259,1.261,1.176,1.182,975607.55
1712520000000,1.182,1.203,1.163,1.188,500118.94
1712534400000,1.188,1.189,1.139,1.156,728019.73
1712548800000,1.156,1.186,1.118,1.118,718406.48
1712563200000,1.118,1.135,1.076,1.113,1410972.16
1712577600000,1.113,1.359,1.113,1.243,4566596.32
1712592000000,1.243,1.281,1.242,1.28,674985.18
1712606400000,1.28,1.323,1.269,1.295,790825.95
1712620800000,1.295,1.392,1.294,1.37,1479366.46
1712635200000,1.37,1.406,1.291,1.291,1732293.71
1712649600000,1.291,1.327,1.247,1.282,1683211.88
1712664000000,1.282,1.282,1.207,1.248,1178011.79
1712678400000,1.248,1.25,1.196,1.247,695284.35
1712692800000,1.247,1.248,1.204,1.242,446684.01
1712707200000,1.242,1.334,1.226,1.325,1309052.15
1712721600000,1.325,1.417,1.324,1.381,1618322.14
1712736000000,1.381,1.456,1.344,1.362,1818223.8
1712750400000,1.362,1.446,1.304,1.44,2193880.02
1712764800000,1.44,1.504,1.409,1.412,1858914.45
1712779200000,1.412,1.47,1.395,1.463,739359.01
1712793600000,1.463,1.493,1.408,1.434,849861.1
1712808000000,1.434,1.462,1.383,1.405,118486.88
1712822400000,1.405,1.521,1.39,1.457,204994.68
1712836800000,1.457,1.518,1.412,1.433,178450.45
1712851200000,1.433,1.454,1.389,1.415,92549.93
1712865600000,1.415,1.423,1.354,1.372,69257.02
1712880000000,1.372,1.46,1.372,1.457,99440.09
1712894400000,1.457,1.481,1.444,1.46,86753.31
1712908800000,1.46,1.469,1.394,1.421,103160.69
1712923200000,1.421,1.425,1.247,1.261,349752.85
1712937600000,1.261,1.317,1.082,1.263,560482.54
1712952000000,1.263,1.306,1.167,1.278,217510.12
1712966400000,1.278,1.296,1.182,1.29,143460.67
1712980800000,1.29,1.339,1.258,1.273,128914.28
1712995200000,1.273,1.304,1.229,1.24,92982.78
1713009600000,1.24,1.257,1.145,1.153,152902.47
1713024000000,1.153,1.169,1.0,1.037,323069.51
1713038400000,1.037,1.115,0.907,1.048,509610.35
1713052800000,1.048,1.094,0.988,1.036,196340.8
1713067200000,1.036,1.184,1.024,1.152,198469.65
1713081600000,1.152,1.153,1.07,1.082,110318.83
1713096000000,1.082,1.121,1.053,1.104,140373.25
1713110400000,1.104,1.174,1.083,1.138,199844.59
1713124800000,1.138,1.219,1.102,1.208,124885.57
1713139200000,1.208,1.209,1.126,1.132,102090.41
1713153600000,1.132,1.194,1.109,1.168,151527.19
1713168000000,1.168,1.188,1.144,1.146,82290.62
1713182400000,1.146,1.206,1.13,1.166,199599.43
1713196800000,1.166,1.187,1.059,1.074,173350.19
1713211200000,1.074,1.088,1.023,1.056,106769.18
1713225600000,1.056,1.078,1.022,1.03,98190.29
1713240000000,1.03,1.068,0.973,1.049,144369.47
1713254400000,1.049,1.049,0.985,1.02,118411.76
1713268800000,1.02,1.02,0.896,0.915,194418.42
1713283200000,0.915,0.973,0.903,0.955,122568.8
1713297600000,0.955,1.008,0.954,0.98,61542.92
1713312000000,0.98,1.053,0.964,1.027,121810.12
1713326400000,1.027,1.056,1.001,1.003,97716.65
1713340800000,1.003,1.009,0.95,0.95,80364.91
1713355200000,0.95,0.969,0.906,0.927,174352.01
1713369600000,0.927,0.977,0.913,0.95,110094.31
1713384000000,0.95,0.955,0.918,0.926,53319.72
1713398400000,0.926,0.944,0.897,0.935,86941.86
1713412800000,0.935,0.936,0.823,0.841,129615.09
1713427200000,0.841,0.913,0.841,0.895,105111.98
1713441600000,0.895,0.949,0.871,0.917,142420.85
1713456000000,0.917,0.934,0.884,0.912,77928.15
1713470400000,0.912,0.929,0.904,0.912,42264.26
1713484800000,0.912,0.914,0.817,0.862,166543.81
1713499200000,0.862,0.954,0.862,0.935,125210.08
1713513600000,0.935,1.042,0.932,1.02,174956.96
1713528000000,1.02,1.028,0.982,1.008,109826.15
1713542400000,1.008,1.018,0.978,1.006,78796.87
1713556800000,1.006,1.006,0.946,0.969,53203.64
1713571200000,0.969,1.03,0.95,1.002,112399.69
1713585600000,1.002,1.036,0.996,1.005,71914.87
1713600000000,1.005,1.006,0.963,0.983,75067.87
1713614400000,0.983,1.01,0.967,1.008,69942.72
1713628800000,1.008,1.11,0.999,1.104,209178.57
1713643200000,1.104,1.119,1.075,1.083,86960.41
1713657600000,1.083,1.102,1.055,1.084,76131.1
1713672000000,1.084,1.101,1.067,1.088,50700.51
1713686400000,1.088,1.106,1.066,1.095,71117.49
1713700800000,1.095,1.097,1.043,1.065,70413.78
1713715200000,1.065,1.068,1.027,1.04,43192.73
1713729600000,1.04,1.066,1.037,1.05,28840.54
1713744000000,1.05,1.084,1.027,1.073,73098.92
1713758400000,1.073,1.099,1.063,1.064,70252.53
1713772800000,1.064,1.072,1.05,1.055,48206.98
1713787200000,1.055,1.068,1.029,1.044,59257.5
1713801600000,1.044,1.059,1.031,1.05,38593.18
1713816000000,1.05,1.071,1.044,1.049,35725.35
1713830400000,1.049,1.066,1.01,1.011,60223.8
1713844800000,1.011,1.025,0.98,0.984,85501.02
1713859200000,0.984,0.999,0.977,0.986,79603.02
1713873600000,0.986,1.013,0.971,0.98,118509.72
1713888000000,0.98,0.989,0.966,0.969,47017.63
1713902400000,0.969,0.971,0.933,0.939,45349.9
1713916800000,0.939,0.959,0.928,0.948,73582.63
1713931200000,0.948,0.969,0.934,0.958,71282.45
1713945600000,0.958,0.983,0.941,0.979,54726.73
1713960000000,0.979,0.98,0.884,0.892,137789.98
1713974400000,0.892,0.911,0.878,0.899,60148.06
1713988800000,0.899,0.903,0.861,0.873,47906.52
1714003200000,0.873,0.877,0.835,0.86,72832.06
1714017600000,0.86,0.869,0.844,0.846,41333.37
1714032000000,0.846,0.868,0.836,0.858,61207.59
1714046400000,0.858,0.904,0.838,0.901,86962.82
1714060800000,0.901,0.901,0.88,0.888,62585.95
1714075200000,0.888,0.895,0.868,0.872,28242.53
1714089600000,0.872,0.886,0.847,0.853,59136.24
1714104000000,0.853,0.86,0.827,0.835,54773.93
1714118400000,0.835,0.857,0.835,0.845,38494.96
1714132800000,0.845,0.858,0.819,0.828,82849.48
1714147200000,0.828,0.853,0.826,0.836,33280.96
1714161600000,0.836,0.842,0.814,0.824,24420.5
1714176000000,0.824,0.838,0.775,0.809,90601.86
1714190400000,0.809,0.826,0.806,0.816,34025.36
1714204800000,0.816,0.84,0.796,0.81,51940.69
1714219200000,0.81,0.835,0.803,0.807,49285.81
1714233600000,0.807,0.845,0.807,0.828,53840.62
1714248000000,0.828,0.845,0.814,0.842,30062.22
1714262400000,0.842,0.868,0.838,0.86,70389.63
1714276800000,0.86,0.877,0.843,0.856,60418.58
1714291200000,0.856,0.856,0.834,0.841,35411.9
1714305600000,0.841,0.871,0.837,0.86,49620.51
1714320000000,0.86,0.895,0.857,0.883,48213.95
1714334400000,0.883,0.884,0.842,0.848,46932.78
1714348800000,0.848,0.855,0.809,0.81,56069.04
1714363200000,0.81,0.824,0.785,0.793,56354.41
1714377600000,0.793,0.795,0.776,0.788,51924.96
1714392000000,0.788,0.896,0.781,0.892,143400.53
1714406400000,0.892,0.922,0.86,0.89,142282.88
1714420800000,0.89,0.943,0.875,0.925,63068.93
1714435200000,0.925,0.937,0.887,0.893,89345.64
1714449600000,0.893,0.908,0.879,0.886,49321.55
1714464000000,0.886,0.888,0.812,0.813,104521.88
1714478400000,0.813,0.826,0.793,0.814,115099.22
1714492800000,0.814,0.82,0.799,0.806,68107.73
1714507200000,0.806,0.836,0.801,0.815,45071.46
1714521600000,0.815,0.821,0.788,0.8,67081.81
1714536000000,0.8,0.804,0.738,0.755,87420.51
1714550400000,0.755,0.816,0.751,0.815,94252.02
1714564800000,0.815,0.82,0.778,0.779,58138.64
1714579200000,0.779,0.829,0.773,0.778,92743.16
1714593600000,0.778,0.807,0.774,0.8,29665.03
1714608000000,0.8,0.808,0.766,0.776,34463.2
1714622400000,0.776,0.796,0.769,0.789,22952.99
1714636800000,0.789,0.829,0.785,0.814,69290.42
1714651200000,0.814,0.83,0.805,0.818,68820.45
1714665600000,0.818,0.821,0.806,0.816,33573.19
1714680000000,0.816,0.819,0.797,0.798,29994.45
1714694400000,0.798,0.819,0.791,0.813,31571.75
1714708800000,0.813,0.816,0.793,0.794,33098.91
1714723200000,0.794,0.802,0.784,0.791,30996.68
1714737600000,0.791,0.844,0.787,0.843,92778.09
1714752000000,0.843,0.877,0.841,0.853,67728.31
1714766400000,0.853,0.861,0.849,0.851,37881.55
1714780800000,0.851,0.855,0.824,0.833,58493.22
1714795200000,0.833,0.851,0.831,0.837,33092.24
1714809600000,0.837,0.874,0.837,0.844,54238.96
1714824000000,0.844,0.85,0.83,0.837,45800.88
1714838400000,0.837,0.843,0.824,0.841,49322.97
1714852800000,0.841,0.844,0.825,0.828,20062.11
1714867200000,0.828,0.831,0.796,0.799,43589.1
1714881600000,0.799,0.808,0.796,0.802,45564.74
1714896000000,0.802,0.812,0.801,0.805,26274.08
1714910400000,0.805,0.819,0.796,0.818,50991.95
1714924800000,0.818,0.824,0.804,0.81,27292.5
1714939200000,0.81,0.814,0.803,0.813,21200.78
1714953600000,0.813,0.873,0.811,0.867,64430.94
1714968000000,0.867,0.914,0.864,0.911,105716.23
1714982400000,0.911,0.934,0.887,0.918,108629.57
1714996800000,0.918,0.923,0.87,0.88,106034.48
1715011200000,0.88,0.889,0.852,0.864,51106.93
1715025600000,0.864,0.907,0.862,0.893,39089.71
1715040000000,0.893,0.919,0.859,0.872,86742.06
1715054400000,0.872,0.89,0.858,0.886,55546.42
1715068800000,0.886,0.917,0.884,0.893,67215.2
1715083200000,0.893,1.003,0.868,0.967,265748.05
1715097600000,0.967,0.969,0.919,0.931,77488.08
1715112000000,0.931,0.943,0.904,0.921,57997.2
1715126400000,0.921,0.952,0.912,0.918,92145.66
1715140800000,0.918,0.933,0.883,0.898,105962.1
1715155200000,0.898,0.933,0.881,0.919,75494.61
1715169600000,0.919,0.939,0.887,0.894,88552.36
1715184000000,0.894,0.908,0.885,0.9,39341.06
1715198400000,0.9,0.904,0.857,0.874,67219.62
1715212800000,0.874,0.908,0.867,0.896,41856.54
1715227200000,0.896,0.907,0.867,0.871,28473.38
1715241600000,0.871,0.875,0.852,0.864,38412.85
1715256000000,0.864,0.888,0.854,0.881,36026.48
1715270400000,0.881,0.889,0.859,0.879,31760.44
1715284800000,0.879,0.898,0.875,0.894,27550.06
1715299200000,0.894,0.906,0.887,0.9,23104.14
1715313600000,0.9,0.91,0.889,0.893,31251.53
1715328000000,0.893,0.937,0.887,0.935,51150.72
1715342400000,0.935,0.937,0.854,0.858,89389.04
1715356800000,0.858,0.861,0.826,0.847,56557.42
1715371200000,0.847,0.854,0.837,0.848,17665.6
1715385600000,0.848,0.861,0.844,0.858,17224.57
1715400000000,0.858,0.866,0.851,0.861,17722.18
1715414400000,0.861,0.862,0.84,0.843,21474.51
1715428800000,0.843,0.87,0.841,0.866,25481.92
1715443200000,0.866,0.867,0.851,0.855,13275.82
1715457600000,0.855,0.855,0.84,0.841,17337.86
1715472000000,0.841,0.845,0.835,0.844,15981.62
1715486400000,0.844,0.853,0.837,0.84,12998.21
1715500800000,0.84,0.851,0.837,0.848,14233.0
1715515200000,0.848,0.851,0.838,0.843,17210.07
1715529600000,0.843,0.851,0.832,0.836,17522.98
1715544000000,0.836,0.838,0.819,0.83,16076.83
1715558400000,0.83,0.834,0.789,0.797,54785.5
1715572800000,0.797,0.825,0.789,0.822,36413.92
1715587200000,0.822,0.835,0.796,0.801,63658.98
1715601600000,0.801,0.812,0.766,0.782,94793.82
1715616000000,0.782,0.795,0.756,0.769,56940.38
1715630400000,0.769,0.771,0.758,0.768,33482.8
1715644800000,0.768,0.772,0.747,0.766,33209.23
1715659200000,0.766,0.771,0.739,0.755,32584.85
1715673600000,0.755,0.756,0.722,0.722,45048.92
1715688000000,0.722,0.735,0.694,0.697,98345.3
1715702400000,0.697,0.698,0.673,0.69,75750.01
1715716800000,0.69,0.697,0.686,0.695,20577.95
1715731200000,0.695,0.713,0.695,0.709,31818.19
1715745600000,0.709,0.709,0.696,0.701,24701.25
1715760000000,0.701,0.704,0.666,0.673,74922.8
1715774400000,0.673,0.737,0.673,0.718,139397.82
1715788800000,0.718,0.737,0.708,0.737,51108.22
1715803200000,0.737,0.747,0.728,0.735,42067.67
1715817600000,0.735,0.745,0.721,0.739,46138.25
1715832000000,0.739,0.75,0.723,0.729,49307.39
1715846400000,0.729,0.734,0.713,0.718,35272.21
1715860800000,0.718,0.718,0.655,0.662,96891.19
1715875200000,0.662,0.68,0.661,0.674,35525.67
1715889600000,0.674,0.676,0.667,0.673,17813.55
1715904000000,0.673,0.696,0.67,0.689,38741.58
1715918400000,0.689,0.714,0.682,0.712,41664.78
1715932800000,0.712,0.714,0.701,0.703,31422.06
1715947200000,0.703,0.749,0.699,0.743,101191.4
1715961600000,0.743,0.745,0.711,0.719,47679.7
1715976000000,0.719,0.73,0.715,0.72,15536.72
1715990400000,0.72,0.727,0.711,0.726,61536.34
1716004800000,0.726,0.733,0.716,0.732,19780.94
1716019200000,0.732,0.795,0.731,0.783,98773.56
1716033600000,0.783,0.786,0.741,0.76,64948.81
1716048000000,0.76,0.768,0.751,0.763,22663.15
1716062400000,0.763,0.764,0.753,0.755,15035.47
1716076800000,0.755,0.756,0.741,0.746,17376.38
1716091200000,0.746,0.746,0.731,0.737,19184.36
1716105600000,0.737,0.742,0.723,0.732,25726.5
1716120000000,0.732,0.732,0.709,0.719,29705.94
1716134400000,0.719,0.72,0.7,0.707,27479.49
1716148800000,0.707,0.714,0.703,0.713,8712.15
1716163200000,0.713,0.721,0.692,0.718,27250.43
1716177600000,0.718,0.733,0.708,0.712,30372.59
1716192000000,0.712,0.739,0.708,0.727,28300.52
1716206400000,0.727,0.731,0.714,0.73,26951.62
1716220800000,0.73,0.808,0.724,0.806,78090.39
1716235200000,0.806,0.847,0.796,0.833,120216.01
1716249600000,0.833,0.883,0.821,0.871,129041.23
