time,open,high,low,close,volume
1643198400000,1.67479,1.68129,1.63037,1.651,699943.3
1643212800000,1.6473,1.73921,1.59724,1.65474,1249743.9
1643227200000,1.6505,1.6505,1.50114,1.55028,769162.0
1643241600000,1.5526,1.59519,1.4552,1.4696,1033817.9
1643256000000,1.46732,1.51597,1.46267,1.50399,506334.5
1643270400000,1.50582,1.5804,1.48808,1.57886,921685.7
1643284800000,1.57876,1.65168,1.57836,1.61016,791707.4
1643299200000,1.61065,1.62685,1.55003,1.56465,825370.7
1643313600000,1.56971,1.58284,1.49631,1.58066,855716.1
1643328000000,1.57583,1.67824,1.57068,1.66873,662212.4
1643342400000,1.67271,1.68667,1.59662,1.59704,679913.7
1643356800000,1.59616,1.62133,1.57404,1.60476,530072.1
1643371200000,1.60847,1.63503,1.56361,1.63185,771846.4
1643385600000,1.6331,1.66512,1.59393,1.62,801310.2
1643400000000,1.6206,1.66071,1.6125,1.63885,478497.2
1643414400000,1.63875,1.67428,1.63132,1.67263,478570.0
1643428800000,1.67203,1.72163,1.67084,1.71361,486277.5
1643443200000,1.71597,1.73173,1.69845,1.72257,378782.2
1643457600000,1.72085,1.7404,1.65915,1.67755,504250.6
1643472000000,1.6779,1.72223,1.66555,1.70726,379039.6
1643486400000,1.70716,1.76111,1.69546,1.75813,537233.2
1643500800000,1.75926,1.87755,1.75002,1.8517,999983.7
1643515200000,1.85347,1.86176,1.83059,1.83779,464430.7
1643529600000,1.83909,1.84229,1.78657,1.80147,375932.4
1643544000000,1.79989,1.81476,1.73892,1.81107,436144.6
1643558400000,1.81473,1.82751,1.73387,1.7498,536888.2
1643572800000,1.74907,1.82541,1.73265,1.78598,508595.3
1643587200000,1.78577,1.79745,1.68364,1.75509,1143033.1
1643601600000,1.75473,1.78362,1.7202,1.78229,514298.4
1643616000000,1.77952,1.82501,1.75937,1.78902,563757.8
1643630400000,1.79155,1.88571,1.76617,1.84839,775079.8
1643644800000,1.84915,1.91574,1.83839,1.88107,680921.3
1643659200000,1.8824,1.8979,1.86234,1.88434,399317.5
1643673600000,1.88396,1.90474,1.85529,1.868,438173.8
1643688000000,1.8689,1.8691,1.81773,1.84823,332935.2
1643702400000,1.84801,1.8825,1.82214,1.84798,379167.5
1643716800000,1.84797,1.87174,1.8242,1.84819,339669.3
1643731200000,1.84899,1.869,1.82532,1.83144,403064.9
1643745600000,1.83169,1.86573,1.83169,1.83809,194701.8
1643760000000,1.83788,1.85959,1.80828,1.84645,218020.9
1643774400000,1.84568,1.84732,1.80767,1.81389,177014.0
1643788800000,1.81395,1.84173,1.80744,1.83668,189205.2
1643803200000,1.83378,1.85731,1.73955,1.74381,450681.1
1643817600000,1.74299,1.77176,1.70413,1.76137,294315.6
1643832000000,1.76007,1.76308,1.67134,1.69194,463419.1
1643846400000,1.69194,1.70316,1.64708,1.66455,342011.1
1643860800000,1.66265,1.69858,1.6597,1.69566,176374.7
1643875200000,1.69544,1.70992,1.63239,1.67866,415987.3
1643889600000,1.67926,1.67996,1.62435,1.67232,502216.2
1643904000000,1.67134,1.68355,1.62329,1.63052,278518.4
1643918400000,1.63383,1.70529,1.61694,1.699,287840.9
1643932800000,1.70145,1.70145,1.66889,1.67745,234527.3
1643947200000,1.68056,1.72078,1.66291,1.7043,283468.3
1643961600000,1.70469,1.72992,1.70469,1.7058,342330.4
1643976000000,1.70624,1.76644,1.67336,1.73829,744398.8
1643990400000,1.73795,1.83471,1.73629,1.81631,648727.6
1644004800000,1.81589,1.82414,1.79715,1.81981,261677.1
1644019200000,1.82229,1.91389,1.80741,1.8985,787152.8
1644033600000,1.8991,1.99153,1.8986,1.91001,729121.0
1644048000000,1.9082,1.95602,1.9043,1.94151,399860.7
1644062400000,1.94079,1.97451,1.92191,1.96068,492600.3
1644076800000,1.96028,1.96525,1.85924,1.8994,545839.1
1644091200000,1.9001,1.95,1.88532,1.91409,247081.9
1644105600000,1.91409,2.05421,1.91369,1.99412,816478.4
1644120000000,1.99486,2.01811,1.95425,1.98827,351733.7
1644134400000,1.98754,2.03846,1.97115,1.98182,459978.8
1644148800000,1.98182,2.02118,1.90435,2.00137,659807.0
1644163200000,2.0021,2.07292,1.98592,1.99432,540225.8
1644177600000,1.99304,2.07723,1.95682,2.05963,464316.4
1644192000000,2.05829,2.12865,2.02419,2.11985,580674.8
1644206400000,2.12105,2.12105,2.07054,2.08664,270938.5
1644220800000,2.08524,2.09214,2.02523,2.06363,223266.2
1644235200000,2.06504,2.1406,2.04179,2.13475,314613.2
1644249600000,2.13475,2.1679,2.10424,2.14225,427534.7
1644264000000,2.14151,2.15376,2.0878,2.08914,299916.4
1644278400000,2.09334,2.14237,2.03895,2.13265,303336.1
1644292800000,2.12985,2.1684,2.08838,2.09004,320899.5
1644307200000,2.08951,2.09724,1.9674,2.0202,482603.4
1644321600000,2.01965,2.01965,1.92788,1.95031,452221.5
1644336000000,1.9483,1.96428,1.91561,1.94181,354421.2
1644350400000,1.93865,2.12211,1.93515,2.11427,516815.9
1644364800000,2.11543,2.14949,2.03279,2.04851,607085.8
1644379200000,2.05006,2.10175,2.00782,2.09181,307921.5
1644393600000,2.08627,2.09826,2.05099,2.08542,296927.2
1644408000000,2.08527,2.17346,2.08284,2.14704,523986.5
1644422400000,2.14654,2.18805,2.13006,2.17228,345205.5
1644436800000,2.17336,2.19,2.14245,2.15658,275196.0
1644451200000,2.15696,2.15976,2.07131,2.08784,265824.2
1644465600000,2.08686,2.11859,2.06078,2.11859,242539.7
1644480000000,2.11765,2.14684,2.10756,2.12884,221807.3
1644494400000,2.12755,2.13495,1.97724,2.09775,934312.3
1644508800000,2.09812,2.11205,2.01417,2.01517,248426.7
1644523200000,2.01516,2.04093,1.97438,1.98606,195422.9
1644537600000,1.98542,2.00869,1.94321,1.97514,457785.9
1644552000000,1.97559,2.01807,1.96034,2.00983,262854.6
1644566400000,2.00958,2.02297,1.98369,2.00672,155654.7
1644580800000,2.00642,2.05326,1.99938,2.04766,226358.7
1644595200000,2.04697,2.0507,1.89113,1.8993,538073.9
1644609600000,1.9004,1.90353,1.79168,1.83099,514094.8
1644624000000,1.83099,1.8721,1.8,1.83679,384586.8
1644638400000,1.83742,1.85609,1.75591,1.79888,299036.5
1644652800000,1.79877,1.82452,1.76938,1.81449,354391.0
1644667200000,1.81331,1.81526,1.75366,1.78402,263181.5
1644681600000,1.7847,1.87038,1.77388,1.83031,257213.6
1644696000000,1.83138,1.85579,1.7811,1.81216,202932.8
1644710400000,1.81242,1.83859,1.78558,1.78878,269826.3
1644724800000,1.78936,1.80402,1.77108,1.80003,159859.9
1644739200000,1.80011,1.81424,1.77547,1.80183,150874.3
1644753600000,1.80258,1.81225,1.78255,1.78832,179463.7
1644768000000,1.78846,1.80242,1.70365,1.72627,362062.1
1644782400000,1.72619,1.76335,1.72063,1.73505,313849.9
1644796800000,1.73527,1.74336,1.67762,1.70944,292601.3
1644811200000,1.7101,1.72734,1.68442,1.72734,168607.8
1644825600000,1.72777,1.73985,1.69173,1.69926,286659.2
1644840000000,1.70056,1.77982,1.67647,1.74307,389054.3
1644854400000,1.7438,1.7707,1.69114,1.70686,290047.5
1644868800000,1.70622,1.76125,1.69853,1.75047,156861.5
1644883200000,1.75095,1.82571,1.74234,1.81121,368910.9
1644897600000,1.81382,1.85832,1.80747,1.84881,181277.8
1644912000000,1.84943,1.90965,1.84891,1.87964,339145.0
1644926400000,1.87929,1.89417,1.85376,1.8783,326508.6
1644940800000,1.8778,1.93953,1.8763,1.90591,411495.3
1644955200000,1.9047,1.97708,1.89173,1.97508,264959.5
1644969600000,1.97548,2.00175,1.9482,1.97662,382681.4
1644984000000,1.9746,2.01036,1.9391,1.99788,233217.2
1644998400000,1.99788,2.00763,1.94336,1.96989,204176.9
1645012800000,1.96915,1.97422,1.88371,1.90869,494787.8
1645027200000,1.90949,2.00455,1.89267,1.99417,363616.1
1645041600000,1.99798,1.99986,1.94269,1.9492,232514.5
1645056000000,1.9481,1.9956,1.94501,1.95202,315591.0
1645070400000,1.95191,1.95987,1.90759,1.94964,278414.5
1645084800000,1.94989,1.95296,1.86543,1.87798,315842.9
1645099200000,1.8786,1.89704,1.80584,1.82885,328956.1
1645113600000,1.82889,1.84304,1.73595,1.76878,554478.4
1645128000000,1.76642,1.76642,1.70697,1.73908,400473.6
1645142400000,1.73905,1.775,1.7189,1.76673,285463.9
1645156800000,1.76821,1.79225,1.75473,1.77343,188610.2
1645171200000,1.77354,1.79728,1.728,1.73148,211275.7
1645185600000,1.73343,1.7606,1.66706,1.67786,438273.7
1645200000000,1.67802,1.699,1.64933,1.6887,495290.7
1645214400000,1.69076,1.69236,1.65989,1.67411,200765.5
1645228800000,1.67294,1.69606,1.66506,1.67883,204377.8
1645243200000,1.6803,1.70864,1.67249,1.70105,177813.1
1645257600000,1.7002,1.70882,1.61594,1.62861,285891.8
1645272000000,1.62995,1.65847,1.60243,1.65514,261449.6
1645286400000,1.65625,1.69221,1.63551,1.63923,195170.2
1645300800000,1.63844,1.66369,1.63046,1.6599,154510.1
1645315200000,1.66085,1.66275,1.61331,1.61905,196745.0
1645329600000,1.61933,1.62715,1.53761,1.55873,457621.8
1645344000000,1.55715,1.5601,1.50953,1.53503,364239.3
1645358400000,1.53488,1.55523,1.48562,1.52515,337310.9
1645372800000,1.52408,1.54718,1.51803,1.53643,232782.7
1645387200000,1.53583,1.57756,1.50508,1.53313,290344.4
1645401600000,1.53257,1.6184,1.51885,1.57858,326319.9
1645416000000,1.58254,1.63239,1.58039,1.63025,239708.5
1645430400000,1.62929,1.63624,1.49281,1.50517,385875.4
1645444800000,1.50313,1.5781,1.46051,1.53927,823762.4
1645459200000,1.53799,1.55064,1.46402,1.49198,750772.6
1645473600000,1.49093,1.5,1.37779,1.3867,830733.9
1645488000000,1.3869,1.4174,1.33669,1.35516,560675.8
1645502400000,1.35713,1.41004,1.35477,1.3896,592042.9
1645516800000,1.3895,1.46306,1.3812,1.43568,696231.2
1645531200000,1.43611,1.45863,1.4068,1.43123,662370.7
1645545600000,1.43108,1.44274,1.40331,1.43711,521778.6
1645560000000,1.43779,1.47322,1.41878,1.47119,342141.7
1645574400000,1.47005,1.4924,1.42803,1.433,478926.4
1645588800000,1.43364,1.47446,1.42927,1.4735,449404.0
1645603200000,1.47431,1.5283,1.46807,1.51182,742019.5
1645617600000,1.51113,1.53607,1.47147,1.47229,514358.8
1645632000000,1.47248,1.50855,1.41434,1.4198,446111.6
1645646400000,1.41739,1.43131,1.3774,1.3847,678916.0
1645660800000,1.38616,1.39971,1.24426,1.25601,1263729.6
1645675200000,1.25637,1.27109,1.1608,1.21964,1935453.9
1645689600000,1.22105,1.25169,1.18025,1.20884,1393216.4
1645704000000,1.20886,1.25587,1.19068,1.25129,1433892.8
1645718400000,1.24992,1.36256,1.23733,1.36101,735642.0
1645732800000,1.36111,1.42324,1.31917,1.35731,474299.5
1645747200000,1.35751,1.39335,1.34969,1.38013,683302.9
1645761600000,1.37958,1.3826,1.34058,1.36271,392688.4
1645776000000,1.3627,1.37935,1.31838,1.37549,541061.1
1645790400000,1.37549,1.43651,1.3749,1.4216,775986.5
1645804800000,1.4185,1.42702,1.38251,1.38854,464043.4
1645819200000,1.3876,1.46141,1.38208,1.44959,280950.4
1645833600000,1.45044,1.51658,1.44568,1.48434,476394.8
1645848000000,1.48492,1.49224,1.44221,1.47018,211650.4
1645862400000,1.47019,1.48522,1.43256,1.44691,330608.7
1645876800000,1.44644,1.46935,1.431,1.45353,215526.5
1645891200000,1.45381,1.46367,1.42823,1.45523,322429.9
1645905600000,1.45511,1.47236,1.4254,1.44221,248106.2
1645920000000,1.44241,1.44813,1.38185,1.39754,560324.9
1645934400000,1.39795,1.42464,1.38683,1.41528,187288.6
1645948800000,1.41326,1.47161,1.3991,1.47146,348283.5
1645963200000,1.47174,1.49179,1.4081,1.47079,671839.9
1645977600000,1.47039,1.47189,1.38185,1.38628,421983.0
1645992000000,1.3854,1.4034,1.34801,1.37514,531484.4
1646006400000,1.37389,1.39015,1.33664,1.36188,487253.5
1646020800000,1.36199,1.40481,1.34584,1.4013,278568.3
1646035200000,1.40238,1.41666,1.38369,1.40307,295254.0
1646049600000,1.4041,1.47604,1.37929,1.46835,704458.0
1646064000000,1.47006,1.48481,1.45409,1.47401,404186.9
1646078400000,1.4745,1.59156,1.47029,1.56543,374583.3
1646092800000,1.56553,1.59146,1.53291,1.54576,333821.6
1646107200000,1.54649,1.56473,1.52508,1.5644,240614.5
1646121600000,1.5644,1.56941,1.5079,1.54487,370050.8
