time,open,high,low,close,volume
1642435200000,30.84,30.99,30.62,30.95,67727.916
1642449600000,30.95,31.14,30.49,30.98,51014.235
1642464000000,30.99,32.1,30.97,31.32,83527.748
1642478400000,31.32,31.97,30.94,31.62,53185.1044
1642492800000,31.62,32.69,30.7,32.42,145562.232
1642507200000,32.4,34.15,31.79,33.31,315746.226
1642521600000,33.31,33.44,32.31,32.56,128195.096
1642536000000,32.56,33.02,31.72,32.65,89106.464
1642550400000,32.66,34.7,32.62,34.08,192850.588
1642564800000,34.08,34.22,31.68,31.86,183106.28
1642579200000,31.87,32.2,31.35,31.81,132109.045
1642593600000,31.82,32.5,31.63,31.86,122758.46
1642608000000,31.85,32.1,31.52,31.91,81956.177
1642622400000,31.91,31.98,31.29,31.29,55837.648
1642636800000,31.3,31.54,30.66,31.18,88039.256
1642651200000,31.17,31.31,30.94,31.1,21541.098
1642665600000,31.1,31.15,30.86,31.11,15433.8966
1642680000000,31.11,31.99,30.92,31.87,32746.0241
1642694400000,31.88,31.94,31.43,31.72,26249.5509
1642708800000,31.72,31.76,29.08,29.33,88205.527
1642723200000,29.33,29.69,27.82,28.09,108055.703
1642737600000,28.09,28.9,28.09,28.73,51351.032
1642752000000,28.71,28.72,28.34,28.51,33332.495
1642766400000,28.51,28.65,27.21,28.4,78531.7095
1642780800000,28.4,28.63,27.84,27.85,33220.0309
1642795200000,27.85,28.42,25.24,25.92,139612.76
1642809600000,25.91,26.41,25.55,25.83,59976.6506
1642824000000,25.83,25.92,23.21,23.52,109681.058
1642838400000,23.5,24.14,21.26,23.41,177598.304
1642852800000,23.4,24.44,22.96,22.98,61552.43
1642867200000,22.98,24.2,22.72,23.45,93331.915
1642881600000,23.45,24.61,23.27,24.19,80659.908
1642896000000,24.18,24.74,23.81,24.2,40210.157
1642910400000,24.2,24.8,24.1,24.7,57744.552
1642924800000,24.69,25.05,24.49,24.59,91349.396
1642939200000,24.59,24.96,23.65,24.25,93628.534
1642953600000,24.23,24.52,23.55,23.77,125901.327
1642968000000,23.76,25.26,23.68,25.13,131645.292
1642982400000,25.13,25.13,24.0,24.35,85651.653
1642996800000,24.36,24.45,23.84,23.85,36968.0454
1643011200000,23.88,24.45,22.15,22.51,161376.032
1643025600000,22.51,23.06,21.74,22.95,160023.196
1643040000000,22.99,23.71,22.3,23.38,101562.112
1643054400000,23.38,24.21,23.3,24.12,40201.6304
1643068800000,24.11,24.12,23.47,23.61,41357.488
1643083200000,23.61,23.71,23.23,23.52,32340.619
1643097600000,23.51,24.09,23.47,23.87,29164.6903
1643112000000,23.87,24.29,23.31,23.75,58994.097
1643126400000,23.74,24.27,23.7,23.91,59111.7315
1643140800000,23.91,24.14,23.46,24.01,38879.536
1643155200000,24.03,24.37,23.73,24.35,34080.2055
1643169600000,24.35,24.79,24.23,24.5,28234.0298
1643184000000,24.5,24.94,24.47,24.81,32885.884
1643198400000,24.81,25.56,24.56,25.11,57824.7895
1643212800000,25.09,26.3,24.7,25.14,128720.6016
1643227200000,25.14,25.14,23.59,24.32,80255.123
1643241600000,24.32,24.6,23.33,23.47,45055.218
1643256000000,23.45,23.84,23.38,23.67,26325.4795
1643270400000,23.67,24.19,23.53,24.1,28308.0844
1643284800000,24.1,24.75,24.08,24.58,46553.7853
1643299200000,24.58,24.71,24.05,24.18,48554.14
1643313600000,24.2,24.46,23.39,24.31,61194.006
1643328000000,24.3,24.65,23.93,24.56,37230.489
1643342400000,24.56,25.08,24.41,24.41,43189.136
1643356800000,24.44,24.74,24.06,24.18,32843.2668
1643371200000,24.22,24.54,23.9,24.5,42806.283
1643385600000,24.52,24.69,24.28,24.56,25217.5443
1643400000000,24.56,25.23,24.53,25.16,31595.577
1643414400000,25.15,25.38,25.01,25.14,14668.716
1643428800000,25.15,25.44,25.08,25.4,18271.95
1643443200000,25.4,25.46,25.1,25.18,10313.6348
1643457600000,25.18,25.59,24.84,25.09,22938.567
1643472000000,25.07,25.44,24.94,25.32,12252.3153
1643486400000,25.33,25.7,25.21,25.33,26554.7979
1643500800000,25.35,25.43,25.0,25.24,18927.5068
1643515200000,25.25,25.87,25.23,25.71,22247.539
1643529600000,25.72,25.74,25.3,25.61,17217.3776
1643544000000,25.62,25.77,25.11,25.39,23604.3654
1643558400000,25.42,25.47,24.62,24.72,22557.3199
1643572800000,24.7,25.52,24.56,24.92,40241.1833
1643587200000,24.92,24.99,23.99,24.34,50807.293
1643601600000,24.35,24.39,24.04,24.37,16928.8232
1643616000000,24.38,24.89,24.31,24.72,22487.7636
1643630400000,24.72,25.36,24.28,25.22,40956.6711
1643644800000,25.25,25.7,25.15,25.47,44445.6076
1643659200000,25.47,25.72,25.35,25.65,14270.1595
1643673600000,25.66,26.09,25.57,26.01,16015.5107
1643688000000,26.01,26.06,25.58,25.72,11597.4574
1643702400000,25.73,26.33,25.41,25.78,27335.0605
1643716800000,25.76,26.34,25.74,26.23,28537.3637
1643731200000,26.24,26.58,26.08,26.39,19507.2898
1643745600000,26.39,26.91,26.39,26.78,20682.4097
1643760000000,26.79,28.18,26.63,28.05,76109.527
1643774400000,28.04,28.44,27.77,27.91,45418.1868
1643788800000,27.91,28.15,27.87,28.02,22294.8027
1643803200000,28.0,28.19,27.16,27.19,42730.1072
1643817600000,27.17,27.49,26.77,27.36,32621.3295
1643832000000,27.36,27.36,26.2,26.28,30521.4484
1643846400000,26.28,26.48,25.9,25.96,20391.5988
1643860800000,25.94,26.75,25.91,26.59,45547.2185
1643875200000,26.59,26.77,25.67,26.43,41343.183
1643889600000,26.43,26.86,25.97,26.86,29879.3404
1643904000000,26.86,27.63,26.44,27.03,37816.897
1643918400000,27.02,28.11,26.72,27.89,66104.2114
1643932800000,27.89,27.95,27.49,27.83,27244.1363
1643947200000,27.84,28.76,27.75,28.33,44949.4613
1643961600000,28.32,28.7,28.06,28.06,34954.0599
1643976000000,28.06,29.01,27.43,28.62,67326.56
1643990400000,28.59,29.36,28.57,28.85,55700.1086
1644004800000,28.84,29.81,28.67,29.67,33493.4325
1644019200000,29.69,29.71,28.9,29.41,61367.596
1644033600000,29.41,29.96,29.28,29.28,39249.7441
1644048000000,29.28,29.6,29.28,29.41,32563.4325
1644062400000,29.41,29.7,29.11,29.69,31660.3349
1644076800000,29.68,29.78,28.73,29.24,38625.623
1644091200000,29.24,29.57,29.06,29.41,12712.2863
1644105600000,29.4,29.76,29.4,29.51,37184.379
1644120000000,29.52,29.6,29.17,29.53,22875.1205
1644134400000,29.5,29.9,29.45,29.59,18112.7876
1644148800000,29.6,30.18,28.88,29.37,55615.767
1644163200000,29.4,29.6,29.23,29.56,15772.613
1644177600000,29.54,30.08,29.28,29.9,17735.4713
1644192000000,29.9,30.93,29.33,30.67,54902.064
1644206400000,30.67,31.59,30.41,31.4,64338.8726
1644220800000,31.42,32.54,30.92,32.47,46781.1544
1644235200000,32.49,32.84,32.17,32.43,78661.058
1644249600000,32.44,33.18,32.33,32.95,42180.923
1644264000000,32.95,33.12,32.49,32.61,36273.0653
1644278400000,32.66,32.82,31.93,32.41,56014.1703
1644292800000,32.42,33.2,32.09,32.37,40610.6597
1644307200000,32.39,32.45,30.71,31.63,43004.7663
1644321600000,31.6,31.6,30.36,31.0,46676.764
1644336000000,31.02,31.41,30.62,31.26,39299.0674
1644350400000,31.26,32.26,31.17,32.03,32908.384
1644364800000,32.06,32.43,31.28,31.66,48823.2022
1644379200000,31.66,33.89,31.61,33.44,116506.71
1644393600000,33.4,34.18,32.88,33.71,75297.456
1644408000000,33.72,34.44,33.55,34.13,79518.963
1644422400000,34.11,34.86,33.83,34.7,55291.497
1644436800000,34.72,34.86,33.75,33.79,38649.768
1644451200000,33.77,35.78,33.57,35.22,102776.965
1644465600000,35.24,35.64,34.92,35.11,50186.564
1644480000000,35.1,36.65,34.98,36.41,56005.069
1644494400000,36.41,36.93,34.55,36.03,156609.239
1644508800000,36.03,36.26,34.84,34.87,42423.4474
1644523200000,34.89,35.35,34.21,34.37,26380.881
1644537600000,34.36,35.52,33.43,35.38,57567.181
1644552000000,35.37,37.33,35.33,37.08,82774.56
1644566400000,37.1,37.5,36.17,36.46,108420.022
1644580800000,36.46,36.83,35.78,36.14,36094.4943
1644595200000,36.17,36.47,34.65,35.23,50664.7704
1644609600000,35.25,35.3,31.89,32.7,58093.546
1644624000000,32.71,33.34,32.11,32.52,51236.6802
1644638400000,32.53,32.97,31.15,31.76,48974.87
1644652800000,31.77,32.43,31.24,32.07,38087.2522
1644667200000,32.1,32.17,31.08,31.76,41595.5667
1644681600000,31.76,32.59,31.59,31.95,38264.551
1644696000000,31.96,32.21,31.12,31.69,23115.6567
1644710400000,31.69,33.02,31.49,32.24,46264.2955
1644724800000,32.26,32.8,32.07,32.74,27705.2375
1644739200000,32.77,33.86,32.62,33.59,54236.199
1644753600000,33.58,34.06,32.7,32.79,71317.276
1644768000000,32.79,33.06,31.86,32.17,38230.2377
1644782400000,32.18,33.22,32.07,32.49,34368.8189
1644796800000,32.49,33.28,32.31,32.52,45295.513
1644811200000,32.53,32.54,31.41,32.06,23934.6156
1644825600000,32.07,32.13,31.24,31.41,16056.6627
1644840000000,31.41,32.3,30.98,31.64,40363.626
1644854400000,31.65,31.9,30.42,30.81,24539.1179
1644868800000,30.81,31.54,30.66,31.39,14933.3313
1644883200000,31.4,33.03,31.15,32.56,28809.474
1644897600000,32.57,32.71,32.28,32.68,12512.9158
1644912000000,32.69,33.19,32.66,32.73,28170.3157
1644926400000,32.71,32.96,32.53,32.79,11601.4743
1644940800000,32.8,33.58,32.74,32.85,29888.0968
1644955200000,32.86,33.66,32.76,33.48,13927.6033
1644969600000,33.48,33.49,32.7,32.78,23552.2652
1644984000000,32.77,32.82,32.23,32.8,26707.3775
1644998400000,32.8,32.91,32.15,32.45,20049.9846
1645012800000,32.45,32.51,31.46,31.88,21748.5074
1645027200000,31.9,32.91,31.62,32.68,36887.5493
1645041600000,32.72,32.79,32.2,32.24,15726.8695
1645056000000,32.24,32.63,31.81,31.82,15654.3587
1645070400000,31.83,32.0,31.17,32.0,23882.9497
1645084800000,32.0,32.09,31.29,31.51,21758.8587
1645099200000,31.52,31.71,30.59,30.76,25123.7569
1645113600000,30.76,31.18,29.43,29.92,39868.9435
1645128000000,29.88,29.88,28.94,29.42,24947.6573
1645142400000,29.45,30.28,29.07,29.9,30469.2563
1645156800000,29.91,30.16,29.68,29.91,18937.0237
1645171200000,29.92,30.39,29.41,29.47,30781.1215
1645185600000,29.46,29.86,28.63,28.86,53066.0678
1645200000000,28.86,29.21,28.26,29.0,59067.0349
1645214400000,29.0,29.15,28.52,28.95,16647.7958
1645228800000,28.95,29.21,28.78,28.84,21011.9606
1645243200000,28.85,29.17,28.72,28.95,20710.4961
1645257600000,28.95,29.04,27.72,27.93,34447.9882
1645272000000,27.93,28.78,27.65,28.61,48708.668
1645286400000,28.61,28.91,28.2,28.28,32171.0165
1645300800000,28.25,29.1,28.22,28.7,30709.6273
1645315200000,28.71,28.73,28.08,28.26,25914.5551
1645329600000,28.26,28.27,26.84,27.25,46941.303
1645344000000,27.25,27.94,27.12,27.73,57052.5135
1645358400000,27.73,27.97,26.99,27.43,31910.4302
1645372800000,27.41,27.85,27.38,27.57,22098.2974
1645387200000,27.57,27.82,26.95,27.25,15660.4106
1645401600000,27.26,28.41,27.02,28.13,24192.1461
1645416000000,28.13,28.33,27.85,28.16,14784.6106
1645430400000,28.14,28.3,26.41,26.62,28934.5619
1645444800000,26.63,27.48,25.9,27.13,49817.674
1645459200000,27.15,27.31,26.0,26.29,43699.0396
1645473600000,26.3,26.59,24.81,24.96,47157.2195
1645488000000,24.98,25.69,24.46,24.77,25654.3405
1645502400000,24.8,25.75,24.78,25.57,20566.6356
1645516800000,25.58,26.85,25.55,26.22,23517.1727
1645531200000,26.21,26.69,25.93,26.29,20591.2296
1645545600000,26.3,26.41,25.95,26.31,13441.1678
1645560000000,26.33,26.76,26.09,26.67,10236.259
1645574400000,26.66,26.94,26.32,26.76,17933.0327
1645588800000,26.73,27.45,26.67,27.31,19347.6501
1645603200000,27.31,28.15,27.16,27.77,38015.723
1645617600000,27.77,27.97,27.34,27.38,31726.5337
1645632000000,27.38,27.87,26.77,26.78,29224.2594
1645646400000,26.78,26.94,26.24,26.53,21627.4962
1645660800000,26.55,27.16,24.11,24.48,83128.4737
1645675200000,24.47,24.85,23.35,24.31,71951.517
1645689600000,24.32,24.86,23.83,24.32,46728.924
1645704000000,24.33,24.89,23.95,24.82,57802.6033
1645718400000,24.8,25.92,24.38,25.89,32249.579
1645732800000,25.88,27.27,25.87,26.52,68253.5918
1645747200000,26.52,27.08,26.25,26.73,23962.3237
1645761600000,26.72,26.73,26.01,26.38,19185.5281
1645776000000,26.37,26.48,25.94,26.45,10959.5707
1645790400000,26.45,27.36,26.45,27.12,25486.2315
1645804800000,27.09,27.52,26.75,27.27,19062.7095
1645819200000,27.27,28.43,27.08,27.99,21341.9943
1645833600000,27.99,29.72,27.87,28.93,54150.5093
1645848000000,28.93,29.66,28.56,29.28,34458.9948
1645862400000,29.25,29.44,28.25,28.61,30352.8253
1645876800000,28.58,29.33,28.38,28.94,17906.564
1645891200000,28.97,29.5,28.86,29.1,20951.406
1645905600000,29.09,29.43,28.58,28.9,11220.6289
1645920000000,28.9,28.92,27.67,28.02,22458.4288
1645934400000,28.02,28.56,27.83,28.44,13555.1466
1645948800000,28.42,29.15,28.21,28.98,16109.752
1645963200000,29.01,29.24,27.77,28.92,29029.2717
1645977600000,28.91,28.93,27.11,27.14,25319.2447
1645992000000,27.11,27.77,26.91,27.36,23716.606
1646006400000,27.34,27.85,26.9,27.3,14336.0759
1646020800000,27.3,27.8,26.93,27.69,11495.4851
1646035200000,27.68,27.91,27.33,27.57,7348.3627
1646049600000,27.58,29.06,27.07,29.05,24441.2143
1646064000000,29.06,29.27,28.46,28.75,20938.7884
1646078400000,28.74,30.75,28.69,30.54,31417.3973
1646092800000,30.52,31.41,29.91,30.04,51834.974
1646107200000,30.03,30.33,29.62,30.0,16698.5977
1646121600000,30.02,30.38,29.46,30.09,20679.4945
1646136000000,30.09,31.16,29.73,29.97,34736.3959
1646150400000,29.95,30.43,29.75,30.13,15613.226
1646164800000,30.12,30.34,29.87,30.32,9126.0681
1646179200000,30.32,30.57,29.7,30.45,13469.6842
1646193600000,30.45,30.57,29.77,29.91,13008.0075
1646208000000,29.91,30.24,29.54,30.1,22399.2992
1646222400000,30.09,30.28,29.18,29.57,31640.1208
1646236800000,29.6,29.86,29.1,29.23,9770.3173
1646251200000,29.23,29.83,29.22,29.53,6150.9573
1646265600000,29.53,29.83,28.99,29.26,14576.9136
1646280000000,29.26,30.93,29.23,30.32,42083.6306
1646294400000,30.32,31.55,30.1,30.87,49016.7423
1646308800000,30.84,31.23,29.42,29.76,28591.081
1646323200000,29.77,29.9,29.21,29.56,16791.0061
1646337600000,29.56,30.63,29.27,30.22,12412.2332
1646352000000,30.23,30.92,28.67,29.36,40271.9372
1646366400000,29.35,29.36,28.81,29.08,22692.1281
1646380800000,29.08,29.54,28.53,29.41,26584.3053
1646395200000,29.43,29.5,28.58,28.59,20063.3653
1646409600000,28.58,28.68,27.62,27.66,14491.0676
1646424000000,27.67,27.79,26.96,27.62,21841.5759
1646438400000,27.62,27.63,26.66,27.12,25335.5241
1646452800000,27.11,27.5,26.85,27.45,8499.3283
1646467200000,27.44,27.66,27.25,27.48,8629.6328
1646481600000,27.5,27.8,27.37,27.58,7250.9075
1646496000000,27.57,28.08,27.57,28.01,7477.3835
1646510400000,28.01,28.05,27.68,27.83,5830.247
1646524800000,27.83,28.08,27.2,27.26,6210.2459
1646539200000,27.24,27.69,26.9,27.39,11815.0158
1646553600000,27.39,27.41,26.73,26.99,12026.1792
1646568000000,26.98,27.32,26.86,27.02,7850.1271
1646582400000,27.02,27.38,26.8,26.92,7363.1313
1646596800000,26.93,27.37,26.5,26.56,15684.8136
1646611200000,26.55,26.63,25.97,26.08,15053.9347
1646625600000,26.09,26.5,26.0,26.11,6478.0211
1646640000000,26.13,26.58,25.9,26.52,9054.7266
1646654400000,26.53,27.44,26.53,27.14,15753.089
1646668800000,27.14,27.31,25.4,25.45,17673.1586
1646683200000,25.48,26.46,25.25,26.14,13112.945
1646697600000,26.13,26.92,25.99,26.57,10047.4155
1646712000000,26.57,26.69,25.95,26.38,9442.8424
1646726400000,26.4,26.76,26.3,26.61,8952.1538
1646740800000,26.63,26.75,26.0,26.24,15274.3651
1646755200000,26.24,26.94,26.0,26.48,14913.0664
1646769600000,26.49,26.75,26.02,26.74,22774.3662
1646784000000,26.73,27.81,26.51,27.62,15540.0007
1646798400000,27.64,28.07,27.59,27.97,25350.8858
1646812800000,27.96,28.32,27.77,27.93,13054.8013
1646827200000,27.93,28.19,27.64,27.99,13559.5332
1646841600000,27.99,28.7,27.69,27.86,19721.0745
1646856000000,27.86,28.18,27.79,28.08,6939.9939
1646870400000,28.06,28.65,27.44,27.48,25190.6373
1646884800000,27.48,27.52,26.17,26.61,30081.1805
1646899200000,26.59,26.77,26.35,26.59,11993.1423
1646913600000,26.58,27.0,26.15,26.51,14684.8944
1646928000000,26.51,26.87,26.3,26.61,16825.7919
1646942400000,26.59,26.8,26.41,26.7,6177.2507
1646956800000,26.69,26.72,26.05,26.37,13951.4858
1646971200000,26.37,26.81,26.1,26.59,10346.9373
1646985600000,26.59,26.97,26.31,26.87,15830.987
1647000000000,26.85,26.97,26.22,26.27,12639.92
1647014400000,26.28,26.28,25.97,26.22,46053.3953
1647028800000,26.21,26.78,26.08,26.49,11402.593
1647043200000,26.49,26.99,26.43,26.54,25528.0315
1647057600000,26.54,26.9,26.38,26.58,20211.7558
1647072000000,26.59,26.64,26.35,26.46,5972.7481
1647086400000,26.46,26.61,26.26,26.54,7119.3098
1647100800000,26.53,26.68,26.34,26.35,5947.1518
1647115200000,26.35,26.45,26.26,26.29,6422.9959
1647129600000,26.29,26.64,26.12,26.61,10353.0338
1647144000000,26.62,26.66,26.43,26.44,6233.6642
1647158400000,26.44,26.45,26.18,26.27,8029.6169
1647172800000,26.27,26.29,25.76,26.22,17140.9979
1647187200000,26.22,26.26,26.08,26.08,5861.0625
1647201600000,26.08,26.13,25.19,25.36,25801.1167
1647216000000,25.36,25.59,25.03,25.41,12424.4174
1647230400000,25.42,26.11,25.42,25.88,13957.0792
