time,open,high,low,close,volume
1644105600000,3013.76,3033.33,3009.1,3009.1,5731.4236
1644120000000,3009.11,3021.32,2989.93,3011.33,6302.4098
1644134400000,3011.11,3021.42,2998.99,3006.84,4576.22764
1644148800000,3006.8,3043.78,2953.02,2991.37,15243.68
1644163200000,2991.37,3009.39,2978.55,3001.91,7614.9484
1644177600000,3001.95,3073.52,2976.37,3055.65,14057.9332
1644192000000,3055.67,3073.87,2993.75,3069.31,17965.339
1644206400000,3069.46,3108.33,3055.44,3079.09,13051.8359
1644220800000,3079.07,3084.59,3048.72,3066.95,10020.2799
1644235200000,3067.0,3127.51,3055.27,3122.83,18868.9724
1644249600000,3122.7,3185.71,3107.69,3166.38,18337.2498
1644264000000,3166.38,3184.28,3130.5,3139.08,10635.6647
1644278400000,3139.18,3155.47,3113.16,3146.82,13214.8254
1644292800000,3146.82,3229.86,3140.6,3174.44,26775.1569
1644307200000,3174.64,3177.75,3075.01,3106.26,21381.8409
1644321600000,3106.58,3106.58,3032.05,3076.47,24042.4404
1644336000000,3076.93,3083.94,3026.84,3052.36,17531.6457
1644350400000,3051.63,3136.61,3047.36,3115.68,16574.1015
1644364800000,3115.87,3130.59,3062.16,3076.96,11490.1315
1644379200000,3076.96,3111.16,3055.69,3106.36,10587.0314
1644393600000,3106.29,3157.34,3069.64,3152.39,13706.8824
1644408000000,3152.41,3215.25,3139.16,3178.62,21030.8566
1644422400000,3178.33,3257.14,3164.72,3246.58,15661.9292
1644436800000,3246.84,3268.47,3231.15,3243.1,11319.716
1644451200000,3242.85,3247.07,3171.25,3180.23,11570.5384
1644465600000,3179.56,3193.87,3157.49,3190.15,8100.4446
1644480000000,3190.13,3281.94,3184.63,3248.53,15724.1154
1644494400000,3248.48,3263.77,3087.62,3209.68,51436.0544
1644508800000,3210.0,3244.28,3116.49,3120.26,24789.0057
1644523200000,3120.65,3139.9,3058.16,3073.3,16269.0397
1644537600000,3072.74,3094.73,3002.17,3082.2,24086.2081
1644552000000,3082.07,3106.26,3042.89,3098.18,10686.5202
1644566400000,3098.69,3115.38,3063.29,3087.91,11108.4866
1644580800000,3088.03,3136.22,3080.0,3102.97,17512.0829
1644595200000,3102.88,3112.45,2968.19,2993.13,27909.1753
1644609600000,2993.69,3001.04,2882.35,2927.48,26690.5844
1644624000000,2927.53,2959.07,2911.05,2933.31,9303.5101
1644638400000,2933.33,2947.65,2883.7,2920.05,10021.2613
1644652800000,2919.8,2941.5,2878.37,2931.59,20211.8694
1644667200000,2931.38,2937.59,2859.57,2881.54,15862.6701
1644681600000,2881.22,2977.51,2865.47,2952.28,14803.9422
1644696000000,2952.28,2984.96,2867.56,2918.56,12234.3314
1644710400000,2918.56,2945.45,2898.2,2918.06,6601.7451
1644724800000,2918.06,2929.69,2900.4,2923.69,5272.7229
1644739200000,2923.96,2943.69,2908.84,2930.73,5082.7934
1644753600000,2930.47,2952.68,2910.8,2919.58,8292.2045
1644768000000,2919.3,2922.58,2837.96,2857.52,14099.8568
1644782400000,2858.52,2908.88,2849.45,2871.55,8351.2901
1644796800000,2871.55,2892.85,2832.0,2865.93,11508.9659
1644811200000,2865.51,2883.6,2844.8,2882.25,7739.89
1644825600000,2882.11,2888.88,2847.62,2874.31,8930.3001
1644840000000,2874.28,2964.22,2858.21,2936.27,20092.5296
1644854400000,2936.47,2963.52,2857.91,2879.92,16657.1927
1644868800000,2879.88,2948.66,2866.99,2929.7,8216.4704
1644883200000,2929.69,3036.77,2912.75,3024.41,17643.8993
1644897600000,3024.41,3058.43,3008.0,3049.85,7774.6518
1644912000000,3049.56,3114.81,3041.44,3095.45,12802.076
1644926400000,3095.45,3144.69,3088.35,3122.09,13253.9671
1644940800000,3122.71,3139.52,3087.85,3109.85,10528.8554
1644955200000,3109.86,3194.94,3092.18,3184.31,10400.1826
1644969600000,3183.77,3184.59,3134.09,3140.95,10087.0628
1644984000000,3140.97,3151.51,3106.4,3150.0,10889.7607
1644998400000,3149.98,3162.09,3113.81,3136.16,9817.7158
1645012800000,3136.05,3142.8,3054.01,3065.69,21814.8314
1645027200000,3066.05,3185.8,3043.53,3168.51,19215.7107
1645041600000,3168.5,3178.3,3118.75,3121.75,7810.63
1645056000000,3121.62,3158.97,3083.86,3083.98,10270.9008
1645070400000,3084.14,3110.73,3053.45,3109.33,14853.6404
1645084800000,3109.42,3133.71,3036.31,3065.69,21722.4296
1645099200000,3065.67,3086.07,2963.02,2988.75,26785.0306
1645113600000,2988.61,3005.58,2883.83,2909.72,27648.6381
1645128000000,2909.91,2914.49,2853.66,2891.55,15164.4414
1645142400000,2891.61,2918.54,2862.63,2907.42,10163.9224
1645156800000,2907.6,2916.1,2876.67,2904.36,11045.8271
1645171200000,2904.36,2942.85,2873.03,2878.69,10599.7593
1645185600000,2878.66,2907.58,2788.17,2799.29,31653.6758
1645200000000,2799.65,2824.86,2753.61,2796.96,25503.8241
1645214400000,2796.98,2806.79,2754.77,2779.97,9838.8207
1645228800000,2779.96,2830.54,2767.32,2805.44,7681.365
1645243200000,2805.79,2825.42,2796.34,2812.69,6707.5507
1645257600000,2812.52,2818.96,2709.82,2723.02,18114.8861
1645272000000,2722.91,2750.33,2697.5,2746.63,16151.7743
1645286400000,2746.58,2795.1,2740.33,2744.13,12242.4881
1645300800000,2744.04,2767.49,2728.01,2763.64,5751.79434
1645315200000,2763.44,2764.55,2700.0,2713.25,13267.2438
1645329600000,2713.37,2717.64,2622.65,2654.91,23796.0342
1645344000000,2654.91,2655.05,2601.33,2641.86,14438.6546
