time,open,high,low,close,volume
1771833600000,91.54,91.87,91.21,91.55,6.29
1771848000000,91.55,92.09,91.21,91.38,391.64
1771862400000,91.38,91.65,91.19,91.43,335.85
1771876800000,91.43,91.45,91.26,91.38,90.13
1771891200000,91.38,91.38,91.38,91.38,0.0
1771905600000,91.38,91.38,91.38,91.38,0.0
1771920000000,91.38,91.38,91.38,91.38,0.0
1771934400000,91.38,91.38,90.38,91.18,329.92
1771948800000,91.18,91.44,91.18,91.35,129.38
1771963200000,91.35,91.41,91.25,91.25,38.85
1771977600000,91.25,91.25,91.25,91.25,0.0
1771992000000,91.25,91.25,91.25,91.25,0.0
1772006400000,91.25,91.25,91.25,91.25,0.0
1772020800000,91.25,92.19,91.25,92.19,193.99
1772035200000,92.19,92.56,92.17,92.45,117.62
1772049600000,92.45,92.56,92.43,92.45,19.15
1772064000000,92.45,92.45,92.45,92.45,0.0
1772078400000,92.45,92.45,92.45,92.45,0.0
1772092800000,92.45,92.45,92.45,92.45,0.0
1772107200000,92.45,92.74,91.98,92.61,289.48
1772121600000,92.61,92.64,92.08,92.57,193.26
1772136000000,92.57,92.66,92.46,92.48,37.17
1772150400000,92.48,92.48,92.48,92.48,0.0
1772164800000,92.48,92.48,92.48,92.48,0.0
1772179200000,92.48,92.48,92.48,92.48,0.0
1772193600000,92.48,92.76,92.26,92.58,213.29
1772208000000,92.58,92.73,92.26,92.26,201.37
1772222400000,92.26,92.49,92.26,92.37,23.35
1772236800000,92.37,92.37,92.37,92.37,0.0
1772251200000,92.37,92.37,92.37,92.37,0.0
1772265600000,92.37,92.37,92.37,92.37,0.0
1772280000000,92.37,92.37,92.37,92.37,0.0
1772294400000,92.37,92.37,92.37,92.37,0.0
1772308800000,92.37,92.37,92.37,92.37,0.0
1772323200000,92.37,92.37,92.37,92.37,0.0
1772337600000,92.37,92.37,92.37,92.37,0.0
1772352000000,92.37,92.37,92.37,92.37,0.0
1772366400000,92.37,92.37,92.37,92.37,0.0
1772380800000,92.37,92.37,92.37,92.37,0.0
1772395200000,92.37,92.37,92.37,92.37,0.0
1772409600000,92.37,92.37,92.37,92.37,0.0
1772424000000,92.37,92.37,92.37,92.37,0.0
1772438400000,92.37,92.37,92.37,92.37,0.0
1772452800000,92.37,92.37,89.22,89.68,338.25
1772467200000,89.68,90.4,89.6,90.28,262.3
1772481600000,90.28,90.28,89.81,90.11,64.12
1772496000000,90.11,90.11,90.11,90.11,0.0
1772510400000,90.11,90.11,90.11,90.11,0.0
1772524800000,90.11,90.11,90.11,90.11,0.0
1772539200000,90.11,90.11,83.87,84.46,825.63
1772553600000,84.46,87.13,84.42,86.93,510.2
1772568000000,86.93,87.01,86.58,86.83,84.91
1772582400000,86.83,86.83,86.83,86.83,0.0
1772596800000,86.83,86.83,86.83,86.83,0.0
1772611200000,86.83,86.83,86.83,86.83,0.0
1772625600000,86.83,88.27,86.83,88.26,189.23
1772640000000,88.26,88.61,87.64,88.6,259.78
1772654400000,88.6,88.71,88.48,88.56,49.71
1772668800000,88.56,88.56,88.56,88.56,0.0
1772683200000,88.56,88.56,88.56,88.56,0.0
1772697600000,88.56,88.56,88.56,88.56,0.0
1772712000000,88.56,88.56,85.77,86.01,252.45
1772726400000,86.01,86.06,84.93,85.09,669.38
1772740800000,85.09,85.88,85.02,85.87,426.55
1772755200000,85.87,85.87,85.87,85.87,0.0
1772769600000,85.87,85.87,85.87,85.87,0.0
1772784000000,85.87,85.87,85.87,85.87,0.0
1772798400000,85.87,85.87,84.13,84.57,308.48
1772812800000,84.57,85.17,84.27,85.07,449.47
1772827200000,85.07,85.2,84.56,84.82,102.13
1772841600000,84.82,84.82,84.82,84.82,0.0
1772856000000,84.82,84.82,84.82,84.82,0.0
1772870400000,84.82,84.82,84.82,84.82,0.0
1772884800000,84.82,84.82,84.82,84.82,0.0
1772899200000,84.82,84.82,84.82,84.82,0.0
1772913600000,84.82,84.82,84.82,84.82,0.0
1772928000000,84.82,84.82,84.82,84.82,0.0
1772942400000,84.82,84.82,84.82,84.82,0.0
1772956800000,84.82,84.82,84.82,84.82,0.0
1772971200000,84.82,84.82,84.82,84.82,0.0
1772985600000,84.82,84.82,84.82,84.82,0.0
1773000000000,84.82,84.82,84.82,84.82,0.0
1773014400000,84.82,84.82,84.82,84.82,0.0
1773028800000,84.82,84.82,84.82,84.82,0.0
1773043200000,84.82,84.82,84.82,84.82,0.0
1773057600000,84.82,84.82,82.95,84.16,364.63
1773072000000,84.16,85.85,83.71,85.67,410.32
1773086400000,85.67,85.68,85.67,85.68,1.75
1773100800000,85.68,85.68,85.68,85.68,0.0
1773115200000,85.68,85.68,85.68,85.68,0.0
1773129600000,85.68,85.68,85.68,85.68,0.0
1773144000000,85.68,87.51,85.68,87.42,272.45
1773158400000,87.42,88.14,86.28,86.42,421.34
1773172800000,86.42,86.42,86.42,86.42,0.0
1773187200000,86.42,86.42,86.42,86.42,0.0
1773201600000,86.42,86.42,86.42,86.42,0.0
1773216000000,86.42,86.42,86.42,86.42,0.0
1773230400000,86.42,86.42,85.06,85.11,304.75
1773244800000,85.11,85.73,85.01,85.71,294.23
1773259200000,85.71,85.71,85.71,85.71,0.0
1773273600000,85.71,85.71,85.71,85.71,0.0
1773288000000,85.71,85.71,85.71,85.71,0.0
1773302400000,85.71,85.71,85.71,85.71,0.0
1773316800000,85.71,85.71,83.78,84.34,436.31
1773331200000,84.34,84.73,84.03,84.2,407.47
1773345600000,84.2,84.2,84.2,84.2,0.0
1773360000000,84.2,84.2,84.2,84.2,0.0
1773374400000,84.2,84.2,84.2,84.2,0.0
1773388800000,84.2,84.2,84.2,84.2,0.0
1773403200000,84.2,84.76,83.47,83.58,320.46
1773417600000,83.58,83.77,83.23,83.35,278.61
1773432000000,83.35,83.35,83.35,83.35,0.0
1773446400000,83.35,83.35,83.35,83.35,0.0
1773460800000,83.35,83.35,83.35,83.35,0.0
1773475200000,83.35,83.35,83.35,83.35,0.0
1773489600000,83.35,83.35,83.35,83.35,0.0
1773504000000,83.35,83.35,83.35,83.35,0.0
1773518400000,83.35,83.35,83.35,83.35,0.0
1773532800000,83.35,83.35,83.35,83.35,0.0
1773547200000,83.35,83.35,83.35,83.35,0.0
1773561600000,83.35,83.35,83.35,83.35,0.0
1773576000000,83.35,83.35,83.35,83.35,0.0
1773590400000,83.35,83.35,83.35,83.35,0.0
1773604800000,83.35,83.35,83.35,83.35,0.0
1773619200000,83.35,83.35,83.35,83.35,0.0
1773633600000,83.35,83.35,83.35,83.35,0.0
1773648000000,83.35,83.35,83.35,83.35,0.0
1773662400000,83.35,85.21,83.35,84.7,239.05
1773676800000,84.7,85.29,84.52,85.09,287.45
1773691200000,85.09,85.09,85.09,85.09,0.0
1773705600000,85.09,85.09,85.09,85.09,0.0
1773720000000,85.09,85.09,85.09,85.09,0.0
1773734400000,85.09,85.09,85.09,85.09,0.0
1773748800000,85.09,85.64,84.98,85.06,253.56
1773763200000,85.06,85.33,84.87,85.06,207.52
1773777600000,85.06,85.08,85.06,85.08,2.08
1773792000000,85.08,85.08,85.08,85.08,0.0
1773806400000,85.08,85.08,85.08,85.08,0.0
1773820800000,85.08,85.08,85.08,85.08,0.0
1773835200000,85.08,85.11,84.65,84.81,216.35
1773849600000,84.81,85.13,84.07,84.1,275.12
1773864000000,84.1,84.27,84.1,84.27,8.48
1773878400000,84.27,84.27,84.27,84.27,0.0
1773892800000,84.27,84.27,84.27,84.27,0.0
1773907200000,84.27,84.27,84.27,84.27,0.0
1773921600000,84.27,84.27,82.27,83.24,358.47
1773936000000,83.24,84.46,82.83,84.09,430.24
1773950400000,84.09,84.09,84.09,84.09,0.0
1773964800000,84.09,84.09,84.09,84.09,0.0
1773979200000,84.09,84.09,84.09,84.09,0.0
1773993600000,84.09,84.09,84.09,84.09,0.0
1774008000000,84.09,84.09,82.12,82.17,420.84
1774022400000,82.17,82.41,80.88,81.17,493.11
1774036800000,81.17,81.19,81.17,81.19,0.13
1774051200000,81.19,81.19,81.19,81.19,0.0
1774065600000,81.19,81.19,81.19,81.19,0.0
1774080000000,81.19,81.19,81.19,81.19,0.0
1774094400000,81.19,81.19,81.19,81.19,0.0
1774108800000,81.19,81.19,81.19,81.19,0.0
1774123200000,81.19,81.19,81.19,81.19,0.0
1774137600000,81.19,81.19,81.19,81.19,0.0
1774152000000,81.19,81.19,81.19,81.19,0.0
1774166400000,81.19,81.19,81.19,81.19,0.0
1774180800000,81.19,81.19,81.19,81.19,0.0
1774195200000,81.19,81.19,81.19,81.19,0.0
1774209600000,81.19,81.19,81.19,81.19,0.0
1774224000000,81.19,81.19,81.19,81.19,0.0
1774238400000,81.19,81.19,81.19,81.19,0.0
1774252800000,81.19,81.19,81.19,81.19,0.0
1774267200000,81.19,84.59,81.19,83.2,385.76
1774281600000,83.2,84.17,82.73,83.54,459.11
1774296000000,83.54,83.55,83.54,83.55,0.09
1774310400000,83.55,83.55,83.55,83.55,0.0
1774324800000,83.55,83.55,83.55,83.55,0.0
1774339200000,83.55,83.55,83.55,83.55,0.0
1774353600000,83.55,83.83,82.65,83.4,396.51
1774368000000,83.4,83.85,82.96,83.27,454.78
1774382400000,83.27,83.27,83.27,83.27,0.0
1774396800000,83.27,83.27,83.27,83.27,0.0
1774411200000,83.27,83.27,83.27,83.27,0.0
1774425600000,83.27,83.27,83.27,83.27,0.0
1774440000000,83.27,85.23,83.27,84.72,395.38
1774454400000,84.72,85.13,84.52,84.73,281.41
1774468800000,84.73,84.73,84.73,84.73,0.0
1774483200000,84.73,84.73,84.73,84.73,0.0
1774497600000,84.73,84.73,84.73,84.73,0.0
1774512000000,84.73,84.73,84.73,84.73,0.0
1774526400000,84.73,84.73,83.54,83.77,374.26
1774540800000,83.77,83.78,82.67,82.72,220.11
1774555200000,82.72,82.72,82.72,82.72,0.0
1774569600000,82.72,82.72,82.72,82.72,0.0
1774584000000,82.72,82.72,82.72,82.72,0.0
1774598400000,82.72,82.72,82.72,82.72,0.0
1774612800000,82.72,82.72,81.87,81.99,320.49
1774627200000,81.99,82.03,81.18,81.45,355.43
1774641600000,81.45,81.45,81.41,81.42,0.79
1774656000000,81.42,81.42,81.42,81.42,0.0
1774670400000,81.42,81.42,81.42,81.42,0.0
1774684800000,81.42,81.42,81.42,81.42,0.0
1774699200000,81.42,81.42,81.42,81.42,0.0
1774713600000,81.42,81.42,81.42,81.42,0.0
1774728000000,81.42,81.42,81.42,81.42,0.0
1774742400000,81.42,81.42,81.42,81.42,0.0
1774756800000,81.42,81.42,81.42,81.42,0.0
1774771200000,81.42,81.42,81.42,81.42,0.0
1774785600000,81.42,81.42,81.42,81.42,0.0
1774800000000,81.42,81.42,81.42,81.42,0.0
1774814400000,81.42,81.42,81.42,81.42,0.0
1774828800000,81.42,81.42,81.42,81.42,0.0
1774843200000,81.42,81.42,81.42,81.42,0.0
1774857600000,81.42,81.42,81.42,81.42,0.0
1774872000000,81.42,82.72,81.42,82.57,343.87
1774886400000,82.57,82.57,81.37,81.55,274.46
1774900800000,81.55,81.55,81.55,81.55,0.0
1774915200000,81.55,81.55,81.55,81.55,0.0
1774929600000,81.55,81.55,81.55,81.55,0.0
1774944000000,81.55,81.55,81.55,81.55,0.0
1774958400000,81.55,82.85,81.55,82.32,299.26
1774972800000,82.32,84.47,82.3,84.47,503.43
1774987200000,84.47,84.47,84.43,84.43,0.72
1775001600000,84.43,84.43,84.43,84.43,0.0
1775016000000,84.43,84.43,84.43,84.43,0.0
1775030400000,84.43,84.43,84.43,84.43,0.0
1775044800000,84.43,87.28,84.43,87.25,308.2
1775059200000,87.25,87.35,86.28,86.46,380.39
1775073600000,86.46,86.46,86.46,86.46,0.0
1775088000000,86.46,86.46,86.46,86.46,0.0
1775102400000,86.46,86.46,86.46,86.46,0.0
1775116800000,86.46,86.46,86.46,86.46,0.0
1775131200000,86.46,86.46,83.73,85.03,427.18
1775145600000,85.03,85.42,84.85,85.29,291.92
1775160000000,85.29,85.33,85.29,85.33,0.02
1775174400000,85.33,85.33,85.33,85.33,0.0
1775188800000,85.33,85.33,85.33,85.33,0.0
1775203200000,85.33,85.33,85.33,85.33,0.0
1775217600000,85.33,85.33,85.33,85.33,0.0
1775232000000,85.33,85.33,85.33,85.33,0.0
1775246400000,85.33,85.33,85.33,85.33,0.0
1775260800000,85.33,85.33,85.33,85.33,0.0
1775275200000,85.33,85.33,85.33,85.33,0.0
1775289600000,85.33,85.33,85.33,85.33,0.0
1775304000000,85.33,85.33,85.33,85.33,0.0
1775318400000,85.33,85.33,85.33,85.33,0.0
1775332800000,85.33,85.33,85.33,85.33,0.0
1775347200000,85.33,85.33,85.33,85.33,0.0
1775361600000,85.33,85.33,85.33,85.33,0.0
1775376000000,85.33,85.33,85.33,85.33,0.0
1775390400000,85.33,85.33,85.33,85.33,0.0
1775404800000,85.33,85.33,85.33,85.33,0.0
