time,open,high,low,close,volume
1771833600000,140.64,140.73,139.93,139.93,153.04
1771848000000,139.93,141.18,139.33,139.33,727.28
1771862400000,139.33,140.18,138.99,139.19,417.77
1771876800000,139.19,139.63,139.06,139.37,36.83
1771891200000,139.37,139.37,139.37,139.37,0.0
1771905600000,139.37,139.37,139.37,139.37,0.0
1771920000000,139.37,139.37,139.37,139.37,0.0
1771934400000,139.37,144.72,139.37,144.57,845.78
1771948800000,144.57,145.62,143.62,144.14,383.35
1771963200000,144.14,144.88,143.93,144.65,61.45
1771977600000,144.65,144.65,144.65,144.65,0.0
1771992000000,144.65,144.65,144.65,144.65,0.0
1772006400000,144.65,144.65,144.65,144.65,0.0
1772020800000,144.65,149.71,144.65,148.47,413.81
1772035200000,148.47,149.19,148.24,149.07,158.68
1772049600000,149.07,149.23,148.55,148.91,33.61
1772064000000,148.91,148.91,148.91,148.91,0.0
1772078400000,148.91,148.91,148.91,148.91,0.0
1772092800000,148.91,148.91,148.91,148.91,0.0
1772107200000,148.91,154.15,146.62,149.3,2571.39
1772121600000,149.3,150.85,148.51,150.47,2369.41
1772136000000,150.47,151.33,148.99,149.49,1218.45
1772150400000,149.49,152.78,148.44,152.56,2876.54
1772164800000,152.56,154.15,150.97,151.42,2419.44
1772179200000,151.42,152.07,149.89,150.29,1231.24
1772193600000,150.29,151.39,147.96,150.64,2831.58
1772208000000,150.64,151.54,150.03,150.24,1310.26
1772222400000,150.24,152.77,150.23,152.22,937.93
1772236800000,152.22,152.33,152.02,152.23,32.54
1772251200000,152.23,152.23,152.23,152.23,0.0
1772265600000,152.23,152.23,152.23,152.23,0.0
1772280000000,152.23,152.23,152.23,152.23,0.0
1772294400000,152.23,152.23,152.23,152.23,0.0
1772308800000,152.23,152.23,152.23,152.23,0.0
1772323200000,152.23,152.23,152.23,152.23,0.0
1772337600000,152.23,152.23,152.23,152.23,0.0
1772352000000,152.23,152.23,152.23,152.23,0.0
1772366400000,152.23,152.23,152.23,152.23,0.0
1772380800000,152.23,152.23,152.23,152.23,0.0
1772395200000,152.23,152.23,152.23,152.23,0.0
1772409600000,152.23,152.23,146.29,149.0,3479.72
1772424000000,149.0,149.37,145.37,145.7,2487.17
1772438400000,145.7,146.09,143.81,145.91,2047.75
1772452800000,145.91,147.31,143.68,144.48,4250.57
1772467200000,144.48,149.24,144.23,149.24,2103.59
1772481600000,149.24,149.35,146.64,146.74,1466.24
1772496000000,146.74,147.52,140.25,141.87,4580.98
1772510400000,141.87,142.05,135.77,136.9,4455.6
1772524800000,136.9,137.03,129.62,131.41,3163.57
1772539200000,131.41,133.35,125.56,129.2,3993.08
1772553600000,129.2,135.23,129.2,134.41,2798.01
1772568000000,134.41,134.74,129.35,130.79,1660.52
1772582400000,130.79,134.61,121.73,125.83,4978.3
1772596800000,125.83,127.67,120.14,122.34,4699.16
1772611200000,122.34,129.55,121.76,127.51,2661.94
1772625600000,127.51,135.47,127.48,134.13,3051.36
1772640000000,134.13,140.61,133.63,136.83,2273.64
1772654400000,136.83,137.57,133.54,135.89,2224.77
1772668800000,135.89,138.07,131.62,131.74,5068.17
1772683200000,131.74,135.22,131.38,132.92,1595.21
1772697600000,132.92,134.76,131.38,132.68,1246.25
