time,open,high,low,close,volume
1644105600000,21.982,22.5886,21.9772,22.3302,78322.336
1644120000000,22.3335,22.4289,21.999,22.2885,93839.653
1644134400000,22.2835,22.3156,21.9101,21.9325,59971.24
1644148800000,21.9256,22.5901,21.5714,21.8891,233401.825
1644163200000,21.8952,22.1505,21.753,21.9983,88360.268
1644177600000,21.9977,22.5527,21.8585,22.45,100144.658
1644192000000,22.449,22.9845,22.054,22.9298,153755.76
1644206400000,22.9332,23.1875,22.7726,22.9888,123774.56
1644220800000,23.0012,23.0527,22.5974,22.9378,91135.544
1644235200000,22.9381,23.8571,22.7881,23.591,411802.486
1644249600000,23.5841,24.311,23.3789,23.9516,224006.565
1644264000000,23.9539,24.6161,23.9319,24.4953,224148.623
1644278400000,24.4933,25.7832,23.8672,25.1311,392089.94
1644292800000,25.1543,26.2369,24.9879,25.4546,508062.35
1644307200000,25.4593,25.5159,24.09,24.7881,542669.49
1644321600000,24.7831,24.792,23.125,23.5797,341140.384
1644336000000,23.57,23.7392,23.2068,23.5011,252415.668
1644350400000,23.493,24.7222,23.4357,24.624,267044.528
1644364800000,24.629,24.8367,23.5714,23.9014,159788.149
1644379200000,23.9021,24.1099,23.467,24.0094,179418.528
1644393600000,24.0071,24.1351,23.5394,23.9594,218556.885
1644408000000,23.9516,24.5491,23.8564,24.2182,227921.496
1644422400000,24.2108,24.616,24.0834,24.4578,133635.565
1644436800000,24.4578,24.641,24.2163,24.3112,69445.0373
1644451200000,24.2904,24.3123,23.5877,23.6877,175368.692
1644465600000,23.6937,24.0168,23.4848,24.0084,147433.132
1644480000000,24.0195,24.7799,23.9728,24.5725,231234.74
1644494400000,24.5698,24.6441,22.8479,23.8944,484151.13
1644508800000,23.9066,24.1033,23.2663,23.2971,221370.63
1644523200000,23.3063,23.4416,23.015,23.1341,190497.132
1644537600000,23.1428,23.1538,22.5871,22.9949,199828.006
1644552000000,22.9976,23.2188,22.918,23.1404,97495.497
1644566400000,23.1499,23.1914,22.651,22.9355,90352.5
1644580800000,22.9414,23.3822,22.8783,23.2345,138054.615
1644595200000,23.2409,23.3104,21.9138,22.0472,251292.451
1644609600000,22.0471,22.1361,20.8318,21.0847,220088.854
1644624000000,21.0835,21.3864,20.7466,21.1046,164762.188
1644638400000,21.1175,21.2878,20.2978,20.7952,222660.167
1644652800000,20.8024,20.9889,20.4461,20.9061,208257.667
1644667200000,20.911,20.9242,20.4437,20.6807,199739.924
1644681600000,20.6769,21.3805,20.5917,20.9995,224229.445
1644696000000,20.9987,21.1385,20.4827,20.8738,148302.24
1644710400000,20.873,21.1016,20.7328,20.8516,110538.309
1644724800000,20.8592,20.8965,20.6532,20.8501,83473.818
1644739200000,20.8486,21.0186,20.728,20.9044,88114.089
1644753600000,20.9011,21.195,20.8354,21.0019,147761.204
1644768000000,21.0056,21.0443,20.4248,20.5272,188566.851
1644782400000,20.5277,20.7899,20.4554,20.5694,98424.101
