time,open,high,low,close,volume
1779249600000,18.13,18.33,18.11,18.12,94.86
1779264000000,18.12,18.5,18.09,18.43,158.48
1779278400000,18.43,19.43,17.84,19.22,425.73
1779292800000,19.22,19.48,18.14,18.78,328.2
1779307200000,18.78,19.81,18.76,19.09,229.82
1779321600000,19.09,19.22,18.9,19.07,178.17
1779336000000,19.07,19.24,18.78,18.79,286.95
1779350400000,18.79,19.24,18.64,18.86,301.65
1779364800000,18.86,20.53,18.71,19.95,540.77
1779379200000,19.95,20.57,19.81,20.23,493.96
1779393600000,20.23,20.65,19.34,20.51,589.73
1779408000000,20.51,20.73,20.29,20.58,847.19
1779422400000,20.58,20.66,20.35,20.5,338.01
1779436800000,20.5,20.76,20.08,20.3,328.48
1779451200000,20.3,21.22,19.88,21.19,857.78
1779465600000,21.19,22.5,21.19,21.48,1337.18
1779480000000,21.48,21.67,20.88,21.34,1157.29
1779494400000,21.34,22.14,21.09,21.61,818.42
1779508800000,21.61,21.97,21.01,21.03,2921.38
1779523200000,21.03,21.55,20.94,21.51,2621.19
1779537600000,21.51,21.89,21.39,21.64,3243.05
1779552000000,21.64,22.8,21.57,22.54,2288.31
1779566400000,22.54,22.6,22.23,22.25,248.6
1779580800000,22.25,22.56,22.18,22.53,165.89
1779595200000,22.53,23.45,22.26,22.36,3637.95
1779609600000,22.36,22.54,21.92,21.96,826.46
1779624000000,21.96,22.41,21.84,22.18,217.85
1779638400000,22.18,23.69,22.18,23.02,1409.86
1779652800000,23.02,23.45,22.23,22.32,626.41
1779667200000,22.32,22.79,22.22,22.25,695.34
1779681600000,22.25,22.84,22.22,22.58,441.22
1779696000000,22.58,23.02,22.57,22.8,299.95
1779710400000,22.8,22.88,22.54,22.66,171.04
1779724800000,22.66,23.1,21.99,22.48,523.47
1779739200000,22.48,23.05,22.3,22.66,187.17
1779753600000,22.66,22.72,21.73,21.99,453.09
1779768000000,21.99,22.17,21.93,22.01,86.94
1779782400000,22.01,22.09,21.57,22.06,319.55
1779796800000,22.06,22.31,21.15,21.21,599.08
1779811200000,21.21,22.08,20.76,21.37,191.76
1779825600000,21.37,21.41,21.19,21.38,153.42
1779840000000,21.38,21.52,21.28,21.35,137.55
1779854400000,21.35,21.54,21.19,21.51,247.39
1779868800000,21.51,21.56,21.02,21.03,114.34
1779883200000,21.03,21.72,20.42,20.95,758.04
1779897600000,20.95,21.67,20.9,21.23,870.7
1779912000000,21.23,21.33,20.86,21.08,515.83
1779926400000,21.08,21.19,20.56,20.57,167.67
1779940800000,20.57,20.93,20.12,20.87,153.48
1779955200000,20.87,20.93,20.62,20.74,96.4
1779969600000,20.74,21.46,19.92,20.99,474.62
1779984000000,20.99,21.9,20.89,21.38,651.54
1779998400000,21.38,21.49,20.9,21.25,167.31
1780012800000,21.25,21.32,21.12,21.15,423.83
1780027200000,21.15,21.88,21.12,21.27,524.96
1780041600000,21.27,21.82,21.27,21.66,221.22
1780056000000,21.66,21.67,18.95,19.53,799.08
1780070400000,19.53,19.68,18.61,18.94,935.83
1780084800000,18.94,19.35,18.71,18.98,767.89
1780099200000,18.98,19.27,18.81,19.21,234.82
1780113600000,19.21,19.45,18.96,19.06,135.7
1780128000000,19.06,19.21,19.05,19.15,104.21
1780142400000,19.15,19.4,19.08,19.24,84.78
1780156800000,19.24,19.25,18.78,18.83,128.9
1780171200000,18.83,18.85,18.45,18.76,108.61
1780185600000,18.76,18.94,18.76,18.78,79.26
1780200000000,18.78,19.19,18.46,18.76,166.17
1780214400000,18.76,19.37,18.7,18.74,138.67
1780228800000,18.74,19.04,18.69,19.02,83.51
1780243200000,19.02,19.08,18.84,18.87,114.41
1780257600000,18.87,19.75,18.87,19.6,152.55
1780272000000,19.6,19.6,18.63,19.28,243.2
