time,open,high,low,close,volume
1684209600000,0.0,3.508e-05,3.463e-05,3.499e-05,1372702997.0
1684224000000,3.499e-05,3.501e-05,3.4e-05,3.418e-05,4107081307.0
1684238400000,3.418e-05,3.437e-05,3.396e-05,3.434e-05,2293031318.0
1684252800000,3.434e-05,3.442e-05,3.357e-05,3.366e-05,3456989462.0
1684267200000,3.366e-05,3.417e-05,3.361e-05,3.389e-05,1438966155.0
1684281600000,3.389e-05,3.411e-05,3.362e-05,3.402e-05,4158581673.0
1684296000000,3.402e-05,3.415e-05,3.281e-05,3.294e-05,6318128897.0
1684310400000,3.294e-05,3.294e-05,3.226e-05,3.241e-05,4500754102.0
1684324800000,3.241e-05,3.268e-05,3.189e-05,3.205e-05,4385057599.0
1684339200000,3.206e-05,3.346e-05,3.191e-05,3.319e-05,3838305848.0
1684353600000,3.319e-05,3.375e-05,3.318e-05,3.359e-05,3450985642.0
1684368000000,3.359e-05,3.475e-05,3.329e-05,3.47e-05,7446326002.0
1684382400000,3.47e-05,3.528e-05,3.378e-05,3.436e-05,9580345489.0
1684396800000,3.434e-05,3.435e-05,3.342e-05,3.351e-05,4810569225.0
1684411200000,3.351e-05,3.356e-05,3.27e-05,3.27e-05,3871323449.0
1684425600000,3.27e-05,3.296e-05,3.205e-05,3.252e-05,3515886723.0
1684440000000,3.252e-05,3.282e-05,3.232e-05,3.261e-05,2152046012.0
1684454400000,3.261e-05,3.281e-05,3.222e-05,3.242e-05,1724552429.0
1684468800000,3.242e-05,3.278e-05,3.235e-05,3.277e-05,1641302320.0
1684483200000,3.277e-05,3.275e-05,3.234e-05,3.242e-05,2295635358.0
1684497600000,3.242e-05,3.269e-05,3.219e-05,3.244e-05,3292062814.0
1684512000000,3.245e-05,3.26e-05,3.228e-05,3.246e-05,2557042403.0
1684526400000,3.246e-05,3.286e-05,3.245e-05,3.279e-05,1435377669.0
1684540800000,3.279e-05,3.279e-05,3.222e-05,3.257e-05,1438031054.0
1684555200000,3.257e-05,3.267e-05,3.24e-05,3.244e-05,1476243237.0
1684569600000,3.244e-05,3.308e-05,3.237e-05,3.274e-05,3748442191.0
1684584000000,3.274e-05,3.295e-05,3.257e-05,3.261e-05,2618208243.0
1684598400000,3.261e-05,3.442e-05,3.252e-05,3.34e-05,12390080369.0
1684612800000,3.34e-05,3.343e-05,3.292e-05,3.321e-05,3532073943.0
1684627200000,3.321e-05,3.316e-05,3.271e-05,3.283e-05,1948872952.0
1684641600000,3.283e-05,3.305e-05,3.276e-05,3.285e-05,1858159404.0
1684656000000,3.285e-05,3.288e-05,3.232e-05,3.234e-05,3772506775.0
1684670400000,3.234e-05,3.253e-05,3.107e-05,3.143e-05,5847571761.0
1684684800000,3.143e-05,3.153e-05,3.107e-05,3.153e-05,4152369447.0
1684699200000,3.153e-05,3.158e-05,3.051e-05,3.1e-05,3861804322.0
1684713600000,3.1e-05,3.112e-05,3.019e-05,3.039e-05,3843371992.0
1684728000000,3.039e-05,3.111e-05,3.038e-05,3.084e-05,3063826530.0
1684742400000,3.084e-05,3.149e-05,3.087e-05,3.089e-05,3394562355.0
1684756800000,3.089e-05,3.114e-05,3.051e-05,3.098e-05,7458395025.0
1684771200000,3.098e-05,3.128e-05,3.084e-05,3.112e-05,2347213082.0
1684785600000,3.112e-05,3.126e-05,3.098e-05,3.103e-05,1118595575.0
1684800000000,3.103e-05,3.203e-05,3.087e-05,3.189e-05,2835453883.0
1684814400000,3.189e-05,3.194e-05,3.123e-05,3.138e-05,2284513029.0
1684828800000,3.138e-05,3.16e-05,3.109e-05,3.154e-05,6590946291.0
1684843200000,3.154e-05,3.2e-05,3.142e-05,3.183e-05,4374846928.0
1684857600000,3.183e-05,3.184e-05,3.132e-05,3.149e-05,3190582502.0
1684872000000,3.149e-05,3.187e-05,3.145e-05,3.181e-05,1687119928.0
1684886400000,3.181e-05,3.184e-05,3.077e-05,3.118e-05,3398015726.0
1684900800000,3.118e-05,3.123e-05,3.047e-05,3.092e-05,5714218059.0
1684915200000,3.092e-05,3.382e-05,3.084e-05,3.248e-05,32186339283.0
1684929600000,3.248e-05,3.243e-05,2.979e-05,3.036e-05,15134792694.0
1684944000000,3.038e-05,3.177e-05,3.006e-05,3.091e-05,9492181584.0
1684958400000,3.091e-05,3.192e-05,3.091e-05,3.13e-05,5516759993.0
1684972800000,3.13e-05,3.146e-05,2.986e-05,3.023e-05,4600104325.0
1684987200000,3.023e-05,3.036e-05,2.992e-05,2.998e-05,4697787162.0
1685001600000,2.998e-05,3.02e-05,2.993e-05,3.007e-05,4761279420.0
1685016000000,3.007e-05,3.302e-05,3.005e-05,3.157e-05,36021873753.0
1685030400000,3.157e-05,3.169e-05,3.087e-05,3.16e-05,9764905843.0
1685044800000,3.16e-05,3.177e-05,3.11e-05,3.11e-05,4327513693.0
1685059200000,3.11e-05,3.118e-05,3.039e-05,3.089e-05,4534831772.0
1685073600000,3.089e-05,3.136e-05,3.039e-05,3.089e-05,5695459651.0
1685088000000,3.089e-05,3.168e-05,3.072e-05,3.152e-05,8419354776.0
1685102400000,3.152e-05,3.194e-05,3.13e-05,3.136e-05,7387156275.0
1685116800000,3.136e-05,3.155e-05,3.099e-05,3.134e-05,2810137138.0
1685131200000,3.134e-05,3.145e-05,3.11e-05,3.116e-05,1394434651.0
1685145600000,3.116e-05,3.155e-05,3.098e-05,3.153e-05,1301862031.0
1685160000000,3.153e-05,3.197e-05,3.135e-05,3.17e-05,4766521704.0
1685174400000,3.17e-05,3.201e-05,3.148e-05,3.15e-05,3935383239.0
1685188800000,3.15e-05,3.189e-05,3.144e-05,3.189e-05,3548008628.0
1685203200000,3.189e-05,3.259e-05,3.184e-05,3.251e-05,5234053869.0
1685217600000,3.251e-05,3.34e-05,3.228e-05,3.31e-05,7896736000.0
1685232000000,3.31e-05,3.362e-05,3.272e-05,3.359e-05,5130038523.0
1685246400000,3.359e-05,3.417e-05,3.257e-05,3.276e-05,5890227412.0
1685260800000,3.276e-05,3.29e-05,3.235e-05,3.264e-05,3997389097.0
1685275200000,3.264e-05,3.718e-05,3.257e-05,3.417e-05,75770200405.0
1685289600000,3.416e-05,3.515e-05,3.416e-05,3.429e-05,17726323283.0
1685304000000,3.429e-05,3.502e-05,3.429e-05,3.5e-05,8320908911.0
1685318400000,3.499e-05,3.517e-05,3.343e-05,3.344e-05,7978628034.0
1685332800000,3.344e-05,3.374e-05,3.297e-05,3.374e-05,6003855513.0
1685347200000,3.374e-05,3.374e-05,3.303e-05,3.35e-05,4867972538.0
1685361600000,3.35e-05,3.418e-05,3.328e-05,3.361e-05,7161889638.0
1685376000000,3.361e-05,3.37e-05,3.315e-05,3.361e-05,4351396459.0
1685390400000,3.363e-05,3.367e-05,3.306e-05,3.332e-05,2529089969.0
1685404800000,3.332e-05,3.344e-05,3.279e-05,3.306e-05,2775488688.0
