time,open,high,low,close,volume
1708588800000,0.03409,0.03446,0.03402,0.03445,428231.67
1708603200000,0.03445,0.03484,0.03382,0.03438,3809357.53
1708617600000,0.03438,0.03466,0.034,0.03453,2559954.28
1708632000000,0.03453,0.03505,0.03445,0.03463,2342122.59
1708646400000,0.03463,0.03553,0.03463,0.03529,2466498.84
1708660800000,0.03529,0.04029,0.03485,0.03903,27441441.97
1708675200000,0.03903,0.03989,0.03725,0.03866,19343540.76
1708689600000,0.03866,0.04069,0.03756,0.0386,17143980.24
1708704000000,0.0386,0.04213,0.03799,0.04023,21881163.81
1708718400000,0.04023,0.04253,0.04007,0.04049,21435372.66
1708732800000,0.04049,0.04107,0.03917,0.04004,6662893.31
1708747200000,0.04004,0.04275,0.03965,0.04077,8333456.22
1708761600000,0.04077,0.04111,0.04005,0.0404,5938913.02
1708776000000,0.0404,0.04088,0.03958,0.0398,4465212.4
1708790400000,0.0398,0.04051,0.03974,0.04018,3428096.29
1708804800000,0.04018,0.04107,0.04004,0.04091,2520773.89
1708819200000,0.04091,0.04097,0.03862,0.03978,5324977.66
1708833600000,0.03978,0.03999,0.0392,0.03936,2020802.66
1708848000000,0.03936,0.03941,0.03893,0.03919,1436894.03
1708862400000,0.03919,0.03979,0.03893,0.03945,2398273.58
1708876800000,0.03945,0.04544,0.03928,0.04499,17058443.61
1708891200000,0.04499,0.04803,0.04445,0.04671,18730159.26
1708905600000,0.04671,0.04793,0.04559,0.04699,9718361.93
1708920000000,0.04699,0.04751,0.04494,0.04594,8822137.22
1708934400000,0.04594,0.04736,0.04527,0.04647,9132701.69
1708948800000,0.04647,0.05624,0.0463,0.0524,33603208.1
1708963200000,0.0524,0.05312,0.04921,0.05015,14683422.9
1708977600000,0.05015,0.05243,0.05003,0.05199,9460593.36
1708992000000,0.05199,0.0521,0.05089,0.05106,6917088.12
1709006400000,0.05106,0.05112,0.05025,0.05083,4428287.33
1709020800000,0.05083,0.05262,0.05059,0.05197,3912047.48
1709035200000,0.05197,0.05244,0.04918,0.0495,6093071.29
1709049600000,0.0495,0.05049,0.04654,0.04697,11888825.38
1709064000000,0.04697,0.04853,0.04696,0.04741,6438764.51
1709078400000,0.04741,0.04902,0.04721,0.04824,4794833.35
1709092800000,0.04824,0.04986,0.04796,0.0495,5794656.71
1709107200000,0.0495,0.05088,0.04911,0.04965,7457075.27
1709121600000,0.04965,0.05115,0.04856,0.05005,10587581.71
1709136000000,0.05005,0.05025,0.04568,0.04798,12443745.76
1709150400000,0.04798,0.04963,0.04756,0.04812,5509452.83
1709164800000,0.04812,0.04922,0.04656,0.04696,4900025.65
