time,open,high,low,close,volume
1642406400000,0.4209,0.4212,0.4179,0.419,49623.5
1642420800000,0.4191,0.4199,0.4164,0.4169,46984.5
1642435200000,0.4169,0.4243,0.4139,0.424,49674.7
1642449600000,0.4239,0.4267,0.4166,0.4237,49532.1
1642464000000,0.4235,0.4241,0.4161,0.4174,47882.2
1642478400000,0.4173,0.4189,0.4149,0.4165,48589.2
1642492800000,0.4165,0.4176,0.4104,0.4123,48648.6
1642507200000,0.4123,0.4137,0.4056,0.4109,48874.4
1642521600000,0.4109,0.4138,0.4093,0.4133,49520.7
1642536000000,0.413,0.4202,0.4119,0.4184,49592.4
1642550400000,0.4184,0.4188,0.4071,0.4086,49797.9
1642564800000,0.4083,0.4091,0.3996,0.3999,49309.9
1642579200000,0.3999,0.4039,0.3934,0.4039,49695.2
1642593600000,0.404,0.409,0.4021,0.4054,50050.4
1642608000000,0.4058,0.4086,0.4038,0.4077,50705.0
1642622400000,0.4075,0.4081,0.4002,0.4002,47412.1
1642636800000,0.4003,0.406,0.3949,0.403,49327.7
1642651200000,0.403,0.4218,0.4022,0.4048,47329.2
1642665600000,0.4048,0.4063,0.4024,0.406,49324.0
1642680000000,0.406,0.4162,0.4037,0.415,51244.1
1642694400000,0.4152,0.4161,0.4115,0.4129,48910.1
1642708800000,0.4131,0.4145,0.3893,0.3959,48355.5
1642723200000,0.396,0.3985,0.3734,0.3748,50366.3
1642737600000,0.375,0.3794,0.3727,0.3774,48006.4
1642752000000,0.3773,0.3796,0.3734,0.3748,48067.4
1642766400000,0.3749,0.3755,0.3553,0.3685,50723.5
1642780800000,0.3685,0.3698,0.3598,0.36,48220.4
1642795200000,0.3608,0.3623,0.3275,0.3395,50130.7
1642809600000,0.3394,0.3535,0.3269,0.3279,50597.9
1642824000000,0.328,0.3292,0.3077,0.3082,49953.9
1642838400000,0.3076,0.3124,0.2744,0.2951,47973.4
1642852800000,0.2958,0.3128,0.2888,0.2896,50098.3
1642867200000,0.2896,0.3085,0.2868,0.2966,48082.1
1642881600000,0.2962,0.3206,0.2955,0.3172,49263.7
1642896000000,0.3179,0.3253,0.3087,0.3139,50775.4
1642910400000,0.3139,0.3243,0.3132,0.3229,46369.3
1642924800000,0.3228,0.3285,0.3204,0.3229,51131.1
1642939200000,0.3227,0.3249,0.3124,0.3139,48686.4
1642953600000,0.3137,0.3163,0.3001,0.3014,49492.9
1642968000000,0.3015,0.3269,0.3005,0.3269,49221.7
1642982400000,0.3268,0.352,0.3158,0.3234,56109.6
1642996800000,0.3236,0.3268,0.3067,0.307,53995.2
1643011200000,0.3065,0.3083,0.2749,0.2815,50098.6
1643025600000,0.2809,0.287,0.2726,0.2868,49805.6
1643040000000,0.2868,0.2978,0.2814,0.2962,48579.6
1643054400000,0.2957,0.3129,0.2957,0.3129,55193.8
1643068800000,0.3132,0.3339,0.2947,0.2966,52416.8
1643083200000,0.2966,0.298,0.286,0.2897,49052.8
1643097600000,0.2897,0.2986,0.2895,0.296,49176.7
1643112000000,0.296,0.3014,0.2925,0.2961,47950.6
1643126400000,0.2965,0.3107,0.2951,0.3076,48092.3
