time,open,high,low,close,volume
1778227200000,187.33,188.25,186.5,186.74,238.87
1778241600000,186.74,198.16,185.7,189.03,2130.39
1778256000000,189.03,190.35,185.13,186.87,1705.13
1778270400000,186.87,187.85,186.66,187.25,263.59
1778284800000,187.25,187.25,187.25,187.25,0.07
1778299200000,187.25,187.25,187.25,187.25,0.0
1778313600000,187.25,187.25,187.25,187.25,0.0
1778328000000,187.25,187.25,187.25,187.25,0.0
1778342400000,187.25,187.25,187.25,187.25,0.0
1778356800000,187.25,187.25,187.25,187.25,0.0
1778371200000,187.25,187.25,187.25,187.25,0.0
1778385600000,187.25,187.25,187.25,187.25,0.0
1778400000000,187.25,187.25,187.25,187.25,0.0
1778414400000,187.25,187.25,187.25,187.25,0.0
1778428800000,187.25,187.25,187.25,187.25,0.0
1778443200000,187.25,187.25,187.25,187.25,0.0
1778457600000,187.25,191.88,187.25,188.94,621.86
1778472000000,188.94,189.71,186.98,186.98,299.13
1778486400000,186.98,194.81,186.98,193.98,848.61
1778500800000,193.98,207.28,192.12,207.24,2928.22
1778515200000,207.24,208.85,204.24,207.36,950.21
1778529600000,207.36,212.71,207.16,212.4,531.91
1778544000000,212.4,217.52,198.51,210.8,2029.66
1778558400000,210.8,211.07,204.04,206.91,755.74
1778572800000,206.91,213.3,204.8,205.05,790.42
1778587200000,205.05,205.99,189.72,189.9,2417.98
1778601600000,189.9,199.76,188.46,198.27,1105.33
1778616000000,198.27,200.68,195.88,196.0,450.31
1778630400000,196.0,201.68,195.46,200.92,428.31
1778644800000,200.92,205.56,200.81,205.29,659.32
1778659200000,205.29,208.93,205.17,208.3,690.93
1778673600000,208.3,210.64,196.43,202.01,2328.08
1778688000000,202.01,211.52,201.95,206.53,1041.89
1778702400000,206.53,208.69,206.53,207.89,244.0
1778716800000,207.89,208.82,202.6,203.11,615.35
1778731200000,203.11,207.81,202.93,205.55,466.96
1778745600000,205.55,206.9,201.49,204.24,586.59
1778760000000,204.24,208.37,201.26,207.22,1426.18
1778774400000,207.22,210.29,205.47,208.37,735.23
1778788800000,208.37,208.37,206.8,207.05,213.72
1778803200000,207.05,207.53,201.45,203.62,785.37
1778817600000,203.62,203.63,196.48,200.47,1007.05
1778832000000,200.47,201.51,198.28,199.26,574.38
1778846400000,199.26,200.26,194.4,195.91,1436.84
1778860800000,195.91,196.6,191.9,191.9,714.14
1778875200000,191.9,192.33,189.6,189.97,305.7
1778889600000,189.97,189.97,189.97,189.97,0.0
1778904000000,189.97,189.97,189.97,189.97,0.0
1778918400000,189.97,189.97,189.97,189.97,0.0
1778932800000,189.97,189.97,189.97,189.97,0.0
1778947200000,189.97,189.97,189.97,189.97,0.0
1778961600000,189.97,189.97,189.97,189.97,0.0
1778976000000,189.97,189.97,189.97,189.97,0.0
1778990400000,189.97,189.97,189.97,189.97,0.0
1779004800000,189.97,189.97,189.97,189.97,0.0
1779019200000,189.97,189.97,189.97,189.97,0.0
1779033600000,189.97,189.97,189.97,189.97,0.0
1779048000000,189.97,189.97,189.97,189.97,0.0
1779062400000,189.97,191.41,183.97,190.04,719.48
1779076800000,190.04,191.07,188.67,190.61,293.14
1779091200000,190.61,195.19,190.14,191.44,711.12
1779105600000,191.44,194.5,179.24,179.65,1846.91
1779120000000,179.65,181.1,174.25,178.58,1161.66
1779134400000,178.58,180.4,177.76,179.54,281.99
1779148800000,179.54,179.9,174.91,176.41,492.09
1779163200000,176.41,179.34,175.76,179.1,339.82
1779177600000,179.1,182.01,175.07,175.35,600.31
1779192000000,175.35,180.24,169.85,173.65,1666.81
1779206400000,173.65,178.86,172.8,175.84,867.89
1779220800000,175.84,176.7,175.48,176.61,216.41
1779235200000,176.61,176.61,174.33,175.63,382.47
1779249600000,175.63,178.04,175.63,177.19,360.13
1779264000000,177.19,181.0,177.18,179.83,462.0
1779278400000,179.83,183.57,178.92,183.2,2009.86
1779292800000,183.2,183.97,178.36,180.75,813.38
1779307200000,180.75,183.41,179.5,181.09,629.3
1779321600000,181.09,184.19,180.68,183.75,330.86
1779336000000,183.75,184.58,181.08,182.36,385.72
1779350400000,182.36,184.52,181.69,182.28,431.78
1779364800000,182.28,189.55,179.7,187.8,1859.4
1779379200000,187.8,193.71,186.71,191.91,1089.84
1779393600000,191.91,193.93,191.91,193.9,223.51
1779408000000,193.9,194.46,192.48,193.46,288.3
1779422400000,193.46,195.2,193.46,194.55,466.68
1779436800000,194.55,195.53,190.06,192.7,681.69
1779451200000,192.7,195.09,189.58,193.69,1591.08
1779465600000,193.69,194.89,191.84,193.9,801.95
1779480000000,193.9,193.9,192.5,192.76,185.47
1779494400000,192.76,192.76,192.76,192.76,0.06
1779508800000,192.76,192.76,192.76,192.76,0.0
1779523200000,192.76,192.76,192.76,192.76,0.0
1779537600000,192.76,192.76,192.76,192.76,0.0
1779552000000,192.76,192.76,192.76,192.76,0.0
1779566400000,192.76,192.76,192.76,192.76,0.0
1779580800000,192.76,192.76,192.76,192.76,0.0
1779595200000,192.76,192.76,192.76,192.76,0.0
1779609600000,192.76,192.76,192.76,192.76,0.0
1779624000000,192.76,192.76,192.76,192.76,0.0
1779638400000,192.76,192.76,192.76,192.76,0.0
1779652800000,192.76,192.76,192.76,192.76,0.0
1779667200000,192.76,192.76,192.76,192.76,0.0
1779681600000,192.76,192.76,192.76,192.76,0.0
1779696000000,192.76,192.76,192.76,192.76,0.0
1779710400000,192.76,192.76,192.76,192.76,0.0
1779724800000,192.76,192.76,192.76,192.76,0.0
1779739200000,192.76,192.76,192.76,192.76,0.0
1779753600000,192.76,198.35,192.76,197.68,433.85
1779768000000,197.68,197.84,196.98,197.35,193.25
1779782400000,197.35,199.75,196.58,197.69,338.43
1779796800000,197.69,199.84,191.53,197.03,2759.83
1779811200000,197.03,199.51,196.09,196.16,706.8
1779825600000,196.16,197.34,196.16,197.04,316.36
1779840000000,197.04,197.32,195.49,196.13,298.95
1779854400000,196.13,196.86,195.72,196.73,262.82
1779868800000,196.73,199.6,196.64,199.18,400.46
1779883200000,199.18,199.42,185.5,187.83,1610.72
1779897600000,187.83,192.92,187.55,190.84,601.54
1779912000000,190.84,191.42,189.94,189.96,214.29
1779926400000,189.96,190.35,185.6,186.17,378.07
1779940800000,186.17,189.18,184.8,188.66,401.84
1779955200000,188.66,189.2,187.88,188.14,372.14
1779969600000,188.14,194.6,187.6,191.99,1331.72
1779984000000,191.99,192.02,182.48,182.9,912.42
1779998400000,182.9,183.85,182.85,183.68,207.13
1780012800000,183.68,183.86,182.67,183.69,265.69
1780027200000,183.69,184.84,183.69,184.47,260.41
1780041600000,184.47,185.27,184.07,184.32,232.65
1780056000000,184.32,184.33,174.66,175.88,1187.39
1780070400000,175.88,182.22,175.87,181.32,652.08
1780084800000,181.32,181.32,180.31,180.49,188.57
1780099200000,180.49,180.49,180.48,180.49,0.04
1780113600000,180.49,180.49,180.49,180.49,0.0
1780128000000,180.49,180.49,180.49,180.49,0.0
1780142400000,180.49,180.49,180.49,180.49,0.0
1780156800000,180.49,180.49,180.49,180.49,0.0
1780171200000,180.49,180.49,180.49,180.49,0.0
1780185600000,180.49,180.49,180.49,180.49,0.0
1780200000000,180.49,180.49,180.49,180.49,0.0
1780214400000,180.49,180.49,180.49,180.49,0.0
1780228800000,180.49,180.49,180.49,180.49,0.0
1780243200000,180.49,180.49,180.49,180.49,0.0
1780257600000,180.49,180.49,180.49,180.49,0.0
1780272000000,180.49,182.26,180.1,180.31,417.0
1780286400000,180.31,181.64,180.29,181.11,196.37
1780300800000,181.11,181.15,175.42,175.64,562.42
1780315200000,175.64,177.37,172.43,174.87,1241.41
1780329600000,174.87,178.67,174.74,176.66,695.4
1780344000000,176.66,177.29,176.31,176.61,200.32
1780358400000,176.61,177.34,174.57,175.72,471.15
1780372800000,175.72,181.05,175.72,180.79,394.16
1780387200000,180.79,188.51,180.78,185.4,1551.81
1780401600000,185.4,201.5,184.0,200.14,2185.13
1780416000000,200.14,201.35,197.87,200.38,712.06
1780430400000,200.38,201.82,198.0,199.03,355.46
1780444800000,199.03,206.54,198.91,206.34,612.15
1780459200000,206.34,207.41,203.66,203.89,483.49
1780473600000,203.89,205.52,195.45,198.23,1169.99
1780488000000,198.23,208.5,195.77,199.19,2330.1
1780502400000,199.19,202.16,198.12,200.8,722.07
1780516800000,200.8,200.95,191.48,192.45,649.02
1780531200000,192.45,197.02,192.34,195.64,554.61
1780545600000,195.64,196.87,195.28,195.66,257.1
1780560000000,195.66,195.66,188.35,190.5,691.76
1780574400000,190.5,195.7,184.18,193.25,1938.7
1780588800000,193.25,199.71,192.91,197.94,622.55
1780603200000,197.94,198.19,194.2,194.39,258.05
1780617600000,194.39,194.48,189.5,193.44,538.66
1780632000000,193.44,193.85,190.75,191.75,275.56
1780646400000,191.75,192.73,190.0,191.74,482.52
1780660800000,191.74,191.8,180.29,185.37,1541.46
1780675200000,185.37,185.37,174.45,177.44,1411.75
