time,open,high,low,close,volume
1778572800000,22.35,22.68,22.33,22.6,25.7
1778587200000,22.6,23.32,22.45,22.68,614.0
1778601600000,22.68,23.03,22.39,22.44,177.9
1778616000000,22.44,22.59,22.26,22.57,135.1
1778630400000,22.57,22.73,22.4,22.64,126.9
1778644800000,22.64,22.76,22.44,22.44,175.4
1778659200000,22.44,22.72,22.43,22.53,127.9
1778673600000,22.53,22.55,22.01,22.29,180.8
1778688000000,22.29,22.49,22.12,22.13,140.8
1778702400000,22.13,22.24,22.07,22.12,100.5
1778716800000,22.12,22.35,22.07,22.25,141.2
1778731200000,22.25,22.4,21.82,21.83,1061.8
1778745600000,21.83,22.44,21.83,22.19,253.3
1778760000000,22.19,22.29,21.93,22.01,685.5
1778774400000,22.01,22.13,21.69,21.69,112.4
1778788800000,21.69,21.82,21.54,21.64,105.9
1778803200000,21.64,21.83,21.64,21.7,278.5
1778817600000,21.7,21.81,21.61,21.7,127.4
1778832000000,21.7,21.72,21.48,21.65,459.3
1778846400000,21.65,22.02,21.48,21.94,258.8
1778860800000,21.94,21.95,21.59,21.6,149.5
1778875200000,21.6,21.71,21.57,21.64,386.4
1778889600000,21.64,21.71,21.6,21.62,87.6
1778904000000,21.62,21.71,21.59,21.65,110.6
1778918400000,21.65,21.73,21.61,21.73,97.5
1778932800000,21.73,21.76,21.66,21.7,85.7
1778947200000,21.7,21.78,21.64,21.71,99.5
1778961600000,21.71,21.74,21.69,21.72,83.9
1778976000000,21.72,21.73,21.66,21.71,90.5
1778990400000,21.71,21.76,21.65,21.71,95.1
1779004800000,21.71,21.72,21.63,21.65,82.8
1779019200000,21.65,21.72,21.61,21.66,86.8
1779033600000,21.66,21.85,21.57,21.85,98.5
1779048000000,21.85,22.21,21.78,22.17,111.3
1779062400000,22.17,22.2,21.57,21.73,153.9
1779076800000,21.73,21.75,21.47,21.54,156.6
1779091200000,21.54,21.75,21.53,21.66,99.9
1779105600000,21.66,22.04,21.49,21.92,133.4
1779120000000,21.92,22.07,21.73,21.95,131.8
1779134400000,21.95,21.97,21.9,21.9,165.1
1779148800000,21.9,21.96,21.88,21.94,91.8
1779163200000,21.94,21.96,21.88,21.94,93.1
1779177600000,21.94,22.02,21.85,21.91,124.7
1779192000000,21.91,21.95,21.62,21.78,119.7
1779206400000,21.78,22.2,21.78,22.09,131.8
1779220800000,22.09,22.18,22.09,22.17,91.0
1779235200000,22.17,22.21,22.05,22.16,91.3
1779249600000,22.16,22.22,22.16,22.19,84.6
1779264000000,22.19,22.29,22.18,22.26,89.4
1779278400000,22.26,22.6,22.01,22.47,252.8
1779292800000,22.47,22.81,22.43,22.65,124.2
1779307200000,22.65,22.65,22.54,22.57,83.5
1779321600000,22.57,22.59,22.52,22.59,86.9
1779336000000,22.59,22.75,22.55,22.64,99.9
1779350400000,22.64,22.69,22.53,22.57,107.1
1779364800000,22.57,22.66,22.24,22.32,193.8
1779379200000,22.32,22.61,22.32,22.53,149.6
1779393600000,22.53,22.59,22.53,22.53,90.6
1779408000000,22.53,22.62,22.53,22.62,95.0
1779422400000,22.62,22.69,22.5,22.53,301.3
1779436800000,22.53,22.55,22.44,22.45,109.0
1779451200000,22.45,22.55,22.05,22.16,118.3
1779465600000,22.16,22.16,21.86,21.94,200.8
1779480000000,21.94,22.04,21.88,21.94,97.7
1779494400000,21.94,21.99,21.83,21.96,87.2
1779508800000,21.96,22.13,21.82,21.87,91.5
1779523200000,21.87,22.0,21.87,21.94,89.7
1779537600000,21.94,22.12,21.94,22.12,80.9
1779552000000,22.12,22.15,22.05,22.09,93.8
1779566400000,22.09,22.2,22.09,22.18,87.7
1779580800000,22.18,22.2,21.99,22.15,103.4
1779595200000,22.15,22.17,22.1,22.11,81.3
1779609600000,22.11,22.2,22.1,22.16,98.0
1779624000000,22.16,22.25,22.1,22.24,101.2
1779638400000,22.24,22.3,22.24,22.3,87.7
1779652800000,22.3,22.37,22.19,22.24,95.4
1779667200000,22.24,22.42,22.24,22.36,83.8
1779681600000,22.36,22.43,22.31,22.36,87.5
1779696000000,22.36,22.4,22.34,22.35,82.0
1779710400000,22.35,22.44,22.14,22.33,95.7
1779724800000,22.33,22.38,22.19,22.3,88.7
1779739200000,22.3,22.3,22.16,22.16,85.9
1779753600000,22.16,22.17,21.98,22.05,107.7
1779768000000,22.05,22.12,21.99,22.0,105.4
1779782400000,22.0,22.02,21.92,22.02,93.3
1779796800000,22.02,22.14,21.91,22.0,168.3
1779811200000,22.0,22.22,21.98,22.03,98.9
1779825600000,22.03,22.03,21.94,21.94,78.2
1779840000000,21.94,22.09,21.91,21.99,90.7
1779854400000,21.99,22.08,21.96,22.06,87.1
1779868800000,22.06,22.23,21.9,21.94,91.8
1779883200000,21.94,21.97,21.58,21.77,103.9
1779897600000,21.77,21.87,21.72,21.81,93.0
1779912000000,21.81,21.84,21.73,21.74,104.2
1779926400000,21.74,21.79,21.68,21.68,91.9
1779940800000,21.68,21.77,21.63,21.7,89.9
1779955200000,21.7,21.75,21.7,21.75,86.7
1779969600000,21.75,22.0,21.72,21.94,107.0
1779984000000,21.94,21.98,21.83,21.83,87.9
1779998400000,21.83,21.83,21.69,21.72,89.4
1780012800000,21.72,22.06,21.72,21.97,109.2
1780027200000,21.97,21.97,21.79,21.8,97.7
1780041600000,21.8,21.85,21.79,21.83,105.6
1780056000000,21.83,21.83,21.19,21.35,116.1
1780070400000,21.35,21.46,21.19,21.2,86.2
1780084800000,21.2,21.27,21.2,21.24,90.2
1780099200000,21.24,21.26,21.17,21.26,84.5
1780113600000,21.26,21.26,21.23,21.26,84.3
1780128000000,21.26,21.31,21.22,21.29,111.9
1780142400000,21.29,21.39,21.17,21.24,239.3
1780156800000,21.24,21.45,21.23,21.29,97.4
1780171200000,21.29,23.71,21.26,22.84,208.6
1780185600000,22.84,23.18,22.04,22.95,594.9
1780200000000,22.95,23.06,22.84,23.05,150.8
1780214400000,23.05,23.05,22.66,22.77,166.9
1780228800000,22.77,22.85,22.24,22.41,398.1
1780243200000,22.41,22.5,22.29,22.38,168.9
1780257600000,22.38,23.06,22.37,22.94,289.6
1780272000000,22.94,22.94,21.51,21.54,545.4
1780286400000,21.54,21.65,21.49,21.5,191.4
1780300800000,21.5,21.7,21.2,21.23,139.6
1780315200000,21.23,21.38,20.97,21.29,190.6
1780329600000,21.29,21.55,21.28,21.47,132.3
1780344000000,21.47,21.47,21.3,21.33,90.7
1780358400000,21.33,21.49,21.33,21.44,104.4
1780372800000,21.44,21.48,21.39,21.43,88.1
1780387200000,21.43,21.46,21.41,21.43,98.1
1780401600000,21.43,21.43,21.0,21.09,182.2
1780416000000,21.09,21.09,21.03,21.05,99.7
1780430400000,21.05,23.58,21.04,22.4,320.4
1780444800000,22.4,22.62,22.4,22.48,161.3
1780459200000,22.48,22.55,22.48,22.54,103.7
1780473600000,22.54,23.93,22.54,23.61,242.9
1780488000000,23.61,23.63,22.44,22.49,317.7
1780502400000,22.49,22.66,22.28,22.34,153.5
1780516800000,22.34,22.43,22.09,22.1,109.4
1780531200000,22.1,22.26,22.06,22.22,128.4
1780545600000,22.22,22.37,22.22,22.28,86.6
1780560000000,22.28,22.36,22.11,22.14,135.4
1780574400000,22.14,23.1,22.12,22.85,169.6
1780588800000,22.85,22.86,22.45,22.46,125.5
1780603200000,22.46,22.55,22.4,22.43,102.5
1780617600000,22.43,22.5,22.41,22.45,120.6
1780632000000,22.45,22.54,22.22,22.36,127.1
1780646400000,22.36,22.43,22.3,22.39,98.2
1780660800000,22.39,22.4,21.74,21.74,130.1
1780675200000,21.74,21.77,21.44,21.77,333.2
1780689600000,21.77,22.02,21.73,21.76,103.5
1780704000000,21.76,21.89,21.72,21.82,103.0
1780718400000,21.82,21.9,21.79,21.86,101.0
1780732800000,21.86,21.89,21.83,21.86,95.9
1780747200000,21.86,21.88,21.82,21.88,85.6
1780761600000,21.88,22.09,21.87,22.02,128.8
1780776000000,22.02,22.62,22.0,22.59,132.2
1780790400000,22.59,22.68,22.54,22.58,137.1
1780804800000,22.58,22.61,22.55,22.58,100.4
1780819200000,22.58,22.6,22.55,22.6,110.3
1780833600000,22.6,22.62,22.46,22.47,97.3
1780848000000,22.47,22.48,22.29,22.31,106.1
1780862400000,22.31,22.31,22.25,22.27,89.7
1780876800000,22.27,22.27,21.88,21.93,119.0
1780891200000,21.93,21.99,21.78,21.82,126.7
1780905600000,21.82,21.9,21.72,21.84,122.4
1780920000000,21.84,22.0,21.8,21.96,109.9
1780934400000,21.96,22.17,21.96,22.17,97.7
1780948800000,22.17,22.57,22.15,22.23,102.0
1780963200000,22.23,22.29,22.23,22.27,91.9
1780977600000,22.27,22.35,22.26,22.32,84.0
1780992000000,22.32,22.35,22.28,22.34,113.0
1781006400000,22.34,22.48,21.99,21.99,134.1
1781020800000,21.99,22.41,21.91,22.36,123.6
1781035200000,22.36,22.37,22.19,22.19,105.8
1781049600000,22.19,22.21,22.16,22.2,92.1
1781064000000,22.2,22.22,22.19,22.21,83.3
1781078400000,22.21,22.22,22.16,22.2,109.5
