time,open,high,low,close,volume
1665748800000,39.28,42.03,38.55,38.58,2740.686
1665763200000,38.56,38.56,37.55,37.71,2016.723
1665777600000,37.68,38.02,37.46,37.98,2066.863
1665792000000,37.96,38.59,37.72,38.21,2824.542
1665806400000,38.22,38.23,37.74,37.79,1699.603
1665820800000,37.8,37.8,36.76,36.89,1627.031
1665835200000,36.89,37.61,36.73,37.23,1298.145
1665849600000,37.26,37.27,36.52,36.56,1477.223
1665864000000,36.61,36.77,36.31,36.33,1714.729
1665878400000,36.35,36.94,36.34,36.86,1282.732
1665892800000,36.87,37.1,36.56,36.64,1092.956
1665907200000,36.62,37.85,36.59,37.21,1660.402
1665921600000,37.22,37.59,36.9,37.16,2038.729
1665936000000,37.12,37.65,36.72,37.51,1082.457
1665950400000,37.42,38.36,37.19,38.07,1393.809
1665964800000,38.05,39.38,38.05,38.76,2376.244
1665979200000,38.71,39.13,38.11,38.72,1321.074
1665993600000,38.74,39.06,37.96,38.33,1923.727
1666008000000,38.37,38.82,37.97,38.01,1909.569
1666022400000,38.0,38.01,37.25,37.26,990.473
1666036800000,37.25,38.79,37.24,38.42,3591.514
1666051200000,38.43,38.58,38.14,38.32,884.988
1666065600000,38.32,38.57,37.82,38.2,1231.369
1666080000000,38.18,38.24,37.55,37.63,1243.344
1666094400000,37.62,37.97,37.05,37.17,1944.539
1666108800000,37.16,37.54,36.25,36.5,847.055
1666123200000,36.47,37.22,36.47,37.13,1534.932
1666137600000,37.12,37.16,35.68,35.8,3247.419
1666152000000,35.8,35.89,35.17,35.48,1129.13
1666166400000,35.49,35.87,35.35,35.66,1161.328
1666180800000,35.67,35.97,35.14,35.71,1601.295
1666195200000,35.71,35.74,35.15,35.57,1124.627
1666209600000,35.57,35.72,34.93,34.99,2498.973
1666224000000,34.98,35.23,34.34,34.68,1127.049
1666238400000,34.67,35.31,34.61,35.17,1425.59
1666252800000,35.18,35.26,34.86,35.15,2276.662
1666267200000,35.16,35.43,34.57,34.63,1578.072
1666281600000,34.64,34.66,33.57,33.7,778.367
1666296000000,33.71,33.81,33.16,33.27,1280.207
1666310400000,33.27,33.92,32.57,33.73,4524.31
1666324800000,33.74,34.04,33.51,34.04,1067.086
1666339200000,34.08,34.84,33.51,33.67,860.992
1666353600000,33.67,34.94,33.04,34.56,1221.283
1666368000000,34.64,37.92,34.64,35.29,1295.208
1666382400000,35.3,36.59,35.11,35.35,1213.358
1666396800000,35.33,35.94,35.25,35.44,1744.614
1666411200000,35.46,35.52,34.5,34.66,3663.806
1666425600000,34.66,34.76,33.94,34.33,1548.96
1666440000000,34.34,34.73,34.27,34.59,1388.105
1666454400000,34.59,34.94,34.58,34.85,1094.01
1666468800000,34.85,34.9,34.72,34.8,661.539
1666483200000,34.81,35.36,34.54,35.22,1322.139
1666497600000,35.24,35.46,34.8,34.81,1808.89
1666512000000,34.81,35.11,34.7,34.99,1275.227
1666526400000,34.99,35.3,34.85,35.19,841.629
1666540800000,35.19,36.25,35.04,35.98,726.53
1666555200000,35.99,37.35,35.87,37.18,2003.345
1666569600000,37.18,37.27,36.1,36.16,2689.306
1666584000000,36.16,36.68,35.95,36.36,1431.798
1666598400000,36.36,36.92,36.32,36.88,3617.0
1666612800000,36.89,37.01,35.66,35.86,2508.635
1666627200000,35.87,36.25,35.55,36.09,632.719
1666641600000,36.11,36.28,35.84,35.87,3542.293
1666656000000,35.87,36.3,35.79,36.13,2315.509
1666670400000,36.16,36.8,35.96,36.5,1089.57
1666684800000,36.5,36.5,35.47,35.54,1249.684
1666699200000,35.5,37.11,35.47,36.94,1623.838
1666713600000,36.93,38.73,36.92,38.11,3771.39
1666728000000,38.09,38.25,37.3,37.58,3704.777
1666742400000,37.57,38.34,37.44,38.27,3599.444
1666756800000,38.28,39.55,38.19,39.43,4857.067
1666771200000,39.43,40.44,39.16,39.61,3545.22
1666785600000,39.61,44.61,39.54,41.48,3479.276
1666800000000,41.36,41.96,40.77,41.26,3433.748
1666814400000,41.21,42.3,40.79,42.29,3368.54
1666828800000,42.25,43.35,41.45,42.59,3435.991
1666843200000,42.5,43.44,41.65,41.86,3349.431
1666857600000,41.94,41.97,40.3,40.59,3453.177
1666872000000,40.62,41.44,39.4,39.64,3432.938
1666886400000,39.75,40.23,39.61,39.71,3448.372
1666900800000,39.74,39.76,39.0,39.1,3531.885
1666915200000,39.1,39.38,38.65,38.95,3497.841
1666929600000,38.95,39.02,37.88,37.96,3532.406
1666944000000,37.95,39.37,37.95,38.98,3584.055
1666958400000,38.97,40.58,38.93,40.53,3412.097
1666972800000,40.56,42.43,40.54,41.98,3316.889
1666987200000,42.0,43.3,42.0,42.34,3509.381
1667001600000,42.34,43.7,42.15,43.39,3250.091
1667016000000,43.43,43.52,42.62,43.09,3205.177
1667030400000,43.08,45.33,43.05,43.16,3199.791
1667044800000,43.17,45.7,42.9,45.64,3230.896
1667059200000,45.44,45.44,43.43,43.63,3231.928
