time,open,high,low,close,volume
1766736000000,313.94,314.62,313.61,314.54,311.76
1766750400000,314.54,314.87,312.35,313.54,730.57
1766764800000,313.54,314.03,312.98,313.83,409.93
1766779200000,313.83,313.83,313.25,313.36,981.98
1766793600000,313.36,313.41,313.09,313.25,74.78
1766808000000,313.25,313.25,313.25,313.25,0.0
1766822400000,313.25,313.25,313.25,313.25,0.0
1766836800000,313.25,313.25,313.25,313.25,0.0
1766851200000,313.25,313.25,313.25,313.25,0.0
1766865600000,313.25,313.25,313.25,313.25,0.0
1766880000000,313.25,313.25,313.25,313.25,0.0
1766894400000,313.25,313.25,313.25,313.25,0.0
1766908800000,313.25,313.25,313.25,313.25,0.0
1766923200000,313.25,313.25,313.25,313.25,0.0
1766937600000,313.25,313.25,313.25,313.25,0.0
1766952000000,313.25,313.25,313.25,313.25,0.0
1766966400000,313.25,313.8,313.1,313.41,251.18
1766980800000,313.41,313.58,312.22,312.49,336.72
1766995200000,312.49,312.52,311.72,311.83,430.64
1767009600000,311.83,313.36,309.99,312.64,2720.35
1767024000000,312.64,313.79,311.46,313.7,954.54
1767038400000,313.7,313.97,313.1,313.1,339.84
1767052800000,313.1,313.79,312.56,313.78,397.21
1767067200000,313.78,314.06,313.26,313.42,283.32
1767081600000,313.42,313.89,313.2,313.75,618.88
1767096000000,313.75,316.87,312.41,314.21,1473.09
1767110400000,314.21,315.05,313.5,313.92,574.77
1767124800000,313.92,314.59,313.75,313.87,347.88
1767139200000,313.87,313.97,312.94,313.11,315.33
1767153600000,313.11,313.31,312.57,312.75,313.32
1767168000000,312.75,313.0,312.11,312.9,364.78
1767182400000,312.9,314.43,311.63,313.33,830.39
1767196800000,313.33,314.5,313.09,313.51,482.99
1767211200000,313.51,313.59,312.51,312.88,407.48
1767225600000,312.88,312.95,312.75,312.88,65.96
1767240000000,312.88,312.88,312.88,312.88,0.0
1767254400000,312.88,312.88,312.88,312.88,0.0
1767268800000,312.88,312.88,312.88,312.88,0.0
1767283200000,312.88,312.88,312.88,312.88,0.0
1767297600000,312.88,312.88,312.88,312.88,0.0
1767312000000,312.88,315.61,312.88,315.61,346.19
1767326400000,315.61,315.82,315.25,315.8,482.17
1767340800000,315.8,317.61,315.8,316.71,477.02
1767355200000,316.71,322.36,312.86,312.97,3385.46
1767369600000,312.97,315.65,310.44,314.58,1682.52
1767384000000,314.58,315.35,314.4,315.1,439.53
1767398400000,315.1,315.13,314.93,314.98,66.95
1767412800000,314.98,314.98,314.98,314.98,0.0
1767427200000,314.98,314.98,314.98,314.98,0.0
1767441600000,314.98,314.98,314.98,314.98,0.0
1767456000000,314.98,314.98,314.98,314.98,0.0
1767470400000,314.98,314.98,314.98,314.98,0.0
1767484800000,314.98,314.98,314.98,314.98,0.0
1767499200000,314.98,314.98,314.98,314.98,0.0
1767513600000,314.98,314.98,314.98,314.98,0.0
1767528000000,314.98,314.98,314.98,314.98,0.0
1767542400000,314.98,314.98,314.98,314.98,0.0
1767556800000,314.98,314.98,314.98,314.98,0.0
1767571200000,314.98,315.84,314.98,315.37,407.56
1767585600000,315.37,316.41,315.3,315.73,365.21
1767600000000,315.73,316.18,315.49,316.09,404.12
1767614400000,316.09,318.82,315.45,316.78,2407.05
1767628800000,316.78,317.36,314.68,315.9,1003.5
1767643200000,315.9,317.13,315.55,316.69,500.36
1767657600000,316.69,317.44,316.49,317.39,327.13
1767672000000,317.39,317.54,317.05,317.22,362.28
1767686400000,317.22,317.38,315.62,317.28,427.33
1767700800000,317.28,320.79,313.61,314.09,1727.44
1767715200000,314.09,314.76,311.89,313.41,1058.34
1767729600000,313.41,314.79,313.01,314.34,499.4
1767744000000,314.34,314.45,313.67,314.19,336.24
1767758400000,314.19,314.23,313.67,313.86,296.41
1767772800000,313.86,313.87,312.85,313.4,414.19
1767787200000,313.4,322.23,312.98,320.11,2108.66
1767801600000,320.11,326.08,318.84,322.18,1278.07
1767816000000,322.18,323.05,320.83,322.37,693.32
1767830400000,322.37,322.88,321.74,321.99,382.03
1767844800000,321.99,323.16,320.16,322.46,748.72
1767859200000,322.46,325.5,322.39,324.88,1011.85
1767873600000,324.88,330.05,321.79,327.72,2883.87
1767888000000,327.72,328.45,324.27,324.75,1916.14
1767902400000,324.75,326.08,324.3,325.76,493.26
1767916800000,325.76,325.99,324.63,325.3,470.52
1767931200000,325.3,326.95,324.93,326.56,426.04
1767945600000,326.56,329.2,325.91,328.39,895.98
1767960000000,328.39,330.46,326.1,328.72,2542.34
1767974400000,328.72,330.74,328.42,329.42,1174.07
1767988800000,329.42,330.09,328.56,329.04,544.11
1768003200000,329.04,329.41,329.0,329.27,74.35
1768017600000,329.27,329.27,329.27,329.27,0.0
1768032000000,329.27,329.27,329.27,329.27,0.0
1768046400000,329.27,329.27,329.27,329.27,0.0
1768060800000,329.27,329.27,329.27,329.27,0.0
1768075200000,329.27,329.27,329.27,329.27,0.0
1768089600000,329.27,329.27,329.27,329.27,0.0
1768104000000,329.27,329.27,329.27,329.27,0.0
1768118400000,329.27,329.27,329.27,329.27,0.0
1768132800000,329.27,329.27,329.27,329.27,0.0
1768147200000,329.27,329.27,329.27,329.27,0.0
1768161600000,329.27,329.27,329.27,329.27,0.0
1768176000000,329.27,330.05,326.07,326.87,950.67
1768190400000,326.87,327.1,325.5,326.14,768.86
1768204800000,326.14,326.2,324.56,325.88,548.41
1768219200000,325.88,333.91,325.29,328.02,2765.28
1768233600000,328.02,331.36,327.69,331.34,930.15
1768248000000,331.34,332.82,330.48,332.15,506.34
1768262400000,332.15,332.8,331.19,332.63,467.59
1768276800000,332.63,334.72,332.55,333.76,514.03
1768291200000,333.76,334.58,333.19,334.23,630.1
1768305600000,334.23,340.39,333.94,336.74,3479.9
1768320000000,336.74,339.94,336.07,336.29,2423.48
1768334400000,336.29,337.17,334.66,337.07,671.74
1768348800000,337.07,337.99,337.02,337.91,426.86
1768363200000,337.91,338.17,335.95,336.48,1105.73
1768377600000,336.48,337.9,334.51,334.8,740.07
1768392000000,334.8,335.23,330.58,331.83,2089.66
1768406400000,331.83,335.65,331.55,335.03,1536.47
1768420800000,335.03,336.44,334.81,335.39,654.03
1768435200000,335.39,336.64,334.94,336.23,555.33
1768449600000,336.23,338.26,336.2,336.84,802.1
1768464000000,336.84,338.12,336.8,337.94,1388.02
1768478400000,337.94,338.26,330.85,332.09,2093.26
1768492800000,332.09,333.59,331.33,332.44,925.7
1768507200000,332.44,332.96,331.59,332.83,639.6
1768521600000,332.83,334.04,332.76,334.0,481.76
1768536000000,334.0,334.72,333.91,334.39,662.25
1768550400000,334.39,336.03,333.35,334.57,590.16
1768564800000,334.57,335.5,329.02,329.62,1912.7
1768579200000,329.62,330.62,327.79,329.69,997.88
1768593600000,329.69,330.15,329.16,329.82,377.1
1768608000000,329.82,330.0,329.56,329.57,85.54
