time,open,high,low,close,volume
1644105600000,0.44817,0.45939,0.44772,0.44922,498429.7
1644120000000,0.44924,0.45243,0.44214,0.4517,566932.4
1644134400000,0.45142,0.45824,0.44971,0.45252,495883.916
1644148800000,0.45227,0.45922,0.43823,0.44776,1161854.05
1644163200000,0.44807,0.45659,0.44644,0.45476,617683.18
1644177600000,0.45478,0.4736,0.45334,0.4729,1036456.03
1644192000000,0.47284,0.48096,0.46083,0.47852,1032740.04
1644206400000,0.47869,0.48992,0.47593,0.48558,674296.37
1644220800000,0.48561,0.48767,0.4732,0.48538,586005.68
1644235200000,0.48541,0.49992,0.48045,0.49807,758148.075
1644249600000,0.49806,0.50991,0.48987,0.50079,912890.11
1644264000000,0.50071,0.50966,0.49778,0.50529,858671.66
1644278400000,0.50644,0.52258,0.50014,0.50267,1304399.68
1644292800000,0.50241,0.51413,0.49125,0.4955,1872746.07
1644307200000,0.49549,0.49689,0.46733,0.47525,1614041.39
1644321600000,0.4749,0.47511,0.45691,0.46406,1335602.45
1644336000000,0.46381,0.46592,0.45498,0.4587,1360869.06
1644350400000,0.45874,0.47574,0.45764,0.474,1135129.11
1644364800000,0.47414,0.47635,0.46165,0.46564,768404.86
1644379200000,0.46577,0.47022,0.45814,0.46893,642798.44
1644393600000,0.46881,0.47417,0.4629,0.4729,635941.04
1644408000000,0.47277,0.4862,0.47167,0.48246,923836.0
1644422400000,0.48246,0.492,0.47934,0.48955,647982.44
1644436800000,0.48938,0.49495,0.48545,0.48768,534423.696
1644451200000,0.48746,0.4904,0.4749,0.47849,962692.75
1644465600000,0.47849,0.47897,0.47446,0.47869,691307.73
1644480000000,0.47867,0.48859,0.47787,0.48358,651194.28
1644494400000,0.48357,0.48524,0.4482,0.47131,1730654.71
1644508800000,0.4712,0.48602,0.46208,0.4626,1320998.57
1644523200000,0.46242,0.46798,0.45524,0.46108,934801.34
1644537600000,0.46112,0.46112,0.44545,0.45375,977615.53
1644552000000,0.45377,0.46229,0.45025,0.46131,723884.16
1644566400000,0.46134,0.46503,0.4556,0.45954,919872.21
1644580800000,0.45948,0.46708,0.45692,0.4626,1009015.7
1644595200000,0.46276,0.46334,0.43197,0.43306,1169282.93
1644609600000,0.43271,0.4342,0.41152,0.41808,826410.0
1644624000000,0.41802,0.42289,0.41445,0.41975,512899.35
1644638400000,0.4197,0.42328,0.40431,0.41344,817211.46
1644652800000,0.41346,0.42262,0.4112,0.42002,789081.91
1644667200000,0.42014,0.42063,0.40881,0.41506,657481.55
1644681600000,0.41506,0.4294,0.41332,0.4221,773079.614
1644696000000,0.42235,0.42442,0.41158,0.41864,789341.75
1644710400000,0.41863,0.42412,0.41357,0.41572,497712.53
1644724800000,0.41576,0.41705,0.41155,0.4169,498077.535
1644739200000,0.41688,0.42021,0.41475,0.41813,494465.711
1644753600000,0.41789,0.42354,0.41512,0.41954,551221.53
1644768000000,0.41953,0.42092,0.39726,0.39954,671193.79
1644782400000,0.39963,0.4133,0.39879,0.40599,783698.87
1644796800000,0.40592,0.40774,0.38634,0.39353,482860.95
1644811200000,0.39334,0.39725,0.3887,0.39696,484490.434
1644825600000,0.39689,0.39873,0.39036,0.3931,508679.87
1644840000000,0.39331,0.40608,0.38888,0.40122,486294.199
1644854400000,0.40133,0.40746,0.39168,0.39367,591261.714
1644868800000,0.39356,0.40708,0.39168,0.40392,520707.054
1644883200000,0.40409,0.44479,0.40407,0.44083,1146413.51
1644897600000,0.44079,0.45224,0.4382,0.4508,814135.43
1644912000000,0.45066,0.47557,0.44937,0.46449,1438804.1
1644926400000,0.46418,0.48365,0.46382,0.47439,1647770.25
1644940800000,0.47452,0.47965,0.46904,0.47399,1155068.09
1644955200000,0.47373,0.50829,0.47182,0.49283,1719268.0
1644969600000,0.4929,0.49551,0.47612,0.48058,1751495.555
1644984000000,0.48035,0.49466,0.47768,0.49201,1264019.28
1644998400000,0.4921,0.49662,0.48273,0.48608,891310.64
1645012800000,0.48612,0.48676,0.47229,0.4798,1289258.41
1645027200000,0.47988,0.51197,0.47555,0.50689,1608181.65
1645041600000,0.50701,0.50746,0.48592,0.48724,1265321.09
1645056000000,0.4872,0.48862,0.47502,0.47505,497254.94
1645070400000,0.47502,0.47951,0.46801,0.47774,645897.434
1645084800000,0.47778,0.47881,0.46371,0.46569,674588.54
1645099200000,0.46576,0.46811,0.44989,0.45171,791506.665
1645113600000,0.4518,0.46858,0.44232,0.45094,2014357.44
1645128000000,0.45107,0.45127,0.43092,0.43699,580630.07
1645142400000,0.43678,0.44388,0.43072,0.43713,637205.78
1645156800000,0.43723,0.4497,0.43694,0.44601,738375.53
1645171200000,0.44585,0.44923,0.42836,0.42942,647752.41
1645185600000,0.42941,0.43556,0.41358,0.41635,1016721.42
1645200000000,0.41637,0.42215,0.41046,0.41819,621242.915
1645214400000,0.41838,0.41911,0.40894,0.41245,493356.39
1645228800000,0.41251,0.41736,0.4093,0.41038,556707.89
1645243200000,0.41031,0.41964,0.41031,0.41901,488848.886
1645257600000,0.4192,0.42072,0.4,0.40222,611712.57
1645272000000,0.40231,0.41754,0.3986,0.41685,501373.42
1645286400000,0.41698,0.42534,0.41214,0.41336,576145.49
1645300800000,0.41332,0.42337,0.40982,0.41731,494630.54
1645315200000,0.41725,0.41744,0.40147,0.40408,499996.83
1645329600000,0.40397,0.40553,0.38739,0.39822,892299.19
1645344000000,0.39816,0.39886,0.38437,0.39085,693760.91
1645358400000,0.39096,0.39533,0.37628,0.38498,520793.516
1645372800000,0.38497,0.38819,0.38158,0.38568,576588.394
1645387200000,0.38587,0.39907,0.38331,0.39156,846669.585
1645401600000,0.39156,0.42182,0.38955,0.40637,1054067.41
1645416000000,0.40622,0.42388,0.40622,0.41471,856662.54
1645430400000,0.41459,0.41724,0.39192,0.39612,869230.29
1645444800000,0.39619,0.4071,0.38043,0.39873,1333920.78
1645459200000,0.39882,0.4008,0.37587,0.38224,1140375.49
1645473600000,0.38221,0.38584,0.35477,0.35681,938757.66
1645488000000,0.35727,0.36507,0.34807,0.35339,835807.89
1645502400000,0.3536,0.36736,0.35155,0.36398,849783.945
1645516800000,0.36399,0.37663,0.3622,0.37197,733968.19
1645531200000,0.372,0.38482,0.36738,0.37876,840847.91
1645545600000,0.37856,0.38196,0.3622,0.37018,925228.77
1645560000000,0.37036,0.38505,0.36589,0.38238,907002.01
1645574400000,0.38252,0.3893,0.37327,0.37808,905446.77
1645588800000,0.37806,0.3834,0.37722,0.3826,781834.98
1645603200000,0.38251,0.39194,0.38109,0.38816,968698.09
1645617600000,0.38817,0.39366,0.3746,0.37777,1007545.23
1645632000000,0.37783,0.38776,0.36264,0.36305,982714.09
1645646400000,0.36297,0.36553,0.35272,0.35346,924864.34
1645660800000,0.35342,0.35783,0.32292,0.32468,1665753.37
1645675200000,0.32459,0.32714,0.30276,0.31844,2027139.18
1645689600000,0.31905,0.32349,0.30969,0.31855,894780.47
1645704000000,0.31849,0.3366,0.31488,0.33561,1012275.88
1645718400000,0.33575,0.34936,0.32575,0.34871,1386708.88
1645732800000,0.34866,0.36237,0.34394,0.36144,1275963.1
1645747200000,0.3614,0.36961,0.35087,0.36279,875518.31
1645761600000,0.36283,0.36747,0.35106,0.35417,916710.39
1645776000000,0.35415,0.35432,0.34003,0.34688,842057.49
1645790400000,0.34732,0.36154,0.34718,0.35634,1546747.56
1645804800000,0.35622,0.36331,0.34667,0.35033,1194861.76
1645819200000,0.34996,0.36671,0.34761,0.36053,910043.005
1645833600000,0.36056,0.37247,0.35715,0.36021,1065959.91
1645848000000,0.36019,0.3638,0.35102,0.35779,779822.88
1645862400000,0.35803,0.36219,0.34729,0.3502,984316.94
1645876800000,0.35004,0.35461,0.3429,0.35147,1112369.25
1645891200000,0.35149,0.35258,0.34419,0.35147,841210.4
1645905600000,0.35149,0.35675,0.34336,0.34713,827464.45
1645920000000,0.34777,0.34806,0.32943,0.33403,877637.68
1645934400000,0.33343,0.34346,0.33115,0.34159,551996.18
1645948800000,0.34122,0.35193,0.33684,0.35124,737953.54
1645963200000,0.35165,0.35576,0.33862,0.35487,1040442.936
1645977600000,0.35411,0.3669,0.33471,0.33744,2023156.27
1645992000000,0.3375,0.34286,0.32837,0.3365,1112579.11
1646006400000,0.33636,0.34085,0.32953,0.3351,630476.84
1646020800000,0.33521,0.34153,0.32682,0.34092,811100.18
1646035200000,0.34097,0.3452,0.33787,0.34027,583317.74
1646049600000,0.34025,0.36577,0.33459,0.36381,1432744.38
1646064000000,0.36382,0.36768,0.35927,0.36477,1143143.64
1646078400000,0.36454,0.37766,0.36288,0.37711,1037939.945
1646092800000,0.37709,0.3824,0.36946,0.37474,809846.7
1646107200000,0.37448,0.37945,0.3689,0.37647,664070.38
1646121600000,0.37642,0.37806,0.36496,0.37693,973844.04
1646136000000,0.37697,0.38906,0.36946,0.37284,2541566.41
1646150400000,0.37263,0.37695,0.36828,0.3728,541980.07
1646164800000,0.3729,0.37768,0.36952,0.37542,483430.335
1646179200000,0.37538,0.37973,0.36342,0.37899,939321.475
1646193600000,0.37915,0.38058,0.36912,0.37348,791101.23
1646208000000,0.3735,0.38728,0.36985,0.38563,768570.985
1646222400000,0.38563,0.39397,0.36618,0.37636,2018360.94
1646236800000,0.37644,0.38177,0.36881,0.37434,660643.5
1646251200000,0.37428,0.38084,0.37262,0.37402,472971.67
1646265600000,0.37413,0.37709,0.3589,0.36363,724705.28
1646280000000,0.36357,0.37043,0.35956,0.36996,549828.329
1646294400000,0.36994,0.37288,0.36412,0.37104,697049.29
1646308800000,0.37085,0.3774,0.35548,0.36037,783502.92
1646323200000,0.36086,0.36314,0.35496,0.357,805132.22
1646337600000,0.35662,0.36931,0.354,0.36462,570911.686
1646352000000,0.3647,0.36576,0.34552,0.34813,832523.06
1646366400000,0.34791,0.35357,0.34554,0.35126,515450.236
1646380800000,0.35125,0.36228,0.34649,0.36007,597922.986
1646395200000,0.36069,0.36346,0.34998,0.35026,717301.64
1646409600000,0.35028,0.35492,0.33996,0.34077,576684.86
1646424000000,0.34118,0.34238,0.33391,0.33971,597293.296
1646438400000,0.33968,0.33994,0.32822,0.33638,674829.241
1646452800000,0.33644,0.34126,0.33155,0.34097,676592.22
1646467200000,0.34094,0.34279,0.33675,0.34138,506746.574
1646481600000,0.34139,0.34381,0.33657,0.34161,612067.42
1646496000000,0.34161,0.34731,0.34091,0.3456,635420.17
1646510400000,0.34557,0.34729,0.34312,0.34682,669409.915
1646524800000,0.34695,0.35176,0.34242,0.34328,597985.08
1646539200000,0.34317,0.34945,0.34107,0.34675,780862.86
1646553600000,0.34687,0.34701,0.33518,0.33862,1006927.7
1646568000000,0.33872,0.34335,0.33635,0.33864,576195.16
1646582400000,0.33866,0.34309,0.33552,0.33592,518301.225
1646596800000,0.33613,0.34017,0.32817,0.32919,582479.27
1646611200000,0.32914,0.32957,0.31432,0.31688,655187.19
1646625600000,0.31676,0.3223,0.31545,0.31664,467842.065
1646640000000,0.31663,0.33275,0.31568,0.33161,1068963.93
1646654400000,0.33148,0.34429,0.33116,0.34117,835838.7
1646668800000,0.34112,0.34386,0.32202,0.32248,1040646.28
1646683200000,0.32265,0.33412,0.3192,0.32948,651417.14
1646697600000,0.32928,0.34295,0.32867,0.34237,828369.42
1646712000000,0.34241,0.3583,0.33956,0.35407,1125348.92
1646726400000,0.35447,0.36057,0.35131,0.35281,1096131.67
1646740800000,0.353,0.35565,0.34121,0.3438,1315235.66
1646755200000,0.34365,0.34702,0.33762,0.3419,1043835.17
1646769600000,0.34177,0.34255,0.33357,0.33541,708675.836
1646784000000,0.33543,0.35969,0.33501,0.35678,1058892.45
1646798400000,0.35719,0.36476,0.35536,0.35864,839953.09
1646812800000,0.35913,0.36137,0.35335,0.35418,553151.004
1646827200000,0.35404,0.35693,0.34777,0.35222,505830.054
1646841600000,0.35217,0.35266,0.33921,0.34479,502926.63
1646856000000,0.34476,0.34826,0.33975,0.34632,487821.1
1646870400000,0.34631,0.3473,0.33348,0.33385,568072.685
1646884800000,0.33385,0.33489,0.32095,0.32575,1019014.59
1646899200000,0.32571,0.32619,0.32209,0.32408,591583.45
1646913600000,0.32399,0.33065,0.3172,0.3245,970679.99
1646928000000,0.32444,0.32647,0.31807,0.32158,933043.51
1646942400000,0.32136,0.33164,0.3203,0.32579,685838.79
1646956800000,0.32558,0.33077,0.3158,0.33022,754794.89
1646971200000,0.3303,0.33774,0.32446,0.33583,1104116.62
1646985600000,0.33559,0.33944,0.32882,0.33626,864926.72
1647000000000,0.33607,0.33763,0.32339,0.32427,635703.43
1647014400000,0.32447,0.32488,0.31956,0.32205,488210.845
1647028800000,0.32188,0.32399,0.31858,0.31905,476860.686
1647043200000,0.31904,0.32815,0.31863,0.32246,518752.04
1647057600000,0.32254,0.32562,0.32062,0.32562,591893.14
1647072000000,0.32565,0.32796,0.32356,0.32529,602727.49
1647086400000,0.32521,0.32599,0.32053,0.3231,574066.86
1647100800000,0.3231,0.32503,0.32095,0.32176,493920.03
1647115200000,0.32173,0.32292,0.31803,0.31868,481259.156
1647129600000,0.31867,0.33918,0.31648,0.33775,1278767.67
1647144000000,0.33763,0.34714,0.3372,0.33942,1429707.31
1647158400000,0.33941,0.34713,0.33392,0.34543,1165215.55
1647172800000,0.34536,0.35957,0.34133,0.35463,1498888.04
1647187200000,0.35476,0.35527,0.3427,0.34314,568400.346
1647201600000,0.34336,0.3489,0.33261,0.33398,912088.196
1647216000000,0.33409,0.33409,0.32643,0.33116,654782.09
1647230400000,0.3312,0.34472,0.33083,0.34407,572834.248
1647244800000,0.34424,0.37636,0.34356,0.36944,1475571.2
1647259200000,0.36958,0.37006,0.35679,0.35833,974584.68
1647273600000,0.35835,0.36541,0.35071,0.35137,1202944.52
1647288000000,0.35157,0.36735,0.34786,0.36574,1108396.72
1647302400000,0.36557,0.3812,0.36373,0.36397,1796354.29
1647316800000,0.36386,0.36705,0.35213,0.36494,891657.05
1647331200000,0.36495,0.38697,0.35657,0.38394,1502504.66
1647345600000,0.3833,0.4044,0.38106,0.40214,3112725.88
1647360000000,0.40224,0.43395,0.39928,0.42462,2956567.72
1647374400000,0.4245,0.4344,0.41467,0.42512,1836193.68
1647388800000,0.42597,0.45826,0.41452,0.44359,3392550.42
1647403200000,0.44355,0.44355,0.41592,0.41624,1627715.5
1647417600000,0.4164,0.43415,0.41436,0.42142,1999021.03
1647432000000,0.42136,0.44672,0.41249,0.44035,1792572.15
1647446400000,0.4404,0.45202,0.42712,0.43894,2327958.41
1647460800000,0.43891,0.45469,0.43383,0.45456,1246015.49
1647475200000,0.45459,0.45461,0.40638,0.40805,2673941.47
1647489600000,0.40822,0.41744,0.40594,0.41195,2122341.04
1647504000000,0.41227,0.4152,0.40805,0.4112,890326.85
1647518400000,0.41139,0.41473,0.40696,0.40787,2532532.0
1647532800000,0.40891,0.41671,0.40261,0.41632,1848381.63
1647547200000,0.41646,0.41658,0.40754,0.40834,1135570.01
1647561600000,0.40892,0.41012,0.39727,0.39863,1714391.65
1647576000000,0.39864,0.41229,0.39715,0.40538,1890555.34
1647590400000,0.40529,0.42859,0.40329,0.42228,7383294.7
1647604800000,0.4224,0.42327,0.39734,0.4087,2206821.85
1647619200000,0.40866,0.42353,0.40851,0.41929,1303967.39
1647633600000,0.4193,0.42097,0.40575,0.41089,832992.79
1647648000000,0.41074,0.42236,0.40643,0.40957,1153983.79
1647662400000,0.40965,0.41618,0.40831,0.41172,1122497.76
1647676800000,0.41163,0.42448,0.41066,0.42122,2074202.75
1647691200000,0.42163,0.42807,0.41361,0.41984,1601930.35
1647705600000,0.41986,0.42475,0.40985,0.41148,1537199.87
1647720000000,0.41142,0.4161,0.40581,0.41075,1230464.29
1647734400000,0.41075,0.41615,0.40109,0.40859,1181866.33
1647748800000,0.40845,0.42051,0.40829,0.41491,1197304.18
1647763200000,0.41492,0.41882,0.40296,0.40318,1258293.35
1647777600000,0.40343,0.41196,0.39862,0.399,1555734.07
1647792000000,0.39911,0.40204,0.38825,0.39915,1549124.45
1647806400000,0.39914,0.40246,0.38935,0.38997,1158944.93
1647820800000,0.39011,0.39396,0.38044,0.38807,1355127.67
1647835200000,0.38819,0.40359,0.38675,0.40154,1494885.32
1647849600000,0.40134,0.42309,0.39783,0.41168,2216922.08
1647864000000,0.41168,0.41764,0.40354,0.41085,2120188.03
1647878400000,0.41078,0.41371,0.40341,0.40806,1541376.76
1647892800000,0.4081,0.41583,0.40713,0.41174,1201056.99
1647907200000,0.41177,0.41886,0.40408,0.41452,1794613.75
1647921600000,0.41471,0.42366,0.40799,0.41538,1838760.72
1647936000000,0.41544,0.42199,0.4141,0.4188,1283597.98
1647950400000,0.41851,0.41908,0.413,0.41388,1552231.35
1647964800000,0.41363,0.41516,0.40715,0.40836,1069815.2
1647979200000,0.40827,0.4159,0.4078,0.41037,737468.52
1647993600000,0.41033,0.41452,0.40104,0.40848,2030618.6
1648008000000,0.40821,0.41723,0.40337,0.41596,1748115.56
1648022400000,0.4159,0.41837,0.41064,0.41385,1644385.07
1648036800000,0.41389,0.43274,0.41271,0.43067,3564488.35
1648051200000,0.43116,0.43179,0.41481,0.41986,2013820.2
1648065600000,0.41988,0.42525,0.41882,0.42435,1391067.41
1648080000000,0.42432,0.43529,0.41946,0.42423,2344847.9
1648094400000,0.42431,0.42724,0.41955,0.42172,1226189.59
1648108800000,0.42183,0.42489,0.41836,0.42197,967553.28
1648123200000,0.4219,0.43333,0.41013,0.4299,2607836.37
1648137600000,0.42988,0.4336,0.42643,0.43085,1554712.52
1648152000000,0.43076,0.44148,0.42516,0.44002,1231437.14
1648166400000,0.43972,0.45126,0.43082,0.44511,1973665.09
1648180800000,0.44504,0.44995,0.43384,0.4341,1643681.6
1648195200000,0.43417,0.44032,0.42575,0.42739,2070316.06
1648209600000,0.42731,0.42843,0.4137,0.41801,2073616.0
1648224000000,0.41797,0.41973,0.40154,0.40827,1454603.56
1648238400000,0.40829,0.41516,0.40503,0.40902,961957.75
1648252800000,0.40893,0.41158,0.40492,0.41049,644910.884
1648267200000,0.41063,0.41622,0.41041,0.41534,579225.11
1648281600000,0.41545,0.41668,0.40965,0.4109,661093.504
1648296000000,0.41091,0.41153,0.40584,0.4091,533052.14
1648310400000,0.40899,0.41715,0.40741,0.41303,745632.03
1648324800000,0.41312,0.41633,0.40815,0.41102,1002849.76
1648339200000,0.41099,0.41768,0.40853,0.41434,792922.89
1648353600000,0.41427,0.41964,0.41077,0.41935,773071.7
1648368000000,0.41955,0.42215,0.41474,0.41721,1383185.28
1648382400000,0.41704,0.41873,0.40613,0.41765,1569152.59
1648396800000,0.41757,0.42109,0.41415,0.42019,1029741.43
1648411200000,0.42019,0.4318,0.41757,0.43123,1757141.81
1648425600000,0.43108,0.44778,0.42739,0.44515,2010059.99
1648440000000,0.44517,0.47243,0.44517,0.46196,2433724.08
1648454400000,0.46192,0.48796,0.45329,0.47198,2491406.83
1648468800000,0.47233,0.47317,0.45322,0.4669,2233029.08
1648483200000,0.46689,0.47491,0.46023,0.46708,1663284.29
1648497600000,0.46688,0.46953,0.425,0.43223,1775601.54
1648512000000,0.43281,0.45161,0.43147,0.44755,1631428.55
1648526400000,0.44782,0.46421,0.44738,0.45312,1346030.07
1648540800000,0.45336,0.4705,0.45282,0.46793,1725303.41
1648555200000,0.46832,0.49439,0.46423,0.47812,2149118.07
1648569600000,0.47837,0.4945,0.46082,0.48174,2516621.25
1648584000000,0.48167,0.49155,0.47109,0.48782,1471535.62
1648598400000,0.48777,0.48858,0.45783,0.46776,2552680.94
1648612800000,0.46758,0.48076,0.46586,0.47706,1494425.6
1648627200000,0.47687,0.48096,0.47014,0.47411,1629672.85
1648641600000,0.47397,0.49851,0.46802,0.48404,2655143.96
1648656000000,0.48404,0.49728,0.47884,0.48991,1965362.37
1648670400000,0.48982,0.4928,0.47517,0.48203,1073074.43
1648684800000,0.48203,0.5064,0.47974,0.49252,1602490.81
1648699200000,0.4923,0.49595,0.48606,0.48737,1398397.67
1648713600000,0.48731,0.5255,0.48651,0.51895,2963281.3
1648728000000,0.51876,0.52563,0.48207,0.4884,4554027.86
1648742400000,0.48855,0.48897,0.46296,0.46949,3296476.54
1648756800000,0.46964,0.47864,0.46305,0.47004,2833014.16
1648771200000,0.47005,0.4774,0.43549,0.44477,4278688.16
1648785600000,0.4449,0.46297,0.44307,0.46138,3355388.5
1648800000000,0.46124,0.4664,0.45449,0.45643,2563271.45
1648814400000,0.45647,0.48314,0.44805,0.47885,2986527.1
1648828800000,0.47892,0.49469,0.47441,0.49428,2432573.14
1648843200000,0.49417,0.49509,0.47732,0.48508,1921096.68
1648857600000,0.48505,0.50978,0.48128,0.50978,2913710.28
1648872000000,0.50978,0.55006,0.50818,0.53405,5280243.0
1648886400000,0.53414,0.53492,0.51414,0.52779,2854862.18
1648900800000,0.52774,0.53637,0.49829,0.50461,3998755.5
1648915200000,0.50389,0.517,0.49379,0.50652,3036733.53
1648929600000,0.50692,0.53268,0.50337,0.5183,2666543.32
1648944000000,0.51839,0.52773,0.49331,0.5107,1670886.21
1648958400000,0.51101,0.52083,0.50733,0.51427,1312095.97
1648972800000,0.51434,0.51511,0.5006,0.50697,1085261.6
1648987200000,0.50659,0.518,0.50483,0.51531,1037776.41
1649001600000,0.51603,0.51911,0.50133,0.51022,1157230.8
1649016000000,0.51027,0.53219,0.50995,0.51735,2114827.64
1649030400000,0.51734,0.51747,0.50169,0.50584,1249514.68
1649044800000,0.50578,0.51111,0.50129,0.50652,1140430.71
1649059200000,0.50646,0.51304,0.48364,0.49369,1413202.71
1649073600000,0.49344,0.49493,0.47036,0.47375,1499473.94
1649088000000,0.47356,0.48583,0.46702,0.48552,1044961.4
1649102400000,0.48554,0.49557,0.48269,0.49251,1130368.38
1649116800000,0.49262,0.49829,0.48989,0.49772,790919.98
1649131200000,0.49768,0.50011,0.48953,0.49519,558415.85
1649145600000,0.49534,0.49609,0.48626,0.49091,570954.55
1649160000000,0.49111,0.49574,0.47449,0.48049,1215761.09
1649174400000,0.48072,0.48662,0.46479,0.47272,1129911.68
1649188800000,0.47273,0.47482,0.45762,0.45958,921119.2
1649203200000,0.4598,0.46033,0.4343,0.44936,1444671.62
1649217600000,0.44925,0.46346,0.4457,0.45844,749992.37
1649232000000,0.45864,0.46015,0.43653,0.44248,1109568.72
1649246400000,0.44227,0.44636,0.41961,0.43161,1618258.89
1649260800000,0.43146,0.43345,0.41363,0.42779,996217.57
