time,open,high,low,close,volume
1776945600000,32.23,32.45,32.14,32.39,1347.97
1776960000000,32.39,32.93,32.29,32.73,3291.16
1776974400000,32.73,32.73,32.73,32.73,0.03
1776988800000,32.73,32.73,32.73,32.73,0.0
1777003200000,32.73,32.73,32.73,32.73,0.0
1777017600000,32.73,32.73,32.73,32.73,0.0
1777032000000,32.73,32.73,32.23,32.35,1962.62
1777046400000,32.35,32.64,32.21,32.58,2496.94
1777060800000,32.58,32.58,32.57,32.57,1.5
1777075200000,32.57,32.57,32.57,32.57,0.0
1777089600000,32.57,32.57,32.57,32.57,0.0
1777104000000,32.57,32.57,32.57,32.57,0.0
1777118400000,32.57,32.57,32.57,32.57,0.0
1777132800000,32.57,32.57,32.57,32.57,0.0
1777147200000,32.57,32.57,32.57,32.57,0.0
1777161600000,32.57,32.57,32.57,32.57,0.0
1777176000000,32.57,32.57,32.57,32.57,0.0
1777190400000,32.57,32.57,32.57,32.57,0.0
1777204800000,32.57,32.57,32.57,32.57,0.0
1777219200000,32.57,32.57,32.57,32.57,0.0
1777233600000,32.57,32.57,32.57,32.57,0.0
1777248000000,32.57,32.57,32.57,32.57,0.0
1777262400000,32.57,32.57,32.57,32.57,0.0
1777276800000,32.57,32.57,32.57,32.57,0.0
1777291200000,32.57,33.11,32.57,32.88,1681.46
1777305600000,32.88,33.13,32.82,32.88,1815.43
1777320000000,32.88,32.89,32.88,32.89,2.08
1777334400000,32.89,32.89,32.89,32.89,0.0
1777348800000,32.89,32.89,32.89,32.89,0.0
1777363200000,32.89,32.89,32.89,32.89,0.0
1777377600000,32.89,33.35,32.89,33.21,1906.13
1777392000000,33.21,33.39,33.13,33.34,1165.14
1777406400000,33.34,33.34,33.33,33.33,0.02
1777420800000,33.33,33.33,33.33,33.33,0.0
1777435200000,33.33,33.33,33.33,33.33,0.0
1777449600000,33.33,33.33,33.33,33.33,0.0
1777464000000,33.33,34.46,33.33,34.43,2128.01
1777478400000,34.43,34.63,34.32,34.54,2748.6
1777492800000,34.54,34.54,34.54,34.54,0.04
1777507200000,34.54,34.54,34.54,34.54,0.0
1777521600000,34.54,34.54,34.54,34.54,0.0
1777536000000,34.54,34.54,34.54,34.54,0.0
1777550400000,34.54,34.54,34.06,34.17,5149.14
1777564800000,34.17,34.42,34.04,34.39,3970.74
1777579200000,34.39,34.39,34.37,34.37,0.05
1777593600000,34.37,34.37,34.37,34.37,0.0
1777608000000,34.37,34.37,34.37,34.37,0.0
1777622400000,34.37,34.37,34.37,34.37,0.0
1777636800000,34.37,34.37,33.57,33.83,2631.74
1777651200000,33.83,34.01,33.75,33.89,2491.63
1777665600000,33.89,33.9,33.89,33.9,0.07
1777680000000,33.9,33.9,33.9,33.9,0.0
1777694400000,33.9,33.9,33.9,33.9,0.0
1777708800000,33.9,33.9,33.9,33.9,0.0
1777723200000,33.9,33.9,33.9,33.9,0.0
1777737600000,33.9,33.9,33.9,33.9,0.0
1777752000000,33.9,33.9,33.9,33.9,0.0
1777766400000,33.9,33.9,33.9,33.9,0.0
1777780800000,33.9,33.9,33.9,33.9,0.0
1777795200000,33.9,33.9,33.9,33.9,0.0
1777809600000,33.9,33.9,33.9,33.9,0.0
1777824000000,33.9,33.9,33.9,33.9,0.0
1777838400000,33.9,33.9,33.9,33.9,0.0
1777852800000,33.9,33.9,33.9,33.9,0.0
1777867200000,33.9,33.9,33.9,33.9,0.0
1777881600000,33.9,33.9,33.9,33.9,0.0
1777896000000,33.9,34.64,33.9,34.58,2305.08
1777910400000,34.58,34.73,34.45,34.55,2734.03
1777924800000,34.55,34.56,34.53,34.53,13.53
1777939200000,34.53,34.53,34.53,34.53,0.0
1777953600000,34.53,34.53,34.53,34.53,0.0
1777968000000,34.53,34.53,34.53,34.53,0.0
1777982400000,34.53,34.53,34.03,34.12,2097.79
1777996800000,34.12,34.22,34.0,34.22,1549.49
1778011200000,34.22,34.22,34.19,34.19,4.18
1778025600000,34.19,34.19,34.19,34.19,0.0
1778040000000,34.19,34.19,34.19,34.19,0.0
1778054400000,34.19,34.19,34.19,34.19,0.0
1778068800000,34.19,34.19,32.74,32.92,2770.96
1778083200000,32.92,33.05,32.7,32.84,2031.21
1778097600000,32.84,32.84,32.83,32.83,0.03
1778112000000,32.83,32.83,32.83,32.83,0.0
1778126400000,32.83,32.83,32.83,32.83,0.0
1778140800000,32.83,32.83,32.83,32.83,0.0
1778155200000,32.83,32.83,31.85,32.43,2667.45
1778169600000,32.43,33.06,32.41,32.9,4282.69
